Orthogroup	Pray	Pram
OG0000000	Pray.g_01888	Pram.g_01561
OG0000000	Pray.g_01576, Pray.g_01603	Pram.g_01511
OG0000001	Pray.g_01844	Pram.g_01954, Pram.g_01953
OG0000002	Pray.g_01836	Pram.g_00873, Pram.g_00879
OG0000002	Pray.g_01085	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Pray.g_01068	Pram.g_00789
OG0000004	Pray.g_00713	Pram.g_00219
OG0000005	Pray.g_01646	Pram.g_01295
OG0000006	Pray.g_00722	Pram.g_00229
OG0000007	Pray.g_00988, Pray.g_00987	Pram.g_00433
OG0000007	Pray.g_01559	Pram.g_01632
OG0000008	Pray.g_01931	Pram.g_01263
OG0000009	Pray.g_01920	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Pray.g_00964	Pram.g_00410
OG0000010	Pray.g_00592	Pram.g_00704, Pram.g_01000
OG0000011	Pray.g_01930	Pram.g_01579
OG0000012	Pray.g_01140	Pram.g_00561
OG0000013	Pray.g_00805	Pram.g_00315
OG0000014	Pray.g_00784	Pram.g_00295
OG0000015	Pray.g_00309	Pram.g_00696, Pram.g_01545
OG0000017	Pray.g_01165	Pram.g_00535, Pram.g_00542
OG0000018	Pray.g_00375	Pram.g_00837
OG0000018	Pray.g_00083	Pram.g_01162
OG0000019	Pray.g_00730	Pram.g_00237
OG0000019	Pray.g_00328	Pram.g_01164
OG0000021	Pray.g_01578, Pray.g_00842	Pram.g_01274, Pram.g_00794
OG0000022	Pray.g_00304	Pram.g_01287
OG0000023	Pray.g_00838	Pram.g_00689
OG0000024	Pray.g_00289	Pram.g_01004
OG0000024	Pray.g_01088	Pram.g_00765
OG0000025	Pray.g_00809, Pray.g_00383	Pram.g_00844
OG0000026	Pray.g_00599	Pram.g_00018
OG0000028	Pray.g_01935	Pram.g_00363
OG0000028	Pray.g_00798	Pram.g_00308
OG0000029	Pray.g_00296	Pram.g_01529
OG0000029	Pray.g_00853	Pram.g_01723
OG0000030	Pray.g_01374	Pram.g_01844
OG0000031	Pray.g_01806	Pram.g_01413
OG0000034	Pray.g_01860	Pram.g_01240
OG0000035	Pray.g_01722	Pram.g_01381, Pram.g_01378
OG0000037	Pray.g_00180	Pram.g_00093
OG0000038	Pray.g_01415	Pram.g_01884
OG0000039	Pray.g_01077	Pram.g_00777
OG0000040	Pray.g_01585	Pram.g_01599
OG0000042	Pray.g_01371	Pram.g_01841
OG0000043	Pray.g_01924, Pray.g_00420	Pram.g_01161
OG0000044	Pray.g_00002	Pram.g_01620
OG0000047	Pray.g_00897	Pram.g_00359
OG0000048	Pray.g_00852	Pram.g_00259
OG0000050	Pray.g_00883	Pram.g_00576, Pram.g_00706
OG0000053	Pray.g_01702	Pram.g_01357, Pram.g_01580
OG0000054	Pray.g_01157	Pram.g_00544
OG0000055	Pray.g_00329	Pram.g_01189, Pram.g_01617
OG0000056	Pray.g_01942	Pram.g_01611, Pram.g_00603, Pram.g_00602
OG0000057	Pray.g_01065	Pram.g_00792
OG0000058	Pray.g_01786	Pram.g_01447
OG0000059	Pray.g_01258	Pram.g_01719
OG0000061	Pray.g_00064	Pram.g_01140
OG0000062	Pray.g_01644	Pram.g_01293
OG0000065	Pray.g_00182	Pram.g_00091
OG0000066	Pray.g_01222	Pram.g_01558
OG0000067	Pray.g_00348	Pram.g_00809
OG0000068	Pray.g_01829	Pram.g_01468
OG0000069	Pray.g_01609	Pram.g_00391
OG0000070	Pray.g_00940	Pram.g_00385
OG0000071	Pray.g_01870	Pram.g_01230
OG0000072	Pray.g_00652	Pram.g_00156
OG0000073	Pray.g_00990	Pram.g_01426, Pram.g_00437
OG0000074	Pray.g_01081	Pram.g_00772, Pram.g_00715, Pram.g_00684
OG0000075	Pray.g_01339	Pram.g_01807
OG0000076	Pray.g_01364	Pram.g_01833
OG0000077	Pray.g_00211	Pram.g_00063
OG0000078	Pray.g_00720	Pram.g_00227
OG0000079	Pray.g_00733	Pram.g_00240
OG0000081	Pray.g_01022	Pram.g_00469
OG0000082	Pray.g_01177	Pram.g_01559
OG0000084	Pray.g_01726	Pram.g_01384
OG0000085	Pray.g_01566	Pram.g_01265
OG0000086	Pray.g_00201	Pram.g_00072
OG0000087	Pray.g_00150	Pram.g_00125
OG0000088	Pray.g_00647	Pram.g_00151
OG0000089	Pray.g_00834	Pram.g_00352
OG0000090	Pray.g_01024, Pray.g_01228	Pram.g_00471
OG0000091	Pray.g_01121	Pram.g_01068
OG0000092	Pray.g_00457	Pram.g_00739
OG0000093	Pray.g_00479	Pram.g_01038
OG0000094	Pray.g_00565	Pram.g_00987
OG0000095	Pray.g_00584	Pram.g_00888
OG0000096	Pray.g_00117, Pray.g_01905	Pram.g_01505, Pram.g_00621
OG0000097	Pray.g_00022	Pram.g_01093
OG0000098	Pray.g_01847	Pram.g_01478
OG0000099	Pray.g_01788	Pram.g_01445
OG0000100	Pray.g_01648	Pram.g_01298
OG0000101	Pray.g_01306	Pram.g_01770
OG0000102	Pray.g_01369	Pram.g_01838
OG0000103	Pray.g_01449	Pram.g_01925
OG0000104	Pray.g_01457	Pram.g_01934
OG0000105	Pray.g_00753	Pram.g_00262
OG0000106	Pray.g_00848	Pram.g_00677
OG0000107	Pray.g_00864	Pram.g_01696
OG0000108	Pray.g_00970	Pram.g_00416
OG0000109	Pray.g_00984	Pram.g_00430
OG0000110	Pray.g_01187	Pram.g_00513
OG0000111	Pray.g_01064	Pram.g_00793
OG0000112	Pray.g_00313	Pram.g_00935
OG0000113	Pray.g_00370	Pram.g_00832
OG0000114	Pray.g_00452	Pram.g_00734
OG0000115	Pray.g_00126	Pram.g_01201
OG0000116	Pray.g_00074	Pram.g_01151
OG0000117	Pray.g_01927	Pram.g_01112
OG0000118	Pray.g_01858	Pram.g_01242
OG0000119	Pray.g_01833	Pram.g_01283
OG0000120	Pray.g_01808	Pram.g_01446
OG0000121	Pray.g_01720	Pram.g_01376
OG0000122	Pray.g_01682	Pram.g_01204, Pram.g_01334
OG0000123	Pray.g_01313	Pram.g_01777
OG0000124	Pray.g_01380	Pram.g_01850
OG0000125	Pray.g_01417	Pram.g_01886
OG0000126	Pray.g_01456	Pram.g_01933
OG0000128	Pray.g_01473	Pram.g_01949
OG0000129	Pray.g_00239	Pram.g_00029
OG0000130	Pray.g_00220	Pram.g_00054
OG0000131	Pray.g_00144	Pram.g_00130
OG0000132	Pray.g_00645	Pram.g_00149
OG0000133	Pray.g_00800	Pram.g_00310
OG0000134	Pray.g_00835	Pram.g_00354
OG0000135	Pray.g_00861	Pram.g_01589
OG0000136	Pray.g_00931	Pram.g_00376
OG0000137	Pray.g_00965	Pram.g_00411
OG0000138	Pray.g_00985	Pram.g_00431
OG0000139	Pray.g_01224	Pram.g_00475
OG0000140	Pray.g_01223	Pram.g_00476
OG0000141	Pray.g_01156	Pram.g_00545
OG0000142	Pray.g_01128	Pram.g_01075
OG0000143	Pray.g_01124	Pram.g_01072
OG0000144	Pray.g_01111	Pram.g_01058
OG0000145	Pray.g_00306	Pram.g_01534
OG0000146	Pray.g_00314	Pram.g_00934
OG0000147	Pray.g_00315	Pram.g_00933
OG0000148	Pray.g_00364	Pram.g_00826
OG0000149	Pray.g_00395	Pram.g_00858
OG0000150	Pray.g_00403	Pram.g_00868
OG0000151	Pray.g_00462	Pram.g_00744
OG0000152	Pray.g_00511	Pram.g_00943
OG0000153	Pray.g_00530	Pram.g_00961
OG0000154	Pray.g_00558	Pram.g_00978
OG0000155	Pray.g_00043	Pram.g_01118
OG0000156	Pray.g_01881	Pram.g_01219
OG0000157	Pray.g_01880	Pram.g_01220
OG0000158	Pray.g_01787	Pram.g_01815
OG0000159	Pray.g_01785	Pram.g_01438
OG0000160	Pray.g_01721	Pram.g_01377
OG0000161	Pray.g_01715	Pram.g_01145, Pram.g_01371
OG0000162	Pray.g_01709	Pram.g_01365
OG0000163	Pray.g_01675	Pram.g_01326
OG0000164	Pray.g_01535	Pram.g_01656
OG0000165	Pray.g_01528	Pram.g_01664
OG0000166	Pray.g_01270	Pram.g_01733
OG0000167	Pray.g_01337	Pram.g_01805
OG0000168	Pray.g_01347	Pram.g_01816
OG0000169	Pray.g_01357	Pram.g_01826
OG0000170	Pray.g_01359	Pram.g_01829
OG0000171	Pray.g_01379	Pram.g_01849
OG0000172	Pray.g_01388	Pram.g_01856
OG0000173	Pray.g_01403	Pram.g_01871
OG0000174	Pray.g_01431	Pram.g_01902
OG0000175	Pray.g_01441	Pram.g_01914
OG0000176	Pray.g_01465, Pray.g_01466	Pram.g_01942
OG0000177	Pray.g_01467	Pram.g_01943
OG0000178	Pray.g_01468	Pram.g_01944
OG0000179	Pray.g_01478	Pram.g_00003
OG0000180	Pray.g_01479	Pram.g_00004
OG0000181	Pray.g_01480	Pram.g_00005
OG0000182	Pray.g_01481	Pram.g_00006
OG0000183	Pray.g_01485	Pram.g_00010
OG0000184	Pray.g_00237	Pram.g_00033
OG0000185	Pray.g_00234	Pram.g_00036
OG0000186	Pray.g_00225	Pram.g_00048
OG0000187	Pray.g_00224	Pram.g_00049
OG0000188	Pray.g_00207	Pram.g_00066
OG0000189	Pray.g_00193	Pram.g_00080
OG0000190	Pray.g_00192	Pram.g_00081
OG0000191	Pray.g_00172	Pram.g_00103
OG0000192	Pray.g_00168	Pram.g_00108
OG0000193	Pray.g_00143	Pram.g_00131
OG0000194	Pray.g_00140	Pram.g_00134
OG0000195	Pray.g_00138	Pram.g_00136
OG0000196	Pray.g_00642	Pram.g_00146
OG0000197	Pray.g_00643	Pram.g_00147
OG0000198	Pray.g_00644	Pram.g_00148
OG0000199	Pray.g_00651	Pram.g_00155
OG0000200	Pray.g_00665	Pram.g_00168
OG0000201	Pray.g_00673	Pram.g_00177
OG0000202	Pray.g_00674	Pram.g_00178
OG0000203	Pray.g_00675	Pram.g_00179
OG0000204	Pray.g_00676	Pram.g_00180
OG0000205	Pray.g_00683	Pram.g_00187
OG0000206	Pray.g_00688	Pram.g_00192
OG0000207	Pray.g_00690	Pram.g_00194
OG0000208	Pray.g_00691	Pram.g_00195
OG0000209	Pray.g_00700	Pram.g_00204
OG0000210	Pray.g_00701	Pram.g_00205
OG0000211	Pray.g_00714	Pram.g_00220
OG0000212	Pray.g_00721	Pram.g_00228
OG0000213	Pray.g_00738	Pram.g_00246
OG0000214	Pray.g_00747	Pram.g_00255
OG0000215	Pray.g_00771	Pram.g_00282
OG0000216	Pray.g_00772	Pram.g_00283
OG0000217	Pray.g_00775	Pram.g_00286
OG0000218	Pray.g_00777	Pram.g_00288
OG0000219	Pray.g_00778	Pram.g_00289
OG0000220	Pray.g_00779	Pram.g_00290
OG0000221	Pray.g_00780	Pram.g_00291
OG0000222	Pray.g_00788	Pram.g_00298
OG0000223	Pray.g_00801	Pram.g_00311
OG0000224	Pray.g_00803	Pram.g_00313
OG0000225	Pray.g_00824	Pram.g_00341
OG0000226	Pray.g_00828	Pram.g_00345
OG0000227	Pray.g_00830	Pram.g_00347
OG0000228	Pray.g_00833	Pram.g_00351
OG0000229	Pray.g_00926	Pram.g_00371
OG0000230	Pray.g_00928	Pram.g_00373
OG0000231	Pray.g_00939	Pram.g_00384
OG0000232	Pray.g_00948	Pram.g_00397
OG0000233	Pray.g_00953	Pram.g_00402
OG0000234	Pray.g_00966	Pram.g_00412
OG0000235	Pray.g_00969	Pram.g_00415
OG0000236	Pray.g_00983	Pram.g_00429
OG0000237	Pray.g_00997	Pram.g_00443
OG0000238	Pray.g_01003	Pram.g_00449
OG0000239	Pray.g_01016	Pram.g_00462
OG0000240	Pray.g_01017	Pram.g_00463
OG0000241	Pray.g_01021	Pram.g_00468
OG0000242	Pray.g_01023	Pram.g_00470
OG0000243	Pray.g_01218	Pram.g_00480
OG0000244	Pray.g_01215	Pram.g_00483
OG0000245	Pray.g_01213	Pram.g_00485
OG0000246	Pray.g_01209	Pram.g_00489
OG0000247	Pray.g_01199	Pram.g_00500
OG0000248	Pray.g_01197	Pram.g_00503
OG0000249	Pray.g_01195	Pram.g_00505
OG0000250	Pray.g_01190	Pram.g_00510
OG0000251	Pray.g_01172	Pram.g_00528
OG0000252	Pray.g_01169	Pram.g_00531
OG0000253	Pray.g_01168	Pram.g_00532
OG0000254	Pray.g_01152	Pram.g_00549
