Orthogroup	Pray	Syar
OG0000001	Pray.g_01844	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Pray.g_01068	Syar.g_02051
OG0000004	Pray.g_00713	Syar.g_02225, Syar.g_00842
OG0000005	Pray.g_01546	Syar.g_02952
OG0000005	Pray.g_01646	Syar.g_02909
OG0000006	Pray.g_00722	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Pray.g_00988, Pray.g_00987	Syar.g_01491
OG0000007	Pray.g_01559	Syar.g_02929
OG0000008	Pray.g_01931	Syar.g_02097
OG0000008	Pray.g_01091	Syar.g_00419, Syar.g_02048
OG0000009	Pray.g_00184	Syar.g_03116
OG0000010	Pray.g_00592	Syar.g_01272
OG0000012	Pray.g_01140	Syar.g_00690, Syar.g_02860
OG0000013	Pray.g_00805	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Pray.g_00784	Syar.g_00825
OG0000014	Pray.g_01792	Syar.g_02736
OG0000015	Pray.g_00309	Syar.g_00451, Syar.g_00180
OG0000016	Pray.g_01475	Syar.g_02859
OG0000017	Pray.g_01165	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Pray.g_00083	Syar.g_01409
OG0000019	Pray.g_00730, Pray.g_00328	Syar.g_00163
OG0000022	Pray.g_00101	Syar.g_00835
OG0000025	Pray.g_00809, Pray.g_00383	Syar.g_01811
OG0000026	Pray.g_01493, Pray.g_00599	Syar.g_00505
OG0000027	Pray.g_00960, Pray.g_01887	Syar.g_02055, Syar.g_02835
OG0000028	Pray.g_01935, Pray.g_00798	Syar.g_00718
OG0000031	Pray.g_01806	Syar.g_00714
OG0000034	Pray.g_01860	Syar.g_00074, Syar.g_02790
OG0000035	Pray.g_01722	Syar.g_02809
OG0000037	Pray.g_00180	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Pray.g_01415	Syar.g_00334, Syar.g_00336
OG0000039	Pray.g_01077	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Pray.g_01585	Syar.g_02831
OG0000040	Pray.g_00084	Syar.g_00858
OG0000042	Pray.g_01371	Syar.g_00595, Syar.g_01970
OG0000044	Pray.g_00002	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000048	Pray.g_00852	Syar.g_00213
OG0000051	Pray.g_01894	Syar.g_01597
OG0000053	Pray.g_01702	Syar.g_01413
OG0000054	Pray.g_01157	Syar.g_02265
OG0000055	Pray.g_00329	Syar.g_01386
OG0000056	Pray.g_01942	Syar.g_01662
OG0000057	Pray.g_01065	Syar.g_01941, Syar.g_00006
OG0000058	Pray.g_01786	Syar.g_00648
OG0000059	Pray.g_01258	Syar.g_01024
OG0000061	Pray.g_00064	Syar.g_01539
OG0000062	Pray.g_01644	Syar.g_02911
OG0000063	Pray.g_01495	Syar.g_00509
OG0000065	Pray.g_00182	Syar.g_03119
OG0000066	Pray.g_01222	Syar.g_03187, Syar.g_02228
OG0000067	Pray.g_00348	Syar.g_02639
OG0000068	Pray.g_01829	Syar.g_02329, Syar.g_01461
OG0000069	Pray.g_01609	Syar.g_01716
OG0000070	Pray.g_00940	Syar.g_02223, Syar.g_03150
OG0000071	Pray.g_01870	Syar.g_02777
OG0000072	Pray.g_00652	Syar.g_00107, Syar.g_01140
OG0000073	Pray.g_00990	Syar.g_01364, Syar.g_01493
OG0000075	Pray.g_01339	Syar.g_03065, Syar.g_00659
OG0000076	Pray.g_01364	Syar.g_00608
OG0000077	Pray.g_00211	Syar.g_03051
OG0000078	Pray.g_00720	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Pray.g_00733	Syar.g_00166
OG0000081	Pray.g_01022	Syar.g_01898
OG0000082	Pray.g_01177	Syar.g_02202
OG0000085	Pray.g_01566	Syar.g_02919
OG0000086	Pray.g_00201	Syar.g_03085
OG0000087	Pray.g_00150	Syar.g_03192, Syar.g_00068
OG0000088	Pray.g_00647	Syar.g_00101
OG0000089	Pray.g_00834	Syar.g_01162
OG0000090	Pray.g_01024, Pray.g_01228	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Pray.g_01121	Syar.g_01891, Syar.g_02426
OG0000092	Pray.g_01325	Syar.g_01960
OG0000093	Pray.g_00479	Syar.g_02623
OG0000094	Pray.g_00565	Syar.g_01789
OG0000095	Pray.g_00584	Syar.g_01932
OG0000097	Pray.g_00022	Syar.g_01706, Syar.g_00364
OG0000098	Pray.g_01847	Syar.g_02343
OG0000099	Pray.g_01788	Syar.g_00715
OG0000100	Pray.g_01648	Syar.g_02477
OG0000101	Pray.g_01306	Syar.g_01073, Syar.g_03154
OG0000102	Pray.g_01369	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Pray.g_01449	Syar.g_00014, Syar.g_00452
OG0000104	Pray.g_01457	Syar.g_00466
OG0000105	Pray.g_00753	Syar.g_00218
OG0000106	Pray.g_00848	Syar.g_01748
OG0000107	Pray.g_00864	Syar.g_03290, Syar.g_00149
OG0000108	Pray.g_00970	Syar.g_01469
OG0000109	Pray.g_00984	Syar.g_03310, Syar.g_01485
OG0000110	Pray.g_01187	Syar.g_02295
OG0000111	Pray.g_01064	Syar.g_01940, Syar.g_00005
OG0000112	Pray.g_00313	Syar.g_03195, Syar.g_02548
OG0000113	Pray.g_00370	Syar.g_02664
OG0000114	Pray.g_00452	Syar.g_01616
OG0000115	Pray.g_00126	Syar.g_02854, Syar.g_01415
OG0000116	Pray.g_00074	Syar.g_01525, Syar.g_02255
OG0000117	Pray.g_01927	Syar.g_01969
OG0000118	Pray.g_01858	Syar.g_02793
OG0000120	Pray.g_01808	Syar.g_00713
OG0000121	Pray.g_01720	Syar.g_02806
OG0000123	Pray.g_01313	Syar.g_01079
OG0000124	Pray.g_01380	Syar.g_00586
OG0000125	Pray.g_01417	Syar.g_00338
OG0000126	Pray.g_01456	Syar.g_00887, Syar.g_00888
OG0000128	Pray.g_01473	Syar.g_00482
OG0000129	Pray.g_00239	Syar.g_00324
OG0000130	Pray.g_00220	Syar.g_03040
OG0000131	Pray.g_00144	Syar.g_02216, Syar.g_00078
OG0000132	Pray.g_00645	Syar.g_00099
OG0000133	Pray.g_00800	Syar.g_02543
OG0000134	Pray.g_00835	Syar.g_02009, Syar.g_01165
OG0000135	Pray.g_00861	Syar.g_00698
OG0000136	Pray.g_00931	Syar.g_02874
OG0000137	Pray.g_00965	Syar.g_01273
OG0000138	Pray.g_00985	Syar.g_01486
OG0000139	Pray.g_01224	Syar.g_03245, Syar.g_02348
OG0000140	Pray.g_01223	Syar.g_02344, Syar.g_03246
OG0000141	Pray.g_01156	Syar.g_02129
OG0000142	Pray.g_01128	Syar.g_02418
OG0000143	Pray.g_01124	Syar.g_02422
OG0000144	Pray.g_01111	Syar.g_02441
OG0000145	Pray.g_00306	Syar.g_01494, Syar.g_03205
OG0000146	Pray.g_00314	Syar.g_02549
OG0000147	Pray.g_00315	Syar.g_02550
OG0000148	Pray.g_00364	Syar.g_02658
OG0000149	Pray.g_00395	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Pray.g_00403	Syar.g_02130
OG0000151	Pray.g_00462	Syar.g_02038
OG0000152	Pray.g_00511	Syar.g_02539
OG0000153	Pray.g_00530	Syar.g_03283, Syar.g_02503
OG0000154	Pray.g_00558	Syar.g_01800
OG0000155	Pray.g_00043	Syar.g_01959
OG0000156	Pray.g_01881	Syar.g_01517
OG0000157	Pray.g_01880	Syar.g_01516
OG0000158	Pray.g_01787	Syar.g_00650
OG0000160	Pray.g_01721	Syar.g_02807
OG0000161	Pray.g_01715	Syar.g_02801
OG0000162	Pray.g_01709	Syar.g_02863
OG0000163	Pray.g_01675	Syar.g_00639, Syar.g_01186
OG0000164	Pray.g_01535	Syar.g_03168, Syar.g_02969
OG0000165	Pray.g_01528	Syar.g_02976
OG0000166	Pray.g_01270	Syar.g_01034
OG0000167	Pray.g_01337	Syar.g_00662
OG0000168	Pray.g_01347	Syar.g_00246
OG0000169	Pray.g_01357	Syar.g_00262
