Orthogroup	Prbi	Praq
OG0000000	Prbi.g_01432	Praq.g_00168
OG0000000	Prbi.g_00681	Praq.g_00807
OG0000001	Prbi.g_01268	Praq.g_00025
OG0000001	Prbi.g_01708	Praq.g_00025
OG0000001	Prbi.g_01268	Praq.g_01392
OG0000001	Prbi.g_01708	Praq.g_01392
OG0000002	Prbi.g_01424	Praq.g_00160
OG0000002	Prbi.g_01270	Praq.g_01394
OG0000003	Prbi.g_01371	Praq.g_00115
OG0000004	Prbi.g_00775	Praq.g_00607
OG0000004	Prbi.g_00782	Praq.g_00614
OG0000005	Prbi.g_01709	Praq.g_00026
OG0000006	Prbi.g_00500	Praq.g_01105
OG0000006	Prbi.g_01787	Praq.g_00497
OG0000007	Prbi.g_01764, Prbi.g_01536	Praq.g_00071
OG0000007	Prbi.g_00675	Praq.g_00801
OG0000008	Prbi.g_00408	Praq.g_01159
OG0000008	Prbi.g_01331	Praq.g_00085
OG0000009	Prbi.g_00827	Praq.g_00649
OG0000009	Prbi.g_00273	Praq.g_01753
OG0000010	Prbi.g_01156	Praq.g_01283
OG0000010	Prbi.g_01352	Praq.g_00097
OG0000011	Prbi.g_00354	Praq.g_01672
OG0000012	Prbi.g_00600	Praq.g_01004
OG0000013	Prbi.g_01304, Prbi.g_00810	Praq.g_00065
OG0000014	Prbi.g_00472, Prbi.g_01374	Praq.g_00521
OG0000015	Prbi.g_00406	Praq.g_01161
OG0000016	Prbi.g_01435	Praq.g_00171
OG0000017	Prbi.g_01611	Praq.g_00314
OG0000018	Prbi.g_00265	Praq.g_01761
OG0000019	Prbi.g_00389, Prbi.g_01742	Praq.g_01179
OG0000020	Prbi.g_00398	Praq.g_01169
OG0000021	Prbi.g_00829	Praq.g_00651
OG0000022	Prbi.g_01373	Praq.g_00117
OG0000023	Prbi.g_01701, Prbi.g_01338	Praq.g_00017
OG0000024	Prbi.g_00330	Praq.g_01696
OG0000025	Prbi.g_01122	Praq.g_01654
OG0000026	Prbi.g_00033	Praq.g_01237
OG0000027	Prbi.g_00778	Praq.g_00610
OG0000027	Prbi.g_01677	Praq.g_00381
OG0000028	Prbi.g_01589, Prbi.g_01591	Praq.g_00294
OG0000029	Prbi.g_01702	Praq.g_00018
OG0000030	Prbi.g_00047, Prbi.g_01743	Praq.g_01242
OG0000032	Prbi.g_01467	Praq.g_00209
OG0000035	Prbi.g_00936	Praq.g_01475
OG0000036	Prbi.g_00587	Praq.g_01018
OG0000037	Prbi.g_00625	Praq.g_00979
OG0000038	Prbi.g_00805	Praq.g_00635
OG0000039	Prbi.g_00190	Praq.g_01836
OG0000040	Prbi.g_00384	Praq.g_01184
OG0000042	Prbi.g_00745	Praq.g_00583
OG0000043	Prbi.g_00832	Praq.g_00654
OG0000044	Prbi.g_01207	Praq.g_01333
OG0000045	Prbi.g_01461	Praq.g_00218
OG0000047	Prbi.g_01994	Praq.g_00763
OG0000048	Prbi.g_02001	Praq.g_00770
OG0000050	Prbi.g_00031	Praq.g_01234
OG0000051	Prbi.g_00181	Praq.g_01845
OG0000052	Prbi.g_00394	Praq.g_01173
OG0000053	Prbi.g_00542	Praq.g_01063
OG0000054	Prbi.g_00799	Praq.g_00629
OG0000055	Prbi.g_00869	Praq.g_01420
OG0000056	Prbi.g_01163	Praq.g_01289
OG0000057	Prbi.g_00261, Prbi.g_01748	Praq.g_01765
OG0000058	Prbi.g_00478	Praq.g_00526
OG0000059	Prbi.g_00702	Praq.g_00827
OG0000060	Prbi.g_00780	Praq.g_00612
OG0000061	Prbi.g_01172, Prbi.g_01029	Praq.g_01298
OG0000062	Prbi.g_01174	Praq.g_01300
OG0000063	Prbi.g_01330	Praq.g_00084
