Orthogroup	Prbi	Prai
OG0000000	Prbi.g_01432	Prai.g_01363
OG0000000	Prbi.g_00681	Prai.g_00707
OG0000001	Prbi.g_01268	Prai.g_00908
OG0000001	Prbi.g_01708	Prai.g_00908
OG0000001	Prbi.g_01268	Prai.g_01234
OG0000001	Prbi.g_01708	Prai.g_01234
OG0000001	Prbi.g_01268	Prai.g_01591
OG0000001	Prbi.g_01708	Prai.g_01591
OG0000001	Prbi.g_01268	Prai.g_01775
OG0000001	Prbi.g_01708	Prai.g_01775
OG0000002	Prbi.g_01424	Prai.g_01235, Prai.g_01356
OG0000002	Prbi.g_01270	Prai.g_01236
OG0000003	Prbi.g_01710	Prai.g_01596, Prai.g_01314
OG0000004	Prbi.g_00775	Prai.g_00441
OG0000004	Prbi.g_00782	Prai.g_01313
OG0000005	Prbi.g_01709	Prai.g_01592
OG0000006	Prbi.g_00500	Prai.g_00527
OG0000006	Prbi.g_01787	Prai.g_01638
OG0000007	Prbi.g_01764, Prbi.g_01536, Prbi.g_00675, Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Prai.g_00701
OG0000008	Prbi.g_00408	Prai.g_00394
OG0000008	Prbi.g_01331	Prai.g_00437
OG0000009	Prbi.g_00827	Prai.g_00867
OG0000009	Prbi.g_00273	Prai.g_00262
OG0000011	Prbi.g_00354	Prai.g_00343
OG0000012	Prbi.g_00600	Prai.g_00626
OG0000013	Prbi.g_01304, Prbi.g_00810	Prai.g_01243
OG0000014	Prbi.g_01374	Prai.g_00904
OG0000016	Prbi.g_01435	Prai.g_01366
OG0000017	Prbi.g_01611	Prai.g_01483
OG0000018	Prbi.g_00265	Prai.g_00252, Prai.g_00254
OG0000019	Prbi.g_00389, Prbi.g_01742	Prai.g_00378
OG0000022	Prbi.g_01373	Prai.g_00905, Prai.g_01772
OG0000023	Prbi.g_01338	Prai.g_01578
OG0000024	Prbi.g_00330	Prai.g_00319
OG0000025	Prbi.g_01122	Prai.g_01093
OG0000026	Prbi.g_00033	Prai.g_00033
OG0000027	Prbi.g_01677	Prai.g_01266
OG0000028	Prbi.g_01589	Prai.g_01463
OG0000029	Prbi.g_01702	Prai.g_01579
OG0000031	Prbi.g_01281	Prai.g_01263
OG0000033	Prbi.g_00013	Prai.g_00013, Prai.g_01573
OG0000034	Prbi.g_01478	Prai.g_00154
OG0000035	Prbi.g_00936	Prai.g_01059
OG0000036	Prbi.g_00587	Prai.g_00613
OG0000037	Prbi.g_00625	Prai.g_00652
OG0000038	Prbi.g_00805	Prai.g_00885
OG0000039	Prbi.g_00190	Prai.g_00177
OG0000040	Prbi.g_00384	Prai.g_00373
OG0000042	Prbi.g_00745	Prai.g_00748
OG0000043	Prbi.g_00832	Prai.g_00862
OG0000046	Prbi.g_01780	Prai.g_01631
OG0000047	Prbi.g_01994	Prai.g_01838
OG0000048	Prbi.g_02001	Prai.g_01845
OG0000050	Prbi.g_00031	Prai.g_00031
OG0000051	Prbi.g_00181	Prai.g_00168
OG0000052	Prbi.g_00394	Prai.g_00383
OG0000053	Prbi.g_00542	Prai.g_00567
OG0000054	Prbi.g_00799	Prai.g_00909
OG0000055	Prbi.g_00869	Prai.g_00825
OG0000056	Prbi.g_01163	Prai.g_01132
OG0000057	Prbi.g_00261, Prbi.g_01748	Prai.g_00248
OG0000058	Prbi.g_00478	Prai.g_00505
OG0000059	Prbi.g_00702	Prai.g_00727
OG0000060	Prbi.g_00780	Prai.g_00431
OG0000061	Prbi.g_01029	Prai.g_00969
OG0000062	Prbi.g_01174	Prai.g_01143
OG0000063	Prbi.g_01330	Prai.g_01273
OG0000064	Prbi.g_01740	Prai.g_01594
OG0000065	Prbi.g_01391	Prai.g_01335
OG0000066	Prbi.g_01460	Prai.g_01443
OG0000068	Prbi.g_01938	Prai.g_01782
OG0000071	Prbi.g_00011	Prai.g_00011
OG0000072	Prbi.g_00346	Prai.g_00335
OG0000073	Prbi.g_00672	Prai.g_00698
OG0000074	Prbi.g_00694	Prai.g_00720
OG0000075	Prbi.g_00854	Prai.g_00840, Prai.g_00841
OG0000076	Prbi.g_01086	Prai.g_00918
OG0000078	Prbi.g_01462	Prai.g_01393
OG0000079	Prbi.g_01668	Prai.g_01540
OG0000080	Prbi.g_01725	Prai.g_01270
OG0000081	Prbi.g_01968	Prai.g_01812
OG0000082	Prbi.g_02069	Prai.g_01901
OG0000083	Prbi.g_00003	Prai.g_00003
OG0000084	Prbi.g_00006	Prai.g_00006
OG0000085	Prbi.g_00023	Prai.g_00023
OG0000087	Prbi.g_00060	Prai.g_00056
OG0000088	Prbi.g_00120	Prai.g_00113
OG0000089	Prbi.g_00129	Prai.g_00121
OG0000090	Prbi.g_00147	Prai.g_00139
OG0000091	Prbi.g_00193	Prai.g_00180
OG0000092	Prbi.g_00194	Prai.g_00181
OG0000093	Prbi.g_00208	Prai.g_00195
OG0000094	Prbi.g_00226	Prai.g_00213
