Orthogroup	Prbb	Prbd
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Prbd.g_01914
OG0000000	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbd.g_01568
OG0000000	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787	Prbd.g_01569, Prbd.g_00528
OG0000001	Prbb.g_00844	Prbd.g_01771
OG0000001	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544	Prbd.g_00566
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Prbd.g_01930
OG0000002	Prbb.g_01611	Prbd.g_01779
OG0000004	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Prbd.g_01835, Prbd.g_01567
OG0000005	Prbb.g_00425, Prbb.g_00748	Prbd.g_00038
OG0000006	Prbb.g_01294	Prbd.g_01870, Prbd.g_01840, Prbd.g_00053, Prbd.g_00409
OG0000008	Prbb.g_00501	Prbd.g_00745
OG0000008	Prbb.g_01823	Prbd.g_01525
OG0000010	Prbb.g_00757, Prbb.g_00761	Prbd.g_00082
OG0000011	Prbb.g_01800	Prbd.g_00052
OG0000012	Prbb.g_00325	Prbd.g_00439
OG0000015	Prbb.g_00386	Prbd.g_00909
OG0000016	Prbb.g_01158	Prbd.g_00065, Prbd.g_00826
OG0000017	Prbb.g_01375	Prbd.g_01832, Prbd.g_00772
OG0000018	Prbb.g_00598	Prbd.g_00646
OG0000019	Prbb.g_01189	Prbd.g_00856
OG0000020	Prbb.g_01632	Prbd.g_01768
OG0000021	Prbb.g_01705	Prbd.g_01669
OG0000022	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299	Prbd.g_00998
OG0000023	Prbb.g_00099	Prbd.g_01546, Prbd.g_00874
OG0000024	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192	Prbd.g_01860
OG0000025	Prbb.g_01175, Prbb.g_00680	Prbd.g_00045
OG0000026	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400	Prbd.g_01833
OG0000029	Prbb.g_00747, Prbb.g_01897	Prbd.g_00083
OG0000030	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362	Prbd.g_00084
OG0000031	Prbb.g_02069	Prbd.g_01328
OG0000032	Prbb.g_01921	Prbd.g_01204
OG0000033	Prbb.g_01114, Prbb.g_01127	Prbd.g_01601, Prbd.g_00034
OG0000034	Prbb.g_01686	Prbd.g_01689
OG0000035	Prbb.g_01324, Prbb.g_01729	Prbd.g_01575
OG0000036	Prbb.g_01071	Prbd.g_00406
OG0000037	Prbb.g_01391	Prbd.g_01544
OG0000040	Prbb.g_01229	Prbd.g_01859
OG0000040	Prbb.g_01368	Prbd.g_00836
OG0000041	Prbb.g_01111	Prbd.g_00621
OG0000043	Prbb.g_01449	Prbd.g_00192
OG0000045	Prbb.g_01882	Prbd.g_00658
OG0000046	Prbb.g_01231	Prbd.g_00061
OG0000047	Prbb.g_01517	Prbd.g_00468
OG0000049	Prbb.g_00851	Prbd.g_01733
OG0000050	Prbb.g_00223	Prbd.g_01074
OG0000051	Prbb.g_01373, Prbb.g_01411	Prbd.g_00879
OG0000053	Prbb.g_00713	Prbd.g_00007
OG0000054	Prbb.g_01816	Prbd.g_01532
OG0000055	Prbb.g_02061	Prbd.g_01335
OG0000056	Prbb.g_00032	Prbd.g_01206
OG0000057	Prbb.g_00214	Prbd.g_01083
OG0000058	Prbb.g_01197, Prbb.g_01329	Prbd.g_00868
OG0000059	Prbb.g_00542	Prbd.g_00703
OG0000062	Prbb.g_00807, Prbb.g_01218	Prbd.g_00124
OG0000065	Prbb.g_00294	Prbd.g_01002, Prbd.g_01537
OG0000066	Prbb.g_00478	Prbd.g_00767
OG0000067	Prbb.g_01359, Prbb.g_00706	Prbd.g_00546
OG0000069	Prbb.g_01627	Prbd.g_00425, Prbd.g_00284
OG0000070	Prbb.g_01070	Prbd.g_00340
OG0000071	Prbb.g_01399	Prbd.g_01895
OG0000072	Prbb.g_01586	Prbd.g_01801
OG0000073	Prbb.g_01270, Prbb.g_01432	Prbd.g_01784
OG0000074	Prbb.g_00678	Prbd.g_01737
OG0000075	Prbb.g_02001	Prbd.g_01391
OG0000077	Prbb.g_00012	Prbd.g_01226
OG0000078	Prbb.g_00373	Prbd.g_00917
OG0000079	Prbb.g_01326	Prbd.g_00855
OG0000080	Prbb.g_00673	Prbd.g_00575
OG0000081	Prbb.g_00697, Prbb.g_00698	Prbd.g_00553
OG0000082	Prbb.g_00790	Prbd.g_00109
OG0000083	Prbb.g_00909, Prbb.g_01198	Prbd.g_00174
OG0000084	Prbb.g_00991	Prbd.g_00264
OG0000085	Prbb.g_01238	Prbd.g_00389
OG0000086	Prbb.g_01887	Prbd.g_00427
OG0000087	Prbb.g_01320, Prbb.g_01245, Prbb.g_01122, Prbb.g_01786, Prbb.g_00430, Prbb.g_01355, Prbb.g_01402	Prbd.g_01913
OG0000088	Prbb.g_01306	Prbd.g_01889
OG0000090	Prbb.g_00388	Prbd.g_01734
OG0000091	Prbb.g_01694	Prbd.g_01681
OG0000092	Prbb.g_01208	Prbd.g_01561
OG0000093	Prbb.g_01946	Prbd.g_01439
OG0000094	Prbb.g_01997	Prbd.g_01394
OG0000095	Prbb.g_02034	Prbd.g_01361
OG0000096	Prbb.g_02123	Prbd.g_01289
OG0000098	Prbb.g_00003	Prbd.g_01234
OG0000099	Prbb.g_00024	Prbd.g_01214
OG0000101	Prbb.g_00064	Prbd.g_01188
OG0000102	Prbb.g_00170	Prbd.g_01131
OG0000103	Prbb.g_00179	Prbd.g_01122
OG0000104	Prbb.g_00196	Prbd.g_01103, Prbd.g_01104
OG0000105	Prbb.g_00227	Prbd.g_01070
OG0000106	Prbb.g_00240	Prbd.g_01056
OG0000107	Prbb.g_00249	Prbd.g_01048
OG0000108	Prbb.g_00259	Prbd.g_01038
OG0000109	Prbb.g_00041, Prbb.g_00297	Prbd.g_01000
OG0000110	Prbb.g_00307	Prbd.g_00988
OG0000111	Prbb.g_00327	Prbd.g_00965
OG0000113	Prbb.g_00348	Prbd.g_00942
OG0000114	Prbb.g_00376	Prbd.g_00914
OG0000115	Prbb.g_00477	Prbd.g_00768
OG0000116	Prbb.g_00479	Prbd.g_00766
OG0000117	Prbb.g_00484, Prbb.g_00485	Prbd.g_00762
OG0000118	Prbb.g_00503	Prbd.g_00743
OG0000119	Prbb.g_00535	Prbd.g_00710
OG0000120	Prbb.g_00536	Prbd.g_00709
OG0000121	Prbb.g_00546	Prbd.g_00699
OG0000122	Prbb.g_00556	Prbd.g_00690
OG0000123	Prbb.g_00586	Prbd.g_00659
OG0000124	Prbb.g_00652	Prbd.g_00593
OG0000125	Prbb.g_00653	Prbd.g_00592
OG0000126	Prbb.g_00654	Prbd.g_00591
OG0000127	Prbb.g_00692	Prbd.g_00558
OG0000128	Prbb.g_00715	Prbd.g_00009
OG0000129	Prbb.g_00737	Prbd.g_00029
OG0000130	Prbb.g_00954	Prbd.g_00087
OG0000131	Prbb.g_00781	Prbd.g_00100
OG0000132	Prbb.g_00817	Prbd.g_00136
OG0000133	Prbb.g_00950	Prbd.g_00222
OG0000134	Prbb.g_00768	Prbd.g_00232
OG0000135	Prbb.g_00995	Prbd.g_00268
OG0000136	Prbb.g_01067	Prbd.g_00337
OG0000137	Prbb.g_01890	Prbd.g_00430
OG0000138	Prbb.g_01523	Prbd.g_00463
OG0000139	Prbb.g_01510	Prbd.g_00474
OG0000140	Prbb.g_01456	Prbd.g_00525
OG0000141	Prbb.g_01060	Prbd.g_01921
OG0000142	Prbb.g_01598	Prbd.g_01789
OG0000143	Prbb.g_01639	Prbd.g_01764
OG0000144	Prbb.g_01673	Prbd.g_01702
OG0000145	Prbb.g_01687	Prbd.g_01688
OG0000146	Prbb.g_01721	Prbd.g_01652
OG0000147	Prbb.g_01767	Prbd.g_01611
OG0000148	Prbb.g_01768	Prbd.g_01610
OG0000149	Prbb.g_01821	Prbd.g_01527
OG0000150	Prbb.g_01858	Prbd.g_01489
OG0000151	Prbb.g_01860	Prbd.g_01486
OG0000152	Prbb.g_01880	Prbd.g_01466
OG0000153	Prbb.g_01959	Prbd.g_01432
OG0000154	Prbb.g_01995	Prbd.g_01396
OG0000155	Prbb.g_02014	Prbd.g_01378
OG0000156	Prbb.g_02046	Prbd.g_01350
OG0000157	Prbb.g_02082	Prbd.g_01317
OG0000158	Prbb.g_02168	Prbd.g_01255
OG0000160	Prbb.g_00001	Prbd.g_01236
OG0000161	Prbb.g_00002	Prbd.g_01235
OG0000162	Prbb.g_00004	Prbd.g_01233
OG0000163	Prbb.g_00005	Prbd.g_01232
OG0000164	Prbb.g_00007	Prbd.g_01231
OG0000165	Prbb.g_00008	Prbd.g_01230
OG0000166	Prbb.g_00009	Prbd.g_01229
OG0000167	Prbb.g_00010	Prbd.g_01228
OG0000168	Prbb.g_00011	Prbd.g_01227
OG0000169	Prbb.g_00013	Prbd.g_01225
OG0000170	Prbb.g_00015	Prbd.g_01223
OG0000171	Prbb.g_00016	Prbd.g_01222
OG0000172	Prbb.g_00017	Prbd.g_01221
OG0000173	Prbb.g_00018	Prbd.g_01220
OG0000174	Prbb.g_00019	Prbd.g_01219
OG0000175	Prbb.g_00020	Prbd.g_01218
OG0000176	Prbb.g_00021	Prbd.g_01217
OG0000177	Prbb.g_00022	Prbd.g_01216
OG0000178	Prbb.g_00023	Prbd.g_01215
OG0000179	Prbb.g_00025	Prbd.g_01213
OG0000180	Prbb.g_00026	Prbd.g_01212
OG0000181	Prbb.g_00027	Prbd.g_01211
OG0000182	Prbb.g_00028	Prbd.g_01210
OG0000183	Prbb.g_00029	Prbd.g_01209
OG0000184	Prbb.g_00030	Prbd.g_01208
OG0000185	Prbb.g_00033	Prbd.g_01205
OG0000186	Prbb.g_00035	Prbd.g_01202
OG0000187	Prbb.g_00036	Prbd.g_01201
OG0000188	Prbb.g_00037	Prbd.g_01200
OG0000189	Prbb.g_00055	Prbd.g_01198
OG0000190	Prbb.g_00057	Prbd.g_01196
OG0000191	Prbb.g_00058	Prbd.g_01195
OG0000192	Prbb.g_00059	Prbd.g_01194
OG0000193	Prbb.g_00060	Prbd.g_01192
OG0000194	Prbb.g_00061	Prbd.g_01191
OG0000195	Prbb.g_00062	Prbd.g_01190
OG0000196	Prbb.g_00063	Prbd.g_01189
OG0000197	Prbb.g_00065	Prbd.g_01187
OG0000198	Prbb.g_00066	Prbd.g_01186
OG0000199	Prbb.g_00067	Prbd.g_01185
OG0000200	Prbb.g_00119	Prbd.g_01180
OG0000201	Prbb.g_00120	Prbd.g_01179
OG0000202	Prbb.g_00121	Prbd.g_01178
OG0000203	Prbb.g_00124	Prbd.g_01175
OG0000204	Prbb.g_00125	Prbd.g_01174
OG0000205	Prbb.g_00128	Prbd.g_01171
OG0000206	Prbb.g_00130	Prbd.g_01169
OG0000207	Prbb.g_00132	Prbd.g_01167
OG0000208	Prbb.g_00133	Prbd.g_01166
OG0000209	Prbb.g_00134	Prbd.g_01165
OG0000210	Prbb.g_00135	Prbd.g_01164
OG0000211	Prbb.g_00136	Prbd.g_01163
OG0000212	Prbb.g_00137	Prbd.g_01162
OG0000213	Prbb.g_00138	Prbd.g_01161
OG0000214	Prbb.g_00139	Prbd.g_01160
OG0000215	Prbb.g_00140	Prbd.g_01159
OG0000216	Prbb.g_00141	Prbd.g_01158
OG0000217	Prbb.g_00143	Prbd.g_01156
OG0000218	Prbb.g_00144	Prbd.g_01155
OG0000219	Prbb.g_00145	Prbd.g_01154
OG0000220	Prbb.g_00146	Prbd.g_01153
OG0000221	Prbb.g_00149	Prbd.g_01150
OG0000222	Prbb.g_00150	Prbd.g_01149
OG0000223	Prbb.g_00151	Prbd.g_01148
OG0000224	Prbb.g_00152	Prbd.g_01147
OG0000225	Prbb.g_00153	Prbd.g_01146
OG0000226	Prbb.g_00154	Prbd.g_01145
OG0000227	Prbb.g_00156	Prbd.g_01144
OG0000228	Prbb.g_00157	Prbd.g_01143
OG0000229	Prbb.g_00158	Prbd.g_01142
OG0000230	Prbb.g_00159	Prbd.g_01141
OG0000231	Prbb.g_00160	Prbd.g_01140
OG0000232	Prbb.g_00161	Prbd.g_01138
OG0000233	Prbb.g_00162	Prbd.g_01137
OG0000234	Prbb.g_00163	Prbd.g_01136
OG0000235	Prbb.g_00164	Prbd.g_01135
OG0000236	Prbb.g_00167	Prbd.g_01134
OG0000237	Prbb.g_00168	Prbd.g_01133
OG0000238	Prbb.g_00169	Prbd.g_01132
OG0000239	Prbb.g_00171	Prbd.g_01130
OG0000240	Prbb.g_00173	Prbd.g_01128
OG0000241	Prbb.g_00174	Prbd.g_01127
OG0000242	Prbb.g_00175	Prbd.g_01126
OG0000243	Prbb.g_00177	Prbd.g_01123
OG0000244	Prbb.g_00180	Prbd.g_01121
OG0000245	Prbb.g_00181	Prbd.g_01120
OG0000246	Prbb.g_00182	Prbd.g_01119
OG0000247	Prbb.g_00185	Prbd.g_01116
OG0000248	Prbb.g_00187	Prbd.g_01114
OG0000249	Prbb.g_00189	Prbd.g_01113
OG0000250	Prbb.g_00190	Prbd.g_01112
OG0000251	Prbb.g_00191	Prbd.g_01111
OG0000252	Prbb.g_00192	Prbd.g_01110
OG0000253	Prbb.g_00193	Prbd.g_01109
OG0000254	Prbb.g_01101	Prbd.g_01107
OG0000255	Prbb.g_00194	Prbd.g_01106
OG0000256	Prbb.g_00197	Prbd.g_01102
OG0000257	Prbb.g_00200	Prbd.g_01100
OG0000258	Prbb.g_00202	Prbd.g_01095
OG0000259	Prbb.g_00203	Prbd.g_01094
OG0000260	Prbb.g_00204	Prbd.g_01093
OG0000261	Prbb.g_00205	Prbd.g_01092
OG0000262	Prbb.g_00206	Prbd.g_01091
OG0000263	Prbb.g_00208	Prbd.g_01089
OG0000264	Prbb.g_00209	Prbd.g_01088
OG0000265	Prbb.g_00210	Prbd.g_01087
OG0000266	Prbb.g_00211	Prbd.g_01086
OG0000267	Prbb.g_00212	Prbd.g_01085
OG0000268	Prbb.g_00213	Prbd.g_01084
OG0000269	Prbb.g_00215	Prbd.g_01082
OG0000270	Prbb.g_00216	Prbd.g_01081
OG0000271	Prbb.g_00217	Prbd.g_01080
OG0000272	Prbb.g_00218	Prbd.g_01079
OG0000273	Prbb.g_00219	Prbd.g_01078
OG0000274	Prbb.g_00220	Prbd.g_01077
OG0000275	Prbb.g_00221	Prbd.g_01076
OG0000276	Prbb.g_00222	Prbd.g_01075
OG0000277	Prbb.g_00224	Prbd.g_01073
OG0000278	Prbb.g_00225	Prbd.g_01072
OG0000279	Prbb.g_00226	Prbd.g_01071
OG0000280	Prbb.g_00228	Prbd.g_01069
