Orthogroup	Prbb	Praf
OG0000000	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Praf.g_00813
OG0000000	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787, Prbb.g_00103, Prbb.g_01313	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000001	Prbb.g_00844	Praf.g_01631
OG0000001	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544	Praf.g_00948
OG0000002	Prbb.g_01611	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000003	Prbb.g_01629	Praf.g_01900
OG0000003	Prbb.g_00047	Praf.g_00278
OG0000003	Prbb.g_00077	Praf.g_01873
OG0000003	Prbb.g_01563	Praf.g_00285
OG0000004	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Praf.g_00814
OG0000005	Prbb.g_00425, Prbb.g_00748	Praf.g_01014, Praf.g_02005
OG0000008	Prbb.g_00501	Praf.g_00614
OG0000008	Prbb.g_01823	Praf.g_00480
OG0000009	Prbb.g_00078	Praf.g_02084
OG0000010	Prbb.g_00757, Prbb.g_00761	Praf.g_02214
OG0000011	Prbb.g_01800	Praf.g_02091
OG0000012	Prbb.g_00325	Praf.g_02267
OG0000014	Prbb.g_00357	Praf.g_02319
OG0000015	Prbb.g_00421	Praf.g_01898
OG0000015	Prbb.g_00386	Praf.g_01864
OG0000016	Prbb.g_01158	Praf.g_01033, Praf.g_01618, Praf.g_01030
OG0000018	Prbb.g_00598	Praf.g_00752
OG0000020	Prbb.g_01632	Praf.g_01108, Praf.g_01143
OG0000021	Prbb.g_01705	Praf.g_01828
OG0000022	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299	Praf.g_01719, Praf.g_00396
OG0000023	Prbb.g_00099	Praf.g_00746
OG0000024	Prbb.g_01207	Praf.g_01082
OG0000025	Prbb.g_01175, Prbb.g_00680	Praf.g_01139
OG0000027	Prbb.g_01885	Praf.g_01224
OG0000028	Prbb.g_01884	Praf.g_01223
OG0000029	Prbb.g_01897	Praf.g_01257
OG0000031	Prbb.g_02069	Praf.g_00920, Praf.g_00164, Praf.g_02721
OG0000032	Prbb.g_01921	Praf.g_00041
OG0000034	Prbb.g_01686	Praf.g_01794
OG0000037	Prbb.g_01383, Prbb.g_01391	Praf.g_01022
OG0000038	Prbb.g_00387	Praf.g_00101, Praf.g_00113
OG0000039	Prbb.g_01919	Praf.g_00906
OG0000040	Prbb.g_01229, Prbb.g_01368	Praf.g_01188, Praf.g_01190
OG0000041	Prbb.g_01111	Praf.g_01668
OG0000042	Prbb.g_02131	Praf.g_02664
OG0000045	Prbb.g_01882	Praf.g_00731
OG0000046	Prbb.g_01231	Praf.g_00965, Praf.g_00201
OG0000047	Prbb.g_01517	Praf.g_00854
OG0000048	Prbb.g_00112	Praf.g_02366
OG0000049	Prbb.g_00851	Praf.g_02345
OG0000050	Prbb.g_00223	Praf.g_01239, Praf.g_02454
OG0000053	Prbb.g_00713	Praf.g_01238, Praf.g_01302
OG0000054	Prbb.g_01816	Praf.g_00491
OG0000055	Prbb.g_02061	Praf.g_00178
OG0000056	Prbb.g_00032	Praf.g_00037
OG0000057	Prbb.g_00214	Praf.g_02445
OG0000058	Prbb.g_01197, Prbb.g_01329	Praf.g_00496
OG0000059	Prbb.g_00542	Praf.g_00672
OG0000060	Prbb.g_00726	Praf.g_01316
OG0000061	Prbb.g_00053	Praf.g_00348
OG0000062	Prbb.g_00807, Prbb.g_01218	Praf.g_01556
OG0000063	Prbb.g_00054	Praf.g_02587
OG0000065	Prbb.g_00294	Praf.g_00386
OG0000066	Prbb.g_00478	Praf.g_01907
OG0000067	Prbb.g_01359, Prbb.g_00706	Praf.g_01125
OG0000070	Prbb.g_01070	Praf.g_01274
OG0000071	Prbb.g_01399	Praf.g_00919
OG0000072	Prbb.g_01586	Praf.g_00796
OG0000074	Prbb.g_00678	Praf.g_02343
OG0000075	Prbb.g_02001	Praf.g_02119
OG0000076	Prbb.g_01723	Praf.g_01851
OG0000077	Prbb.g_00012	Praf.g_00012
OG0000078	Prbb.g_00373	Praf.g_02336
OG0000079	Prbb.g_01326	Praf.g_02705
OG0000080	Prbb.g_00673	Praf.g_01012, Praf.g_01748
OG0000081	Prbb.g_00697, Prbb.g_00698	Praf.g_01219, Praf.g_01218
OG0000082	Prbb.g_00790	Praf.g_01537
OG0000084	Prbb.g_00991	Praf.g_01392
OG0000085	Prbb.g_01238	Praf.g_02776
OG0000086	Prbb.g_01887	Praf.g_02690
