Orthogroup	Prbb	Prbg
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbg.g_01567
OG0000000	Prbb.g_01123	Prbg.g_01568, Prbg.g_01523
OG0000001	Prbb.g_00844	Prbg.g_01222
OG0000001	Prbb.g_00683	Prbg.g_01119
OG0000001	Prbb.g_01549	Prbg.g_00694
OG0000001	Prbb.g_01546	Prbg.g_01516
OG0000001	Prbb.g_01545	Prbg.g_00523, Prbg.g_01514
OG0000001	Prbb.g_01550, Prbb.g_01544	Prbg.g_01521
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Prbg.g_01069
OG0000002	Prbb.g_01611	Prbg.g_00502
OG0000004	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Prbg.g_01524
OG0000005	Prbb.g_00425, Prbb.g_00748	Prbg.g_00451
OG0000006	Prbb.g_01294	Prbg.g_00032
OG0000008	Prbb.g_00501	Prbg.g_00216
OG0000008	Prbb.g_01823	Prbg.g_01650
OG0000010	Prbb.g_00757, Prbb.g_00761	Prbg.g_01510
OG0000011	Prbb.g_01800	Prbg.g_01581, Prbg.g_00734
OG0000012	Prbb.g_00325	Prbg.g_00464
OG0000014	Prbb.g_00357	Prbg.g_00086
OG0000015	Prbb.g_00421	Prbg.g_00143
OG0000016	Prbb.g_01158	Prbg.g_01589, Prbg.g_01635
OG0000017	Prbb.g_01375	Prbg.g_01569, Prbg.g_00721
OG0000018	Prbb.g_00598	Prbg.g_00317
OG0000020	Prbb.g_01632	Prbg.g_01540, Prbg.g_00688
OG0000021	Prbb.g_01705	Prbg.g_00612, Prbg.g_01595
OG0000022	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299	Prbg.g_01024
OG0000023	Prbb.g_00099	Prbg.g_01145
OG0000024	Prbb.g_01207	Prbg.g_00722
OG0000024	Prbb.g_01182, Prbb.g_01192	Prbg.g_01532
OG0000025	Prbb.g_00680	Prbg.g_01352, Prbg.g_01116
OG0000027	Prbb.g_01885	Prbg.g_00745
OG0000028	Prbb.g_01884	Prbg.g_00744
OG0000029	Prbb.g_00747	Prbg.g_01535
OG0000029	Prbb.g_01897	Prbg.g_01624
OG0000030	Prbb.g_01096, Prbb.g_01362	Prbg.g_01632
OG0000031	Prbb.g_02069	Prbg.g_01855
OG0000032	Prbb.g_01921	Prbg.g_00730
OG0000034	Prbb.g_01686	Prbg.g_00591
OG0000035	Prbb.g_01324, Prbb.g_01729	Prbg.g_00174
OG0000036	Prbb.g_01071	Prbg.g_00698
OG0000037	Prbb.g_01383	Prbg.g_00408
OG0000038	Prbb.g_00387	Prbg.g_00550
OG0000039	Prbb.g_01919	Prbg.g_01544
OG0000041	Prbb.g_01111	Prbg.g_00706
OG0000042	Prbb.g_02131	Prbg.g_01900
OG0000043	Prbb.g_01449	Prbg.g_00025
OG0000045	Prbb.g_01882	Prbg.g_01639
OG0000046	Prbb.g_01231	Prbg.g_00682
OG0000047	Prbb.g_01517	Prbg.g_01486
OG0000048	Prbb.g_00112	Prbg.g_00816
OG0000049	Prbb.g_00851	Prbg.g_00551
OG0000050	Prbb.g_00223	Prbg.g_00944
OG0000051	Prbb.g_01373, Prbb.g_01411	Prbg.g_00013
OG0000052	Prbb.g_01286	Prbg.g_01608, Prbg.g_01614
OG0000053	Prbb.g_00713	Prbg.g_01151
OG0000054	Prbb.g_01816	Prbg.g_00716, Prbg.g_01642
OG0000055	Prbb.g_02061	Prbg.g_01847
OG0000056	Prbb.g_00032	Prbg.g_00842
OG0000057	Prbb.g_00214	Prbg.g_00935
OG0000058	Prbb.g_01197, Prbb.g_01329	Prbg.g_00388
OG0000059	Prbb.g_00542	Prbg.g_00256
OG0000060	Prbb.g_00726	Prbg.g_01364
OG0000061	Prbb.g_00053	Prbg.g_00359
OG0000062	Prbb.g_00807, Prbb.g_01218	Prbg.g_01182
OG0000063	Prbb.g_00054	Prbg.g_01542
OG0000065	Prbb.g_00294	Prbg.g_01019
OG0000066	Prbb.g_00478	Prbg.g_00194
OG0000067	Prbb.g_01359, Prbb.g_00706	Prbg.g_01143
OG0000070	Prbb.g_01070	Prbg.g_01234
OG0000071	Prbb.g_01399	Prbg.g_01459
OG0000072	Prbb.g_01586	Prbg.g_00477
OG0000073	Prbb.g_01187	Prbg.g_01610
OG0000073	Prbb.g_01270, Prbb.g_01432	Prbg.g_00719
OG0000074	Prbb.g_00678	Prbg.g_00549
OG0000075	Prbb.g_02001	Prbg.g_01785
OG0000076	Prbb.g_01723	Prbg.g_00630
OG0000077	Prbb.g_00012	Prbg.g_00778
OG0000078	Prbb.g_00373	Prbg.g_00100
OG0000079	Prbb.g_01326	Prbg.g_00459
OG0000080	Prbb.g_00673	Prbg.g_01386
OG0000081	Prbb.g_00697, Prbb.g_00698	Prbg.g_01133
OG0000082	Prbb.g_00790	Prbg.g_01166
