Orthogroup	Prbb	Pram
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Pram.g_01511
OG0000000	Prbb.g_01145	Pram.g_01556
OG0000000	Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787	Pram.g_01512
OG0000001	Prbb.g_00844	Pram.g_00873
OG0000001	Prbb.g_00683	Pram.g_00768
OG0000001	Prbb.g_01549	Pram.g_01278
OG0000001	Prbb.g_01546	Pram.g_01170
OG0000001	Prbb.g_01545	Pram.g_01471, Pram.g_01168
OG0000001	Prbb.g_01550, Prbb.g_01544	Pram.g_01174
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Pram.g_00719
OG0000002	Prbb.g_01611	Pram.g_01953, Pram.g_01954
OG0000004	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Pram.g_01513, Pram.g_01176
OG0000005	Prbb.g_00425, Prbb.g_00748	Pram.g_01207
OG0000006	Prbb.g_01294	Pram.g_01505, Pram.g_00621
OG0000008	Prbb.g_00501	Pram.g_00433
OG0000008	Prbb.g_01823	Pram.g_01632
OG0000010	Prbb.g_00757, Prbb.g_00761	Pram.g_01164
OG0000011	Prbb.g_01800	Pram.g_01529
OG0000014	Prbb.g_00357	Pram.g_00295
OG0000015	Prbb.g_00421	Pram.g_00359
OG0000016	Prbb.g_01158	Pram.g_01545, Pram.g_00696
OG0000018	Prbb.g_00598	Pram.g_00535
OG0000019	Prbb.g_01189	Pram.g_00618
OG0000020	Prbb.g_01632	Pram.g_01283
OG0000021	Prbb.g_01705	Pram.g_01357, Pram.g_01580
OG0000022	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299	Pram.g_00229
OG0000023	Prbb.g_00099	Pram.g_00794
OG0000024	Prbb.g_01207	Pram.g_00629
OG0000024	Prbb.g_01182, Prbb.g_01192	Pram.g_01186
OG0000025	Prbb.g_00680	Pram.g_01004, Pram.g_00765
OG0000026	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400	Pram.g_01561
OG0000027	Prbb.g_01885	Pram.g_01262
OG0000028	Prbb.g_01884	Pram.g_01263
OG0000029	Prbb.g_00747	Pram.g_01189
OG0000029	Prbb.g_01897	Pram.g_01617
OG0000030	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019	Pram.g_01544
OG0000030	Prbb.g_01096, Prbb.g_01362	Pram.g_00644
OG0000031	Prbb.g_02069	Pram.g_01841
OG0000032	Prbb.g_01921	Pram.g_01258
OG0000034	Prbb.g_01686	Pram.g_01381, Pram.g_01378
OG0000035	Prbb.g_01324, Prbb.g_01729	Pram.g_00391
OG0000036	Prbb.g_01071	Pram.g_01275
OG0000038	Prbb.g_00387	Pram.g_01413
OG0000039	Prbb.g_01919	Pram.g_01193
OG0000042	Prbb.g_02131	Pram.g_01886
OG0000043	Prbb.g_01449	Pram.g_00681
OG0000045	Prbb.g_01882	Pram.g_01559
OG0000046	Prbb.g_01231	Pram.g_01287
OG0000047	Prbb.g_01517	Pram.g_01140
OG0000048	Prbb.g_00112	Pram.g_00040
OG0000049	Prbb.g_00851	Pram.g_01447
OG0000050	Prbb.g_00223	Pram.g_00151
OG0000051	Prbb.g_01373, Prbb.g_01411	Pram.g_00689
OG0000052	Prbb.g_01286	Pram.g_01587
OG0000053	Prbb.g_00713	Pram.g_00801
OG0000054	Prbb.g_01816	Pram.g_01265
OG0000055	Prbb.g_02061	Pram.g_01833
OG0000056	Prbb.g_00032	Pram.g_00018
OG0000057	Prbb.g_00214	Pram.g_00142
OG0000058	Prbb.g_01197, Prbb.g_01329	Pram.g_00677
OG0000059	Prbb.g_00542	Pram.g_01558
OG0000060	Prbb.g_00726	Pram.g_01017
OG0000061	Prbb.g_00053	Pram.g_01517
OG0000062	Prbb.g_00807, Prbb.g_01218	Pram.g_00832
OG0000063	Prbb.g_00054	Pram.g_01191
OG0000065	Prbb.g_00294	Pram.g_00224
OG0000066	Prbb.g_00478	Pram.g_00411
OG0000067	Prbb.g_01359, Prbb.g_00706	Pram.g_00792
OG0000068	Prbb.g_01212	Pram.g_00631
OG0000070	Prbb.g_01070	Pram.g_00888
OG0000071	Prbb.g_01399	Pram.g_01112
OG0000072	Prbb.g_01586	Pram.g_01230
OG0000074	Prbb.g_00678	Pram.g_01446
OG0000075	Prbb.g_02001	Pram.g_01770
OG0000076	Prbb.g_01723	Pram.g_01339
OG0000077	Prbb.g_00012	Pram.g_01949
OG0000078	Prbb.g_00373	Pram.g_00310
OG0000079	Prbb.g_01326	Pram.g_01589
OG0000080	Prbb.g_00673	Pram.g_01039
OG0000081	Prbb.g_00697, Prbb.g_00698	Pram.g_00782
OG0000082	Prbb.g_00790	Pram.g_00816
OG0000083	Prbb.g_00909, Prbb.g_01198	Pram.g_01161
OG0000084	Prbb.g_00991	Pram.g_00943
OG0000085	Prbb.g_01238	Pram.g_01185
OG0000086	Prbb.g_01887	Pram.g_01546
OG0000087	Prbb.g_01320, Prbb.g_01245, Prbb.g_01122, Prbb.g_01786, Prbb.g_00430, Prbb.g_01355, Prbb.g_01402	Pram.g_01510
OG0000090	Prbb.g_00388	Pram.g_01445
OG0000091	Prbb.g_01694	Pram.g_01370
OG0000092	Prbb.g_01208	Pram.g_01554
OG0000093	Prbb.g_01946	Pram.g_01719
OG0000094	Prbb.g_01997	Pram.g_01766
OG0000095	Prbb.g_02034	Pram.g_01805
OG0000096	Prbb.g_02123	Pram.g_01878
OG0000097	Prbb.g_02143	Pram.g_01898
OG0000098	Prbb.g_00003	Pram.g_01941
OG0000099	Prbb.g_00024	Pram.g_00010
OG0000100	Prbb.g_01195	Pram.g_01588
OG0000101	Prbb.g_00064	Pram.g_00036
OG0000102	Prbb.g_00170	Pram.g_00099
OG0000103	Prbb.g_00179	Pram.g_00108
OG0000104	Prbb.g_00196	Pram.g_00125
OG0000105	Prbb.g_00227	Pram.g_00155
OG0000106	Prbb.g_00240	Pram.g_00168
OG0000107	Prbb.g_00249	Pram.g_00177
OG0000108	Prbb.g_00259	Pram.g_00187
OG0000109	Prbb.g_00041, Prbb.g_00297	Pram.g_00227
OG0000110	Prbb.g_00307	Pram.g_00239
OG0000111	Prbb.g_00327	Pram.g_00262
OG0000112	Prbb.g_00336	Pram.g_00273
OG0000113	Prbb.g_00348	Pram.g_00286
OG0000114	Prbb.g_00376	Pram.g_00313
OG0000115	Prbb.g_00477	Pram.g_00410
OG0000116	Prbb.g_00479	Pram.g_00412
OG0000117	Prbb.g_00484, Prbb.g_00485	Pram.g_00416
OG0000118	Prbb.g_00503	Pram.g_00437
OG0000119	Prbb.g_00535	Pram.g_00470
OG0000120	Prbb.g_00536	Pram.g_00471
OG0000121	Prbb.g_00546	Pram.g_00480
OG0000122	Prbb.g_00556	Pram.g_00489
OG0000123	Prbb.g_00586	Pram.g_00522
OG0000124	Prbb.g_00652	Pram.g_01059
OG0000125	Prbb.g_00653	Pram.g_01058
OG0000126	Prbb.g_00654	Pram.g_01057
OG0000127	Prbb.g_00692	Pram.g_00777
OG0000128	Prbb.g_00715	Pram.g_00803
OG0000129	Prbb.g_00737	Pram.g_01006
OG0000130	Prbb.g_00954	Pram.g_00905
OG0000131	Prbb.g_00781	Pram.g_00807
OG0000132	Prbb.g_00817	Pram.g_00843
OG0000133	Prbb.g_00950	Pram.g_00751
OG0000134	Prbb.g_00768	Pram.g_01038
OG0000135	Prbb.g_00995	Pram.g_00947
OG0000136	Prbb.g_01067	Pram.g_00891
OG0000137	Prbb.g_01890	Pram.g_01549
OG0000138	Prbb.g_01523	Pram.g_01146
OG0000139	Prbb.g_01510	Pram.g_01133
OG0000140	Prbb.g_01456	Pram.g_00571
OG0000141	Prbb.g_01060	Pram.g_01254
OG0000142	Prbb.g_01598	Pram.g_01242
OG0000143	Prbb.g_01639	Pram.g_01468
OG0000144	Prbb.g_01673	Pram.g_01393
OG0000145	Prbb.g_01687	Pram.g_01377
OG0000146	Prbb.g_01721	Pram.g_01341
OG0000147	Prbb.g_01767	Pram.g_01294
OG0000148	Prbb.g_01768	Pram.g_01293
OG0000149	Prbb.g_01821	Pram.g_01629
OG0000150	Prbb.g_01858	Pram.g_01669
OG0000151	Prbb.g_01860	Pram.g_01672
OG0000152	Prbb.g_01880	Pram.g_01691
OG0000153	Prbb.g_01959	Pram.g_01728
OG0000154	Prbb.g_01995	Pram.g_01764
OG0000155	Prbb.g_02014	Pram.g_01783
OG0000156	Prbb.g_02046	Pram.g_01817
OG0000157	Prbb.g_02082	Pram.g_01851
OG0000158	Prbb.g_02168	Pram.g_01917
OG0000160	Prbb.g_00001	Pram.g_01939
OG0000161	Prbb.g_00002	Pram.g_01940
OG0000162	Prbb.g_00004	Pram.g_01942
OG0000163	Prbb.g_00005	Pram.g_01943
OG0000164	Prbb.g_00007	Pram.g_01944
OG0000165	Prbb.g_00008	Pram.g_01945
OG0000166	Prbb.g_00009	Pram.g_01946
OG0000167	Prbb.g_00010	Pram.g_01947
OG0000168	Prbb.g_00011	Pram.g_01948
OG0000169	Prbb.g_00013	Pram.g_01950
OG0000170	Prbb.g_00015	Pram.g_00001
OG0000171	Prbb.g_00016	Pram.g_00002
OG0000172	Prbb.g_00017	Pram.g_00003
OG0000173	Prbb.g_00018	Pram.g_00004
OG0000174	Prbb.g_00019	Pram.g_00005
OG0000175	Prbb.g_00020	Pram.g_00006
OG0000176	Prbb.g_00021	Pram.g_00007
OG0000177	Prbb.g_00022	Pram.g_00008
OG0000178	Prbb.g_00023	Pram.g_00009
OG0000179	Prbb.g_00025	Pram.g_00011
OG0000180	Prbb.g_00026	Pram.g_00012
OG0000181	Prbb.g_00027	Pram.g_00013
OG0000182	Prbb.g_00028	Pram.g_00014
OG0000183	Prbb.g_00029	Pram.g_00015
OG0000184	Prbb.g_00030	Pram.g_00016
OG0000185	Prbb.g_00033	Pram.g_00019
OG0000186	Prbb.g_00035	Pram.g_00021
OG0000187	Prbb.g_00036	Pram.g_00022
OG0000188	Prbb.g_00037	Pram.g_00023
OG0000189	Prbb.g_00055	Pram.g_00024
OG0000190	Prbb.g_00057	Pram.g_00026
OG0000191	Prbb.g_00058	Pram.g_00028
OG0000192	Prbb.g_00059	Pram.g_00029
OG0000193	Prbb.g_00060	Pram.g_00030
OG0000194	Prbb.g_00061	Pram.g_00033
OG0000195	Prbb.g_00062	Pram.g_00034
OG0000196	Prbb.g_00063	Pram.g_00035
OG0000197	Prbb.g_00065	Pram.g_00037
OG0000198	Prbb.g_00066	Pram.g_00038
OG0000199	Prbb.g_00067	Pram.g_00039
OG0000200	Prbb.g_00119	Pram.g_00048
OG0000201	Prbb.g_00120	Pram.g_00049
OG0000202	Prbb.g_00121	Pram.g_00050
OG0000203	Prbb.g_00124	Pram.g_00054
