Orthogroup	Prbb	Prap
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prap.g_01862
OG0000000	Prbb.g_01123, Prbb.g_01403	Prap.g_01861
OG0000000	Prbb.g_01787	Prap.g_00493
OG0000001	Prbb.g_00844	Prap.g_00720
OG0000001	Prbb.g_00683	Prap.g_00823
OG0000001	Prbb.g_01549	Prap.g_00224
OG0000001	Prbb.g_01546	Prap.g_00486
OG0000001	Prbb.g_01545	Prap.g_01946, Prap.g_00484
OG0000001	Prbb.g_01550, Prbb.g_01544	Prap.g_00491
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Prap.g_00653
OG0000002	Prbb.g_01611	Prap.g_01925
OG0000004	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Prap.g_00494
OG0000005	Prbb.g_00425, Prbb.g_00748	Prap.g_00535
OG0000006	Prbb.g_01294	Prap.g_00010
OG0000008	Prbb.g_00501	Prap.g_01270
OG0000008	Prbb.g_01823	Prap.g_01779
OG0000010	Prbb.g_00757, Prbb.g_00761	Prap.g_00480
OG0000011	Prbb.g_01800	Prap.g_01848, Prap.g_01899
OG0000012	Prbb.g_00325	Prap.g_00548
OG0000014	Prbb.g_00357	Prap.g_01403
OG0000015	Prbb.g_00421	Prap.g_01343
OG0000016	Prbb.g_01158	Prap.g_01840, Prap.g_01794
OG0000017	Prbb.g_01375	Prap.g_01860, Prap.g_01912
OG0000018	Prbb.g_00598	Prap.g_01170
OG0000020	Prbb.g_01632	Prap.g_00510, Prap.g_00218
OG0000021	Prbb.g_01705	Prap.g_00142, Prap.g_01834
OG0000022	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299	Prap.g_01470
OG0000023	Prbb.g_00099	Prap.g_00797
OG0000024	Prbb.g_01207	Prap.g_01911
OG0000024	Prbb.g_01182, Prbb.g_01192	Prap.g_00502
OG0000025	Prbb.g_00680	Prap.g_00322, Prap.g_00826
OG0000027	Prbb.g_01885	Prap.g_01887
OG0000028	Prbb.g_01884	Prap.g_01888
OG0000029	Prbb.g_00747	Prap.g_00505
OG0000029	Prbb.g_01897	Prap.g_01805
OG0000030	Prbb.g_01096, Prbb.g_01362	Prap.g_01797
OG0000031	Prbb.g_02069	Prap.g_01572
OG0000032	Prbb.g_01921	Prap.g_01903
OG0000034	Prbb.g_01686	Prap.g_00121
OG0000035	Prbb.g_01324, Prbb.g_01729	Prap.g_01312
OG0000036	Prbb.g_01071	Prap.g_00228
OG0000037	Prbb.g_01383	Prap.g_00611
OG0000038	Prbb.g_00387	Prap.g_00080
OG0000039	Prbb.g_01919	Prap.g_00514
OG0000041	Prbb.g_01111	Prap.g_00236
OG0000042	Prbb.g_02131	Prap.g_01528
OG0000043	Prbb.g_01449	Prap.g_00017
OG0000045	Prbb.g_01882	Prap.g_01790
OG0000046	Prbb.g_01231	Prap.g_00212
OG0000047	Prbb.g_01517	Prap.g_00456
OG0000048	Prbb.g_00112	Prap.g_00897
OG0000049	Prbb.g_00851	Prap.g_00081
OG0000050	Prbb.g_00223	Prap.g_01004
OG0000051	Prbb.g_01373, Prbb.g_01411	Prap.g_00029
OG0000052	Prbb.g_01286	Prap.g_01821, Prap.g_01815
OG0000053	Prbb.g_00713	Prap.g_00791
OG0000054	Prbb.g_01816	Prap.g_01917, Prap.g_01787
OG0000055	Prbb.g_02061	Prap.g_01580
OG0000056	Prbb.g_00032	Prap.g_00923
OG0000057	Prbb.g_00214	Prap.g_01013
OG0000058	Prbb.g_01197, Prbb.g_01329	Prap.g_00591
OG0000059	Prbb.g_00542	Prap.g_01230, Prap.g_01867
OG0000060	Prbb.g_00726	Prap.g_00334
OG0000061	Prbb.g_00053	Prap.g_01128
OG0000062	Prbb.g_00807, Prbb.g_01218	Prap.g_00760
OG0000063	Prbb.g_00054	Prap.g_00512
OG0000065	Prbb.g_00294	Prap.g_01475
OG0000066	Prbb.g_00478	Prap.g_01292
OG0000067	Prbb.g_01359, Prbb.g_00706	Prap.g_00799
OG0000070	Prbb.g_01070	Prap.g_00708
OG0000071	Prbb.g_01399	Prap.g_00429
OG0000072	Prbb.g_01586	Prap.g_00561
OG0000073	Prbb.g_01187	Prap.g_01819
OG0000073	Prbb.g_01270, Prbb.g_01432	Prap.g_01914
OG0000074	Prbb.g_00678	Prap.g_00079
OG0000075	Prbb.g_02001	Prap.g_01642
OG0000076	Prbb.g_01723	Prap.g_00160
OG0000077	Prbb.g_00012	Prap.g_00043
OG0000078	Prbb.g_00373	Prap.g_01389
OG0000079	Prbb.g_01326	Prap.g_00543
OG0000080	Prbb.g_00673	Prap.g_00356
OG0000081	Prbb.g_00697, Prbb.g_00698	Prap.g_00809
OG0000082	Prbb.g_00790	Prap.g_00776
OG0000083	Prbb.g_00909, Prbb.g_01198	Prap.g_00477
OG0000084	Prbb.g_00991	Prap.g_00257
OG0000085	Prbb.g_01238	Prap.g_00501
OG0000086	Prbb.g_01887	Prap.g_01883
OG0000087	Prbb.g_01320, Prbb.g_01245, Prbb.g_01122, Prbb.g_01786, Prbb.g_00430, Prbb.g_01355, Prbb.g_01402	Prap.g_01863
OG0000090	Prbb.g_00388	Prap.g_00082
OG0000091	Prbb.g_01694	Prap.g_00129
OG0000092	Prbb.g_01208	Prap.g_00618
OG0000093	Prbb.g_01946	Prap.g_01691
OG0000094	Prbb.g_01997	Prap.g_01646
OG0000095	Prbb.g_02034	Prap.g_01608
OG0000096	Prbb.g_02123	Prap.g_01536
OG0000097	Prbb.g_02143	Prap.g_00623
OG0000098	Prbb.g_00003	Prap.g_00051
OG0000099	Prbb.g_00024	Prap.g_00932
OG0000101	Prbb.g_00064	Prap.g_00903
OG0000102	Prbb.g_00170	Prap.g_01061
OG0000103	Prbb.g_00179	Prap.g_01052
OG0000104	Prbb.g_00196	Prap.g_01035
OG0000105	Prbb.g_00227	Prap.g_01000
OG0000106	Prbb.g_00240	Prap.g_00986
OG0000107	Prbb.g_00249	Prap.g_00977
OG0000108	Prbb.g_00259	Prap.g_00967
OG0000109	Prbb.g_00041, Prbb.g_00297	Prap.g_01472
OG0000110	Prbb.g_00307	Prap.g_01460
OG0000111	Prbb.g_00327	Prap.g_01436
OG0000112	Prbb.g_00336	Prap.g_01425
OG0000113	Prbb.g_00348	Prap.g_01412
OG0000114	Prbb.g_00376	Prap.g_01386
OG0000115	Prbb.g_00477	Prap.g_01293
OG0000116	Prbb.g_00479	Prap.g_01291
OG0000117	Prbb.g_00484, Prbb.g_00485	Prap.g_01287
OG0000118	Prbb.g_00503	Prap.g_01267
OG0000119	Prbb.g_00535	Prap.g_01237
OG0000120	Prbb.g_00536	Prap.g_01236
OG0000121	Prbb.g_00546	Prap.g_01226
OG0000122	Prbb.g_00556	Prap.g_01217
OG0000123	Prbb.g_00586	Prap.g_01185
OG0000124	Prbb.g_00652	Prap.g_00375
OG0000125	Prbb.g_00653	Prap.g_00374
OG0000126	Prbb.g_00654	Prap.g_00373
OG0000127	Prbb.g_00692	Prap.g_00814
OG0000128	Prbb.g_00715	Prap.g_00789
OG0000129	Prbb.g_00737	Prap.g_00324
OG0000130	Prbb.g_00954	Prap.g_00691
OG0000131	Prbb.g_00781	Prap.g_00785
OG0000132	Prbb.g_00817	Prap.g_00748
OG0000133	Prbb.g_00950	Prap.g_00841
OG0000134	Prbb.g_00768	Prap.g_00355
OG0000135	Prbb.g_00995	Prap.g_00261
OG0000136	Prbb.g_01067	Prap.g_00705
OG0000137	Prbb.g_01890	Prap.g_01880
OG0000138	Prbb.g_01523	Prap.g_00462
OG0000139	Prbb.g_01510	Prap.g_00450
OG0000140	Prbb.g_01456	Prap.g_01135
OG0000141	Prbb.g_01060	Prap.g_00217
OG0000142	Prbb.g_01598	Prap.g_00574
OG0000143	Prbb.g_01639	Prap.g_00059
OG0000144	Prbb.g_01673	Prap.g_00109
OG0000145	Prbb.g_01687	Prap.g_00122
OG0000146	Prbb.g_01721	Prap.g_00158
OG0000147	Prbb.g_01767	Prap.g_00205
OG0000148	Prbb.g_01768	Prap.g_00206
OG0000149	Prbb.g_01821	Prap.g_01782
OG0000150	Prbb.g_01858	Prap.g_01742
OG0000151	Prbb.g_01860	Prap.g_01739
OG0000152	Prbb.g_01880	Prap.g_01719
OG0000153	Prbb.g_01959	Prap.g_01685
OG0000154	Prbb.g_01995	Prap.g_01648, Prap.g_01649
OG0000155	Prbb.g_02014	Prap.g_01629
OG0000156	Prbb.g_02046	Prap.g_01596
OG0000157	Prbb.g_02082	Prap.g_01562
OG0000158	Prbb.g_02168	Prap.g_01497
OG0000160	Prbb.g_00001	Prap.g_00053
OG0000161	Prbb.g_00002	Prap.g_00052
OG0000162	Prbb.g_00004	Prap.g_00050
OG0000163	Prbb.g_00005	Prap.g_00049
OG0000164	Prbb.g_00007	Prap.g_00048
OG0000165	Prbb.g_00008	Prap.g_00047
OG0000166	Prbb.g_00009	Prap.g_00046
OG0000167	Prbb.g_00010	Prap.g_00045
OG0000168	Prbb.g_00011	Prap.g_00044
OG0000169	Prbb.g_00013	Prap.g_00042
OG0000170	Prbb.g_00015	Prap.g_00941
OG0000171	Prbb.g_00016	Prap.g_00940
OG0000172	Prbb.g_00017	Prap.g_00939
OG0000173	Prbb.g_00018	Prap.g_00938
OG0000174	Prbb.g_00019	Prap.g_00937
OG0000175	Prbb.g_00020	Prap.g_00936
OG0000176	Prbb.g_00021	Prap.g_00935
OG0000177	Prbb.g_00022	Prap.g_00934
OG0000178	Prbb.g_00023	Prap.g_00933
OG0000179	Prbb.g_00025	Prap.g_00931
