Orthogroup	Prbb	Prbm
OG0000000	Prbb.g_00432, Prbb.g_01401, Prbb.g_01120	Prbm.g_01406
OG0000000	Prbb.g_01785	Prbm.g_01808
OG0000000	Prbb.g_01319, Prbb.g_00431	Prbm.g_01117
OG0000000	Prbb.g_01244	Prbm.g_00436
OG0000000	Prbb.g_01145	Prbm.g_01141
OG0000000	Prbb.g_01787	Prbm.g_01810, Prbm.g_01404
OG0000001	Prbb.g_00844	Prbm.g_00874
OG0000001	Prbb.g_00683	Prbm.g_00712
OG0000001	Prbb.g_01549	Prbm.g_01581
OG0000001	Prbb.g_01546	Prbm.g_01578
OG0000001	Prbb.g_01545	Prbm.g_01577
OG0000001	Prbb.g_01550	Prbm.g_01582
OG0000001	Prbb.g_01544	Prbm.g_01576
OG0000002	Prbb.g_01915, Prbb.g_00474	Prbm.g_01940, Prbm.g_00496
OG0000002	Prbb.g_01157	Prbm.g_01426
OG0000002	Prbb.g_01611	Prbm.g_01633
OG0000003	Prbb.g_01808	Prbm.g_01979, Prbm.g_01337
OG0000003	Prbb.g_01629	Prbm.g_01650
OG0000003	Prbb.g_00047	Prbm.g_01684
OG0000003	Prbb.g_01955	Prbm.g_00039
OG0000003	Prbb.g_00046, Prbb.g_01806	Prbm.g_01982, Prbm.g_01828
OG0000003	Prbb.g_01807	Prbm.g_01985
OG0000003	Prbb.g_01663	Prbm.g_01289, Prbm.g_01287
OG0000003	Prbb.g_00077	Prbm.g_01984, Prbm.g_01626, Prbm.g_00527, Prbm.g_02142, Prbm.g_02141
OG0000003	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562	Prbm.g_00528
OG0000003	Prbb.g_01563	Prbm.g_00529
OG0000004	Prbb.g_01144	Prbm.g_01140
OG0000004	Prbb.g_00429	Prbm.g_00433, Prbm.g_01231, Prbm.g_01313
OG0000004	Prbb.g_01321, Prbb.g_01356, Prbb.g_01246	Prbm.g_01384
OG0000004	Prbb.g_01792	Prbm.g_01814
OG0000005	Prbb.g_00425	Prbm.g_01988, Prbm.g_00081
OG0000005	Prbb.g_00748	Prbm.g_00779
OG0000006	Prbb.g_01294	Prbm.g_01359
OG0000007	Prbb.g_01264, Prbb.g_01814	Prbm.g_00463
OG0000008	Prbb.g_00501	Prbm.g_00522
OG0000008	Prbb.g_01823	Prbm.g_01841
OG0000009	Prbb.g_00078	Prbm.g_00477
OG0000010	Prbb.g_00757	Prbm.g_00788
OG0000010	Prbb.g_00761	Prbm.g_00792
OG0000011	Prbb.g_01800	Prbm.g_01823
OG0000012	Prbb.g_00325	Prbm.g_00329
OG0000014	Prbb.g_00357	Prbm.g_00362
OG0000015	Prbb.g_00421	Prbm.g_00428
OG0000015	Prbb.g_00386	Prbm.g_00390
OG0000016	Prbb.g_01158	Prbm.g_01149, Prbm.g_01427
OG0000018	Prbb.g_00598	Prbm.g_00628
OG0000019	Prbb.g_01189	Prbm.g_01164
OG0000020	Prbb.g_01632	Prbm.g_01653
OG0000021	Prbb.g_01705	Prbm.g_01729
OG0000022	Prbb.g_01328, Prbb.g_01560	Prbm.g_01588, Prbm.g_01236
OG0000022	Prbb.g_00299	Prbm.g_00302
OG0000024	Prbb.g_01207	Prbm.g_01181
OG0000024	Prbb.g_01182	Prbm.g_01158
OG0000024	Prbb.g_01192	Prbm.g_01167
OG0000025	Prbb.g_01175	Prbm.g_01151
OG0000025	Prbb.g_00680	Prbm.g_00709
OG0000026	Prbb.g_01119	Prbm.g_01115
OG0000026	Prbb.g_01318	Prbm.g_01408
OG0000026	Prbb.g_01243	Prbm.g_01312
OG0000026	Prbb.g_01400	Prbm.g_01381
OG0000027	Prbb.g_01885	Prbm.g_01908
OG0000028	Prbb.g_01884	Prbm.g_01907
OG0000029	Prbb.g_00747	Prbm.g_00778
OG0000029	Prbb.g_01897	Prbm.g_01921
OG0000030	Prbb.g_01020	Prbm.g_01017
OG0000030	Prbb.g_01379	Prbm.g_01262
OG0000030	Prbb.g_01019	Prbm.g_01016
OG0000030	Prbb.g_01096	Prbm.g_01091
OG0000031	Prbb.g_02069	Prbm.g_02102
OG0000032	Prbb.g_01921	Prbm.g_01947
OG0000033	Prbb.g_01114	Prbm.g_01110
OG0000033	Prbb.g_01127	Prbm.g_01124
OG0000034	Prbb.g_01686	Prbm.g_01710
OG0000035	Prbb.g_01324	Prbm.g_01414, Prbm.g_01387
OG0000035	Prbb.g_01729	Prbm.g_01753
OG0000036	Prbb.g_01071	Prbm.g_01065
OG0000037	Prbb.g_01383	Prbm.g_01267
OG0000037	Prbb.g_01391	Prbm.g_01276
OG0000038	Prbb.g_00387	Prbm.g_00392, Prbm.g_01627
OG0000039	Prbb.g_01919	Prbm.g_01944
OG0000039	Prbb.g_00014	Prbm.g_00013
OG0000040	Prbb.g_01229	Prbm.g_01202
OG0000041	Prbb.g_01111	Prbm.g_01106
OG0000042	Prbb.g_02131	Prbm.g_02176
OG0000043	Prbb.g_01449	Prbm.g_01482
OG0000045	Prbb.g_01882	Prbm.g_01900
OG0000046	Prbb.g_01231	Prbm.g_01204
OG0000047	Prbb.g_01517	Prbm.g_01549
OG0000048	Prbb.g_00112	Prbm.g_00114
OG0000049	Prbb.g_00851	Prbm.g_00881
OG0000050	Prbb.g_00223	Prbm.g_00225
OG0000051	Prbb.g_01411	Prbm.g_01444
OG0000052	Prbb.g_01286	Prbm.g_01351
OG0000053	Prbb.g_00713	Prbm.g_00742
OG0000054	Prbb.g_01816	Prbm.g_01834
OG0000055	Prbb.g_02061	Prbm.g_02094
OG0000056	Prbb.g_00032	Prbm.g_00031
OG0000057	Prbb.g_00214	Prbm.g_00216
OG0000058	Prbb.g_01197	Prbm.g_01172
OG0000058	Prbb.g_01329	Prbm.g_01237
OG0000059	Prbb.g_00542	Prbm.g_00572
OG0000060	Prbb.g_00726	Prbm.g_00755
