Orthogroup	Syaf	Prbe
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbe.g_00400
OG0000004	Syaf.g_01455	Prbe.g_01203
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbe.g_01784
OG0000005	Syaf.g_01057	Prbe.g_00228
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbe.g_01794
OG0000007	Syaf.g_02702	Prbe.g_00636
OG0000007	Syaf.g_01033	Prbe.g_00985
OG0000008	Syaf.g_01479	Prbe.g_00036
OG0000008	Syaf.g_01480	Prbe.g_00037
OG0000010	Syaf.g_02499	Prbe.g_00096, Prbe.g_01411
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbe.g_01879
OG0000014	Syaf.g_00280	Prbe.g_01861
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbe.g_01046, Prbe.g_01000
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbe.g_01607
OG0000017	Syaf.g_02561	Prbe.g_00536
OG0000017	Syaf.g_02554	Prbe.g_00529
OG0000018	Syaf.g_02451	Prbe.g_01571
OG0000019	Syaf.g_00193	Prbe.g_01802, Prbe.g_01573
OG0000020	Syaf.g_02187	Prbe.g_00204, Prbe.g_00018
OG0000021	Syaf.g_02773	Prbe.g_00203, Prbe.g_01208
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbe.g_00062
OG0000024	Syaf.g_01484	Prbe.g_01415, Prbe.g_00449
OG0000025	Syaf.g_01385	Prbe.g_01258
OG0000026	Syaf.g_00461	Prbe.g_00132
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbe.g_00012, Prbe.g_01121
OG0000028	Syaf.g_00297	Prbe.g_00034
OG0000029	Syaf.g_01761	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbe.g_00763
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbe.g_00352
OG0000032	Syaf.g_02471	Prbe.g_00272
OG0000033	Syaf.g_00807	Prbe.g_00345
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbe.g_00882
OG0000035	Syaf.g_02412	Prbe.g_00311
OG0000037	Syaf.g_00899	Prbe.g_01651
OG0000038	Syaf.g_00642	Prbe.g_01156
OG0000039	Syaf.g_01395	Prbe.g_00461
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbe.g_00938
OG0000042	Syaf.g_00403	Prbe.g_00766
OG0000043	Syaf.g_01747	Prbe.g_01570
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prbe.g_01880
OG0000047	Syaf.g_00030	Prbe.g_01921
OG0000048	Syaf.g_00230	Prbe.g_00906
OG0000051	Syaf.g_00972	Prbe.g_00720
OG0000052	Syaf.g_00335	Prbe.g_00158
OG0000053	Syaf.g_02447	Prbe.g_00290, Prbe.g_01040
OG0000054	Syaf.g_02376	Prbe.g_00527
OG0000057	Syaf.g_01665, Syaf.g_01452	Prbe.g_01206
OG0000058	Syaf.g_00316	Prbe.g_00351
OG0000059	Syaf.g_00143	Prbe.g_01094
OG0000061	Syaf.g_01288	Prbe.g_01549
OG0000062	Syaf.g_01055	Prbe.g_00226
OG0000063	Syaf.g_00457	Prbe.g_00021
OG0000064	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667	Prbe.g_00172
OG0000065	Syaf.g_00903	Prbe.g_01649
OG0000066	Syaf.g_02643	Prbe.g_00596, Prbe.g_01114
OG0000067	Syaf.g_02049	Prbe.g_01222
OG0000068	Syaf.g_02733	Prbe.g_00373
OG0000070	Syaf.g_01237	Prbe.g_01948
OG0000071	Syaf.g_01254	Prbe.g_00893
OG0000072	Syaf.g_00805	Prbe.g_01719
OG0000073	Syaf.g_02700	Prbe.g_00633
OG0000075	Syaf.g_00353	Prbe.g_00800
OG0000076	Syaf.g_00388	Prbe.g_00774
OG0000077	Syaf.g_00951	Prbe.g_00183
OG0000078	Syaf.g_02782	Prbe.g_01792
OG0000079	Syaf.g_00197	Prbe.g_01805
OG0000081	Syaf.g_02776	Prbe.g_00604
OG0000082	Syaf.g_02576	Prbe.g_00549, Prbe.g_00996
OG0000084	Syaf.g_02409	Prbe.g_00314
OG0000085	Syaf.g_01048	Prbe.g_00007, Prbe.g_00993
OG0000086	Syaf.g_00932	Prbe.g_00192
OG0000087	Syaf.g_00848	Prbe.g_01683
OG0000088	Syaf.g_00811	Prbe.g_01714
OG0000089	Syaf.g_02807	Prbe.g_01915
OG0000090	Syaf.g_02654	Prbe.g_00602
OG0000091	Syaf.g_02302	Prbe.g_01477
OG0000093	Syaf.g_02065	Prbe.g_01448
OG0000094	Syaf.g_01940	Prbe.g_01399
OG0000095	Syaf.g_01442	Prbe.g_01297
OG0000097	Syaf.g_01574	Prbe.g_01503
OG0000098	Syaf.g_01637	Prbe.g_00397
OG0000099	Syaf.g_00312	Prbe.g_00350
OG0000100	Syaf.g_02017	Prbe.g_00232
OG0000101	Syaf.g_00093	Prbe.g_00836
OG0000102	Syaf.g_00393	Prbe.g_00769
OG0000103	Syaf.g_00520	Prbe.g_01195
OG0000104	Syaf.g_00502	Prbe.g_01061
OG0000105	Syaf.g_00235	Prbe.g_01828
OG0000106	Syaf.g_01745	Prbe.g_00740
OG0000107	Syaf.g_00177, Syaf.g_00758	Prbe.g_00921
OG0000108	Syaf.g_02721	Prbe.g_00653
OG0000109	Syaf.g_02706	Prbe.g_00639
OG0000110	Syaf.g_02589	Prbe.g_00560
OG0000111	Syaf.g_01451	Prbe.g_01207
OG0000112	Syaf.g_01852	Prbe.g_00487
OG0000113	Syaf.g_02022	Prbe.g_01245
OG0000114	Syaf.g_02103	Prbe.g_00417
OG0000115	Syaf.g_02445	Prbe.g_01618
OG0000116	Syaf.g_01276	Prbe.g_01560
OG0000117	Syaf.g_01605	Prbe.g_01522
OG0000118	Syaf.g_02544	Prbe.g_00880
OG0000120	Syaf.g_00313	Prbe.g_00353
OG0000121	Syaf.g_02419	Prbe.g_00309
OG0000123	Syaf.g_00086	Prbe.g_00829
OG0000124	Syaf.g_00414	Prbe.g_00745
OG0000125	Syaf.g_00640	Prbe.g_01158
OG0000126	Syaf.g_00504	Prbe.g_01060
OG0000128	Syaf.g_00486	Prbe.g_01076
OG0000129	Syaf.g_00651	Prbe.g_00145
OG0000130	Syaf.g_00963	Prbe.g_00174
OG0000131	Syaf.g_00833	Prbe.g_01692
OG0000132	Syaf.g_00813	Prbe.g_01712
OG0000133	Syaf.g_01857	Prbe.g_01875
OG0000134	Syaf.g_02804	Prbe.g_01917
OG0000135	Syaf.g_00605	Prbe.g_00911
OG0000136	Syaf.g_01224	Prbe.g_01939
OG0000137	Syaf.g_02498	Prbe.g_00658
OG0000138	Syaf.g_02705	Prbe.g_00638
OG0000139	Syaf.g_02648	Prbe.g_00598
OG0000140	Syaf.g_02646	Prbe.g_00597
