Orthogroup	Syaf	Prbi
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbi.g_01424
OG0000004	Syaf.g_01455	Prbi.g_00698
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbi.g_00256
OG0000005	Syaf.g_01017	Prbi.g_01800
OG0000005	Syaf.g_01057	Prbi.g_01666
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbi.g_00265
OG0000007	Syaf.g_02702	Prbi.g_00500
OG0000007	Syaf.g_01033	Prbi.g_01787
OG0000008	Syaf.g_01479	Prbi.g_01764
OG0000008	Syaf.g_01480	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syaf.g_00905	Prbi.g_00112
OG0000010	Syaf.g_02499	Prbi.g_01094
OG0000011	Syaf.g_01532	Prbi.g_01361
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prbi.g_00625
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbi.g_00351
OG0000014	Syaf.g_00280	Prbi.g_00330
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbi.g_00810, Prbi.g_01304
OG0000016	Syaf.g_00484	Prbi.g_00013
OG0000017	Syaf.g_02561, Syaf.g_02554	Prbi.g_00600
OG0000018	Syaf.g_02451	Prbi.g_01188
OG0000019	Syaf.g_00193	Prbi.g_00273, Prbi.g_00827
OG0000020	Syaf.g_02187	Prbi.g_01153
OG0000021	Syaf.g_01726, Syaf.g_02773	Prbi.g_01742, Prbi.g_00389
OG0000022	Syaf.g_02256	Prbi.g_01170
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbi.g_00384
OG0000024	Syaf.g_01484	Prbi.g_00788, Prbi.g_00678
OG0000025	Syaf.g_01385	Prbi.g_00355, Prbi.g_00882
OG0000026	Syaf.g_00461	Prbi.g_00031, Prbi.g_01101
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbi.g_00472, Prbi.g_01374
OG0000028	Syaf.g_00297	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344
