Orthogroup	Syaf	Prah
OG0000001	Syaf.g_00846	Prah.g_01159
OG0000001	Syaf.g_00845	Prah.g_02270
OG0000004	Syaf.g_01455	Prah.g_01022
OG0000004	Syaf.g_02351, Syaf.g_02794	Prah.g_01413
OG0000005	Syaf.g_01057	Prah.g_01652
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prah.g_00475, Prah.g_01767
OG0000007	Syaf.g_02702	Prah.g_01546
OG0000007	Syaf.g_01033	Prah.g_01676
OG0000008	Syaf.g_01479	Prah.g_00970
OG0000008	Syaf.g_01480	Prah.g_00969
OG0000009	Syaf.g_00905	Prah.g_00432, Prah.g_01895
OG0000010	Syaf.g_02499	Prah.g_00311
OG0000011	Syaf.g_01532	Prah.g_01084
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prah.g_01956
OG0000014	Syaf.g_00280	Prah.g_02171
OG0000015	Syaf.g_02120, Syaf.g_02121	Prah.g_01155, Prah.g_00576
OG0000016	Syaf.g_00484	Prah.g_00015
OG0000016	Syaf.g_01576	Prah.g_01270
OG0000017	Syaf.g_02554	Prah.g_01397
OG0000018	Syaf.g_02451	Prah.g_00378
OG0000019	Syaf.g_00193	Prah.g_02086
OG0000020	Syaf.g_02187	Prah.g_01100
OG0000021	Syaf.g_02773	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syaf.g_02256	Prah.g_01209
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prah.g_00688
OG0000024	Syaf.g_01484	Prah.g_01043
OG0000025	Syaf.g_01385	Prah.g_00604
OG0000026	Syaf.g_00461	Prah.g_00038
OG0000028	Syaf.g_00297	Prah.g_02184
OG0000029	Syaf.g_01761	Prah.g_01972
OG0000030	Syaf.g_00406	Prah.g_00132
OG0000030	Syaf.g_00407	Prah.g_00131
OG0000031	Syaf.g_00314	Prah.g_02248
OG0000031	Syaf.g_01143	Prah.g_00091
OG0000032	Syaf.g_02471	Prah.g_00358
OG0000033	Syaf.g_00807	Prah.g_02307
OG0000034	Syaf.g_01241, Syaf.g_00837	Prah.g_01376
OG0000035	Syaf.g_02412	Prah.g_00408
OG0000037	Syaf.g_00899	Prah.g_01901
OG0000038	Syaf.g_00642	Prah.g_02494
OG0000041	Syaf.g_01171, Syaf.g_01414	Prah.g_01737
OG0000042	Syaf.g_00403	Prah.g_00135, Prah.g_01256
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prah.g_01955
OG0000047	Syaf.g_00030	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syaf.g_00230	Prah.g_02122
OG0000051	Syaf.g_00972	Prah.g_01166
OG0000052	Syaf.g_00335	Prah.g_02219
OG0000053	Syaf.g_02447	Prah.g_00381
OG0000054	Syaf.g_02376	Prah.g_01394
OG0000055	Syaf.g_01402	Prah.g_00942
OG0000057	Syaf.g_01665, Syaf.g_01452	Prah.g_01027
OG0000058	Syaf.g_00316	Prah.g_02195
OG0000059	Syaf.g_00143	Prah.g_02043
OG0000060	Syaf.g_02726	Prah.g_01569
OG0000060	Syaf.g_01603	Prah.g_01156
OG0000061	Syaf.g_01288	Prah.g_01322
OG0000062	Syaf.g_01055	Prah.g_01654
OG0000063	Syaf.g_00457	Prah.g_00042
OG0000066	Syaf.g_02643	Prah.g_01485
OG0000067	Syaf.g_02049	Prah.g_00667, Prah.g_01826
OG0000068	Syaf.g_02733	Prah.g_01576
OG0000070	Syaf.g_01237	Prah.g_00252
OG0000071	Syaf.g_01254	Prah.g_01364
OG0000072	Syaf.g_00805	Prah.g_02309
OG0000073	Syaf.g_02700	Prah.g_01544
OG0000075	Syaf.g_00353	Prah.g_02232
OG0000076	Syaf.g_00388	Prah.g_00150
OG0000077	Syaf.g_00951	Prah.g_01850
OG0000078	Syaf.g_02782	Prah.g_01773
OG0000082	Syaf.g_02576	Prah.g_01427
OG0000084	Syaf.g_02409	Prah.g_00412
OG0000085	Syaf.g_01048	Prah.g_01666
OG0000086	Syaf.g_00932	Prah.g_01866
OG0000087	Syaf.g_00848	Prah.g_02268
OG0000088	Syaf.g_00811	Prah.g_02304, Prah.g_00957
OG0000089	Syaf.g_02807	Prah.g_00205
OG0000090	Syaf.g_02654	Prah.g_01501
OG0000091	Syaf.g_02302	Prah.g_00493
OG0000093	Syaf.g_02065	Prah.g_00692
OG0000094	Syaf.g_01940	Prah.g_02518
OG0000095	Syaf.g_01442	Prah.g_00915
OG0000097	Syaf.g_01574	Prah.g_01272
OG0000098	Syaf.g_01637	Prah.g_00327
OG0000099	Syaf.g_00312	Prah.g_02191
OG0000100	Syaf.g_02017	Prah.g_01791, Prah.g_00636
OG0000101	Syaf.g_00093	Prah.g_01995
OG0000102	Syaf.g_00393	Prah.g_00144
OG0000103	Syaf.g_00520	Prah.g_02586
OG0000104	Syaf.g_00502	Prah.g_02600
OG0000105	Syaf.g_00235	Prah.g_02126
OG0000106	Syaf.g_01745	Prah.g_01660
OG0000107	Syaf.g_00758	Prah.g_02072
OG0000108	Syaf.g_02721	Prah.g_01566
OG0000109	Syaf.g_02706	Prah.g_01550
OG0000110	Syaf.g_02589	Prah.g_01439
OG0000111	Syaf.g_01451	Prah.g_01028
OG0000112	Syaf.g_01852	Prah.g_00788
OG0000113	Syaf.g_02022	Prah.g_00641
OG0000114	Syaf.g_02103	Prah.g_00733
OG0000115	Syaf.g_02445	Prah.g_00383
OG0000116	Syaf.g_01276	Prah.g_01337
OG0000117	Syaf.g_01605	Prah.g_01257
OG0000118	Syaf.g_02544	Prah.g_01378
OG0000120	Syaf.g_00313	Prah.g_02192
OG0000121	Syaf.g_02419	Prah.g_00406
OG0000123	Syaf.g_00086	Prah.g_01987
OG0000124	Syaf.g_00414	Prah.g_00125
OG0000125	Syaf.g_00640	Prah.g_02498
OG0000126	Syaf.g_00504	Prah.g_02598
OG0000127	Syaf.g_01541	Prah.g_01085
OG0000128	Syaf.g_00486	Prah.g_00013
OG0000129	Syaf.g_00651	Prah.g_02486
OG0000130	Syaf.g_00963	Prah.g_01838
OG0000131	Syaf.g_00833	Prah.g_02282
OG0000132	Syaf.g_00813	Prah.g_02302
OG0000133	Syaf.g_01857	Prah.g_02187
OG0000134	Syaf.g_02804	Prah.g_00208
OG0000135	Syaf.g_00605	Prah.g_02538
OG0000136	Syaf.g_01224	Prah.g_00235
OG0000137	Syaf.g_02498	Prah.g_00312
OG0000138	Syaf.g_02705	Prah.g_01549
