Orthogroup	Syaf	Syab
OG0000001	Syaf.g_00845	Syab.g_02553, Syab.g_02555
OG0000001	Syaf.g_01634	Syab.g_01509, Syab.g_01510
OG0000004	Syaf.g_01455	Syab.g_00549, Syab.g_01193
OG0000004	Syaf.g_02351	Syab.g_01911
OG0000004	Syaf.g_02794	Syab.g_02377
OG0000005	Syaf.g_01017	Syab.g_02289
OG0000005	Syaf.g_01057	Syab.g_02232
OG0000005	Syaf.g_01352, Syaf.g_01732	Syab.g_00981
OG0000006	Syaf.g_02288	Syab.g_01849
OG0000006	Syaf.g_00179, Syaf.g_02778	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syaf.g_02702	Syab.g_02117
OG0000007	Syaf.g_01033	Syab.g_02256
OG0000008	Syaf.g_01479	Syab.g_01755
OG0000008	Syaf.g_01480	Syab.g_01168
OG0000009	Syaf.g_00905	Syab.g_02498
OG0000010	Syaf.g_02499	Syab.g_00696
OG0000011	Syaf.g_01483	Syab.g_01491, Syab.g_01083
OG0000012	Syaf.g_01693	Syab.g_01774, Syab.g_00953
OG0000013	Syaf.g_00056	Syab.g_00487
OG0000013	Syaf.g_00044	Syab.g_00497
OG0000013	Syaf.g_00061	Syab.g_00482
OG0000014	Syaf.g_00280	Syab.g_00249
OG0000016	Syaf.g_00484	Syab.g_00014
OG0000016	Syaf.g_01576	Syab.g_01049
OG0000017	Syaf.g_02561	Syab.g_01953
OG0000017	Syaf.g_02554	Syab.g_01945
OG0000018	Syaf.g_02451	Syab.g_00742
OG0000019	Syaf.g_00193	Syab.g_00344
OG0000020	Syaf.g_02187	Syab.g_02230
OG0000022	Syaf.g_02256	Syab.g_01825
OG0000023	Syaf.g_01765, Syaf.g_01987	Syab.g_00708
OG0000023	Syaf.g_01995	Syab.g_02058, Syab.g_01294
OG0000024	Syaf.g_01484	Syab.g_01834
OG0000025	Syaf.g_01385	Syab.g_01705
OG0000026	Syaf.g_00461	Syab.g_00036
OG0000027	Syaf.g_01688	Syab.g_01782
OG0000028	Syaf.g_00297	Syab.g_00234
OG0000030	Syaf.g_00406	Syab.g_00096
OG0000030	Syaf.g_00407	Syab.g_00095
OG0000031	Syaf.g_00314	Syab.g_00160
OG0000032	Syaf.g_02471	Syab.g_00724
OG0000033	Syaf.g_00807	Syab.g_02590
OG0000034	Syaf.g_01241, Syaf.g_00837	Syab.g_00900, Syab.g_02560
