Orthogroup	Syaf	Prap
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prap.g_01925
OG0000004	Syaf.g_01455	Prap.g_00802
OG0000004	Syaf.g_02351, Syaf.g_02794	Prap.g_01480
OG0000005	Syaf.g_01057	Prap.g_00204
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prap.g_01470
OG0000007	Syaf.g_02702	Prap.g_01270
OG0000007	Syaf.g_01033	Prap.g_01779
OG0000008	Syaf.g_01479	Prap.g_01888
OG0000008	Syaf.g_01480	Prap.g_01887
OG0000010	Syaf.g_02499	Prap.g_00669, Prap.g_00318
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prap.g_01385
OG0000014	Syaf.g_00280	Prap.g_01403
OG0000015	Syaf.g_02120, Syaf.g_02121	Prap.g_01840, Prap.g_01794
OG0000016	Syaf.g_01576, Syaf.g_01713	Prap.g_00514
OG0000017	Syaf.g_02561	Prap.g_01170
OG0000017	Syaf.g_02554	Prap.g_01163
OG0000018	Syaf.g_02451	Prap.g_00478
OG0000019	Syaf.g_00193	Prap.g_01462, Prap.g_00480
OG0000020	Syaf.g_02187	Prap.g_00228, Prap.g_01906
OG0000021	Syaf.g_02773	Prap.g_00229, Prap.g_00797
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prap.g_00029
OG0000024	Syaf.g_01484	Prap.g_00322, Prap.g_00826
OG0000025	Syaf.g_01385	Prap.g_00747
OG0000026	Syaf.g_00461	Prap.g_00923
OG0000027	Syaf.g_02284, Syaf.g_01688	Prap.g_01912, Prap.g_01860
OG0000028	Syaf.g_00297	Prap.g_01889
OG0000029	Syaf.g_01761	Prap.g_01899, Prap.g_01848, Prap.g_01688
OG0000030	Syaf.g_00406, Syaf.g_00407	Prap.g_01569
OG0000031	Syaf.g_00314, Syaf.g_01143	Prap.g_00080
OG0000032	Syaf.g_02471	Prap.g_00160
OG0000033	Syaf.g_00807	Prap.g_00087
OG0000034	Syaf.g_01241, Syaf.g_00837	Prap.g_00572
OG0000035	Syaf.g_02412	Prap.g_00121
OG0000037	Syaf.g_00899	Prap.g_01067
OG0000038	Syaf.g_00642	Prap.g_01530
OG0000039	Syaf.g_01395	Prap.g_00814
OG0000041	Syaf.g_01171, Syaf.g_01414	Prap.g_01731
OG0000042	Syaf.g_00403	Prap.g_01572
OG0000043	Syaf.g_01747	Prap.g_00477
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prap.g_01384
OG0000047	Syaf.g_00030	Prap.g_01343
OG0000048	Syaf.g_00230	Prap.g_00548
OG0000051	Syaf.g_00972	Prap.g_00611
OG0000052	Syaf.g_00335	Prap.g_00897
OG0000053	Syaf.g_02447	Prap.g_00142, Prap.g_01834
OG0000054	Syaf.g_02376	Prap.g_01161
OG0000057	Syaf.g_01665, Syaf.g_01452	Prap.g_00799
OG0000058	Syaf.g_00316	Prap.g_00081
OG0000059	Syaf.g_00143	Prap.g_01691
OG0000061	Syaf.g_01288	Prap.g_00456
OG0000062	Syaf.g_01055	Prap.g_00206
OG0000063	Syaf.g_00457	Prap.g_01903
OG0000064	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667	Prap.g_00883
OG0000065	Syaf.g_00903	Prap.g_01069
OG0000066	Syaf.g_02643	Prap.g_01230, Prap.g_01867
OG0000067	Syaf.g_02049	Prap.g_00783
OG0000068	Syaf.g_02733	Prap.g_00059
OG0000070	Syaf.g_01237	Prap.g_01316
OG0000071	Syaf.g_01254	Prap.g_00561
OG0000072	Syaf.g_00805	Prap.g_00999
OG0000073	Syaf.g_02700	Prap.g_01267
OG0000075	Syaf.g_00353	Prap.g_01606
OG0000076	Syaf.g_00388	Prap.g_01580
OG0000077	Syaf.g_00951	Prap.g_01099
OG0000078	Syaf.g_02782	Prap.g_01472
OG0000079	Syaf.g_00197	Prap.g_01459
OG0000081	Syaf.g_02776	Prap.g_01238
OG0000082	Syaf.g_02576	Prap.g_01183, Prap.g_01790
OG0000084	Syaf.g_02409	Prap.g_00118
OG0000085	Syaf.g_01048	Prap.g_01917, Prap.g_01787
OG0000086	Syaf.g_00932	Prap.g_01090
OG0000087	Syaf.g_00848	Prap.g_01035
OG0000088	Syaf.g_00811	Prap.g_01004
OG0000089	Syaf.g_02807	Prap.g_01349
OG0000090	Syaf.g_02654	Prap.g_01236
OG0000091	Syaf.g_02302	Prap.g_00384
OG0000093	Syaf.g_02065	Prap.g_00355
OG0000094	Syaf.g_01940	Prap.g_00306
