Orthogroup	Syaf	Syah
OG0000001	Syaf.g_01640	Syah.g_00726
OG0000001	Syaf.g_00846	Syah.g_01516
OG0000001	Syaf.g_00845	Syah.g_00040
OG0000001	Syaf.g_01634	Syah.g_00710
OG0000004	Syaf.g_01455	Syah.g_02017
OG0000004	Syaf.g_02351	Syah.g_01967
OG0000004	Syaf.g_02794	Syah.g_00901
OG0000005	Syaf.g_01017	Syah.g_02403
OG0000005	Syaf.g_01057	Syah.g_02363
OG0000005	Syaf.g_01352, Syaf.g_01732	Syah.g_01827
OG0000006	Syaf.g_02288	Syah.g_01912
OG0000006	Syaf.g_00179, Syaf.g_02778	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Syaf.g_02702	Syah.g_01016
OG0000007	Syaf.g_01033	Syah.g_02384
OG0000008	Syaf.g_01479	Syah.g_01994
OG0000008	Syaf.g_01480	Syah.g_01993
OG0000009	Syaf.g_00905	Syah.g_02535
OG0000010	Syaf.g_02499	Syah.g_01220
OG0000011	Syaf.g_01483	Syah.g_01991
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462	Syah.g_02169
OG0000012	Syaf.g_01693	Syah.g_01340
OG0000013	Syaf.g_00056	Syah.g_00822
OG0000013	Syaf.g_00044	Syah.g_00831
OG0000013	Syaf.g_00061	Syah.g_00817
OG0000014	Syaf.g_00280	Syah.g_00127
OG0000015	Syaf.g_02120	Syah.g_01511
OG0000015	Syaf.g_02121	Syah.g_01510
OG0000016	Syaf.g_00484	Syah.g_00359
OG0000016	Syaf.g_01576	Syah.g_01402
OG0000016	Syaf.g_01713	Syah.g_01859
OG0000017	Syaf.g_02561	Syah.g_01152
OG0000017	Syaf.g_02554	Syah.g_01159
OG0000018	Syaf.g_02451	Syah.g_01264
OG0000019	Syaf.g_00193	Syah.g_00669
OG0000022	Syaf.g_02256	Syah.g_01881
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731	Syah.g_01330, Syah.g_02167
OG0000023	Syaf.g_01995	Syah.g_00930
OG0000024	Syaf.g_01484	Syah.g_01990
OG0000025	Syaf.g_01385	Syah.g_02082
OG0000026	Syaf.g_00461	Syah.g_00340
OG0000027	Syaf.g_01688	Syah.g_01541
OG0000028	Syaf.g_00297	Syah.g_00141
OG0000030	Syaf.g_00406	Syah.g_00264
OG0000030	Syaf.g_00407	Syah.g_00265
OG0000031	Syaf.g_00314	Syah.g_00146
OG0000031	Syaf.g_01143	Syah.g_00226, Syah.g_00322
OG0000032	Syaf.g_02471	Syah.g_01246
OG0000033	Syaf.g_00807	Syah.g_00078
OG0000034	Syaf.g_01241, Syaf.g_00837	Syah.g_00048, Syah.g_02213
OG0000035	Syaf.g_02412	Syah.g_01293
OG0000037	Syaf.g_00899	Syah.g_02541
OG0000038	Syaf.g_00642	Syah.g_00508
OG0000039	Syaf.g_01395	Syah.g_02074
OG0000040	Syaf.g_00558	Syah.g_00431
OG0000041	Syaf.g_01171	Syah.g_02271
OG0000041	Syaf.g_01414	Syah.g_02039
OG0000042	Syaf.g_00403	Syah.g_00261
OG0000043	Syaf.g_01747	Syah.g_01546
OG0000044	Syaf.g_01400	Syah.g_02072
OG0000045	Syaf.g_00979	Syah.g_01872
OG0000046	Syaf.g_00055	Syah.g_00823
OG0000046	Syaf.g_00045	Syah.g_00830
OG0000046	Syaf.g_00062	Syah.g_00816
OG0000047	Syaf.g_00030	Syah.g_00847
OG0000048	Syaf.g_00230	Syah.g_00637
OG0000052	Syaf.g_00335	Syah.g_00171
OG0000053	Syaf.g_02447	Syah.g_01267
OG0000054	Syaf.g_02376	Syah.g_01982
OG0000055	Syaf.g_01402	Syah.g_02071
OG0000057	Syaf.g_01452	Syah.g_02020
OG0000058	Syaf.g_00316	Syah.g_00152
OG0000059	Syaf.g_00143	Syah.g_00737
OG0000060	Syaf.g_01603	Syah.g_01515
OG0000061	Syaf.g_01288	Syah.g_02158
OG0000062	Syaf.g_01055	Syah.g_02365
OG0000063	Syaf.g_00457	Syah.g_00337
OG0000064	Syaf.g_01063	Syah.g_02357
OG0000064	Syaf.g_01667	Syah.g_01353
OG0000065	Syaf.g_00903	Syah.g_02537
OG0000066	Syaf.g_02643	Syah.g_01073
OG0000067	Syaf.g_02049	Syah.g_01779
OG0000068	Syaf.g_02733	Syah.g_00986
OG0000070	Syaf.g_01237	Syah.g_02217
OG0000071	Syaf.g_01254	Syah.g_02199
OG0000072	Syaf.g_00805	Syah.g_00080
OG0000073	Syaf.g_02700	Syah.g_01018
OG0000075	Syaf.g_00353	Syah.g_00186
OG0000076	Syaf.g_00388	Syah.g_00250
OG0000079	Syaf.g_00197	Syah.g_00665
OG0000081	Syaf.g_02776	Syah.g_00922
OG0000082	Syaf.g_02576	Syah.g_01136
OG0000084	Syaf.g_02409	Syah.g_01296
OG0000085	Syaf.g_01048	Syah.g_02372
OG0000086	Syaf.g_00932	Syah.g_02511
OG0000087	Syaf.g_00848	Syah.g_00038
OG0000088	Syaf.g_00811	Syah.g_00074
OG0000089	Syaf.g_02807	Syah.g_00888
OG0000090	Syaf.g_02654	Syah.g_01064
OG0000091	Syaf.g_02302	Syah.g_01927
OG0000093	Syaf.g_02065	Syah.g_01794
OG0000094	Syaf.g_01940	Syah.g_01692
OG0000095	Syaf.g_01442	Syah.g_02030
OG0000097	Syaf.g_01574	Syah.g_01400
OG0000098	Syaf.g_01637	Syah.g_00723
OG0000099	Syaf.g_00312	Syah.g_00144
OG0000100	Syaf.g_02017	Syah.g_01747
OG0000101	Syaf.g_00093	Syah.g_00785
OG0000102	Syaf.g_00393	Syah.g_00255
OG0000103	Syaf.g_00520	Syah.g_00391
OG0000104	Syaf.g_00502	Syah.g_00377
OG0000105	Syaf.g_00235	Syah.g_00632
OG0000106	Syaf.g_01745	Syah.g_01544
OG0000107	Syaf.g_00177	Syah.g_00688
OG0000108	Syaf.g_02721	Syah.g_00997
OG0000109	Syaf.g_02706	Syah.g_01012
OG0000110	Syaf.g_02589	Syah.g_01124
OG0000111	Syaf.g_01451	Syah.g_02021
OG0000112	Syaf.g_01852	Syah.g_01613
OG0000113	Syaf.g_02022	Syah.g_01752
OG0000114	Syaf.g_02103	Syah.g_01529
OG0000115	Syaf.g_02445	Syah.g_01269
OG0000116	Syaf.g_01276	Syah.g_02175
OG0000117	Syaf.g_01605	Syah.g_01425
OG0000118	Syaf.g_02544	Syah.g_01173
OG0000120	Syaf.g_00313	Syah.g_00145
OG0000121	Syaf.g_02419	Syah.g_01287
OG0000123	Syaf.g_00086	Syah.g_00793
OG0000124	Syaf.g_00414	Syah.g_00272
OG0000125	Syaf.g_00640	Syah.g_00504
OG0000126	Syaf.g_00504	Syah.g_00379
OG0000128	Syaf.g_00486	Syah.g_00361
