Orthogroup	Syaf	Prag
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prag.g_01374
OG0000004	Syaf.g_01455	Prag.g_00673
OG0000004	Syaf.g_02351, Syaf.g_02794	Prag.g_00225
OG0000005	Syaf.g_01017	Prag.g_01682
OG0000005	Syaf.g_01057	Prag.g_01566
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prag.g_00234, Prag.g_01231
OG0000007	Syaf.g_02702	Prag.g_00476
OG0000007	Syaf.g_01033	Prag.g_01669
OG0000008	Syaf.g_01479	Prag.g_01655
OG0000008	Syaf.g_01480	Prag.g_01656
OG0000009	Syaf.g_00905	Prag.g_00098
OG0000010	Syaf.g_02499	Prag.g_01043
OG0000011	Syaf.g_01532	Prag.g_01326
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prag.g_00601
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prag.g_00318
OG0000014	Syaf.g_00280	Prag.g_00297
OG0000015	Syaf.g_02120, Syaf.g_02121	Prag.g_00765
OG0000016	Syaf.g_00484	Prag.g_00013
OG0000016	Syaf.g_01713	Prag.g_01638
OG0000017	Syaf.g_02561, Syaf.g_02554	Prag.g_00576
OG0000018	Syaf.g_02451	Prag.g_01134
OG0000019	Syaf.g_00193	Prag.g_00242, Prag.g_00786
OG0000020	Syaf.g_02187	Prag.g_01100, Prag.g_01637
OG0000021	Syaf.g_01726, Syaf.g_02773	Prag.g_01633, Prag.g_00359
OG0000022	Syaf.g_02256	Prag.g_01116
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prag.g_00354
OG0000024	Syaf.g_01484	Prag.g_00740, Prag.g_00653
OG0000025	Syaf.g_01385	Prag.g_00322, Prag.g_00839
OG0000026	Syaf.g_00461	Prag.g_00031, Prag.g_01050
OG0000027	Syaf.g_02284, Syaf.g_01688	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syaf.g_00297	Prag.g_01270, Prag.g_00311
OG0000029	Syaf.g_01761	Prag.g_00748
OG0000030	Syaf.g_00406, Syaf.g_00407	Prag.g_01871
OG0000031	Syaf.g_01143	Prag.g_01446
OG0000034	Syaf.g_01241, Syaf.g_00837	Prag.g_01365
OG0000035	Syaf.g_02412	Prag.g_01490, Prag.g_01488
OG0000037	Syaf.g_00899	Prag.g_00102
OG0000038	Syaf.g_00642	Prag.g_01911
OG0000039	Syaf.g_01395	Prag.g_00664
OG0000040	Syaf.g_00558	Prag.g_01133
OG0000041	Syaf.g_01171, Syaf.g_01414	Prag.g_01716
OG0000042	Syaf.g_00403	Prag.g_01868
OG0000045	Syaf.g_00979	Prag.g_00365
OG0000047	Syaf.g_00030	Prag.g_00321
OG0000048	Syaf.g_00230	Prag.g_01658, Prag.g_00368
OG0000053	Syaf.g_02447	Prag.g_01510
OG0000054	Syaf.g_02376	Prag.g_00584
OG0000055	Syaf.g_01402	Prag.g_00787
OG0000057	Syaf.g_01665, Syaf.g_01452	Prag.g_00676
OG0000059	Syaf.g_00143	Prag.g_01755
OG0000060	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603	Prag.g_00760
OG0000061	Syaf.g_01288	Prag.g_01153
OG0000062	Syaf.g_01055	Prag.g_01568
OG0000063	Syaf.g_00457	Prag.g_00033
OG0000065	Syaf.g_00903	Prag.g_00100
OG0000066	Syaf.g_02643	Prag.g_00518
OG0000067	Syaf.g_02049	Prag.g_00806
OG0000068	Syaf.g_02733	Prag.g_01389
OG0000070	Syaf.g_01237	Prag.g_00429
OG0000071	Syaf.g_01254	Prag.g_01355
OG0000072	Syaf.g_00805	Prag.g_00164
OG0000073	Syaf.g_02700	Prag.g_00478
OG0000075	Syaf.g_00353	Prag.g_01836
OG0000076	Syaf.g_00388	Prag.g_01861
OG0000077	Syaf.g_00951	Prag.g_00072
OG0000078	Syaf.g_02782	Prag.g_00232
OG0000081	Syaf.g_02776	Prag.g_00510
OG0000082	Syaf.g_02576	Prag.g_00563
OG0000084	Syaf.g_02409	Prag.g_01484
OG0000085	Syaf.g_01048	Prag.g_01662
OG0000086	Syaf.g_00932	Prag.g_00082
OG0000087	Syaf.g_00848	Prag.g_00132
OG0000088	Syaf.g_00811	Prag.g_00159
OG0000089	Syaf.g_02807	Prag.g_00350
OG0000090	Syaf.g_02654	Prag.g_00512
OG0000091	Syaf.g_02302	Prag.g_00620
OG0000093	Syaf.g_02065	Prag.g_00932
OG0000094	Syaf.g_01940	Prag.g_01017
OG0000095	Syaf.g_01442	Prag.g_01036
OG0000097	Syaf.g_01574	Prag.g_01194
OG0000098	Syaf.g_01637	Prag.g_01371
OG0000099	Syaf.g_00312	Prag.g_01424
OG0000100	Syaf.g_02017	Prag.g_01564
OG0000101	Syaf.g_00093	Prag.g_01804
OG0000102	Syaf.g_00393	Prag.g_01866
OG0000103	Syaf.g_00520	Prag.g_01945
OG0000104	Syaf.g_00502	Prag.g_01953
OG0000105	Syaf.g_00235	Prag.g_00265
OG0000106	Syaf.g_01745	Prag.g_00364
OG0000107	Syaf.g_00177, Syaf.g_00758	Prag.g_00378
OG0000108	Syaf.g_02721	Prag.g_00459
OG0000109	Syaf.g_02706	Prag.g_00473
OG0000110	Syaf.g_02589	Prag.g_00553
OG0000111	Syaf.g_01451	Prag.g_00677
OG0000112	Syaf.g_01852	Prag.g_00771
OG0000113	Syaf.g_02022	Prag.g_00828
OG0000114	Syaf.g_02103	Prag.g_00906
OG0000115	Syaf.g_02445	Prag.g_01097
OG0000116	Syaf.g_01276	Prag.g_01143
OG0000117	Syaf.g_01605	Prag.g_01298
OG0000118	Syaf.g_02544	Prag.g_01367
OG0000120	Syaf.g_00313	Prag.g_01423
OG0000121	Syaf.g_02419	Prag.g_01492
OG0000123	Syaf.g_00086	Prag.g_01811
OG0000124	Syaf.g_00414	Prag.g_01877
OG0000125	Syaf.g_00640	Prag.g_01913
OG0000126	Syaf.g_00504	Prag.g_01952
OG0000128	Syaf.g_00486	Prag.g_00011
OG0000129	Syaf.g_00651	Prag.g_00044
OG0000130	Syaf.g_00963	Prag.g_00063
OG0000131	Syaf.g_00833	Prag.g_00138
OG0000132	Syaf.g_00813	Prag.g_00157
OG0000133	Syaf.g_01857	Prag.g_00313
OG0000134	Syaf.g_02804	Prag.g_00351
OG0000135	Syaf.g_00605	Prag.g_00375
OG0000136	Syaf.g_01224	Prag.g_00420
OG0000137	Syaf.g_02498	Prag.g_00454
OG0000138	Syaf.g_02705	Prag.g_00474
OG0000139	Syaf.g_02648	Prag.g_00516
OG0000140	Syaf.g_02646	Prag.g_00517
OG0000141	Syaf.g_02375	Prag.g_00585
OG0000142	Syaf.g_02310	Prag.g_00613
OG0000143	Syaf.g_02306	Prag.g_00617
OG0000144	Syaf.g_01735	Prag.g_00630
OG0000145	Syaf.g_02699	Prag.g_00758
OG0000146	Syaf.g_01851	Prag.g_00772
OG0000147	Syaf.g_01850	Prag.g_00773
OG0000148	Syaf.g_02028	Prag.g_00822
OG0000149	Syaf.g_01371	Prag.g_00851
OG0000150	Syaf.g_02645	Prag.g_00859
OG0000151	Syaf.g_02091	Prag.g_00916
OG0000152	Syaf.g_01861	Prag.g_00964
OG0000153	Syaf.g_01904	Prag.g_00983
OG0000154	Syaf.g_01930	Prag.g_01010
OG0000155	Syaf.g_01324	Prag.g_01173
OG0000156	Syaf.g_01270	Prag.g_01342
OG0000157	Syaf.g_01269	Prag.g_01343
OG0000158	Syaf.g_00364	Prag.g_01425
OG0000160	Syaf.g_02418	Prag.g_01491
OG0000161	Syaf.g_02424	Prag.g_01497
OG0000162	Syaf.g_02431	Prag.g_01503
OG0000163	Syaf.g_01105	Prag.g_01537
OG0000164	Syaf.g_00999	Prag.g_01693
OG0000165	Syaf.g_01197	Prag.g_01700
OG0000166	Syaf.g_00133	Prag.g_01768
OG0000167	Syaf.g_00350	Prag.g_01834
OG0000168	Syaf.g_00365	Prag.g_01844
OG0000169	Syaf.g_00376	Prag.g_01854
OG0000170	Syaf.g_00383	Prag.g_01856
OG0000171	Syaf.g_00413	Prag.g_01876
OG0000172	Syaf.g_00419	Prag.g_01884
OG0000173	Syaf.g_00438	Prag.g_01899
OG0000174	Syaf.g_00603	Prag.g_01927
OG0000175	Syaf.g_00531	Prag.g_01937
OG0000176	Syaf.g_00494	Prag.g_00004
OG0000177	Syaf.g_00493	Prag.g_00005
OG0000178	Syaf.g_00492	Prag.g_00006
OG0000179	Syaf.g_00477	Prag.g_00016
OG0000180	Syaf.g_00476	Prag.g_00017
OG0000181	Syaf.g_00475	Prag.g_00018
OG0000182	Syaf.g_00474	Prag.g_00019
OG0000183	Syaf.g_00470	Prag.g_00023
OG0000184	Syaf.g_00664	Prag.g_00046
OG0000185	Syaf.g_00684	Prag.g_00049
OG0000186	Syaf.g_00968	Prag.g_00058
OG0000187	Syaf.g_00966	Prag.g_00059
OG0000188	Syaf.g_00944	Prag.g_00076
OG0000189	Syaf.g_00916	Prag.g_00089
OG0000190	Syaf.g_00914	Prag.g_00090
OG0000191	Syaf.g_00877	Prag.g_00110
OG0000192	Syaf.g_00871	Prag.g_00114
OG0000193	Syaf.g_00832	Prag.g_00139
OG0000194	Syaf.g_00829	Prag.g_00142
OG0000195	Syaf.g_00827	Prag.g_00144
OG0000196	Syaf.g_00816	Prag.g_00154
OG0000197	Syaf.g_00815	Prag.g_00155
OG0000198	Syaf.g_00814	Prag.g_00156
OG0000199	Syaf.g_00806	Prag.g_00163
OG0000200	Syaf.g_00789	Prag.g_00177
OG0000201	Syaf.g_00771	Prag.g_00185
OG0000202	Syaf.g_00770	Prag.g_00186
OG0000203	Syaf.g_00769	Prag.g_00187
OG0000204	Syaf.g_00768	Prag.g_00188
OG0000205	Syaf.g_00761	Prag.g_00195
OG0000206	Syaf.g_00736	Prag.g_00200
OG0000207	Syaf.g_00735	Prag.g_00202
OG0000208	Syaf.g_00734	Prag.g_00203
OG0000209	Syaf.g_00714	Prag.g_00212
OG0000210	Syaf.g_00713	Prag.g_00213
OG0000211	Syaf.g_02791	Prag.g_00226
OG0000212	Syaf.g_02781	Prag.g_00233
OG0000213	Syaf.g_00210	Prag.g_00249
OG0000214	Syaf.g_00226	Prag.g_00258
OG0000215	Syaf.g_00258	Prag.g_00283
OG0000216	Syaf.g_00262	Prag.g_00285
OG0000217	Syaf.g_00266	Prag.g_00288
OG0000218	Syaf.g_00268	Prag.g_00290
OG0000219	Syaf.g_00269	Prag.g_00291
OG0000220	Syaf.g_00270	Prag.g_00292
OG0000221	Syaf.g_02597, Syaf.g_00273	Prag.g_00293
OG0000222	Syaf.g_00287	Prag.g_00301
OG0000223	Syaf.g_00317	Prag.g_00314
OG0000224	Syaf.g_00324	Prag.g_00316
OG0000225	Syaf.g_00007	Prag.g_00340
OG0000226	Syaf.g_00003	Prag.g_00344
OG0000227	Syaf.g_00001	Prag.g_00346
OG0000228	Syaf.g_02808	Prag.g_00349
OG0000229	Syaf.g_01214	Prag.g_00415
OG0000230	Syaf.g_01216	Prag.g_00417
OG0000231	Syaf.g_01236	Prag.g_00428
OG0000232	Syaf.g_02536	Prag.g_00437
OG0000233	Syaf.g_02528	Prag.g_00442
OG0000234	Syaf.g_02497	Prag.g_00455
OG0000235	Syaf.g_02722	Prag.g_00458
OG0000236	Syaf.g_02707	Prag.g_00472
OG0000237	Syaf.g_02690	Prag.g_00485
OG0000238	Syaf.g_02685	Prag.g_00491
OG0000239	Syaf.g_02669	Prag.g_00504
OG0000240	Syaf.g_02668	Prag.g_00505
OG0000241	Syaf.g_02322	Prag.g_00509
OG0000242	Syaf.g_02656	Prag.g_00511
OG0000243	Syaf.g_02634	Prag.g_00522
OG0000244	Syaf.g_02627	Prag.g_00525
OG0000245	Syaf.g_02625	Prag.g_00527
OG0000246	Syaf.g_02621	Prag.g_00531
OG0000247	Syaf.g_02610	Prag.g_00541
OG0000248	Syaf.g_02607	Prag.g_00543
OG0000249	Syaf.g_02605	Prag.g_00545
OG0000250	Syaf.g_02593	Prag.g_00550
OG0000251	Syaf.g_02568	Prag.g_00569
OG0000252	Syaf.g_02565	Prag.g_00572
OG0000253	Syaf.g_02564	Prag.g_00573
OG0000254	Syaf.g_02371	Prag.g_00589
OG0000255	Syaf.g_02352	Prag.g_00595
OG0000256	Syaf.g_02329	Prag.g_00605
OG0000257	Syaf.g_02323	Prag.g_00608
OG0000258	Syaf.g_02301	Prag.g_00621
OG0000259	Syaf.g_02137	Prag.g_00638
OG0000260	Syaf.g_02134	Prag.g_00641
OG0000261	Syaf.g_02131	Prag.g_00643
OG0000262	Syaf.g_02126	Prag.g_00647
OG0000263	Syaf.g_01585	Prag.g_00659
OG0000264	Syaf.g_01473	Prag.g_00669
OG0000265	Syaf.g_01196	Prag.g_00692
OG0000266	Syaf.g_01967	Prag.g_00702
OG0000267	Syaf.g_01787	Prag.g_00713
OG0000268	Syaf.g_00307, Syaf.g_01788	Prag.g_00714
OG0000269	Syaf.g_02054	Prag.g_00801
OG0000270	Syaf.g_02051	Prag.g_00804
OG0000271	Syaf.g_02043	Prag.g_00812
OG0000272	Syaf.g_02042	Prag.g_00813
OG0000273	Syaf.g_01392	Prag.g_00835
OG0000274	Syaf.g_01391	Prag.g_00836
OG0000275	Syaf.g_01386	Prag.g_00838
OG0000276	Syaf.g_01379	Prag.g_00843
OG0000277	Syaf.g_01378	Prag.g_00844
OG0000278	Syaf.g_01375	Prag.g_00847
OG0000279	Syaf.g_01367	Prag.g_00854
OG0000280	Syaf.g_01337	Prag.g_00855
OG0000281	Syaf.g_01636	Prag.g_00860
OG0000282	Syaf.g_02101	Prag.g_00908
OG0000283	Syaf.g_01804	Prag.g_00941
OG0000284	Syaf.g_01810	Prag.g_00946
OG0000285	Syaf.g_01842	Prag.g_00951
OG0000286	Syaf.g_01860	Prag.g_00963
OG0000287	Syaf.g_01896	Prag.g_00980
OG0000288	Syaf.g_01929	Prag.g_01009
OG0000289	Syaf.g_01943	Prag.g_01020
OG0000290	Syaf.g_01439	Prag.g_01033
OG0000291	Syaf.g_01441	Prag.g_01035
OG0000292	Syaf.g_00505	Prag.g_01085
OG0000293	Syaf.g_01277	Prag.g_01144
OG0000294	Syaf.g_01278	Prag.g_01145
OG0000295	Syaf.g_01316	Prag.g_01165
OG0000296	Syaf.g_01318	Prag.g_01167
OG0000297	Syaf.g_01607	Prag.g_01175
OG0000298	Syaf.g_01606	Prag.g_01176
OG0000299	Syaf.g_01578	Prag.g_01193
OG0000300	Syaf.g_01571	Prag.g_01196
OG0000301	Syaf.g_01570	Prag.g_01197
OG0000302	Syaf.g_01568	Prag.g_01199
OG0000303	Syaf.g_01559	Prag.g_01206
OG0000304	Syaf.g_01551	Prag.g_01210
OG0000305	Syaf.g_01444	Prag.g_01381
OG0000306	Syaf.g_01332	Prag.g_01384
OG0000307	Syaf.g_02742	Prag.g_01398
OG0000308	Syaf.g_02744	Prag.g_01399
OG0000309	Syaf.g_02749	Prag.g_01403
OG0000310	Syaf.g_02387	Prag.g_01473
