Orthogroup	Syaf	Syar
OG0000001	Syaf.g_00846	Syar.g_00069
OG0000001	Syaf.g_00845	Syar.g_00070
OG0000004	Syaf.g_01455	Syar.g_02051
OG0000004	Syaf.g_02351	Syar.g_02225
OG0000004	Syaf.g_02794	Syar.g_00842
OG0000005	Syaf.g_01017	Syar.g_02952
OG0000005	Syaf.g_01057	Syar.g_02909
OG0000005	Syaf.g_01352, Syaf.g_01732	Syar.g_01752
OG0000006	Syaf.g_02288	Syar.g_02439
OG0000006	Syaf.g_00179, Syaf.g_02778	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syaf.g_02702	Syar.g_01491
OG0000007	Syaf.g_01033	Syar.g_02929
OG0000008	Syaf.g_01479	Syar.g_02097
OG0000008	Syaf.g_01480	Syar.g_02098
OG0000009	Syaf.g_00905	Syar.g_03116
OG0000010	Syaf.g_02499	Syar.g_01272
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Syar.g_00690, Syar.g_02860
OG0000013	Syaf.g_00061	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syaf.g_00280	Syar.g_00825
OG0000016	Syaf.g_00484, Syaf.g_01576, Syaf.g_01713	Syar.g_02859
OG0000017	Syaf.g_02561	Syar.g_03181
OG0000017	Syaf.g_02554	Syar.g_02180
OG0000018	Syaf.g_02451	Syar.g_01409
OG0000019	Syaf.g_00193	Syar.g_00163
OG0000022	Syaf.g_02256	Syar.g_00835
OG0000025	Syaf.g_01385	Syar.g_01811
OG0000026	Syaf.g_00461	Syar.g_00505
OG0000027	Syaf.g_02284, Syaf.g_01688	Syar.g_02055
OG0000028	Syaf.g_00297	Syar.g_00718
OG0000031	Syaf.g_00314	Syar.g_00714
OG0000032	Syaf.g_02471	Syar.g_01390
OG0000033	Syaf.g_00807	Syar.g_00105
OG0000034	Syaf.g_01241, Syaf.g_00837	Syar.g_00074, Syar.g_02790
OG0000035	Syaf.g_02412	Syar.g_02809
OG0000038	Syaf.g_00642	Syar.g_00334
OG0000039	Syaf.g_01395	Syar.g_00007
OG0000040	Syaf.g_00558	Syar.g_00858
OG0000042	Syaf.g_00403	Syar.g_00595, Syar.g_01970
OG0000046	Syaf.g_00045	Syar.g_03233
OG0000046	Syaf.g_00062	Syar.g_01102, Syar.g_01105
OG0000048	Syaf.g_00230	Syar.g_00213
OG0000051	Syaf.g_00972	Syar.g_01597
OG0000052	Syaf.g_00335	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Syaf.g_02447	Syar.g_01413
OG0000057	Syaf.g_01665	Syar.g_01941
OG0000057	Syaf.g_01452	Syar.g_00006
OG0000058	Syaf.g_00316	Syar.g_00648
OG0000059	Syaf.g_00143	Syar.g_01024
OG0000060	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425	Syar.g_01260
OG0000061	Syaf.g_01288	Syar.g_01539
OG0000062	Syaf.g_02167	Syar.g_01439
OG0000062	Syaf.g_01055	Syar.g_02911
OG0000063	Syaf.g_00457	Syar.g_00509
OG0000064	Syaf.g_01667	Syar.g_00860
OG0000066	Syaf.g_02643	Syar.g_03187
OG0000067	Syaf.g_02049	Syar.g_02639
OG0000068	Syaf.g_02733	Syar.g_02329, Syar.g_01461
OG0000070	Syaf.g_01237	Syar.g_02223
OG0000072	Syaf.g_00805	Syar.g_00107
OG0000073	Syaf.g_02700	Syar.g_01493
OG0000075	Syaf.g_00353	Syar.g_03065, Syar.g_00659
OG0000076	Syaf.g_00388	Syar.g_00608
OG0000078	Syaf.g_02782	Syar.g_03018
OG0000079	Syaf.g_00197	Syar.g_00166
OG0000081	Syaf.g_02776	Syar.g_01898
OG0000082	Syaf.g_02576	Syar.g_02202
OG0000085	Syaf.g_01048	Syar.g_02919
OG0000086	Syaf.g_00932	Syar.g_03085
OG0000087	Syaf.g_00848	Syar.g_00068
OG0000088	Syaf.g_00811	Syar.g_00101
OG0000089	Syaf.g_02807	Syar.g_01162
OG0000090	Syaf.g_02654	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syaf.g_02302	Syar.g_01891, Syar.g_02426
OG0000093	Syaf.g_01775	Syar.g_00819
OG0000093	Syaf.g_02065	Syar.g_02623
OG0000094	Syaf.g_01940	Syar.g_01789
OG0000095	Syaf.g_01442	Syar.g_01932
OG0000097	Syaf.g_01574	Syar.g_01706, Syar.g_00364
OG0000098	Syaf.g_01637	Syar.g_02343
OG0000099	Syaf.g_00312	Syar.g_00715
OG0000100	Syaf.g_02017	Syar.g_02477
OG0000101	Syaf.g_00093	Syar.g_03154
OG0000102	Syaf.g_00393	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syaf.g_00520	Syar.g_00014
