Orthogroup	Syaf	Syap
OG0000001	Syaf.g_00845	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syaf.g_02794	Syap.g_01987
OG0000005	Syaf.g_01017	Syap.g_01773
OG0000005	Syaf.g_01057	Syap.g_01218
OG0000006	Syaf.g_02288	Syap.g_02770
OG0000007	Syaf.g_02702	Syap.g_00275
OG0000007	Syaf.g_01033	Syap.g_00621
OG0000009	Syaf.g_00905	Syap.g_02081
OG0000010	Syaf.g_02499	Syap.g_02757
OG0000013	Syaf.g_00061	Syap.g_00972
OG0000014	Syaf.g_00280	Syap.g_01675
OG0000016	Syaf.g_00484	Syap.g_00071
OG0000018	Syaf.g_02451	Syap.g_02010
OG0000019	Syaf.g_00193	Syap.g_01586
OG0000025	Syaf.g_01385	Syap.g_01846
OG0000027	Syaf.g_02284	Syap.g_01440
OG0000028	Syaf.g_00297	Syap.g_01658
OG0000030	Syaf.g_00406	Syap.g_00787
OG0000030	Syaf.g_00407	Syap.g_00788
OG0000031	Syaf.g_00314	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Syaf.g_01143	Syap.g_00722
OG0000033	Syaf.g_00807	Syap.g_01198
OG0000034	Syaf.g_01241, Syaf.g_00837	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syaf.g_02412	Syap.g_02125, Syap.g_02465
OG0000039	Syaf.g_01395	Syap.g_01749, Syap.g_01748
OG0000040	Syaf.g_00558	Syap.g_01819
OG0000042	Syaf.g_00403	Syap.g_01891, Syap.g_01120
OG0000046	Syaf.g_00062	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syaf.g_00230	Syap.g_02340
OG0000051	Syaf.g_00972	Syap.g_01574
OG0000053	Syaf.g_02447	Syap.g_02006
OG0000057	Syaf.g_01665, Syaf.g_01452	Syap.g_01569
OG0000058	Syaf.g_00316	Syap.g_02074
OG0000059	Syaf.g_00143	Syap.g_01918
OG0000060	Syaf.g_01603	Syap.g_00795
OG0000061	Syaf.g_01288	Syap.g_00228
OG0000062	Syaf.g_02167	Syap.g_01365
OG0000062	Syaf.g_01055	Syap.g_01220
OG0000063	Syaf.g_00457	Syap.g_01796
OG0000066	Syaf.g_02643	Syap.g_01972
OG0000067	Syaf.g_02049	Syap.g_00194
OG0000068	Syaf.g_02733	Syap.g_00108, Syap.g_00144
OG0000070	Syaf.g_01237	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syaf.g_02700	Syap.g_00273
OG0000075	Syaf.g_00353	Syap.g_01064, Syap.g_00664
OG0000076	Syaf.g_00388	Syap.g_01111
OG0000078	Syaf.g_02782	Syap.g_01149
OG0000079	Syaf.g_00197	Syap.g_01589
OG0000080	Syaf.g_00306	Syap.g_01003
OG0000085	Syaf.g_01048	Syap.g_00611
OG0000087	Syaf.g_00848	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syaf.g_00811	Syap.g_01202
OG0000089	Syaf.g_02807	Syap.g_00115, Syap.g_02042
OG0000090	Syaf.g_02654	Syap.g_01451
OG0000091	Syaf.g_02302	Syap.g_01861
OG0000094	Syaf.g_01940	Syap.g_02781
OG0000095	Syaf.g_01442	Syap.g_01556
OG0000098	Syaf.g_01637	Syap.g_01975
OG0000099	Syaf.g_00312	Syap.g_01385
OG0000102	Syaf.g_00393	Syap.g_01116
OG0000104	Syaf.g_00502	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syaf.g_00235	Syap.g_01369, Syap.g_01368
OG0000107	Syaf.g_00758	Syap.g_02496
OG0000108	Syaf.g_02721	Syap.g_00733, Syap.g_02255
OG0000110	Syaf.g_02589	Syap.g_01313
OG0000111	Syaf.g_01451	Syap.g_01566, Syap.g_01568
OG0000112	Syaf.g_01852	Syap.g_02023
OG0000113	Syaf.g_02022	Syap.g_02714
OG0000114	Syaf.g_02103	Syap.g_01255
OG0000115	Syaf.g_02445	Syap.g_02004
OG0000116	Syaf.g_01276	Syap.g_00241
OG0000117	Syaf.g_01605	Syap.g_01889
OG0000118	Syaf.g_02544	Syap.g_02286
OG0000120	Syaf.g_00313	Syap.g_02075
OG0000121	Syaf.g_02419	Syap.g_02471
OG0000123	Syaf.g_00086	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syaf.g_00414	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syaf.g_00640	Syap.g_01046, Syap.g_01047
OG0000126	Syaf.g_00504	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Syaf.g_01541	Syap.g_00736
OG0000127	Syaf.g_01151	Syap.g_00737, Syap.g_00735
OG0000128	Syaf.g_00486	Syap.g_00069
OG0000129	Syaf.g_00651	Syap.g_00130, Syap.g_00129
OG0000130	Syaf.g_00963	Syap.g_01688, Syap.g_01689
OG0000131	Syaf.g_00833	Syap.g_02189
OG0000132	Syaf.g_00813	Syap.g_01205
OG0000133	Syaf.g_01857	Syap.g_02017
OG0000134	Syaf.g_02804	Syap.g_02047
OG0000135	Syaf.g_00605	Syap.g_02090
OG0000136	Syaf.g_01224	Syap.g_00089
OG0000137	Syaf.g_02498	Syap.g_02756
OG0000138	Syaf.g_02705	Syap.g_00278
OG0000139	Syaf.g_02648	Syap.g_00410
