Orthogroup	Syaf	Prbb
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbb.g_01611
OG0000004	Syaf.g_01455	Prbb.g_01450
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbb.g_00288
OG0000005	Syaf.g_01017	Prbb.g_01393
OG0000005	Syaf.g_01057	Prbb.g_01766
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syaf.g_02702	Prbb.g_00501
OG0000007	Syaf.g_01033	Prbb.g_01823
OG0000008	Syaf.g_01479	Prbb.g_01884
OG0000008	Syaf.g_01480	Prbb.g_01885
OG0000010	Syaf.g_02499	Prbb.g_01072
OG0000011	Syaf.g_01532	Prbb.g_01229
OG0000011	Syaf.g_01483	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbb.g_00378
OG0000014	Syaf.g_00280	Prbb.g_00357
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbb.g_01158
OG0000016	Syaf.g_00484	Prbb.g_00014
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbb.g_01919
OG0000018	Syaf.g_02451	Prbb.g_01539
OG0000019	Syaf.g_00193	Prbb.g_00761
OG0000020	Syaf.g_02187	Prbb.g_01180
OG0000021	Syaf.g_02773	Prbb.g_01914, Prbb.g_00099
OG0000022	Syaf.g_02256	Prbb.g_01258
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbb.g_01411, Prbb.g_01373
OG0000024	Syaf.g_01484	Prbb.g_01175, Prbb.g_00680
OG0000025	Syaf.g_01385	Prbb.g_00052, Prbb.g_00818
OG0000026	Syaf.g_00461	Prbb.g_00032
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbb.g_01375
OG0000028	Syaf.g_00297	Prbb.g_01635
OG0000029	Syaf.g_01761	Prbb.g_01800
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbb.g_02073
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbb.g_00387
OG0000032	Syaf.g_02471	Prbb.g_01723
OG0000033	Syaf.g_00807	Prbb.g_00226
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbb.g_01596
OG0000035	Syaf.g_02412	Prbb.g_01686
OG0000037	Syaf.g_00899	Prbb.g_00164
OG0000038	Syaf.g_00642	Prbb.g_02129
OG0000039	Syaf.g_01395	Prbb.g_00692
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbb.g_01868
OG0000042	Syaf.g_00403	Prbb.g_02069
OG0000043	Syaf.g_01747	Prbb.g_00909
OG0000044	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400	Prbb.g_00079
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prbb.g_00379
OG0000047	Syaf.g_00030	Prbb.g_00386, Prbb.g_00421
OG0000048	Syaf.g_00230	Prbb.g_00325
OG0000050	Syaf.g_01770	Prbb.g_01452
OG0000051	Syaf.g_00972	Prbb.g_01383
OG0000052	Syaf.g_00335	Prbb.g_00112
OG0000053	Syaf.g_02447	Prbb.g_01705
OG0000054	Syaf.g_02376	Prbb.g_00607
OG0000057	Syaf.g_01665, Syaf.g_01452	Prbb.g_01359, Prbb.g_00706
OG0000058	Syaf.g_00316	Prbb.g_00851
OG0000059	Syaf.g_00143	Prbb.g_01946
OG0000060	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603	Prbb.g_01153
OG0000061	Syaf.g_01288	Prbb.g_01517
OG0000062	Syaf.g_01055	Prbb.g_01768
OG0000063	Syaf.g_00457	Prbb.g_01921
OG0000065	Syaf.g_00903	Prbb.g_00162
OG0000066	Syaf.g_02643	Prbb.g_00542
OG0000067	Syaf.g_02049	Prbb.g_00783
