Orthogroup	Syaf	Prax
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prax.g_01878
OG0000004	Syaf.g_01455	Prax.g_00947
OG0000004	Syaf.g_02351, Syaf.g_02794	Prax.g_00986
OG0000005	Syaf.g_01017	Prax.g_01546
OG0000005	Syaf.g_01057	Prax.g_01652
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prax.g_01972
OG0000007	Syaf.g_02702	Prax.g_00704
OG0000007	Syaf.g_01033	Prax.g_01559
OG0000010	Syaf.g_02499	Prax.g_01212
OG0000011	Syaf.g_01532	Prax.g_01930, Prax.g_00460
OG0000011	Syaf.g_01483	Prax.g_00454
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prax.g_00082
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prax.g_00846
OG0000014	Syaf.g_00280	Prax.g_00869
OG0000015	Syaf.g_02120, Syaf.g_02121	Prax.g_00523, Prax.g_00410
OG0000017	Syaf.g_02561, Syaf.g_02554	Prax.g_00057
OG0000018	Syaf.g_02451	Prax.g_00181
OG0000019	Syaf.g_00193	Prax.g_00926, Prax.g_00393
OG0000020	Syaf.g_02187	Prax.g_00138
OG0000021	Syaf.g_01726, Syaf.g_02773	Prax.g_01587, Prax.g_00808
OG0000022	Syaf.g_02256	Prax.g_00157
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prax.g_00813
OG0000024	Syaf.g_01484	Prax.g_00432, Prax.g_00967
OG0000025	Syaf.g_01385	Prax.g_00842, Prax.g_00338
OG0000026	Syaf.g_00461	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syaf.g_02284, Syaf.g_01688	Prax.g_01916
OG0000028	Syaf.g_00297	Prax.g_00855
OG0000029	Syaf.g_01761	Prax.g_00425, Prax.g_00798
OG0000030	Syaf.g_00406, Syaf.g_00407	Prax.g_01404
OG0000031	Syaf.g_00314, Syaf.g_01143	Prax.g_01831
OG0000034	Syaf.g_01241, Syaf.g_00837	Prax.g_01889
OG0000035	Syaf.g_02412	Prax.g_01728, Prax.g_01733
OG0000037	Syaf.g_00899	Prax.g_01110
OG0000038	Syaf.g_00642	Prax.g_01445
OG0000039	Syaf.g_01395	Prax.g_00956
OG0000040	Syaf.g_00558	Prax.g_00180
OG0000041	Syaf.g_01171, Syaf.g_01414	Prax.g_01512
OG0000042	Syaf.g_00403	Prax.g_01401
OG0000045	Syaf.g_00979	Prax.g_00802
OG0000047	Syaf.g_00030	Prax.g_00843
OG0000048	Syaf.g_00230	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Syaf.g_01770	Prax.g_00448, Prax.g_00508
OG0000053	Syaf.g_02447	Prax.g_01708
OG0000054	Syaf.g_02376	Prax.g_00065
OG0000055	Syaf.g_01402	Prax.g_00392
OG0000057	Syaf.g_01665, Syaf.g_01452	Prax.g_00944
OG0000059	Syaf.g_00143	Prax.g_01286
OG0000060	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603	Prax.g_00517
OG0000061	Syaf.g_01288	Prax.g_00200
OG0000062	Syaf.g_01055	Prax.g_01650
OG0000063	Syaf.g_00457	Prax.g_00280
OG0000065	Syaf.g_00903	Prax.g_01112
OG0000066	Syaf.g_02643	Prax.g_00662
OG0000067	Syaf.g_02049	Prax.g_00373
OG0000068	Syaf.g_02733	Prax.g_01863
OG0000070	Syaf.g_01237	Prax.g_00750
OG0000071	Syaf.g_01254	Prax.g_01899
OG0000072	Syaf.g_00805	Prax.g_01047
OG0000073	Syaf.g_02700	Prax.g_00702
OG0000075	Syaf.g_00353	Prax.g_01370
OG0000076	Syaf.g_00388	Prax.g_01394
OG0000077	Syaf.g_00951	Prax.g_00649
OG0000078	Syaf.g_02782	Prax.g_00979
OG0000079	Syaf.g_00197	Prax.g_00923
OG0000081	Syaf.g_02776	Prax.g_00670
OG0000082	Syaf.g_02576	Prax.g_00045
OG0000084	Syaf.g_02409	Prax.g_01737
OG0000085	Syaf.g_01048	Prax.g_01566
OG0000086	Syaf.g_00932	Prax.g_00659
OG0000087	Syaf.g_00848	Prax.g_01079
OG0000088	Syaf.g_00811	Prax.g_01052
OG0000089	Syaf.g_02807	Prax.g_00817
OG0000090	Syaf.g_02654	Prax.g_00668
OG0000091	Syaf.g_02302	Prax.g_00101
OG0000093	Syaf.g_01775	Prax.g_01769
OG0000093	Syaf.g_02065	Prax.g_00588
OG0000094	Syaf.g_01940	Prax.g_01185
OG0000095	Syaf.g_01442	Prax.g_01204
OG0000097	Syaf.g_01574	Prax.g_00241
OG0000098	Syaf.g_01637	Prax.g_01881
OG0000099	Syaf.g_00312	Prax.g_01825
OG0000100	Syaf.g_02017	Prax.g_01654
OG0000101	Syaf.g_00093	Prax.g_01338
OG0000102	Syaf.g_00393	Prax.g_01399
OG0000103	Syaf.g_00520	Prax.g_01478
OG0000104	Syaf.g_00502	Prax.g_01486
OG0000105	Syaf.g_00235	Prax.g_00901
OG0000106	Syaf.g_01745	Prax.g_00803
OG0000107	Syaf.g_00177, Syaf.g_00758	Prax.g_00790
