Orthogroup	Syaf	Pram
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Pram.g_01954, Pram.g_01953
OG0000004	Syaf.g_01455	Pram.g_00789
OG0000004	Syaf.g_02351, Syaf.g_02794	Pram.g_00219
OG0000005	Syaf.g_01057	Pram.g_01295
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Pram.g_00229
OG0000007	Syaf.g_02702	Pram.g_00433
OG0000007	Syaf.g_01033	Pram.g_01632
OG0000008	Syaf.g_01479	Pram.g_01263
OG0000008	Syaf.g_01480	Pram.g_01262
OG0000010	Syaf.g_02499	Pram.g_00704, Pram.g_01000
OG0000011	Syaf.g_01483	Pram.g_01579
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Pram.g_00315
OG0000014	Syaf.g_00280	Pram.g_00295
OG0000015	Syaf.g_02120, Syaf.g_02121	Pram.g_00696, Pram.g_01545
OG0000016	Syaf.g_01576, Syaf.g_01713	Pram.g_01193
OG0000017	Syaf.g_02561	Pram.g_00535
OG0000017	Syaf.g_02554	Pram.g_00542
OG0000018	Syaf.g_02451	Pram.g_01162
OG0000019	Syaf.g_00193	Pram.g_00237, Pram.g_01164
OG0000020	Syaf.g_02187	Pram.g_01275, Pram.g_01595, Pram.g_01516
OG0000021	Syaf.g_02773	Pram.g_01274, Pram.g_00794
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Pram.g_00689
OG0000024	Syaf.g_01484	Pram.g_01004, Pram.g_00765
OG0000025	Syaf.g_01385	Pram.g_00844
OG0000026	Syaf.g_00461	Pram.g_00018
OG0000028	Syaf.g_00297	Pram.g_00363, Pram.g_00308
OG0000029	Syaf.g_01761	Pram.g_01529, Pram.g_01723
OG0000030	Syaf.g_00406, Syaf.g_00407	Pram.g_01844
OG0000031	Syaf.g_00314	Pram.g_01413
OG0000032	Syaf.g_02471	Pram.g_01339
OG0000034	Syaf.g_01241, Syaf.g_00837	Pram.g_01240
OG0000035	Syaf.g_02412	Pram.g_01381, Pram.g_01378
OG0000037	Syaf.g_00899	Pram.g_00093
OG0000038	Syaf.g_00642	Pram.g_01884
OG0000039	Syaf.g_01395	Pram.g_00777
OG0000041	Syaf.g_01171, Syaf.g_01414	Pram.g_01680
OG0000042	Syaf.g_00403	Pram.g_01841
OG0000043	Syaf.g_01747	Pram.g_01161
OG0000044	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400	Pram.g_01620
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Pram.g_00316
OG0000047	Syaf.g_00030	Pram.g_00359
OG0000048	Syaf.g_00230	Pram.g_00259
OG0000050	Syaf.g_01770	Pram.g_00576
OG0000052	Syaf.g_00335	Pram.g_00040
OG0000053	Syaf.g_02447	Pram.g_01357, Pram.g_01580
OG0000054	Syaf.g_02376	Pram.g_00544
OG0000057	Syaf.g_01665, Syaf.g_01452	Pram.g_00792
OG0000059	Syaf.g_00143	Pram.g_01719
OG0000061	Syaf.g_01288	Pram.g_01140
OG0000062	Syaf.g_01055	Pram.g_01293
OG0000063	Syaf.g_00457	Pram.g_01258
OG0000064	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667	Pram.g_00052
OG0000065	Syaf.g_00903	Pram.g_00091
OG0000066	Syaf.g_02643	Pram.g_01558
OG0000067	Syaf.g_02049	Pram.g_00809
OG0000068	Syaf.g_02733	Pram.g_01468
OG0000070	Syaf.g_01237	Pram.g_00385
OG0000071	Syaf.g_01254	Pram.g_01230
OG0000072	Syaf.g_00805	Pram.g_00156
OG0000073	Syaf.g_02700	Pram.g_00437
OG0000075	Syaf.g_00353	Pram.g_01807
OG0000076	Syaf.g_00388	Pram.g_01833
OG0000077	Syaf.g_00951	Pram.g_00063
OG0000078	Syaf.g_02782	Pram.g_00227
