Orthogroup	Syaf	Syas
OG0000001	Syaf.g_00845	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syaf.g_01455	Syas.g_00176
OG0000004	Syaf.g_02351	Syas.g_00174, Syas.g_00311
OG0000004	Syaf.g_02794	Syas.g_00072
OG0000005	Syaf.g_01017	Syas.g_02665
OG0000005	Syaf.g_01057	Syas.g_02704
OG0000006	Syaf.g_00179, Syaf.g_02778	Syas.g_01684, Syas.g_02565
OG0000007	Syaf.g_02702	Syas.g_01232
OG0000007	Syaf.g_01033	Syas.g_02681
OG0000008	Syaf.g_01479	Syas.g_00886
OG0000008	Syaf.g_01480	Syas.g_00887
OG0000009	Syaf.g_00905	Syas.g_01450
OG0000010	Syaf.g_02499	Syas.g_01334
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Syas.g_00111, Syas.g_00827
OG0000014	Syaf.g_00280	Syas.g_01816
OG0000016	Syaf.g_00484	Syas.g_02048
OG0000016	Syaf.g_01576	Syas.g_01086
OG0000017	Syaf.g_02554	Syas.g_00856
OG0000018	Syaf.g_02451	Syas.g_01290
OG0000019	Syaf.g_00193	Syas.g_01696
OG0000022	Syaf.g_02256	Syas.g_02758
OG0000025	Syaf.g_01385	Syas.g_00231
OG0000026	Syaf.g_00461	Syas.g_02070
OG0000027	Syaf.g_02284, Syaf.g_01688	Syas.g_01480
OG0000028	Syaf.g_00297	Syas.g_01793
OG0000030	Syaf.g_00406	Syas.g_01644
OG0000030	Syaf.g_00407	Syas.g_01645
OG0000031	Syaf.g_00314	Syas.g_01827
OG0000033	Syaf.g_00807	Syas.g_02328
OG0000034	Syaf.g_01241, Syaf.g_00837	Syas.g_02371, Syas.g_02838
OG0000035	Syaf.g_02412	Syas.g_02814, Syas.g_02818
OG0000038	Syaf.g_00642	Syas.g_01885
OG0000040	Syaf.g_00558	Syas.g_01972
OG0000042	Syaf.g_00403	Syas.g_01121, Syas.g_02147
OG0000046	Syaf.g_00062	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syaf.g_00230	Syas.g_01734
OG0000051	Syaf.g_00972	Syas.g_01445
OG0000053	Syaf.g_02447	Syas.g_01287
OG0000057	Syaf.g_01665	Syas.g_01055
OG0000059	Syaf.g_00143	Syas.g_01639
OG0000060	Syaf.g_01425	Syas.g_01343, Syas.g_01002
OG0000060	Syaf.g_01603	Syas.g_00975
OG0000061	Syaf.g_01288	Syas.g_01184
OG0000062	Syaf.g_02167	Syas.g_00070
OG0000062	Syaf.g_01055	Syas.g_02702
OG0000063	Syaf.g_00457	Syas.g_02074
OG0000064	Syaf.g_01667	Syas.g_00946
OG0000066	Syaf.g_02643	Syas.g_00094
OG0000067	Syaf.g_02049	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Syaf.g_02733	Syas.g_00969, Syas.g_01261
OG0000070	Syaf.g_01237	Syas.g_00173
OG0000072	Syaf.g_00805	Syas.g_02326
OG0000073	Syaf.g_02700	Syas.g_01230
OG0000075	Syaf.g_00353	Syas.g_01921, Syas.g_02194
OG0000076	Syaf.g_00388	Syas.g_02156
OG0000078	Syaf.g_02782	Syas.g_02561
OG0000079	Syaf.g_00197	Syas.g_01699
OG0000081	Syaf.g_02776	Syas.g_00391
OG0000082	Syaf.g_02576	Syas.g_00837
OG0000085	Syaf.g_01048	Syas.g_02695
OG0000086	Syaf.g_00932	Syas.g_02470
