Orthogroup	Prbl	Prbn
OG0000000	Prbl.g_00116	Prbn.g_01662
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Prbn.g_01213, Prbn.g_01923
OG0000002	Prbl.g_01582	Prbn.g_01483, Prbn.g_01478
OG0000002	Prbl.g_01092	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prbl.g_00021	Prbn.g_01565
OG0000004	Prbl.g_01771	Prbn.g_00318
OG0000005	Prbl.g_00419	Prbn.g_00899
OG0000006	Prbl.g_02601	Prbn.g_00308
OG0000007	Prbl.g_00531	Prbn.g_00617
OG0000007	Prbl.g_00394	Prbn.g_01745
OG0000008	Prbl.g_01855	Prbn.g_01645
OG0000008	Prbl.g_01854	Prbn.g_01646
OG0000010	Prbl.g_01341	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Prbl.g_01618	Prbn.g_00492
OG0000013	Prbl.g_01183	Prbn.g_00092
OG0000014	Prbl.g_01416	Prbn.g_00074
OG0000015	Prbl.g_01566	Prbn.g_01684, Prbn.g_01730
OG0000017	Prbl.g_01755	Prbn.g_00510
OG0000017	Prbl.g_01763	Prbn.g_00517
OG0000018	Prbl.g_00694	Prbn.g_01167, Prbn.g_01518
OG0000019	Prbl.g_01097	Prbn.g_00015, Prbn.g_01165
OG0000020	Prbl.g_01076	Prbn.g_00875
OG0000020	Prbl.g_01026, Prbl.g_01386	Prbn.g_00133
OG0000021	Prbl.g_01531	Prbn.g_00874
OG0000021	Prbl.g_01768	Prbn.g_01560
OG0000022	Prbl.g_01310	Prbn.g_00891
OG0000023	Prbl.g_02355	Prbn.g_01030
OG0000024	Prbl.g_00040	Prbn.g_01353, Prbn.g_01589
OG0000025	Prbl.g_01539	Prbn.g_01510
OG0000026	Prbl.g_01977	Prbn.g_00750
OG0000029	Prbl.g_01163	Prbn.g_00126, Prbn.g_01676
OG0000030	Prbl.g_02061, Prbl.g_02060	Prbn.g_00985
OG0000031	Prbl.g_00830, Prbl.g_00835	Prbn.g_00171
OG0000032	Prbl.g_00712	Prbn.g_00251
OG0000033	Prbl.g_00278	Prbn.g_01244
OG0000034	Prbl.g_01734	Prbn.g_01073
OG0000035	Prbl.g_00242	Prbn.g_00212
OG0000037	Prbl.g_00548	Prbn.g_01310
OG0000038	Prbl.g_02235, Prbl.g_02233	Prbn.g_00946
OG0000039	Prbl.g_00318, Prbl.g_01272	Prbn.g_01577
OG0000041	Prbl.g_00339	Prbn.g_01793
OG0000042	Prbl.g_01236, Prbl.g_01121	Prbn.g_00988
OG0000045	Prbl.g_00609	Prbn.g_01145
OG0000046	Prbl.g_01184	Prbn.g_00093
OG0000047	Prbl.g_01574	Prbn.g_00690
OG0000048	Prbl.g_01465	Prbn.g_01097, Prbn.g_00038
OG0000051	Prbl.g_01677	Prbn.g_00809
OG0000052	Prbl.g_00870	Prbn.g_00190
OG0000053	Prbl.g_00691	Prbn.g_01690, Prbn.g_00233
OG0000054	Prbl.g_01752	Prbn.g_00508
OG0000057	Prbl.g_00025	Prbn.g_01562
OG0000059	Prbl.g_00836	Prbn.g_01833
OG0000062	Prbl.g_00417	Prbn.g_00897
OG0000063	Prbl.g_01981	Prbn.g_00130
OG0000065	Prbl.g_00552	Prbn.g_01312
OG0000066	Prbl.g_00752	Prbn.g_00577, Prbn.g_01657
OG0000067	Prbl.g_02335	Prbn.g_01546
OG0000068	Prbl.g_00502	Prbn.g_01240
OG0000070	Prbl.g_00634	Prbn.g_00663
OG0000071	Prbl.g_01722	Prbn.g_01084
OG0000072	Prbl.g_00276	Prbn.g_00383
OG0000073	Prbl.g_00533	Prbn.g_00614
OG0000075	Prbl.g_00855	Prbn.g_01917
OG0000076	Prbl.g_01285	Prbn.g_00996
OG0000077	Prbl.g_00596	Prbn.g_01342
OG0000078	Prbl.g_00193	Prbn.g_00310
OG0000079	Prbl.g_01505	Prbn.g_00018
OG0000081	Prbl.g_00032	Prbn.g_00585
OG0000082	Prbl.g_01783	Prbn.g_00530, Prbn.g_01734
OG0000084	Prbl.g_00246	Prbn.g_00209
OG0000085	Prbl.g_00405	Prbn.g_01737, Prbn.g_00144
OG0000086	Prbl.g_00583	Prbn.g_01333
OG0000087	Prbl.g_00810	Prbn.g_01278
OG0000088	Prbl.g_00281	Prbn.g_01247
OG0000089	Prbl.g_02674	Prbn.g_00696
OG0000090	Prbl.g_00766	Prbn.g_00583
OG0000091	Prbl.g_01647	Prbn.g_00434
OG0000093	Prbl.g_02359	Prbn.g_00846
OG0000094	Prbl.g_02209	Prbn.g_01369
OG0000097	Prbl.g_02579	Prbn.g_00408
OG0000098	Prbl.g_00722	Prbn.g_01216
OG0000099	Prbl.g_00893	Prbn.g_00173
OG0000100	Prbl.g_01914, Prbl.g_02305	Prbn.g_00903
OG0000101	Prbl.g_01126, Prbl.g_01000	Prbn.g_01881
OG0000102	Prbl.g_02636	Prbn.g_00991
OG0000103	Prbl.g_02139	Prbn.g_00907
OG0000104	Prbl.g_02125	Prbn.g_00296
OG0000105	Prbl.g_01461	Prbn.g_00041
OG0000106	Prbl.g_00411	Prbn.g_00829
OG0000108	Prbl.g_00511	Prbn.g_00634
OG0000109	Prbl.g_00527	Prbn.g_00620
OG0000110	Prbl.g_01795	Prbn.g_00541
OG0000111	Prbl.g_00026	Prbn.g_01561
OG0000112	Prbl.g_02470	Prbn.g_00468
OG0000113	Prbl.g_02310	Prbn.g_01523
OG0000114	Prbl.g_02407	Prbn.g_01621
OG0000115	Prbl.g_00687	Prbn.g_01120
OG0000116	Prbl.g_02069	Prbn.g_01178
OG0000117	Prbl.g_01384	Prbn.g_00389
OG0000118	Prbl.g_01736	Prbn.g_01071
OG0000119	Prbl.g_00007	Prbn.g_01135
OG0000119	Prbl.g_00046	Prbn.g_00885
OG0000120	Prbl.g_00892	Prbn.g_00170
OG0000121	Prbl.g_00234, Prbl.g_00240	Prbn.g_00214
OG0000122	Prbl.g_01808	Prbn.g_00255
OG0000123	Prbl.g_01135	Prbn.g_01888
OG0000124	Prbl.g_02054	Prbn.g_00979
OG0000125	Prbl.g_02231	Prbn.g_00944
OG0000126	Prbl.g_02127	Prbn.g_00295
OG0000128	Prbl.g_02109	Prbn.g_00002, Prbn.g_00003
OG0000129	Prbl.g_02243	Prbn.g_00737
OG0000130	Prbl.g_00608	Prbn.g_00708
OG0000131	Prbl.g_00303	Prbn.g_01269
OG0000132	Prbl.g_00283	Prbn.g_01249
OG0000133	Prbl.g_00897	Prbn.g_00088
OG0000134	Prbl.g_02677	Prbn.g_00694
OG0000135	Prbl.g_02190	Prbn.g_01102
OG0000136	Prbl.g_00647	Prbn.g_00672
