Orthogroup	Prbl	Prao
OG0000000	Prbl.g_00116	Prao.g_01515
OG0000000	Prbl.g_00118, Prbl.g_00117	Prao.g_01296, Prao.g_01518
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000002	Prbl.g_01582	Prao.g_01246
OG0000002	Prbl.g_01092	Prao.g_00116
OG0000004	Prbl.g_00021	Prao.g_00133
OG0000004	Prbl.g_01771	Prao.g_00370
OG0000005	Prbl.g_00419	Prao.g_01472
OG0000006	Prbl.g_02601	Prao.g_00379
OG0000007	Prbl.g_00531	Prao.g_00603
OG0000007	Prbl.g_00394	Prao.g_01552
OG0000010	Prbl.g_01341	Prao.g_00580
OG0000011	Prbl.g_01822	Prao.g_01307
OG0000012	Prbl.g_01618	Prao.g_00062
OG0000013	Prbl.g_01183	Prao.g_00463
OG0000014	Prbl.g_01416	Prao.g_01213
OG0000015	Prbl.g_01566	Prao.g_00703
OG0000017	Prbl.g_01763	Prao.g_00036
OG0000018	Prbl.g_00694	Prao.g_01108, Prao.g_00768
OG0000019	Prbl.g_01097	Prao.g_00387, Prao.g_00720
OG0000020	Prbl.g_01076	Prao.g_01145
OG0000021	Prbl.g_01531	Prao.g_01346, Prao.g_00500
OG0000022	Prbl.g_01310	Prao.g_00699
OG0000022	Prbl.g_01072	Prao.g_01126
OG0000023	Prbl.g_02355	Prao.g_00494
OG0000024	Prbl.g_00040	Prao.g_00683, Prao.g_00114
OG0000025	Prbl.g_01539	Prao.g_00776, Prao.g_00467
OG0000026	Prbl.g_01977	Prao.g_00177, Prao.g_00992
OG0000028	Prbl.g_00900	Prao.g_00456
OG0000029	Prbl.g_01163	Prao.g_00690
OG0000030	Prbl.g_02061, Prbl.g_02060	Prao.g_01753
OG0000033	Prbl.g_00278	Prao.g_00307
OG0000034	Prbl.g_01734	Prao.g_01266
OG0000035	Prbl.g_00242	Prao.g_01397
OG0000037	Prbl.g_00548	Prao.g_00247
OG0000038	Prbl.g_02235, Prbl.g_02233	Prao.g_01794
OG0000039	Prbl.g_00318, Prbl.g_01272	Prao.g_00124
OG0000041	Prbl.g_00339	Prao.g_01598
OG0000042	Prbl.g_01236, Prbl.g_01121	Prao.g_01750
OG0000045	Prbl.g_00609	Prao.g_00506
OG0000047	Prbl.g_00719	Prao.g_00466
OG0000048	Prbl.g_01465	Prao.g_00509
OG0000051	Prbl.g_01677	Prao.g_01304
OG0000052	Prbl.g_00870	Prao.g_01358
OG0000053	Prbl.g_00691	Prao.g_01417
OG0000054	Prbl.g_01752	Prao.g_00044
OG0000057	Prbl.g_00025	Prao.g_00136
OG0000059	Prbl.g_00836	Prao.g_01639
OG0000062	Prbl.g_00417	Prao.g_01474
OG0000063	Prbl.g_01981	Prao.g_00179
OG0000065	Prbl.g_00552	Prao.g_00245
OG0000067	Prbl.g_02335	Prao.g_00741
OG0000068	Prbl.g_00502	Prao.g_01239
OG0000070	Prbl.g_00634	Prao.g_00554
OG0000071	Prbl.g_01722	Prao.g_01276
OG0000072	Prbl.g_00276	Prao.g_00309
OG0000073	Prbl.g_00533	Prao.g_00605
OG0000075	Prbl.g_00855	Prao.g_01719
OG0000076	Prbl.g_01285	Prao.g_01743
OG0000077	Prbl.g_00596	Prao.g_00217
OG0000078	Prbl.g_00193	Prao.g_00377
OG0000079	Prbl.g_01505	Prao.g_00390
OG0000081	Prbl.g_00032	Prao.g_01860
OG0000082	Prbl.g_01783	Prao.g_00024
OG0000084	Prbl.g_00246	Prao.g_01393
OG0000085	Prbl.g_00405	Prao.g_01545
OG0000086	Prbl.g_00583	Prao.g_00227
OG0000087	Prbl.g_00810	Prao.g_00277
OG0000088	Prbl.g_00281	Prao.g_00304
OG0000089	Prbl.g_02674	Prao.g_00490
OG0000090	Prbl.g_00766	Prao.g_01858
OG0000091	Prbl.g_01647	Prao.g_00081
OG0000093	Prbl.g_02359	Prao.g_00870
OG0000094	Prbl.g_02209	Prao.g_00955
OG0000097	Prbl.g_02579	Prao.g_01048
OG0000098	Prbl.g_00722	Prao.g_01257
OG0000099	Prbl.g_00893	Prao.g_01214
OG0000100	Prbl.g_01914, Prbl.g_02305	Prao.g_01470
OG0000101	Prbl.g_01126, Prbl.g_01000	Prao.g_01687
OG0000102	Prbl.g_02636	Prao.g_01748
OG0000103	Prbl.g_02139	Prao.g_01828
OG0000104	Prbl.g_02125	Prao.g_01837
OG0000105	Prbl.g_01461	Prao.g_01378
OG0000106	Prbl.g_00411	Prao.g_00505
OG0000108	Prbl.g_00511	Prao.g_00586
OG0000109	Prbl.g_00527	Prao.g_00600
OG0000110	Prbl.g_01795	Prao.g_01867
OG0000111	Prbl.g_00026	Prao.g_00137
OG0000112	Prbl.g_02470	Prao.g_00704
OG0000113	Prbl.g_02310	Prao.g_00763
OG0000114	Prbl.g_02407	Prao.g_00845
OG0000115	Prbl.g_00687	Prao.g_01150
OG0000116	Prbl.g_02069	Prao.g_01099
OG0000117	Prbl.g_01384	Prao.g_01332
OG0000118	Prbl.g_01736	Prao.g_01264
OG0000119	Prbl.g_00007, Prbl.g_00046	Prao.g_01243
OG0000120	Prbl.g_00892	Prao.g_01215
OG0000121	Prbl.g_00234, Prbl.g_00240	Prao.g_01399
OG0000122	Prbl.g_01808	Prao.g_01436
OG0000123	Prbl.g_01135	Prao.g_01694
OG0000124	Prbl.g_02054	Prao.g_01759
OG0000125	Prbl.g_02231	Prao.g_01796
OG0000126	Prbl.g_02127	Prao.g_01836
OG0000128	Prbl.g_02109	Prao.g_00158
OG0000129	Prbl.g_02243	Prao.g_00190
OG0000130	Prbl.g_00608	Prao.g_00208
OG0000131	Prbl.g_00303	Prao.g_00283
OG0000132	Prbl.g_00283	Prao.g_00302
OG0000133	Prbl.g_00897	Prao.g_00458
OG0000134	Prbl.g_02677	Prao.g_00491
OG0000135	Prbl.g_02190	Prao.g_00516
OG0000136	Prbl.g_00647	Prao.g_00545
OG0000137	Prbl.g_01340	Prao.g_00581
OG0000138	Prbl.g_00528	Prao.g_00601
OG0000139	Prbl.g_00760	Prao.g_01854
OG0000140	Prbl.g_00754	Prao.g_01853
OG0000141	Prbl.g_01751	Prao.g_00045
OG0000142	Prbl.g_01639	Prao.g_00074
OG0000143	Prbl.g_01643	Prao.g_00078
OG0000144	Prbl.g_01042	Prao.g_00091
OG0000145	Prbl.g_00534	Prao.g_00701
OG0000146	Prbl.g_02469	Prao.g_00705
OG0000147	Prbl.g_02468	Prao.g_00706
OG0000148	Prbl.g_02316	Prao.g_00757
OG0000149	Prbl.g_01552	Prao.g_00788
OG0000150	Prbl.g_01576	Prao.g_00796
OG0000151	Prbl.g_02386	Prao.g_00855
OG0000152	Prbl.g_02478	Prao.g_00902
OG0000153	Prbl.g_02505	Prao.g_00921
OG0000154	Prbl.g_02532	Prao.g_00948
OG0000155	Prbl.g_00185	Prao.g_01069
OG0000156	Prbl.g_00115	Prao.g_01287
OG0000157	Prbl.g_00114	Prao.g_01286
OG0000158	Prbl.g_00843	Prao.g_01220
OG0000160	Prbl.g_00241	Prao.g_01398
OG0000161	Prbl.g_00227	Prao.g_01404
OG0000162	Prbl.g_00221	Prao.g_01410
OG0000163	Prbl.g_00452	Prao.g_01443
OG0000164	Prbl.g_00365	Prao.g_01576
OG0000165	Prbl.g_00356	Prao.g_01583
OG0000166	Prbl.g_00962	Prao.g_01651
OG0000167	Prbl.g_00857	Prao.g_01717
OG0000168	Prbl.g_00842	Prao.g_01727
OG0000169	Prbl.g_01302	Prao.g_01737
OG0000170	Prbl.g_01290	Prao.g_01739
OG0000171	Prbl.g_02055	Prao.g_01758
OG0000172	Prbl.g_02021	Prao.g_01767
OG0000173	Prbl.g_02000	Prao.g_01782
OG0000174	Prbl.g_02188	Prao.g_01810
