Orthogroup	Prbl	Syae
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syae.g_02061
OG0000001	Prbl.g_00808, Prbl.g_02598	Syae.g_01417
OG0000004	Prbl.g_00021	Syae.g_00779
OG0000004	Prbl.g_01771	Syae.g_00042, Syae.g_02231
OG0000005	Prbl.g_00419	Syae.g_01143
OG0000006	Prbl.g_02601	Syae.g_02030, Syae.g_02248
OG0000007	Prbl.g_00531	Syae.g_02328
OG0000007	Prbl.g_00394	Syae.g_01163
OG0000008	Prbl.g_01855	Syae.g_00753
OG0000008	Prbl.g_01854	Syae.g_00752
OG0000009	Prbl.g_00155, Prbl.g_00554	Syae.g_00100, Syae.g_01361
OG0000010	Prbl.g_01341	Syae.g_02529
OG0000011	Prbl.g_01822	Syae.g_00268
OG0000012	Prbl.g_01618	Syae.g_00049
OG0000013	Prbl.g_01183	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prbl.g_01416	Syae.g_01930
OG0000015	Prbl.g_01566	Syae.g_00590
OG0000017	Prbl.g_01755	Syae.g_02469
OG0000017	Prbl.g_01763	Syae.g_02462
OG0000018	Prbl.g_00694	Syae.g_02625
OG0000019	Prbl.g_01097	Syae.g_02015
OG0000021	Prbl.g_01531	Syae.g_01261
OG0000022	Prbl.g_01310, Prbl.g_01072	Syae.g_00144
OG0000023	Prbl.g_02355	Syae.g_00439, Syae.g_00930
OG0000025	Prbl.g_01539	Syae.g_00833
OG0000026	Prbl.g_01977	Syae.g_01748
OG0000028	Prbl.g_00900	Syae.g_01916
OG0000029	Prbl.g_01163	Syae.g_00136
OG0000030	Prbl.g_02061	Syae.g_01817
OG0000030	Prbl.g_02060	Syae.g_01816
OG0000032	Prbl.g_00712	Syae.g_02607
OG0000033	Prbl.g_00278	Syae.g_01453
OG0000034	Prbl.g_01734	Syae.g_00975, Syae.g_01424
OG0000035	Prbl.g_00242	Syae.g_02653
OG0000037	Prbl.g_00548	Syae.g_01367
OG0000038	Prbl.g_02235	Syae.g_01571
OG0000039	Prbl.g_01272	Syae.g_02495
OG0000041	Prbl.g_00339	Syae.g_01042
OG0000042	Prbl.g_01236, Prbl.g_01121	Syae.g_01821
OG0000045	Prbl.g_00609	Syae.g_00732
OG0000046	Prbl.g_01184	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Prbl.g_01574, Prbl.g_00719	Syae.g_02184
OG0000048	Prbl.g_01465	Syae.g_01982
OG0000051	Prbl.g_01677	Syae.g_00438
OG0000052	Prbl.g_00870	Syae.g_01886
OG0000053	Prbl.g_00691	Syae.g_02629
OG0000054	Prbl.g_01752	Syae.g_00014
OG0000057	Prbl.g_00025	Syae.g_00782
OG0000058	Prbl.g_00890	Syae.g_01227
OG0000059	Prbl.g_00836	Syae.g_02074
OG0000060	Prbl.g_00508	Syae.g_02306
OG0000061	Prbl.g_02084	Syae.g_00921
OG0000062	Prbl.g_00417	Syae.g_01145
OG0000063	Prbl.g_01981	Syae.g_01752
OG0000065	Prbl.g_00552	Syae.g_00722, Syae.g_01363
OG0000066	Prbl.g_00752	Syae.g_02386
OG0000067	Prbl.g_02335	Syae.g_00521
OG0000068	Prbl.g_00502	Syae.g_02299
OG0000070	Prbl.g_00634	Syae.g_00979
OG0000071	Prbl.g_01722	Syae.g_00961
OG0000072	Prbl.g_00276	Syae.g_01455
OG0000073	Prbl.g_00533	Syae.g_02330
OG0000075	Prbl.g_00855	Syae.g_01871
OG0000076	Prbl.g_01285	Syae.g_01829
