Orthogroup	Prbl	Praj
OG0000000	Prbl.g_00116	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000002	Prbl.g_01582	Praj.g_00832
OG0000002	Prbl.g_01092	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Prbl.g_00021	Praj.g_01396
OG0000004	Prbl.g_01771	Praj.g_00271
OG0000005	Prbl.g_00419	Praj.g_01712
OG0000006	Prbl.g_02601	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prbl.g_00531	Praj.g_00489
OG0000007	Prbl.g_00394	Praj.g_01768
OG0000008	Prbl.g_01855	Praj.g_01829
OG0000008	Prbl.g_01854	Praj.g_01830
OG0000010	Prbl.g_01341	Praj.g_01026, Praj.g_00466
OG0000011	Prbl.g_01822	Praj.g_01187
OG0000013	Prbl.g_01183	Praj.g_00362
OG0000014	Prbl.g_01416	Praj.g_00341
OG0000015	Prbl.g_01566	Praj.g_01113
OG0000017	Prbl.g_01763	Praj.g_00592
OG0000018	Prbl.g_00694	Praj.g_01482, Praj.g_00798
OG0000019	Prbl.g_01097	Praj.g_00747
OG0000020	Prbl.g_01076	Praj.g_01025
OG0000020	Prbl.g_01026, Prbl.g_01386	Praj.g_01139
OG0000021	Prbl.g_01531	Praj.g_01859
OG0000021	Prbl.g_01768	Praj.g_00084
OG0000022	Prbl.g_01310	Praj.g_01189
OG0000022	Prbl.g_01072	Praj.g_01216
OG0000023	Prbl.g_02355	Praj.g_01365, Praj.g_01329
OG0000024	Prbl.g_00040	Praj.g_01134, Praj.g_00666
OG0000025	Prbl.g_01539	Praj.g_00805
OG0000026	Prbl.g_01977	Praj.g_00031
OG0000029	Prbl.g_01163	Praj.g_01745
OG0000030	Prbl.g_02061, Prbl.g_02060	Praj.g_02024
OG0000031	Prbl.g_00830, Prbl.g_00835	Praj.g_00371
OG0000032	Prbl.g_00712	Praj.g_01669
OG0000033	Prbl.g_00278	Praj.g_00209
OG0000034	Prbl.g_01734	Praj.g_01538
OG0000035	Prbl.g_00242	Praj.g_01632
OG0000037	Prbl.g_00548	Praj.g_00147
OG0000038	Prbl.g_02235, Prbl.g_02233	Praj.g_02089
OG0000039	Prbl.g_00318, Prbl.g_01272	Praj.g_00679
OG0000041	Prbl.g_00339	Praj.g_01813
OG0000042	Prbl.g_01236, Prbl.g_01121	Praj.g_02020
OG0000045	Prbl.g_00609	Praj.g_01303, Praj.g_01049
OG0000046	Prbl.g_01184	Praj.g_00363
OG0000047	Prbl.g_01574	Praj.g_00408
OG0000047	Prbl.g_00719	Praj.g_00370
OG0000048	Prbl.g_01465	Praj.g_00308
OG0000051	Prbl.g_01677	Praj.g_01339, Praj.g_01347
OG0000053	Prbl.g_00691	Praj.g_01651
OG0000054	Prbl.g_01752	Praj.g_00594
OG0000057	Prbl.g_00025	Praj.g_00691, Praj.g_01313
OG0000059	Prbl.g_00836	Praj.g_01892
OG0000062	Prbl.g_00417	Praj.g_01714
OG0000063	Prbl.g_01981	Praj.g_01867
OG0000065	Prbl.g_00552	Praj.g_00145
OG0000066	Prbl.g_00752	Praj.g_00530
OG0000067	Prbl.g_02335	Praj.g_00769
OG0000068	Prbl.g_00502	Praj.g_01575
OG0000070	Prbl.g_00634	Praj.g_00444
OG0000071	Prbl.g_01722	Praj.g_01528
OG0000072	Prbl.g_00276	Praj.g_00211
OG0000073	Prbl.g_00533	Praj.g_00491
OG0000075	Prbl.g_00855	Praj.g_01987
OG0000076	Prbl.g_01285	Praj.g_02012
OG0000077	Prbl.g_00596, Prbl.g_00631	Praj.g_00116
