Orthogroup	Prbl	Prar
OG0000000	Prbl.g_00116	Prar.g_00729
OG0000000	Prbl.g_00118, Prbl.g_00117	Prar.g_00973, Prar.g_00727
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000002	Prbl.g_01582	Prar.g_00918
OG0000002	Prbl.g_01092	Prar.g_01508
OG0000004	Prbl.g_00021	Prar.g_01525
OG0000004	Prbl.g_01771	Prar.g_00095
OG0000005	Prbl.g_00419	Prar.g_00771
OG0000006	Prbl.g_02601	Prar.g_00086
OG0000007	Prbl.g_00531	Prar.g_01328
OG0000007	Prbl.g_00394	Prar.g_01143
OG0000008	Prbl.g_01855	Prar.g_01185
OG0000009	Prbl.g_00155, Prbl.g_00554	Prar.g_00223
OG0000010	Prbl.g_01341	Prar.g_00524
OG0000011	Prbl.g_01822	Prar.g_00978
OG0000012	Prbl.g_01618	Prar.g_01453
OG0000013	Prbl.g_01183	Prar.g_00260
OG0000014	Prbl.g_01416	Prar.g_00281
OG0000015	Prbl.g_01566	Prar.g_01179
OG0000017	Prbl.g_01763	Prar.g_01428
OG0000018	Prbl.g_00694	Prar.g_01282, Prar.g_01711
OG0000019	Prbl.g_01097	Prar.g_00078, Prar.g_01663
OG0000020	Prbl.g_01076	Prar.g_01315
OG0000020	Prbl.g_01026, Prbl.g_01386	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prbl.g_01531	Prar.g_00425
OG0000022	Prbl.g_01310	Prar.g_01649
OG0000022	Prbl.g_01072	Prar.g_01300
OG0000023	Prbl.g_02355	Prar.g_00420
OG0000024	Prbl.g_00040	Prar.g_01634, Prar.g_01505
OG0000025	Prbl.g_01539	Prar.g_01718, Prar.g_00256
OG0000026	Prbl.g_01977	Prar.g_00007, Prar.g_01919
OG0000028	Prbl.g_00900	Prar.g_00267
OG0000030	Prbl.g_02061, Prbl.g_02060	Prar.g_00662
OG0000032	Prbl.g_00889	Prar.g_00886
OG0000033	Prbl.g_00278	Prar.g_00158
OG0000034	Prbl.g_01734	Prar.g_00945
OG0000035	Prbl.g_00242	Prar.g_00339
OG0000037	Prbl.g_00548	Prar.g_00219
OG0000038	Prbl.g_02235, Prbl.g_02233	Prar.g_00702
OG0000039	Prbl.g_00318, Prbl.g_01272	Prar.g_01516
OG0000041	Prbl.g_00339	Prar.g_00602
OG0000042	Prbl.g_01236, Prbl.g_01121	Prar.g_00660
OG0000045	Prbl.g_00609	Prar.g_01583, Prar.g_00432
OG0000047	Prbl.g_01574	Prar.g_00468
OG0000047	Prbl.g_00719	Prar.g_00257
OG0000048	Prbl.g_01465	Prar.g_00435
OG0000053	Prbl.g_00691	Prar.g_00589, Prar.g_00827
OG0000054	Prbl.g_01752	Prar.g_01436
OG0000056	Prbl.g_01599	Prar.g_00932
OG0000057	Prbl.g_00025	Prar.g_01528
OG0000059	Prbl.g_00836	Prar.g_01090
OG0000062	Prbl.g_00417	Prar.g_00769
OG0000063	Prbl.g_01981	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Prbl.g_00552	Prar.g_00221
OG0000066	Prbl.g_00752	Prar.g_01369
OG0000067	Prbl.g_02335	Prar.g_01684
OG0000068	Prbl.g_00502	Prar.g_00911
OG0000070	Prbl.g_00634	Prar.g_00498
OG0000071	Prbl.g_01722	Prar.g_00955
OG0000072	Prbl.g_00276	Prar.g_00156
OG0000073	Prbl.g_00533	Prar.g_01330
OG0000075	Prbl.g_00855	Prar.g_00629
OG0000076	Prbl.g_01285	Prar.g_00592, Prar.g_00653
OG0000077	Prbl.g_00596	Prar.g_00250
OG0000078	Prbl.g_00193	Prar.g_00088
OG0000081	Prbl.g_00032	Prar.g_01361
OG0000082	Prbl.g_01783	Prar.g_01414
OG0000084	Prbl.g_00246	Prar.g_00343
OG0000085	Prbl.g_00405	Prar.g_01150
OG0000086	Prbl.g_00583	Prar.g_00240
OG0000087	Prbl.g_00810	Prar.g_00189
OG0000088	Prbl.g_00281	Prar.g_00161
OG0000089	Prbl.g_02674	Prar.g_00416
OG0000090	Prbl.g_00766	Prar.g_01363
OG0000091	Prbl.g_01647	Prar.g_01472
OG0000093	Prbl.g_02359	Prar.g_01801
OG0000094	Prbl.g_02209	Prar.g_01885
OG0000097	Prbl.g_02579	Prar.g_01222
OG0000098	Prbl.g_00722	Prar.g_00929
OG0000099	Prbl.g_00893	Prar.g_00872
OG0000100	Prbl.g_01914, Prbl.g_02305	Prar.g_00773
OG0000101	Prbl.g_01126, Prbl.g_01000	Prar.g_01027
OG0000102	Prbl.g_02636	Prar.g_00658
OG0000103	Prbl.g_02139	Prar.g_00050
OG0000104	Prbl.g_02125	Prar.g_00042
OG0000105	Prbl.g_01461	Prar.g_00313
OG0000106	Prbl.g_00411	Prar.g_00431
OG0000108	Prbl.g_00511	Prar.g_00530
OG0000109	Prbl.g_00527	Prar.g_00544
OG0000110	Prbl.g_01795	Prar.g_01404
OG0000111	Prbl.g_00026	Prar.g_01529
OG0000112	Prbl.g_02470	Prar.g_01652
OG0000113	Prbl.g_02310	Prar.g_01706
OG0000114	Prbl.g_02407	Prar.g_01776
OG0000115	Prbl.g_00687	Prar.g_01318
OG0000116	Prbl.g_02069	Prar.g_01273
OG0000117	Prbl.g_01384	Prar.g_01003
OG0000118	Prbl.g_01736	Prar.g_00943
OG0000119	Prbl.g_00007, Prbl.g_00046	Prar.g_00915
OG0000120	Prbl.g_00892	Prar.g_00880
OG0000121	Prbl.g_00234, Prbl.g_00240	Prar.g_00337
OG0000122	Prbl.g_01808	Prar.g_00807
OG0000123	Prbl.g_01135	Prar.g_01021
OG0000124	Prbl.g_02054	Prar.g_00668
OG0000125	Prbl.g_02231	Prar.g_00704
OG0000126	Prbl.g_02127	Prar.g_00043
