Orthogroup	Prbl	Prbf
OG0000000	Prbl.g_00116	Prbf.g_00776
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Prbf.g_00068, Prbf.g_00831
OG0000002	Prbl.g_01582	Prbf.g_01182, Prbf.g_01177
OG0000002	Prbl.g_01092	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Prbl.g_00021	Prbf.g_01264
OG0000004	Prbl.g_01771	Prbf.g_01570
OG0000005	Prbl.g_00419	Prbf.g_00240
OG0000006	Prbl.g_02601	Prbf.g_01580
OG0000007	Prbl.g_00531	Prbf.g_01780
OG0000007	Prbl.g_00394	Prbf.g_00693
OG0000008	Prbl.g_01855	Prbf.g_00793
OG0000008	Prbl.g_01854	Prbf.g_00792
OG0000010	Prbl.g_01341	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Prbl.g_01618	Prbf.g_01905
OG0000013	Prbl.g_01183	Prbf.g_01665
OG0000014	Prbl.g_01416	Prbf.g_01647
OG0000015	Prbl.g_01566	Prbf.g_00754, Prbf.g_00708
OG0000017	Prbl.g_01755	Prbf.g_01887
OG0000017	Prbl.g_01763	Prbf.g_01880
OG0000018	Prbl.g_00694	Prbf.g_00896, Prbf.g_01217
OG0000019	Prbl.g_01097	Prbf.g_01588, Prbf.g_00894
OG0000020	Prbl.g_01076	Prbf.g_00264
OG0000020	Prbl.g_01026, Prbl.g_01386	Prbf.g_00811
OG0000021	Prbl.g_01531	Prbf.g_00265
OG0000021	Prbl.g_01768	Prbf.g_01259
OG0000022	Prbl.g_01310	Prbf.g_00248
OG0000023	Prbl.g_02355	Prbf.g_00287
OG0000024	Prbl.g_00040	Prbf.g_01052, Prbf.g_01288
OG0000025	Prbl.g_01539	Prbf.g_01209
OG0000026	Prbl.g_01977	Prbf.g_01354
OG0000029	Prbl.g_01163	Prbf.g_00804, Prbf.g_00762
OG0000030	Prbl.g_02061, Prbl.g_02060	Prbf.g_00484
OG0000031	Prbl.g_00830, Prbl.g_00835	Prbf.g_00116
OG0000032	Prbl.g_00712	Prbf.g_00196
OG0000033	Prbl.g_00278	Prbf.g_01503
OG0000034	Prbl.g_01734	Prbf.g_00015
OG0000035	Prbl.g_00242	Prbf.g_00157
OG0000037	Prbl.g_00548	Prbf.g_01437
OG0000038	Prbl.g_02235, Prbl.g_02233	Prbf.g_00445
OG0000039	Prbl.g_00318, Prbl.g_01272	Prbf.g_01276
OG0000041	Prbl.g_00339	Prbf.g_00646
OG0000042	Prbl.g_01236, Prbl.g_01121	Prbf.g_00487
OG0000045	Prbl.g_00609	Prbf.g_00874
OG0000046	Prbl.g_01184	Prbf.g_01666
OG0000047	Prbl.g_01574	Prbf.g_01707
OG0000048	Prbl.g_01465	Prbf.g_00039, Prbf.g_01611
OG0000051	Prbl.g_01677	Prbf.g_00340
OG0000052	Prbl.g_00870	Prbf.g_00135
OG0000053	Prbl.g_00691	Prbf.g_00748, Prbf.g_00178
OG0000054	Prbl.g_01752	Prbf.g_01889
OG0000057	Prbl.g_00025	Prbf.g_01261
OG0000059	Prbl.g_00836	Prbf.g_00606
OG0000062	Prbl.g_00417	Prbf.g_00242
OG0000063	Prbl.g_01981	Prbf.g_00808
OG0000065	Prbl.g_00552	Prbf.g_01435
OG0000066	Prbl.g_00752	Prbf.g_01820, Prbf.g_00781
OG0000067	Prbl.g_02335	Prbf.g_01245
OG0000068	Prbl.g_00502	Prbf.g_00095
OG0000070	Prbl.g_00634	Prbf.g_01734
OG0000071	Prbl.g_01722	Prbf.g_00026
OG0000072	Prbl.g_00276	Prbf.g_01505
OG0000073	Prbl.g_00533	Prbf.g_01783
OG0000075	Prbl.g_00855	Prbf.g_00522
OG0000076	Prbl.g_01285	Prbf.g_00496
OG0000077	Prbl.g_00596	Prbf.g_01405
OG0000078	Prbl.g_00193	Prbf.g_01578
OG0000079	Prbl.g_01505	Prbf.g_01591
OG0000081	Prbl.g_00032	Prbf.g_01812
OG0000082	Prbl.g_01783	Prbf.g_01867, Prbf.g_00704
OG0000084	Prbl.g_00246	Prbf.g_00154
OG0000085	Prbl.g_00405	Prbf.g_00701, Prbf.g_00822
OG0000086	Prbl.g_00583	Prbf.g_01414
OG0000087	Prbl.g_00810	Prbf.g_01469
OG0000088	Prbl.g_00281	Prbf.g_01500
OG0000089	Prbl.g_02674	Prbf.g_01701
OG0000090	Prbl.g_00766	Prbf.g_01814
OG0000091	Prbl.g_01647	Prbf.g_00990
OG0000093	Prbl.g_02359	Prbf.g_01019
OG0000094	Prbl.g_02209	Prbf.g_01068
OG0000097	Prbl.g_02579	Prbf.g_00964
OG0000098	Prbl.g_00722	Prbf.g_00071
OG0000099	Prbl.g_00893	Prbf.g_00118
OG0000100	Prbl.g_01914, Prbl.g_02305	Prbf.g_00236
OG0000101	Prbl.g_01126, Prbl.g_01000	Prbf.g_00558
OG0000102	Prbl.g_02636	Prbf.g_00491
OG0000103	Prbl.g_02139	Prbf.g_00406
OG0000104	Prbl.g_02125	Prbf.g_00397
OG0000105	Prbl.g_01461	Prbf.g_01614
OG0000106	Prbl.g_00411	Prbf.g_00320
OG0000108	Prbl.g_00511	Prbf.g_01763
OG0000109	Prbl.g_00527	Prbf.g_01777
OG0000110	Prbl.g_01795	Prbf.g_01856
OG0000111	Prbl.g_00026	Prbf.g_01260
OG0000112	Prbl.g_02470	Prbf.g_01929
OG0000113	Prbl.g_02310	Prbf.g_01222
OG0000114	Prbl.g_02407	Prbf.g_01320
