Orthogroup	Prbl	Syai
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syai.g_01716
OG0000001	Prbl.g_00808, Prbl.g_02598	Syai.g_02595
OG0000002	Prbl.g_01582, Prbl.g_01092	Syai.g_01728
OG0000004	Prbl.g_00021	Syai.g_01994
OG0000004	Prbl.g_01771	Syai.g_01062, Syai.g_00530
OG0000005	Prbl.g_00419	Syai.g_02356
OG0000006	Prbl.g_02601	Syai.g_00317, Syai.g_00547
OG0000007	Prbl.g_00531	Syai.g_00657
OG0000007	Prbl.g_00394	Syai.g_02378
OG0000008	Prbl.g_01855	Syai.g_01956
OG0000008	Prbl.g_01854	Syai.g_01955
OG0000009	Prbl.g_00155, Prbl.g_00554	Syai.g_02541
OG0000010	Prbl.g_01341	Syai.g_00864
OG0000011	Prbl.g_01822	Syai.g_01894, Syai.g_00582
OG0000012	Prbl.g_01618	Syai.g_01068
OG0000013	Prbl.g_01183	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prbl.g_01416	Syai.g_00220
OG0000015	Prbl.g_01566	Syai.g_01246, Syai.g_01245
OG0000017	Prbl.g_01755	Syai.g_00808
OG0000017	Prbl.g_01763	Syai.g_00801
OG0000018	Prbl.g_00694	Syai.g_00915
OG0000019	Prbl.g_01097	Syai.g_00304
OG0000020	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386	Syai.g_00476
OG0000021	Prbl.g_01768	Syai.g_00556
OG0000022	Prbl.g_01310, Prbl.g_01072	Syai.g_01159
OG0000023	Prbl.g_02355	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbl.g_00040	Syai.g_01951
OG0000025	Prbl.g_01539	Syai.g_02044
OG0000026	Prbl.g_01977	Syai.g_00038
OG0000028	Prbl.g_00900	Syai.g_00205
OG0000029	Prbl.g_01163	Syai.g_01035, Syai.g_01584
OG0000030	Prbl.g_02061	Syai.g_00096
OG0000030	Prbl.g_02060	Syai.g_00095
OG0000032	Prbl.g_00712	Syai.g_00895
OG0000033	Prbl.g_00278	Syai.g_02634
OG0000034	Prbl.g_01734	Syai.g_02192, Syai.g_02604
OG0000035	Prbl.g_00242	Syai.g_00955
OG0000037	Prbl.g_00548	Syai.g_02544, Syai.g_02815
OG0000038	Prbl.g_02235	Syai.g_02780
OG0000041	Prbl.g_00339	Syai.g_02265
OG0000042	Prbl.g_01236, Prbl.g_01121	Syai.g_00099
OG0000045	Prbl.g_00609	Syai.g_02432
OG0000046	Prbl.g_01184	Syai.g_00435, Syai.g_00443, Syai.g_00449
OG0000047	Prbl.g_01574, Prbl.g_00719	Syai.g_00462
OG0000048	Prbl.g_01465	Syai.g_00272
OG0000051	Prbl.g_01677	Syai.g_01773
OG0000052	Prbl.g_00870	Syai.g_00176
OG0000053	Prbl.g_00691	Syai.g_00930
OG0000054	Prbl.g_01752	Syai.g_01040
OG0000057	Prbl.g_00025	Syai.g_01997
OG0000059	Prbl.g_00836	Syai.g_00351
OG0000060	Prbl.g_00508	Syai.g_00635
OG0000061	Prbl.g_02084	Syai.g_02144
OG0000062	Prbl.g_00417	Syai.g_02358
OG0000063	Prbl.g_01981	Syai.g_00042
OG0000066	Prbl.g_00752	Syai.g_01709, Syai.g_00719
OG0000067	Prbl.g_02335	Syai.g_01321
OG0000068	Prbl.g_00502	Syai.g_00628
OG0000070	Prbl.g_00634	Syai.g_02196
OG0000071	Prbl.g_01722	Syai.g_02179
OG0000072	Prbl.g_00276	Syai.g_02636
OG0000073	Prbl.g_00533	Syai.g_00659
OG0000075	Prbl.g_00855	Syai.g_00161
OG0000076	Prbl.g_01285	Syai.g_00111
OG0000077	Prbl.g_00596, Prbl.g_00631	Syai.g_02486
OG0000078	Prbl.g_00193	Syai.g_00543
OG0000079	Prbl.g_01505	Syai.g_00300
OG0000081	Prbl.g_01036	Syai.g_02292
OG0000081	Prbl.g_00032	Syai.g_00553
OG0000082	Prbl.g_01783	Syai.g_00781
OG0000084	Prbl.g_00246	Syai.g_00958
OG0000085	Prbl.g_00405	Syai.g_02365
OG0000086	Prbl.g_00583	Syai.g_02507
OG0000087	Prbl.g_00810	Syai.g_02592
OG0000088	Prbl.g_01838, Prbl.g_00281	Syai.g_02630
OG0000089	Prbl.g_02674	Syai.g_00517
OG0000090	Prbl.g_00766	Syai.g_00707
OG0000091	Prbl.g_01647	Syai.g_01112
OG0000093	Prbl.g_02359	Syai.g_01306
OG0000095	Prbl.g_00927	Syai.g_02007
OG0000097	Prbl.g_02579	Syai.g_01787
OG0000098	Prbl.g_00722	Syai.g_01718
OG0000099	Prbl.g_00893	Syai.g_00199
OG0000100	Prbl.g_01914, Prbl.g_02305	Syai.g_01372
OG0000101	Prbl.g_01000	Syai.g_00404
OG0000102	Prbl.g_02636	Syai.g_00106
OG0000103	Prbl.g_02139	Syai.g_02912
OG0000104	Prbl.g_02125	Syai.g_02929
OG0000105	Prbl.g_01461	Syai.g_00267
OG0000106	Prbl.g_00411	Syai.g_01601
OG0000107	Prbl.g_02681	Syai.g_00319
OG0000108	Prbl.g_00511	Syai.g_00638
OG0000109	Prbl.g_00527	Syai.g_00653
OG0000110	Prbl.g_01795	Syai.g_00766
OG0000111	Prbl.g_00026	Syai.g_00884
OG0000112	Prbl.g_02470	Syai.g_01512
