Orthogroup	Prbl	Praq
OG0000000	Prbl.g_00116	Praq.g_00026
OG0000000	Prbl.g_00118, Prbl.g_00117	Praq.g_00115, Praq.g_00028
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000002	Prbl.g_01582	Praq.g_00168
OG0000002	Prbl.g_01092	Praq.g_00807
OG0000004	Prbl.g_00021	Praq.g_00824
OG0000004	Prbl.g_01771	Praq.g_01770
OG0000005	Prbl.g_00419	Praq.g_00370
OG0000006	Prbl.g_02601	Praq.g_01761
OG0000007	Prbl.g_00531	Praq.g_01105
OG0000007	Prbl.g_00394	Praq.g_00497
OG0000008	Prbl.g_01855	Praq.g_00071
OG0000009	Prbl.g_00155, Prbl.g_00554	Praq.g_01898
OG0000010	Prbl.g_01341	Praq.g_00525
OG0000011	Prbl.g_01822	Praq.g_00110
OG0000012	Prbl.g_01618	Praq.g_00979
OG0000013	Prbl.g_01183	Praq.g_01675
OG0000014	Prbl.g_01416	Praq.g_01696
OG0000015	Prbl.g_01566	Praq.g_00065
OG0000017	Prbl.g_01763	Praq.g_01004
OG0000018	Prbl.g_00694	Praq.g_01314, Praq.g_01425
OG0000019	Prbl.g_01097	Praq.g_01753, Praq.g_00649
OG0000020	Prbl.g_01076	Praq.g_01281
OG0000020	Prbl.g_01026, Prbl.g_01386	Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000021	Prbl.g_01531	Praq.g_01179
OG0000022	Prbl.g_01310	Praq.g_00635
OG0000022	Prbl.g_01072	Praq.g_01296
OG0000023	Prbl.g_02355	Praq.g_01184
OG0000024	Prbl.g_00040	Praq.g_00618, Praq.g_00804
OG0000025	Prbl.g_01539	Praq.g_01432, Praq.g_01671
OG0000026	Prbl.g_01977	Praq.g_01234, Praq.g_01633
OG0000028	Prbl.g_00900	Praq.g_01682
OG0000029	Prbl.g_01163	Praq.g_00627
OG0000030	Prbl.g_02061, Prbl.g_02060	Praq.g_00772
OG0000032	Prbl.g_00889	Praq.g_00202
OG0000033	Prbl.g_00278	Praq.g_01833
OG0000034	Prbl.g_01734	Praq.g_00143
OG0000035	Prbl.g_00242	Praq.g_00294
OG0000037	Prbl.g_00548	Praq.g_01894
OG0000038	Prbl.g_02235, Prbl.g_02233	Praq.g_00716
OG0000039	Prbl.g_00318, Prbl.g_01272	Praq.g_00815
OG0000041	Prbl.g_00339	Praq.g_00451
OG0000042	Prbl.g_01236, Prbl.g_01121	Praq.g_00770
OG0000045	Prbl.g_00609	Praq.g_00567, Praq.g_01172
OG0000047	Prbl.g_01574	Praq.g_01137
OG0000047	Prbl.g_00719	Praq.g_01672
OG0000048	Prbl.g_01465	Praq.g_01169
OG0000053	Prbl.g_00691	Praq.g_01246, Praq.g_00314
OG0000054	Prbl.g_01752	Praq.g_00996
OG0000057	Prbl.g_00025	Praq.g_00827
OG0000059	Prbl.g_00836	Praq.g_00927
OG0000062	Prbl.g_00417	Praq.g_00372
OG0000063	Prbl.g_01981	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Prbl.g_00552	Praq.g_01896
OG0000066	Prbl.g_00752	Praq.g_01063
OG0000067	Prbl.g_02335	Praq.g_00670
OG0000068	Prbl.g_00502	Praq.g_00175
OG0000070	Prbl.g_00634	Praq.g_01107
OG0000071	Prbl.g_01722	Praq.g_00133
OG0000072	Prbl.g_00276	Praq.g_01831
OG0000073	Prbl.g_00533	Praq.g_01103
OG0000075	Prbl.g_00855	Praq.g_00739
OG0000076	Prbl.g_01285	Praq.g_01243, Praq.g_00763
OG0000077	Prbl.g_00596	Praq.g_01925
OG0000078	Prbl.g_00193	Praq.g_01763
OG0000081	Prbl.g_00032	Praq.g_01071
OG0000082	Prbl.g_01783	Praq.g_01018
OG0000084	Prbl.g_00246	Praq.g_00290
OG0000086	Prbl.g_00583	Praq.g_01915
OG0000087	Prbl.g_00810	Praq.g_01864
OG0000088	Prbl.g_00281	Praq.g_01836
OG0000089	Prbl.g_02674	Praq.g_01188
OG0000090	Prbl.g_00766	Praq.g_01069
OG0000091	Prbl.g_01647	Praq.g_00960
OG0000093	Prbl.g_02359	Praq.g_01516
OG0000094	Prbl.g_02209	Praq.g_01600
OG0000097	Prbl.g_02579	Praq.g_01374
OG0000098	Prbl.g_00722	Praq.g_00157
OG0000099	Prbl.g_00893	Praq.g_00216
OG0000100	Prbl.g_01914, Prbl.g_02305	Praq.g_00368
OG0000101	Prbl.g_01126, Prbl.g_01000	Praq.g_00879
OG0000102	Prbl.g_02636	Praq.g_00768
OG0000103	Prbl.g_02139	Praq.g_00414
OG0000104	Prbl.g_02125	Praq.g_00422
OG0000105	Prbl.g_01461	Praq.g_01729
OG0000106	Prbl.g_00411	Praq.g_01173
OG0000108	Prbl.g_00511	Praq.g_00531
OG0000109	Prbl.g_00527	Praq.g_00545
OG0000110	Prbl.g_01795	Praq.g_01028
OG0000111	Prbl.g_00026	Praq.g_00828
OG0000112	Prbl.g_02470	Praq.g_00638
OG0000113	Prbl.g_02310	Praq.g_01420
OG0000114	Prbl.g_02407	Praq.g_01490
OG0000115	Prbl.g_00687	Praq.g_01278
OG0000116	Prbl.g_02069	Praq.g_01323
OG0000117	Prbl.g_01384	Praq.g_00084
OG0000118	Prbl.g_01736	Praq.g_00145
OG0000119	Prbl.g_00007, Prbl.g_00046	Praq.g_00171
OG0000120	Prbl.g_00892	Praq.g_00208
OG0000121	Prbl.g_00234, Prbl.g_00240	Praq.g_00296
OG0000122	Prbl.g_01808	Praq.g_00334
OG0000123	Prbl.g_01135	Praq.g_00873
OG0000124	Prbl.g_02054	Praq.g_00682
OG0000125	Prbl.g_02231	Praq.g_00718
OG0000126	Prbl.g_02127	Praq.g_00421
OG0000128	Prbl.g_02109	Praq.g_00437
OG0000129	Prbl.g_02243	Praq.g_01259
OG0000130	Prbl.g_00608	Praq.g_01934
OG0000131	Prbl.g_00303	Praq.g_01857
OG0000132	Prbl.g_00283	Praq.g_01838
OG0000133	Prbl.g_00897	Praq.g_01680
OG0000134	Prbl.g_02677	Praq.g_01187
OG0000135	Prbl.g_02190	Praq.g_01160
OG0000136	Prbl.g_00647	Praq.g_01116
OG0000137	Prbl.g_01340	Praq.g_00526
OG0000138	Prbl.g_00528	Praq.g_00546
OG0000139	Prbl.g_00760	Praq.g_01065
OG0000140	Prbl.g_00754	Praq.g_01064
OG0000141	Prbl.g_01751	Praq.g_00995
OG0000142	Prbl.g_01639	Praq.g_00967
OG0000143	Prbl.g_01643	Praq.g_00963
OG0000144	Prbl.g_01042	Praq.g_00781
OG0000145	Prbl.g_00534	Praq.g_00637
OG0000146	Prbl.g_02469	Praq.g_00639
OG0000147	Prbl.g_02468	Praq.g_00640
OG0000148	Prbl.g_02316	Praq.g_01414
OG0000149	Prbl.g_01552	Praq.g_01444
OG0000150	Prbl.g_01576	Praq.g_01452
OG0000151	Prbl.g_02386	Praq.g_01500
OG0000152	Prbl.g_02478	Praq.g_01548
OG0000153	Prbl.g_02505	Praq.g_01567
OG0000154	Prbl.g_02532	Praq.g_01593
OG0000155	Prbl.g_00185	Praq.g_01353
OG0000156	Prbl.g_00115	Praq.g_00122
OG0000157	Prbl.g_00114	Praq.g_00123
OG0000158	Prbl.g_00843	Praq.g_00258
OG0000160	Prbl.g_00241	Praq.g_00295
OG0000161	Prbl.g_00227	Praq.g_00301
OG0000162	Prbl.g_00221	Praq.g_00307
OG0000163	Prbl.g_00452	Praq.g_00341
OG0000164	Prbl.g_00365	Praq.g_00473
OG0000165	Prbl.g_00356	Praq.g_00466
OG0000166	Prbl.g_00962	Praq.g_00915
OG0000167	Prbl.g_00857	Praq.g_00737
OG0000168	Prbl.g_00842	Praq.g_00747
OG0000169	Prbl.g_01302	Praq.g_00757
OG0000170	Prbl.g_01290	Praq.g_00759
OG0000171	Prbl.g_02055	Praq.g_00681
OG0000172	Prbl.g_02021	Praq.g_00689
OG0000173	Prbl.g_02000	Praq.g_00704
OG0000174	Prbl.g_02188	Praq.g_00396
OG0000175	Prbl.g_02150	Praq.g_00406
OG0000176	Prbl.g_02117	Praq.g_00430
OG0000177	Prbl.g_02116	Praq.g_00431
OG0000178	Prbl.g_02115	Praq.g_00432
OG0000179	Prbl.g_01961	Praq.g_01219
OG0000180	Prbl.g_01962	Praq.g_01220
OG0000181	Prbl.g_01963	Praq.g_01221
OG0000182	Prbl.g_01964	Praq.g_01222
OG0000183	Prbl.g_01968	Praq.g_01226
OG0000184	Prbl.g_02251	Praq.g_01262
OG0000185	Prbl.g_02273	Praq.g_01265
OG0000186	Prbl.g_00614	Praq.g_01939
OG0000187	Prbl.g_00613	Praq.g_01938
OG0000188	Prbl.g_00591	Praq.g_01921
OG0000189	Prbl.g_00565	Praq.g_01907
OG0000190	Prbl.g_00563	Praq.g_01906
OG0000191	Prbl.g_01325	Praq.g_01886
OG0000192	Prbl.g_01316	Praq.g_01882
OG0000193	Prbl.g_00302	Praq.g_01856
OG0000194	Prbl.g_00299	Praq.g_01853
OG0000195	Prbl.g_00297	Praq.g_01851
OG0000196	Prbl.g_00286	Praq.g_01841
OG0000197	Prbl.g_00285	Praq.g_01840
OG0000198	Prbl.g_00284	Praq.g_01839
OG0000199	Prbl.g_00277	Praq.g_01832
OG0000201	Prbl.g_00088	Praq.g_01810
OG0000202	Prbl.g_00089	Praq.g_01809
OG0000203	Prbl.g_00090	Praq.g_01808
OG0000204	Prbl.g_00091	Praq.g_01807
OG0000205	Prbl.g_00098	Praq.g_01800
OG0000206	Prbl.g_01282	Praq.g_01795
OG0000207	Prbl.g_00130	Praq.g_01793
OG0000208	Prbl.g_00129	Praq.g_01792
OG0000209	Prbl.g_01256	Praq.g_01783
OG0000210	Prbl.g_01257	Praq.g_01782
OG0000211	Prbl.g_01922	Praq.g_01769
OG0000212	Prbl.g_00192	Praq.g_01762
OG0000213	Prbl.g_01496	Praq.g_01746
OG0000214	Prbl.g_01469	Praq.g_01736
OG0000215	Prbl.g_01439	Praq.g_01710
OG0000216	Prbl.g_01436	Praq.g_01708
OG0000217	Prbl.g_01432	Praq.g_01705
OG0000218	Prbl.g_01428	Praq.g_01703
OG0000219	Prbl.g_01427	Praq.g_01702
OG0000220	Prbl.g_01426	Praq.g_01701
OG0000221	Prbl.g_01421	Praq.g_01700
OG0000222	Prbl.g_00911	Praq.g_01692
OG0000223	Prbl.g_00888	Praq.g_01679
OG0000224	Prbl.g_00877	Praq.g_01677
OG0000225	Prbl.g_01218	Praq.g_01199
OG0000226	Prbl.g_01222	Praq.g_01195
OG0000227	Prbl.g_01224	Praq.g_01193
OG0000228	Prbl.g_02673	Praq.g_01189
OG0000229	Prbl.g_00652	Praq.g_01121
OG0000230	Prbl.g_00650	Praq.g_01119
OG0000231	Prbl.g_00635	Praq.g_01108
OG0000232	Prbl.g_00619	Praq.g_00507
OG0000233	Prbl.g_01360	Praq.g_00513
OG0000234	Prbl.g_01339	Praq.g_00527
OG0000235	Prbl.g_00510	Praq.g_00530
OG0000236	Prbl.g_00526	Praq.g_00544
OG0000237	Prbl.g_00800	Praq.g_01096
OG0000238	Prbl.g_00795	Praq.g_01090
OG0000239	Prbl.g_00779	Praq.g_01077
OG0000240	Prbl.g_00778	Praq.g_01076
OG0000241	Prbl.g_01526	Praq.g_01072
OG0000242	Prbl.g_00768	Praq.g_01070
OG0000243	Prbl.g_02647	Praq.g_01059
OG0000244	Prbl.g_01879	Praq.g_01056
OG0000245	Prbl.g_01882	Praq.g_01054
OG0000246	Prbl.g_01886	Praq.g_01050
OG0000247	Prbl.g_01897	Praq.g_01040
OG0000248	Prbl.g_01900	Praq.g_01038
OG0000249	Prbl.g_01902	Praq.g_01036
OG0000250	Prbl.g_01799	Praq.g_01031
OG0000251	Prbl.g_01775	Praq.g_01012
OG0000252	Prbl.g_01772	Praq.g_01008
OG0000253	Prbl.g_01766	Praq.g_01007
OG0000254	Prbl.g_01747	Praq.g_00991
OG0000255	Prbl.g_01612	Praq.g_00985
OG0000256	Prbl.g_01626	Praq.g_00975
OG0000257	Prbl.g_01632	Praq.g_00972
OG0000258	Prbl.g_01655	Praq.g_00959
OG0000259	Prbl.g_01406	Praq.g_00789
OG0000260	Prbl.g_01403	Praq.g_00792
OG0000261	Prbl.g_01400	Praq.g_00794
OG0000262	Prbl.g_01395	Praq.g_00798
OG0000263	Prbl.g_01242	Praq.g_00810
OG0000264	Prbl.g_01859	Praq.g_00820
OG0000265	Prbl.g_02567, Prbl.g_01839	Praq.g_00583
OG0000266	Prbl.g_02556	Praq.g_00593
OG0000267	Prbl.g_02431	Praq.g_00604
OG0000268	Prbl.g_02432	Praq.g_00605
OG0000269	Prbl.g_02340	Praq.g_00665
OG0000270	Prbl.g_02337	Praq.g_00668
OG0000271	Prbl.g_02329	Praq.g_00676
OG0000272	Prbl.g_02328	Praq.g_00677
OG0000273	Prbl.g_01534	Praq.g_01428
OG0000274	Prbl.g_01535	Praq.g_01429
OG0000275	Prbl.g_01538	Praq.g_01431
OG0000276	Prbl.g_01544	Praq.g_01436
OG0000277	Prbl.g_01545	Praq.g_01437
OG0000278	Prbl.g_01548	Praq.g_01440
OG0000279	Prbl.g_01556	Praq.g_01447
OG0000280	Prbl.g_01562	Praq.g_01448
OG0000281	Prbl.g_01577	Praq.g_01454
OG0000282	Prbl.g_02405	Praq.g_01492
OG0000283	Prbl.g_02443	Praq.g_01525
OG0000284	Prbl.g_02449	Praq.g_01530
OG0000285	Prbl.g_01688	Praq.g_01535
OG0000286	Prbl.g_02477	Praq.g_01547
OG0000287	Prbl.g_02608	Praq.g_01564
OG0000288	Prbl.g_02531	Praq.g_01592
OG0000289	Prbl.g_02544	Praq.g_01603
OG0000290	Prbl.g_00930	Praq.g_01616
OG0000291	Prbl.g_00928	Praq.g_01618
OG0000292	Prbl.g_02128	Praq.g_01667
OG0000293	Prbl.g_02071	Praq.g_01324
OG0000294	Prbl.g_02072	Praq.g_01325
OG0000295	Prbl.g_00178	Praq.g_01345
OG0000296	Prbl.g_00180	Praq.g_01347
OG0000297	Prbl.g_01382	Praq.g_01355
OG0000298	Prbl.g_01383	Praq.g_01356
OG0000299	Prbl.g_01372	Praq.g_01373
OG0000300	Prbl.g_02582	Praq.g_01376
OG0000301	Prbl.g_02583	Praq.g_01377
OG0000302	Prbl.g_02586	Praq.g_01379
OG0000303	Prbl.g_00187	Praq.g_01386
OG0000304	Prbl.g_01102	Praq.g_01390
OG0000305	Prbl.g_00926	Praq.g_00167
OG0000306	Prbl.g_01586	Praq.g_00170
OG0000307	Prbl.g_00494	Praq.g_00186
OG0000308	Prbl.g_00492	Praq.g_00187
OG0000309	Prbl.g_00488	Praq.g_00191
OG0000310	Prbl.g_00160	Praq.g_00279
OG0000311	Prbl.g_00258	Praq.g_00281
OG0000312	Prbl.g_00254	Praq.g_00284
OG0000313	Prbl.g_00230	Praq.g_00298
OG0000314	Prbl.g_00699	Praq.g_00321
OG0000315	Prbl.g_00709	Praq.g_00331
OG0000316	Prbl.g_00441	Praq.g_00351
OG0000317	Prbl.g_00399	Praq.g_01954, Praq.g_00499
OG0000318	Prbl.g_00393	Praq.g_00496
OG0000319	Prbl.g_00376	Praq.g_00483
OG0000320	Prbl.g_00374	Praq.g_00481
OG0000321	Prbl.g_00373	Praq.g_00480
OG0000322	Prbl.g_00372	Praq.g_00479
OG0000323	Prbl.g_00361	Praq.g_00470
OG0000324	Prbl.g_00332	Praq.g_00444
OG0000325	Prbl.g_02683	Praq.g_00950
OG0000326	Prbl.g_01059	Praq.g_00944
OG0000327	Prbl.g_00957	Praq.g_00920
OG0000328	Prbl.g_00958	Praq.g_00919
OG0000329	Prbl.g_00975	Praq.g_00902
OG0000330	Prbl.g_00976	Praq.g_00901
OG0000331	Prbl.g_00977	Praq.g_00900
OG0000332	Prbl.g_00992	Praq.g_00886
OG0000333	Prbl.g_00994	Praq.g_00884
OG0000334	Prbl.g_01131	Praq.g_00876
OG0000335	Prbl.g_01136	Praq.g_00872
OG0000336	Prbl.g_01140	Praq.g_00868
OG0000337	Prbl.g_00863	Praq.g_00735
OG0000338	Prbl.g_00859	Praq.g_00736
OG0000339	Prbl.g_00853	Praq.g_00740
OG0000340	Prbl.g_00841	Praq.g_00748
OG0000341	Prbl.g_00839	Praq.g_00750
OG0000342	Prbl.g_00838	Praq.g_00751
OG0000343	Prbl.g_01307	Praq.g_00752
OG0000344	Prbl.g_01304	Praq.g_00755
OG0000345	Prbl.g_01289	Praq.g_00760
OG0000346	Prbl.g_01284	Praq.g_00764
OG0000347	Prbl.g_02053	Praq.g_00683
OG0000348	Prbl.g_02016	Praq.g_00692
OG0000349	Prbl.g_01992	Praq.g_00709
OG0000350	Prbl.g_02195	Praq.g_00392
OG0000351	Prbl.g_02147	Praq.g_00409
OG0000352	Prbl.g_02146	Praq.g_00410
OG0000353	Prbl.g_02122	Praq.g_00425
OG0000355	Prbl.g_02120	Praq.g_00427
OG0000356	Prbl.g_02119	Praq.g_00428
OG0000357	Prbl.g_02118	Praq.g_00429
OG0000358	Prbl.g_02114	Praq.g_00433
OG0000359	Prbl.g_02112	Praq.g_00434
