Orthogroup	Prbl	Syab
OG0000000	Prbl.g_00116, Prbl.g_00118, Prbl.g_00117	Syab.g_01226
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syab.g_01549
OG0000001	Prbl.g_00808, Prbl.g_02598	Syab.g_02553, Syab.g_02555
OG0000001	Prbl.g_02578	Syab.g_00673
OG0000002	Prbl.g_01582, Prbl.g_01092	Syab.g_02285
OG0000003	Prbl.g_02278, Prbl.g_00920	Syab.g_01580
OG0000004	Prbl.g_00021	Syab.g_00549, Syab.g_01193
OG0000004	Prbl.g_01771	Syab.g_01911, Syab.g_02377
OG0000005	Prbl.g_00419	Syab.g_02806, Syab.g_02232
OG0000006	Prbl.g_02601	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbl.g_00531	Syab.g_02117
OG0000007	Prbl.g_00394	Syab.g_02256
OG0000008	Prbl.g_01855	Syab.g_01755
OG0000008	Prbl.g_01854	Syab.g_01168
OG0000009	Prbl.g_00155, Prbl.g_00554	Syab.g_02498
OG0000010	Prbl.g_01341	Syab.g_00696
OG0000013	Prbl.g_01183	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbl.g_01416	Syab.g_00249
OG0000017	Prbl.g_01755	Syab.g_01945
OG0000017	Prbl.g_01763	Syab.g_01953
OG0000018	Prbl.g_00694	Syab.g_00742
OG0000019	Prbl.g_01097	Syab.g_00344
OG0000020	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386	Syab.g_02230
OG0000022	Prbl.g_01310, Prbl.g_01072	Syab.g_01825
OG0000023	Prbl.g_02355	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbl.g_00040	Syab.g_01834
OG0000025	Prbl.g_01539	Syab.g_01705
OG0000026	Prbl.g_01977	Syab.g_00036
OG0000028	Prbl.g_00900	Syab.g_00234
OG0000030	Prbl.g_02061	Syab.g_00096
OG0000030	Prbl.g_02060	Syab.g_00095
OG0000032	Prbl.g_00712	Syab.g_00724
OG0000032	Prbl.g_00889	Syab.g_00149
OG0000033	Prbl.g_00278	Syab.g_02590
OG0000034	Prbl.g_01734	Syab.g_00900, Syab.g_02560
OG0000035	Prbl.g_00242	Syab.g_00778, Syab.g_00776
OG0000036	Prbl.g_01476, Prbl.g_00741, Prbl.g_00807, Prbl.g_01129, Prbl.g_02649, Prbl.g_00264, Prbl.g_02665, Prbl.g_00734, Prbl.g_00065, Prbl.g_00465, Prbl.g_00735	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247
OG0000037	Prbl.g_00548	Syab.g_02504
OG0000038	Prbl.g_02235	Syab.g_02759
OG0000038	Prbl.g_02233	Syab.g_02761
OG0000039	Prbl.g_01272	Syab.g_02791
