Orthogroup	Prbl	Syam
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syam.g_00946
OG0000002	Prbl.g_01582, Prbl.g_01092	Syam.g_00931
OG0000004	Prbl.g_00021	Syam.g_00787
OG0000004	Prbl.g_01771	Syam.g_01499, Syam.g_00501
OG0000005	Prbl.g_00419	Syam.g_01970
OG0000006	Prbl.g_02601	Syam.g_00286, Syam.g_00518
OG0000007	Prbl.g_00531	Syam.g_00602
OG0000007	Prbl.g_00394	Syam.g_01990
OG0000008	Prbl.g_01855	Syam.g_00810
OG0000008	Prbl.g_01854	Syam.g_00811
OG0000009	Prbl.g_00155, Prbl.g_00554	Syam.g_02119
OG0000010	Prbl.g_01341	Syam.g_01669
OG0000012	Prbl.g_01618	Syam.g_01492
OG0000013	Prbl.g_01183	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prbl.g_01416	Syam.g_00191
OG0000015	Prbl.g_01566	Syam.g_01218, Syam.g_01362
OG0000017	Prbl.g_01755	Syam.g_01708
OG0000017	Prbl.g_01763	Syam.g_01715
OG0000018	Prbl.g_00694	Syam.g_01640
OG0000019	Prbl.g_01097	Syam.g_00274
OG0000021	Prbl.g_01768	Syam.g_00523
OG0000022	Prbl.g_01310, Prbl.g_01072	Syam.g_01418
OG0000023	Prbl.g_02355	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbl.g_00040	Syam.g_00815
OG0000025	Prbl.g_01539	Syam.g_00740
OG0000026	Prbl.g_01977	Syam.g_00035
OG0000028	Prbl.g_00900	Syam.g_00176
OG0000029	Prbl.g_01163	Syam.g_01390, Syam.g_01055
OG0000030	Prbl.g_02061	Syam.g_00104
OG0000030	Prbl.g_02060	Syam.g_00103
OG0000032	Prbl.g_00712	Syam.g_01660
OG0000032	Prbl.g_00889	Syam.g_00079
OG0000033	Prbl.g_00278	Syam.g_02217
OG0000034	Prbl.g_01734	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbl.g_00242	Syam.g_01612
OG0000037	Prbl.g_00548	Syam.g_02125
OG0000038	Prbl.g_02235	Syam.g_02317
OG0000041	Prbl.g_00339	Syam.g_01899
OG0000042	Prbl.g_01236, Prbl.g_01121	Syam.g_00107
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syam.g_02052
OG0000045	Prbl.g_00609	Syam.g_02028
OG0000046	Prbl.g_01184	Syam.g_00403, Syam.g_00410, Syam.g_00420
OG0000047	Prbl.g_01574, Prbl.g_00719	Syam.g_00434
OG0000048	Prbl.g_01465	Syam.g_00243
OG0000052	Prbl.g_00870	Syam.g_00161
OG0000053	Prbl.g_00691	Syam.g_01636
