Orthogroup	Prbl	Syaj
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syaj.g_02674
OG0000001	Prbl.g_00808, Prbl.g_02598	Syaj.g_01950
OG0000002	Prbl.g_01582, Prbl.g_01092	Syaj.g_02667
OG0000004	Prbl.g_00021	Syaj.g_00441
OG0000004	Prbl.g_01771	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbl.g_00419	Syaj.g_01698
OG0000006	Prbl.g_02601	Syaj.g_02635
OG0000007	Prbl.g_00531	Syaj.g_00091
OG0000007	Prbl.g_00394	Syaj.g_01721
OG0000008	Prbl.g_01855	Syaj.g_00496
OG0000008	Prbl.g_01854	Syaj.g_00497
OG0000009	Prbl.g_00155, Prbl.g_00554	Syaj.g_01885
OG0000010	Prbl.g_01341	Syaj.g_01445
OG0000011	Prbl.g_01822	Syaj.g_01133
OG0000012	Prbl.g_01618	Syaj.g_01306
OG0000013	Prbl.g_01183	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prbl.g_01416	Syaj.g_02522
OG0000015	Prbl.g_01566	Syaj.g_00725, Syaj.g_02659
OG0000017	Prbl.g_01755	Syaj.g_00255
OG0000017	Prbl.g_01763	Syaj.g_00248
OG0000018	Prbl.g_00694	Syaj.g_01413
OG0000019	Prbl.g_01097	Syaj.g_02613
OG0000021	Prbl.g_01531	Syaj.g_00982
OG0000021	Prbl.g_01768	Syaj.g_00042
OG0000022	Prbl.g_01310, Prbl.g_01072	Syaj.g_01220
OG0000023	Prbl.g_02355	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbl.g_00040	Syaj.g_00500
OG0000025	Prbl.g_01539	Syaj.g_00383
OG0000026	Prbl.g_01977	Syaj.g_02298
OG0000028	Prbl.g_00900	Syaj.g_02506
OG0000029	Prbl.g_01163	Syaj.g_01229
OG0000030	Prbl.g_02061	Syaj.g_02396
OG0000030	Prbl.g_02060	Syaj.g_02395
OG0000032	Prbl.g_00712	Syaj.g_01432
OG0000033	Prbl.g_00278	Syaj.g_01990
OG0000034	Prbl.g_01734	Syaj.g_01959
OG0000035	Prbl.g_00242	Syaj.g_01378
OG0000037	Prbl.g_00548	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbl.g_02235	Syaj.g_02115
OG0000039	Prbl.g_01272	Syaj.g_00275
OG0000041	Prbl.g_00339	Syaj.g_01602
OG0000042	Prbl.g_01236, Prbl.g_01121	Syaj.g_02399
OG0000045	Prbl.g_00609	Syaj.g_00132
OG0000046	Prbl.g_01184	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781
OG0000047	Prbl.g_01574, Prbl.g_00719	Syaj.g_02799
OG0000048	Prbl.g_01465	Syaj.g_02578
OG0000051	Prbl.g_01677	Syaj.g_02898
OG0000052	Prbl.g_00870	Syaj.g_02476
OG0000053	Prbl.g_00691	Syaj.g_01409
OG0000054	Prbl.g_01752	Syaj.g_01341
OG0000056	Prbl.g_01599	Syaj.g_00985, Syaj.g_02864
OG0000056	Prbl.g_01171	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962
OG0000057	Prbl.g_00025	Syaj.g_00438
OG0000059	Prbl.g_00836	Syaj.g_02686
OG0000060	Prbl.g_00508	Syaj.g_00067
OG0000061	Prbl.g_02084	Syaj.g_00302
OG0000062	Prbl.g_00417	Syaj.g_01700
OG0000063	Prbl.g_01981	Syaj.g_02302
OG0000065	Prbl.g_00552	Syaj.g_00007, Syaj.g_01887
OG0000066	Prbl.g_00752	Syaj.g_00157
OG0000067	Prbl.g_02335	Syaj.g_01023
OG0000068	Prbl.g_00502	Syaj.g_00059
OG0000070	Prbl.g_00634	Syaj.g_01529
OG0000071	Prbl.g_01722	Syaj.g_01511
OG0000072	Prbl.g_00276	Syaj.g_01992
OG0000073	Prbl.g_00533	Syaj.g_00093
