Orthogroup	Prbl	Syat
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syat.g_02910, Syat.g_02911
OG0000001	Prbl.g_00808, Prbl.g_02598	Syat.g_02908, Syat.g_02909
OG0000001	Prbl.g_02578	Syat.g_00878
OG0000005	Prbl.g_00419	Syat.g_03105
OG0000006	Prbl.g_02601	Syat.g_01439, Syat.g_01865
OG0000007	Prbl.g_00531	Syat.g_03191
OG0000007	Prbl.g_00394	Syat.g_03124
OG0000008	Prbl.g_01855	Syat.g_02626
OG0000008	Prbl.g_01854	Syat.g_02627
OG0000009	Prbl.g_00155, Prbl.g_00554	Syat.g_01567
OG0000010	Prbl.g_01341	Syat.g_01372
OG0000013	Prbl.g_01183	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbl.g_01416	Syat.g_02104
OG0000017	Prbl.g_01763	Syat.g_00015
OG0000018	Prbl.g_00694	Syat.g_01334
OG0000019	Prbl.g_01097, Prbl.g_01509	Syat.g_01876
OG0000021	Prbl.g_01531	Syat.g_00964
OG0000022	Prbl.g_01310, Prbl.g_01072	Syat.g_00210
OG0000024	Prbl.g_00040	Syat.g_03394
OG0000025	Prbl.g_01539	Syat.g_00719
OG0000026	Prbl.g_01977	Syat.g_02306
OG0000028	Prbl.g_00900	Syat.g_02126
OG0000030	Prbl.g_02061	Syat.g_00307
OG0000030	Prbl.g_02060	Syat.g_00308
OG0000032	Prbl.g_00712	Syat.g_01354
OG0000032	Prbl.g_00889	Syat.g_02237
OG0000033	Prbl.g_00278	Syat.g_02858
OG0000034	Prbl.g_01734	Syat.g_01165, Syat.g_02902
OG0000035	Prbl.g_00242	Syat.g_01227, Syat.g_01226
OG0000037	Prbl.g_00548	Syat.g_00849, Syat.g_00187
OG0000038	Prbl.g_02235	Syat.g_02688
OG0000038	Prbl.g_02233	Syat.g_02686
OG0000039	Prbl.g_00318, Prbl.g_01272	Syat.g_01278
OG0000042	Prbl.g_01236, Prbl.g_01121	Syat.g_00223, Syat.g_02222
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbl.g_00609	Syat.g_00935
OG0000046	Prbl.g_01184	Syat.g_01626, Syat.g_01026
OG0000048	Prbl.g_01465	Syat.g_02046
OG0000053	Prbl.g_00691	Syat.g_01330
OG0000057	Prbl.g_00025	Syat.g_00817
OG0000058	Prbl.g_00890	Syat.g_02133, Syat.g_02238
OG0000059	Prbl.g_00952	Syat.g_01832
OG0000060	Prbl.g_00508	Syat.g_01384
OG0000061	Prbl.g_02084	Syat.g_03260
OG0000062	Prbl.g_00417	Syat.g_03107
OG0000063	Prbl.g_01981	Syat.g_02303
OG0000065	Prbl.g_00552	Syat.g_01571
OG0000066	Prbl.g_00752	Syat.g_03283
OG0000067	Prbl.g_02335	Syat.g_00479
OG0000068	Prbl.g_00502	Syat.g_00085, Syat.g_01295
OG0000070	Prbl.g_00634	Syat.g_01032, Syat.g_01040
OG0000072	Prbl.g_00276	Syat.g_02856, Syat.g_01597
OG0000073	Prbl.g_00533	Syat.g_03201
OG0000075	Prbl.g_00855	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbl.g_01285	Syat.g_02206
OG0000077	Prbl.g_00631	Syat.g_01481
OG0000078	Prbl.g_00193	Syat.g_00184
OG0000079	Prbl.g_01505	Syat.g_01879
OG0000081	Prbl.g_01036, Prbl.g_00032	Syat.g_00980
OG0000082	Prbl.g_01783	Syat.g_00035
