Orthogroup	Prbl	Syas
OG0000001	Prbl.g_00808, Prbl.g_02598	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Prbl.g_01929, Prbl.g_01308	Syas.g_00054
OG0000004	Prbl.g_00021	Syas.g_00176
OG0000004	Prbl.g_01771	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbl.g_00419	Syas.g_02704
OG0000006	Prbl.g_02601	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbl.g_00531	Syas.g_01232
OG0000007	Prbl.g_00394	Syas.g_02681
OG0000008	Prbl.g_01855	Syas.g_00886
OG0000008	Prbl.g_01854	Syas.g_00887
OG0000009	Prbl.g_00155, Prbl.g_00554	Syas.g_01450
OG0000010	Prbl.g_01341	Syas.g_01334
OG0000013	Prbl.g_01183	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbl.g_01416	Syas.g_01816
OG0000017	Prbl.g_01755	Syas.g_00856
OG0000017	Prbl.g_01763	Syas.g_00849
OG0000018	Prbl.g_00694	Syas.g_01290
OG0000019	Prbl.g_01097, Prbl.g_01509	Syas.g_01696
OG0000022	Prbl.g_01310, Prbl.g_01072	Syas.g_02758
OG0000025	Prbl.g_01539	Syas.g_00231
OG0000026	Prbl.g_01977	Syas.g_02070
OG0000028	Prbl.g_00900	Syas.g_01793
OG0000030	Prbl.g_02061	Syas.g_01644
OG0000030	Prbl.g_02060	Syas.g_01645
OG0000033	Prbl.g_00278	Syas.g_02328
OG0000034	Prbl.g_01734	Syas.g_02371, Syas.g_02838
OG0000035	Prbl.g_00242	Syas.g_02814, Syas.g_02818
OG0000037	Prbl.g_00548	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbl.g_02235	Syas.g_01885
OG0000038	Prbl.g_02233	Syas.g_01887
OG0000039	Prbl.g_00318	Syas.g_02795
OG0000042	Prbl.g_01236, Prbl.g_01121	Syas.g_01121, Syas.g_02147
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syas.g_00894, Syas.g_02453
OG0000046	Prbl.g_01184	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbl.g_01465	Syas.g_01734
OG0000051	Prbl.g_01677	Syas.g_01445
OG0000053	Prbl.g_00691	Syas.g_01287
OG0000054	Prbl.g_01752	Syas.g_00961
OG0000059	Prbl.g_00952	Syas.g_01639
OG0000060	Prbl.g_00063	Syas.g_01680
OG0000061	Prbl.g_02084	Syas.g_01184
OG0000062	Prbl.g_00417	Syas.g_02702, Syas.g_00070
OG0000063	Prbl.g_01981	Syas.g_02074
OG0000065	Prbl.g_00552	Syas.g_02420
OG0000066	Prbl.g_00752	Syas.g_00094
OG0000067	Prbl.g_02335	Syas.g_00596
OG0000068	Prbl.g_00502	Syas.g_00969, Syas.g_01261
OG0000070	Prbl.g_00634	Syas.g_00173
OG0000072	Prbl.g_00276	Syas.g_02326, Syas.g_01524
