Orthogroup	Prbl	Syap
OG0000001	Prbl.g_00808, Prbl.g_02598	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Prbl.g_02578	Syap.g_00399
OG0000004	Prbl.g_01771	Syap.g_01987
OG0000005	Prbl.g_00419	Syap.g_01218
OG0000007	Prbl.g_00531	Syap.g_00275
OG0000007	Prbl.g_00394	Syap.g_00621
OG0000009	Prbl.g_00155, Prbl.g_00554	Syap.g_02081
OG0000010	Prbl.g_01341	Syap.g_02757
OG0000013	Prbl.g_01183	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbl.g_01416	Syap.g_01675
OG0000017	Prbl.g_01763	Syap.g_00449
OG0000018	Prbl.g_00694	Syap.g_02010
OG0000019	Prbl.g_01097, Prbl.g_01509	Syap.g_01586
OG0000025	Prbl.g_01539	Syap.g_01846
OG0000028	Prbl.g_00900	Syap.g_01658
OG0000030	Prbl.g_02061	Syap.g_00787
OG0000030	Prbl.g_02060	Syap.g_00788
OG0000032	Prbl.g_00889	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prbl.g_00278	Syap.g_01198
OG0000034	Prbl.g_01734	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbl.g_00242	Syap.g_02465
OG0000037	Prbl.g_00548	Syap.g_02492
OG0000038	Prbl.g_02233	Syap.g_00139
OG0000042	Prbl.g_01236, Prbl.g_01121	Syap.g_01891, Syap.g_01120
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syap.g_00378
OG0000045	Prbl.g_00609	Syap.g_02525
OG0000046	Prbl.g_01184	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbl.g_01465	Syap.g_02340
OG0000051	Prbl.g_01677	Syap.g_01574
OG0000053	Prbl.g_00691	Syap.g_02006
OG0000054	Prbl.g_01752	Syap.g_00678
OG0000058	Prbl.g_00890	Syap.g_02074
OG0000059	Prbl.g_00952	Syap.g_01918
OG0000059	Prbl.g_00836	Syap.g_01082, Syap.g_02478
OG0000061	Prbl.g_02084	Syap.g_00228
OG0000062	Prbl.g_00417	Syap.g_01220, Syap.g_01365
OG0000063	Prbl.g_01981	Syap.g_01796
OG0000066	Prbl.g_00752	Syap.g_01972
OG0000067	Prbl.g_02335	Syap.g_00194
OG0000068	Prbl.g_00502	Syap.g_00108, Syap.g_00144
OG0000070	Prbl.g_00634	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
