Orthogroup	Prbh	Prbk
OG0000000	Prbh.g_01016, Prbh.g_01022	Prbk.g_02574
OG0000000	Prbh.g_00912, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199	Prbk.g_01649
OG0000002	Prbh.g_00001	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Prbh.g_01901, Prbh.g_01319	Prbk.g_00166
OG0000004	Prbh.g_01350	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prbh.g_01782	Prbk.g_00907
OG0000007	Prbh.g_01406	Prbk.g_01819
OG0000007	Prbh.g_01405	Prbk.g_01820
OG0000009	Prbh.g_01307, Prbh.g_00530	Prbk.g_01004
OG0000011	Prbh.g_00408	Prbk.g_02565
OG0000012	Prbh.g_00225	Prbk.g_01142
OG0000013	Prbh.g_00840, Prbh.g_01869	Prbk.g_02558
OG0000016	Prbh.g_01333	Prbk.g_01746
OG0000016	Prbh.g_00194	Prbk.g_01786
OG0000017	Prbh.g_00120, Prbh.g_01834	Prbk.g_01230
OG0000018	Prbh.g_00538	Prbk.g_02695
OG0000019	Prbh.g_00938	Prbk.g_01137
OG0000020	Prbh.g_00508	Prbk.g_00405
OG0000024	Prbh.g_00472	Prbk.g_00454
OG0000026	Prbh.g_01401	Prbk.g_01613
OG0000028	Prbh.g_00099	Prbk.g_00259
OG0000032	Prbh.g_00064	Prbk.g_00534, Prbk.g_00539
OG0000034	Prbh.g_00727	Prbk.g_00499
OG0000037	Prbh.g_01460	Prbk.g_02610
OG0000038	Prbh.g_00190	Prbk.g_01667, Prbk.g_00212
OG0000039	Prbh.g_00616	Prbk.g_01836, Prbk.g_00773
OG0000040	Prbh.g_00833	Prbk.g_02448
OG0000042	Prbh.g_00945	Prbk.g_01835, Prbk.g_00619
OG0000043	Prbh.g_01048	Prbk.g_01644, Prbk.g_01642
OG0000044	Prbh.g_01283	Prbk.g_01019
OG0000045	Prbh.g_00030	Prbk.g_00479
OG0000046	Prbh.g_01408	Prbk.g_00919
OG0000047	Prbh.g_01581	Prbk.g_00237
OG0000048	Prbh.g_01573	Prbk.g_00140, Prbk.g_01495
OG0000050	Prbh.g_00749	Prbk.g_01617
OG0000051	Prbh.g_00625	Prbk.g_00764
OG0000052	Prbh.g_00821	Prbk.g_00925
OG0000053	Prbh.g_01856	Prbk.g_01094
OG0000054	Prbh.g_01897	Prbk.g_01468
OG0000055	Prbh.g_00976	Prbk.g_02493
OG0000056	Prbh.g_01334	Prbk.g_00694
OG0000058	Prbh.g_00356	Prbk.g_02113
OG0000059	Prbh.g_00936	Prbk.g_01765
OG0000062	Prbh.g_01868	Prbk.g_02195
OG0000063	Prbh.g_01255	Prbk.g_01496
OG0000065	Prbh.g_01373	Prbk.g_01183
OG0000066	Prbh.g_00031	Prbk.g_00477
OG0000068	Prbh.g_01644	Prbk.g_00796, Prbk.g_00944
OG0000069	Prbh.g_00138	Prbk.g_01209
OG0000070	Prbh.g_01417	Prbk.g_00094
OG0000070	Prbh.g_01803	Prbk.g_00841, Prbk.g_02591
