Orthogroup	Prbh	Prbj
OG0000000	Prbh.g_01016, Prbh.g_01022	Prbj.g_02517
OG0000000	Prbh.g_00912, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199	Prbj.g_00030
OG0000002	Prbh.g_00001	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690
OG0000003	Prbh.g_01901, Prbh.g_01319	Prbj.g_00165
OG0000004	Prbh.g_01350	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prbh.g_00334	Prbj.g_01610
OG0000006	Prbh.g_01782	Prbj.g_00857
OG0000007	Prbh.g_01406	Prbj.g_00929
OG0000007	Prbh.g_01405	Prbj.g_00928
OG0000009	Prbh.g_01307, Prbh.g_00530	Prbj.g_01349
OG0000011	Prbh.g_00408	Prbj.g_02509
OG0000012	Prbh.g_00225	Prbj.g_01769
OG0000013	Prbh.g_00840, Prbh.g_01869	Prbj.g_02502
OG0000016	Prbh.g_01333	Prbj.g_00740
OG0000016	Prbh.g_00194	Prbj.g_00778
OG0000017	Prbh.g_00120, Prbh.g_01834	Prbj.g_00638
OG0000018	Prbh.g_00538	Prbj.g_02699
OG0000019	Prbh.g_00938	Prbj.g_01774
OG0000020	Prbh.g_00508	Prbj.g_01393
OG0000024	Prbh.g_00472	Prbj.g_01442
OG0000026	Prbh.g_01401	Prbj.g_01208
OG0000028	Prbh.g_00099	Prbj.g_01056
OG0000032	Prbh.g_00064	Prbj.g_01522, Prbj.g_01527
OG0000034	Prbh.g_00727	Prbj.g_01487
OG0000037	Prbh.g_01460	Prbj.g_02552
OG0000038	Prbh.g_00190	Prbj.g_00050, Prbj.g_01572
OG0000039	Prbh.g_00616	Prbj.g_00912, Prbj.g_00521
OG0000040	Prbh.g_00833	Prbj.g_02392
OG0000042	Prbh.g_00945	Prbj.g_00913, Prbj.g_02178
OG0000043	Prbh.g_01048	Prbj.g_00025, Prbj.g_00023
OG0000044	Prbh.g_01283	Prbj.g_00971
OG0000045	Prbh.g_00030	Prbj.g_01467
OG0000046	Prbh.g_01408	Prbj.g_00869
OG0000047	Prbh.g_01581	Prbj.g_01598
OG0000048	Prbh.g_01573	Prbj.g_00001, Prbj.g_01808
OG0000050	Prbh.g_00749	Prbj.g_01204
OG0000051	Prbh.g_00625	Prbj.g_00530
OG0000052	Prbh.g_00821	Prbj.g_00875
OG0000053	Prbh.g_01856	Prbj.g_02141
OG0000054	Prbh.g_01897	Prbj.g_01324
OG0000055	Prbh.g_00976	Prbj.g_02437
OG0000056	Prbh.g_01334	Prbj.g_00227
OG0000058	Prbh.g_00356	Prbj.g_00128
OG0000059	Prbh.g_00936	Prbj.g_00758
OG0000062	Prbh.g_01868	Prbj.g_01990
OG0000063	Prbh.g_01255	Prbj.g_01915
OG0000065	Prbh.g_01373	Prbj.g_01728
OG0000066	Prbh.g_00031	Prbj.g_01465
OG0000068	Prbh.g_01644	Prbj.g_00415, Prbj.g_00981
OG0000069	Prbh.g_00138	Prbj.g_00659
OG0000070	Prbh.g_01417	Prbj.g_01125
OG0000070	Prbh.g_01803	Prbj.g_00371, Prbj.g_02533
