Orthogroup	Prbh	Praq
OG0000000	Prbh.g_01016, Prbh.g_01022	Praq.g_00168
OG0000000	Prbh.g_00912, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199	Praq.g_00807
OG0000002	Prbh.g_00001	Praq.g_00160
OG0000002	Prbh.g_00863	Praq.g_01394, Praq.g_01393
OG0000003	Prbh.g_01901, Prbh.g_01319	Praq.g_00115
OG0000004	Prbh.g_01350	Praq.g_00607, Praq.g_00614
OG0000005	Prbh.g_01903	Praq.g_01956
OG0000006	Prbh.g_00334	Praq.g_01105
OG0000006	Prbh.g_01782	Praq.g_00497
OG0000007	Prbh.g_01406	Praq.g_00071
OG0000009	Prbh.g_01307	Praq.g_00649
OG0000009	Prbh.g_00530	Praq.g_01753
OG0000010	Prbh.g_01909, Prbh.g_01948	Praq.g_00081, Praq.g_01283, Praq.g_00097
OG0000011	Prbh.g_00408	Praq.g_01137
OG0000012	Prbh.g_00232, Prbh.g_00225	Praq.g_01004
OG0000013	Prbh.g_00840, Prbh.g_01869	Praq.g_00065
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Praq.g_01161
OG0000016	Prbh.g_01333, Prbh.g_00194	Praq.g_00171
OG0000017	Prbh.g_00120, Prbh.g_01834	Praq.g_01246
OG0000018	Prbh.g_00538	Praq.g_01761
OG0000019	Prbh.g_00938	Praq.g_01179
OG0000020	Prbh.g_00508	Praq.g_01169
OG0000021	Prbh.g_00788, Prbh.g_01870	Praq.g_00651
OG0000022	Prbh.g_01853	Praq.g_00117
OG0000023	Prbh.g_01841, Prbh.g_00193, Prbh.g_00377	Praq.g_00017
OG0000024	Prbh.g_00472	Praq.g_01696
OG0000025	Prbh.g_00850	Praq.g_01654
OG0000026	Prbh.g_01401	Praq.g_00075
OG0000028	Prbh.g_00099, Prbh.g_00096	Praq.g_00294
OG0000029	Prbh.g_00376	Praq.g_00018, Praq.g_00056
OG0000032	Prbh.g_00064	Praq.g_00209
OG0000035	Prbh.g_00825	Praq.g_01475
OG0000036	Prbh.g_01855	Praq.g_01018
OG0000037	Prbh.g_01460	Praq.g_00979
OG0000038	Prbh.g_00190	Praq.g_00635
OG0000039	Prbh.g_00616	Praq.g_01836
OG0000040	Prbh.g_00833	Praq.g_01184
OG0000041	Prbh.g_01827	Praq.g_01129
OG0000042	Prbh.g_00945	Praq.g_00583
OG0000043	Prbh.g_01048	Praq.g_00654
OG0000044	Prbh.g_01283	Praq.g_01333
OG0000045	Prbh.g_00030	Praq.g_00218
OG0000047	Prbh.g_01581	Praq.g_00763, Praq.g_01243
OG0000048	Prbh.g_01573	Praq.g_00770
OG0000050	Prbh.g_00749	Praq.g_01234
OG0000051	Prbh.g_00625	Praq.g_01845, Praq.g_00554
OG0000052	Prbh.g_00821	Praq.g_01173
OG0000053	Prbh.g_01856	Praq.g_01063
OG0000054	Prbh.g_01897	Praq.g_00629
OG0000055	Prbh.g_00976	Praq.g_01420
OG0000056	Prbh.g_01334	Praq.g_01289
OG0000057	Prbh.g_00543	Praq.g_01765
OG0000058	Prbh.g_00356	Praq.g_00526
OG0000059	Prbh.g_00936	Praq.g_00827
OG0000060	Prbh.g_00775	Praq.g_00612, Praq.g_00083, Praq.g_00548, Praq.g_00857
OG0000062	Prbh.g_01868	Praq.g_01300
OG0000063	Prbh.g_01255	Praq.g_00084
OG0000065	Prbh.g_01373	Praq.g_00133
OG0000066	Prbh.g_00031	Praq.g_00208
OG0000067	Prbh.g_01835	Praq.g_00100
OG0000068	Prbh.g_01644	Praq.g_00879
OG0000069	Prbh.g_00138	Praq.g_00202
OG0000071	Prbh.g_01953	Praq.g_00437
OG0000072	Prbh.g_00457	Praq.g_01680
OG0000073	Prbh.g_01182	Praq.g_00798
OG0000074	Prbh.g_00926	Praq.g_00820
OG0000075	Prbh.g_00960	Praq.g_00677
OG0000076	Prbh.g_01031	Praq.g_01619
OG0000078	Prbh.g_00032	Praq.g_00216
OG0000079	Prbh.g_00184	Praq.g_00372
OG0000080	Prbh.g_01860	Praq.g_00052
OG0000081	Prbh.g_01609	Praq.g_00737
OG0000082	Prbh.g_01516	Praq.g_00392
OG0000083	Prbh.g_01473	Praq.g_00429
OG0000084	Prbh.g_01470	Praq.g_00432
OG0000085	Prbh.g_00757	Praq.g_01226
OG0000086	Prbh.g_01826	Praq.g_01254
OG0000087	Prbh.g_00731	Praq.g_01265
OG0000088	Prbh.g_00668	Praq.g_01890
OG0000089	Prbh.g_00659	Praq.g_01882
OG0000090	Prbh.g_00642	Praq.g_01864
OG0000091	Prbh.g_00613	Praq.g_01833
OG0000092	Prbh.g_00612	Praq.g_01832
OG0000093	Prbh.g_00599	Praq.g_01818
OG0000094	Prbh.g_00580	Praq.g_01800
OG0000095	Prbh.g_00575	Praq.g_01795
OG0000096	Prbh.g_00528	Praq.g_01751
OG0000097	Prbh.g_00505	Praq.g_01729
OG0000098	Prbh.g_00494	Praq.g_01718
OG0000099	Prbh.g_00484	Praq.g_01708
OG0000100	Prbh.g_00481	Praq.g_01705
OG0000101	Prbh.g_00413	Praq.g_01187
OG0000102	Prbh.g_01825	Praq.g_01160
OG0000103	Prbh.g_00355	Praq.g_00527
OG0000104	Prbh.g_00351	Praq.g_00531
OG0000105	Prbh.g_00330	Praq.g_01103
OG0000106	Prbh.g_00297	Praq.g_01070
OG0000107	Prbh.g_00296	Praq.g_01069
OG0000108	Prbh.g_00287	Praq.g_01059
OG0000109	Prbh.g_00278	Praq.g_01050
OG0000110	Prbh.g_00260	Praq.g_01034
OG0000111	Prbh.g_01202	Praq.g_00780
OG0000112	Prbh.g_01201	Praq.g_00781
OG0000113	Prbh.g_01149	Praq.g_00605
OG0000114	Prbh.g_00951	Praq.g_00668
OG0000115	Prbh.g_01086	Praq.g_01548
OG0000116	Prbh.g_01090	Praq.g_01552
OG0000117	Prbh.g_01034	Praq.g_01616
OG0000118	Prbh.g_01328	Praq.g_01667
OG0000119	Prbh.g_01865	Praq.g_01303
OG0000120	Prbh.g_01276	Praq.g_01339
OG0000121	Prbh.g_01253	Praq.g_01358
OG0000122	Prbh.g_01233	Praq.g_01377
OG0000123	Prbh.g_01450	Praq.g_01390
OG0000124	Prbh.g_01397	Praq.g_00257
OG0000125	Prbh.g_01385	Praq.g_00145
OG0000126	Prbh.g_00009	Praq.g_00175
OG0000127	Prbh.g_00084	Praq.g_00281
OG0000128	Prbh.g_00100	Praq.g_00295
OG0000129	Prbh.g_00136	Praq.g_00331
OG0000130	Prbh.g_01785	Praq.g_01954, Praq.g_00499
OG0000131	Prbh.g_01745	Praq.g_00461
OG0000132	Prbh.g_01742	Praq.g_00458
OG0000133	Prbh.g_01686	Praq.g_00920
OG0000134	Prbh.g_01650	Praq.g_00884
OG0000135	Prbh.g_01648	Praq.g_00882
OG0000136	Prbh.g_01597	Praq.g_00748
OG0000137	Prbh.g_01563	Praq.g_00683
OG0000138	Prbh.g_01528	Praq.g_00718
OG0000139	Prbh.g_01497	Praq.g_00409
OG0000140	Prbh.g_01475	Praq.g_00427
OG0000141	Prbh.g_01474	Praq.g_00428
OG0000142	Prbh.g_01472	Praq.g_00430
OG0000143	Prbh.g_01471	Praq.g_00431
OG0000144	Prbh.g_01469	Praq.g_00433
OG0000145	Prbh.g_01468	Praq.g_00434
OG0000146	Prbh.g_01467	Praq.g_00435
OG0000147	Prbh.g_01466	Praq.g_00436
OG0000148	Prbh.g_01952	Praq.g_00438
OG0000149	Prbh.g_00766	Praq.g_01217
OG0000150	Prbh.g_00765	Praq.g_01218
OG0000151	Prbh.g_00764	Praq.g_01219
OG0000152	Prbh.g_00763	Praq.g_01220
OG0000153	Prbh.g_00762	Praq.g_01221
OG0000154	Prbh.g_00761	Praq.g_01222
OG0000155	Prbh.g_00760	Praq.g_01223
OG0000156	Prbh.g_00759	Praq.g_01224
OG0000157	Prbh.g_00758	Praq.g_01225
OG0000158	Prbh.g_00756	Praq.g_01227
OG0000159	Prbh.g_00755	Praq.g_01228
OG0000160	Prbh.g_00754	Praq.g_01229
OG0000161	Prbh.g_00753	Praq.g_01230
OG0000162	Prbh.g_00752	Praq.g_01231
OG0000163	Prbh.g_00751	Praq.g_01232
OG0000164	Prbh.g_00748	Praq.g_01235
OG0000165	Prbh.g_00746	Praq.g_01239
OG0000166	Prbh.g_00745	Praq.g_01240
OG0000167	Prbh.g_00744	Praq.g_01241
OG0000168	Prbh.g_00743	Praq.g_01255
OG0000169	Prbh.g_00741	Praq.g_01257
OG0000170	Prbh.g_00739	Praq.g_01258
OG0000171	Prbh.g_00738	Praq.g_01259
OG0000172	Prbh.g_00737	Praq.g_01261
OG0000173	Prbh.g_00734	Praq.g_01262
OG0000174	Prbh.g_00733	Praq.g_01263
OG0000175	Prbh.g_00732	Praq.g_01264
OG0000176	Prbh.g_00730	Praq.g_01266
OG0000177	Prbh.g_00729	Praq.g_01267
OG0000178	Prbh.g_00728	Praq.g_01268
OG0000179	Prbh.g_00719	Praq.g_01939
OG0000180	Prbh.g_00718	Praq.g_01938
OG0000181	Prbh.g_00717	Praq.g_01937
OG0000182	Prbh.g_00713	Praq.g_01934
OG0000183	Prbh.g_00712	Praq.g_01933
OG0000184	Prbh.g_00709	Praq.g_01930
OG0000185	Prbh.g_00705	Praq.g_01926
OG0000186	Prbh.g_00704	Praq.g_01925
OG0000187	Prbh.g_01878	Praq.g_01924
OG0000188	Prbh.g_00703	Praq.g_01923
OG0000189	Prbh.g_00702	Praq.g_01922
OG0000190	Prbh.g_00701	Praq.g_01921
OG0000191	Prbh.g_00700	Praq.g_01920
OG0000192	Prbh.g_00699	Praq.g_01919
OG0000193	Prbh.g_00698	Praq.g_01918
OG0000194	Prbh.g_00697	Praq.g_01917
OG0000195	Prbh.g_00695	Praq.g_01915
OG0000196	Prbh.g_00694	Praq.g_01914
OG0000197	Prbh.g_00693	Praq.g_01913
OG0000198	Prbh.g_00692	Praq.g_01912
OG0000199	Prbh.g_00689	Praq.g_01909
OG0000200	Prbh.g_00688	Praq.g_01908
OG0000201	Prbh.g_00687	Praq.g_01907
OG0000202	Prbh.g_00686	Praq.g_01906
OG0000203	Prbh.g_00685	Praq.g_01905
OG0000204	Prbh.g_00684	Praq.g_01904
OG0000205	Prbh.g_00682	Praq.g_01903
OG0000206	Prbh.g_00681	Praq.g_01902
OG0000207	Prbh.g_00680	Praq.g_01901
OG0000208	Prbh.g_00679	Praq.g_01900
OG0000209	Prbh.g_00678	Praq.g_01899
OG0000210	Prbh.g_00677	Praq.g_01897
OG0000211	Prbh.g_00676	Praq.g_01896
OG0000212	Prbh.g_00675	Praq.g_01895
OG0000213	Prbh.g_00674	Praq.g_01894
OG0000214	Prbh.g_00670	Praq.g_01892
OG0000215	Prbh.g_00669	Praq.g_01891
OG0000216	Prbh.g_00667	Praq.g_01889
OG0000217	Prbh.g_00666	Praq.g_01888
OG0000218	Prbh.g_00665	Praq.g_01887
OG0000219	Prbh.g_00664	Praq.g_01886
OG0000220	Prbh.g_00661	Praq.g_01883
OG0000221	Prbh.g_00658	Praq.g_01881
OG0000222	Prbh.g_00657	Praq.g_01880
OG0000223	Prbh.g_00656	Praq.g_01879
OG0000224	Prbh.g_00654	Praq.g_01876
OG0000225	Prbh.g_00652	Praq.g_01874
OG0000226	Prbh.g_00650	Praq.g_01873
OG0000227	Prbh.g_00649	Praq.g_01872
OG0000228	Prbh.g_00648	Praq.g_01871
OG0000229	Prbh.g_00647	Praq.g_01870
OG0000230	Prbh.g_00646	Praq.g_01869
OG0000231	Prbh.g_01144	Praq.g_01867
OG0000232	Prbh.g_00644	Praq.g_01866
OG0000233	Prbh.g_00641	Praq.g_01863
OG0000234	Prbh.g_00639	Praq.g_01861
OG0000235	Prbh.g_00637	Praq.g_01857
OG0000236	Prbh.g_00636	Praq.g_01856
OG0000237	Prbh.g_00635	Praq.g_01855
OG0000238	Prbh.g_00634	Praq.g_01854
OG0000239	Prbh.g_00633	Praq.g_01853
OG0000240	Prbh.g_00631	Praq.g_01851
OG0000241	Prbh.g_00630	Praq.g_01850
OG0000242	Prbh.g_00629	Praq.g_01849
OG0000243	Prbh.g_00628	Praq.g_01848
OG0000244	Prbh.g_00627	Praq.g_01847
OG0000245	Prbh.g_00626	Praq.g_01846
OG0000246	Prbh.g_00624	Praq.g_01844
OG0000247	Prbh.g_00623	Praq.g_01843
OG0000248	Prbh.g_00622	Praq.g_01842
OG0000249	Prbh.g_00621	Praq.g_01841
OG0000250	Prbh.g_00620	Praq.g_01840
OG0000251	Prbh.g_00619	Praq.g_01839
OG0000252	Prbh.g_00618	Praq.g_01838
OG0000253	Prbh.g_00617	Praq.g_01837
OG0000254	Prbh.g_00615	Praq.g_01835
OG0000255	Prbh.g_00614	Praq.g_01834
OG0000256	Prbh.g_00611	Praq.g_01831
OG0000257	Prbh.g_00610	Praq.g_01829
OG0000258	Prbh.g_00609	Praq.g_01828
OG0000259	Prbh.g_00608	Praq.g_01827
OG0000260	Prbh.g_00607	Praq.g_01826
OG0000261	Prbh.g_00606	Praq.g_01825
OG0000262	Prbh.g_00605	Praq.g_01824
OG0000263	Prbh.g_00604	Praq.g_01823
OG0000264	Prbh.g_00602	Praq.g_01821
OG0000265	Prbh.g_00601	Praq.g_01820
OG0000266	Prbh.g_00600	Praq.g_01819
OG0000267	Prbh.g_00598	Praq.g_01817
OG0000268	Prbh.g_00596	Praq.g_01816
OG0000269	Prbh.g_00595	Praq.g_01815
OG0000270	Prbh.g_00594	Praq.g_01814
OG0000271	Prbh.g_00593	Praq.g_01813
OG0000272	Prbh.g_00592	Praq.g_01812
OG0000273	Prbh.g_00591	Praq.g_01811
OG0000274	Prbh.g_00590	Praq.g_01810
OG0000275	Prbh.g_00589	Praq.g_01809
OG0000276	Prbh.g_00588	Praq.g_01808
OG0000277	Prbh.g_00587	Praq.g_01807
OG0000278	Prbh.g_00586	Praq.g_01806
OG0000279	Prbh.g_00585	Praq.g_01805
OG0000280	Prbh.g_00584	Praq.g_01804
OG0000281	Prbh.g_00582	Praq.g_01802
OG0000282	Prbh.g_00581	Praq.g_01801
OG0000283	Prbh.g_00578	Praq.g_01798
OG0000284	Prbh.g_00577	Praq.g_01797
OG0000285	Prbh.g_00576	Praq.g_01796
OG0000286	Prbh.g_00574	Praq.g_01794
OG0000287	Prbh.g_00573	Praq.g_01793
OG0000288	Prbh.g_00572	Praq.g_01792
OG0000289	Prbh.g_00571	Praq.g_01791
OG0000290	Prbh.g_00570	Praq.g_01790
OG0000291	Prbh.g_00569	Praq.g_01789
OG0000292	Prbh.g_00568	Praq.g_01788
OG0000293	Prbh.g_00567	Praq.g_01787
OG0000294	Prbh.g_00566	Praq.g_01786
OG0000295	Prbh.g_00565	Praq.g_01785
OG0000296	Prbh.g_00564	Praq.g_01784
OG0000297	Prbh.g_00563	Praq.g_01783
OG0000298	Prbh.g_00562	Praq.g_01782
OG0000299	Prbh.g_00561	Praq.g_01781
OG0000300	Prbh.g_00560	Praq.g_01780
OG0000301	Prbh.g_00559	Praq.g_01779
OG0000302	Prbh.g_00558	Praq.g_01778
OG0000303	Prbh.g_00557	Praq.g_01777
OG0000304	Prbh.g_00555	Praq.g_01776
OG0000305	Prbh.g_00554	Praq.g_01775
OG0000306	Prbh.g_00553	Praq.g_01774
OG0000307	Prbh.g_00551	Praq.g_01773
OG0000308	Prbh.g_00550	Praq.g_01772
OG0000309	Prbh.g_00549	Praq.g_01771
OG0000310	Prbh.g_00548	Praq.g_01770
OG0000311	Prbh.g_00547	Praq.g_01769
OG0000312	Prbh.g_00545	Praq.g_01767
OG0000313	Prbh.g_00544	Praq.g_01766
OG0000314	Prbh.g_00540	Praq.g_01763
OG0000315	Prbh.g_00539	Praq.g_01762
OG0000316	Prbh.g_00537	Praq.g_01760
OG0000317	Prbh.g_00535	Praq.g_01758
OG0000318	Prbh.g_00534	Praq.g_01757
OG0000319	Prbh.g_00533	Praq.g_01756
OG0000320	Prbh.g_00532	Praq.g_01755
OG0000321	Prbh.g_00529	Praq.g_01752
OG0000322	Prbh.g_00525	Praq.g_01750
OG0000323	Prbh.g_00524	Praq.g_01749
OG0000324	Prbh.g_00521	Praq.g_01746
OG0000325	Prbh.g_00520	Praq.g_01744
OG0000326	Prbh.g_00519	Praq.g_01743
OG0000327	Prbh.g_00517	Praq.g_01741
OG0000328	Prbh.g_00516	Praq.g_01740
OG0000329	Prbh.g_00515	Praq.g_01739
OG0000330	Prbh.g_00514	Praq.g_01738
OG0000331	Prbh.g_00513	Praq.g_01737
OG0000332	Prbh.g_00512	Praq.g_01736
OG0000333	Prbh.g_00511	Praq.g_01735
OG0000334	Prbh.g_00510	Praq.g_01734
OG0000335	Prbh.g_00509	Praq.g_01733
OG0000336	Prbh.g_00507	Praq.g_01732
OG0000337	Prbh.g_00504	Praq.g_01728
OG0000338	Prbh.g_00503	Praq.g_01727
OG0000339	Prbh.g_00502	Praq.g_01726
OG0000340	Prbh.g_00501	Praq.g_01725
OG0000341	Prbh.g_00497	Praq.g_01721
OG0000342	Prbh.g_00496	Praq.g_01719
OG0000343	Prbh.g_00493	Praq.g_01717
OG0000344	Prbh.g_00492	Praq.g_01716
OG0000345	Prbh.g_00491	Praq.g_01715
OG0000346	Prbh.g_00490	Praq.g_01714
OG0000347	Prbh.g_00489	Praq.g_01713
OG0000348	Prbh.g_00487	Praq.g_01712
OG0000349	Prbh.g_00486	Praq.g_01711
OG0000350	Prbh.g_00485	Praq.g_01710
OG0000351	Prbh.g_00483	Praq.g_01707
OG0000352	Prbh.g_00480	Praq.g_01704
OG0000353	Prbh.g_00479	Praq.g_01703
OG0000354	Prbh.g_00478	Praq.g_01702
OG0000355	Prbh.g_00477	Praq.g_01701
OG0000356	Prbh.g_00476	Praq.g_01700
OG0000357	Prbh.g_00475	Praq.g_01699
OG0000358	Prbh.g_00474	Praq.g_01698
OG0000359	Prbh.g_00473	Praq.g_01697
OG0000360	Prbh.g_00471	Praq.g_01694
OG0000361	Prbh.g_00470	Praq.g_01693
OG0000362	Prbh.g_00469	Praq.g_01692
OG0000363	Prbh.g_00468	Praq.g_01691
OG0000364	Prbh.g_00467	Praq.g_01690
OG0000365	Prbh.g_00466	Praq.g_01689
OG0000366	Prbh.g_00465	Praq.g_01688
OG0000367	Prbh.g_00464	Praq.g_01687
OG0000368	Prbh.g_00463	Praq.g_01686
OG0000369	Prbh.g_00462	Praq.g_01685
OG0000370	Prbh.g_00461	Praq.g_01684
OG0000371	Prbh.g_00460	Praq.g_01683
OG0000372	Prbh.g_00458	Praq.g_01681
OG0000373	Prbh.g_00456	Praq.g_01679
OG0000374	Prbh.g_00455	Praq.g_01678
OG0000375	Prbh.g_00454	Praq.g_01677
OG0000376	Prbh.g_00452	Praq.g_01675
OG0000377	Prbh.g_00446	Praq.g_01674
OG0000378	Prbh.g_00445	Praq.g_01673
OG0000379	Prbh.g_00439	Praq.g_01211
OG0000380	Prbh.g_00437	Praq.g_01210
OG0000381	Prbh.g_00436	Praq.g_01209
OG0000382	Prbh.g_00435	Praq.g_01207
OG0000383	Prbh.g_00431	Praq.g_01204
OG0000384	Prbh.g_00430	Praq.g_01203
OG0000385	Prbh.g_00427	Praq.g_01200
OG0000386	Prbh.g_00426	Praq.g_01199
OG0000387	Prbh.g_00425	Praq.g_01198
OG0000388	Prbh.g_00424	Praq.g_01197
OG0000389	Prbh.g_00423	Praq.g_01196
OG0000390	Prbh.g_00422	Praq.g_01195
OG0000391	Prbh.g_00421	Praq.g_01194
OG0000392	Prbh.g_00420	Praq.g_01193
OG0000393	Prbh.g_00416	Praq.g_01189
OG0000394	Prbh.g_00415	Praq.g_01188
OG0000395	Prbh.g_00412	Praq.g_01186
OG0000396	Prbh.g_01008	Praq.g_01185
OG0000397	Prbh.g_01327	Praq.g_01172
OG0000398	Prbh.g_01877	Praq.g_01164
OG0000399	Prbh.g_01320	Praq.g_01163
OG0000400	Prbh.g_01718	Praq.g_01158
OG0000401	Prbh.g_00401	Praq.g_01126
OG0000402	Prbh.g_00400	Praq.g_01125
OG0000403	Prbh.g_00399	Praq.g_01124
OG0000404	Prbh.g_00397	Praq.g_01122
OG0000405	Prbh.g_00396	Praq.g_01121
OG0000406	Prbh.g_00394	Praq.g_01119
OG0000407	Prbh.g_00393	Praq.g_01118
OG0000408	Prbh.g_00392	Praq.g_01117
OG0000409	Prbh.g_00391	Praq.g_01116
OG0000410	Prbh.g_00390	Praq.g_01115
OG0000411	Prbh.g_00389	Praq.g_01114
OG0000412	Prbh.g_00388	Praq.g_01113
OG0000413	Prbh.g_00387	Praq.g_01112
OG0000414	Prbh.g_00386	Praq.g_01111
OG0000415	Prbh.g_00385	Praq.g_01110
OG0000416	Prbh.g_00384	Praq.g_01109
OG0000417	Prbh.g_00383	Praq.g_01108
OG0000418	Prbh.g_00382	Praq.g_01107
OG0000419	Prbh.g_00381	Praq.g_00500
OG0000420	Prbh.g_00380	Praq.g_00501
OG0000421	Prbh.g_00374	Praq.g_00502
OG0000422	Prbh.g_00372	Praq.g_00504
OG0000423	Prbh.g_00371	Praq.g_00505
OG0000424	Prbh.g_00370	Praq.g_00507
OG0000425	Prbh.g_00367	Praq.g_00511
OG0000426	Prbh.g_00366	Praq.g_00512
OG0000427	Prbh.g_00365	Praq.g_00513
OG0000428	Prbh.g_00363	Praq.g_00514
OG0000429	Prbh.g_00361	Praq.g_00515
OG0000430	Prbh.g_00360	Praq.g_00522
OG0000431	Prbh.g_00358	Praq.g_00524
OG0000432	Prbh.g_00357	Praq.g_00525
OG0000433	Prbh.g_00354	Praq.g_00528
OG0000434	Prbh.g_00353	Praq.g_00529
OG0000435	Prbh.g_00352	Praq.g_00530
OG0000436	Prbh.g_00350	Praq.g_00532
OG0000437	Prbh.g_00348	Praq.g_00534
OG0000438	Prbh.g_00347	Praq.g_00535
OG0000439	Prbh.g_00346	Praq.g_00536
OG0000440	Prbh.g_00344	Praq.g_00538
OG0000441	Prbh.g_00343	Praq.g_00539
OG0000442	Prbh.g_00342	Praq.g_00540
OG0000443	Prbh.g_00341	Praq.g_00541
OG0000444	Prbh.g_00340	Praq.g_00542
OG0000445	Prbh.g_00339	Praq.g_00543
OG0000446	Prbh.g_00338	Praq.g_00544
OG0000447	Prbh.g_00337	Praq.g_00545
OG0000448	Prbh.g_00336	Praq.g_00546
OG0000449	Prbh.g_00329	Praq.g_01102
OG0000450	Prbh.g_00328	Praq.g_01101
OG0000451	Prbh.g_00327	Praq.g_01100
OG0000452	Prbh.g_00326	Praq.g_01099
OG0000453	Prbh.g_00325	Praq.g_01097
OG0000454	Prbh.g_00324	Praq.g_01096
OG0000455	Prbh.g_00323	Praq.g_01095
OG0000456	Prbh.g_00322	Praq.g_01094
OG0000457	Prbh.g_00320	Praq.g_01092
OG0000458	Prbh.g_00318	Praq.g_01090
OG0000459	Prbh.g_00317	Praq.g_01089
OG0000460	Prbh.g_00315	Praq.g_01087
OG0000461	Prbh.g_00314	Praq.g_01086
OG0000462	Prbh.g_00313	Praq.g_01085
OG0000463	Prbh.g_00311	Praq.g_01084
OG0000464	Prbh.g_00306	Praq.g_01079
OG0000465	Prbh.g_00305	Praq.g_01077
OG0000466	Prbh.g_00304	Praq.g_01076
OG0000467	Prbh.g_00303	Praq.g_01075
OG0000468	Prbh.g_00302	Praq.g_01074
OG0000469	Prbh.g_00301	Praq.g_01073
OG0000470	Prbh.g_00299	Praq.g_01072
OG0000471	Prbh.g_00298	Praq.g_01071
OG0000472	Prbh.g_00295	Praq.g_01068
OG0000473	Prbh.g_00294	Praq.g_01067
OG0000474	Prbh.g_00293	Praq.g_01066
OG0000475	Prbh.g_00292	Praq.g_01065
OG0000476	Prbh.g_00291	Praq.g_01064
OG0000477	Prbh.g_00290	Praq.g_01062
OG0000478	Prbh.g_00289	Praq.g_01061
OG0000479	Prbh.g_00288	Praq.g_01060
OG0000480	Prbh.g_00286	Praq.g_01058
OG0000481	Prbh.g_00285	Praq.g_01057
OG0000482	Prbh.g_00284	Praq.g_01056
OG0000483	Prbh.g_00283	Praq.g_01055
OG0000484	Prbh.g_00282	Praq.g_01054
