Orthogroup	Prbh	Praa
OG0000000	Prbh.g_01016, Prbh.g_01022	Praa.g_01359
OG0000000	Prbh.g_00912, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199	Praa.g_00678
OG0000002	Prbh.g_00001	Praa.g_01351
OG0000002	Prbh.g_00863	Praa.g_01220, Praa.g_01222
OG0000003	Prbh.g_01901, Prbh.g_01319	Praa.g_00413, Praa.g_01298
OG0000004	Prbh.g_01350	Praa.g_00735, Praa.g_00742, Praa.g_01294
OG0000005	Prbh.g_01903	Praa.g_01235
OG0000006	Prbh.g_00334	Praa.g_00497
OG0000006	Prbh.g_01782	Praa.g_01635
OG0000007	Prbh.g_01406	Praa.g_01241
OG0000009	Prbh.g_01307	Praa.g_00782
OG0000009	Prbh.g_00530	Praa.g_00249
OG0000010	Prbh.g_01909, Prbh.g_01948	Praa.g_01110, Praa.g_01280
OG0000012	Prbh.g_00232, Prbh.g_00225	Praa.g_00598
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Praa.g_00380
OG0000016	Prbh.g_01333, Prbh.g_00194	Praa.g_01362
OG0000018	Prbh.g_00538	Praa.g_00241, Praa.g_01245
OG0000019	Prbh.g_00938	Praa.g_01623
OG0000020	Prbh.g_00508	Praa.g_00373
OG0000021	Prbh.g_00788, Prbh.g_01870	Praa.g_00784
OG0000022	Prbh.g_01853	Praa.g_01300
OG0000023	Prbh.g_00193	Praa.g_01264
OG0000024	Prbh.g_00472	Praa.g_00306
OG0000025	Prbh.g_00850	Praa.g_01075
OG0000028	Prbh.g_00099, Prbh.g_00096	Praa.g_01476
OG0000029	Prbh.g_00376	Praa.g_01590
OG0000033	Prbh.g_01336	Praa.g_00013
OG0000036	Prbh.g_01855	Praa.g_00585
OG0000037	Prbh.g_01460	Praa.g_00623
OG0000038	Prbh.g_00190	Praa.g_00763
OG0000039	Prbh.g_00616	Praa.g_00166
OG0000040	Prbh.g_00833	Praa.g_00359
OG0000042	Prbh.g_00945	Praa.g_00711
OG0000043	Prbh.g_01048	Praa.g_00787
OG0000045	Prbh.g_00030	Praa.g_01425
OG0000046	Prbh.g_01408	Praa.g_01628
OG0000047	Prbh.g_01581	Praa.g_01832
OG0000048	Prbh.g_01573	Praa.g_01839
OG0000050	Prbh.g_00749	Praa.g_00031
OG0000051	Prbh.g_00625	Praa.g_00157
OG0000052	Prbh.g_00821	Praa.g_00369
OG0000053	Prbh.g_01856	Praa.g_00539
OG0000054	Prbh.g_01897	Praa.g_00757
OG0000055	Prbh.g_00976	Praa.g_00826
OG0000056	Prbh.g_01334	Praa.g_01117
OG0000057	Prbh.g_00543	Praa.g_00237
OG0000058	Prbh.g_00356	Praa.g_00475
OG0000059	Prbh.g_00936	Praa.g_00698
OG0000060	Prbh.g_00775	Praa.g_00740
OG0000062	Prbh.g_01868	Praa.g_01127
OG0000063	Prbh.g_01255	Praa.g_01255
