Orthogroup	Prbh	Prat
OG0000000	Prbh.g_01016	Prat.g_00977
OG0000000	Prbh.g_00912	Prat.g_00751
OG0000000	Prbh.g_01313	Prat.g_01184
OG0000000	Prbh.g_00006	Prat.g_01487
OG0000000	Prbh.g_01311	Prat.g_01182
OG0000000	Prbh.g_01317	Prat.g_01187
OG0000000	Prbh.g_00199	Prat.g_01462
OG0000001	Prbh.g_01858	Prat.g_01189
OG0000001	Prbh.g_01902	Prat.g_01547
OG0000002	Prbh.g_00001	Prat.g_01285, Prat.g_01286
OG0000002	Prbh.g_00863	Prat.g_00851
OG0000003	Prbh.g_01901, Prbh.g_01319	Prat.g_01190
OG0000004	Prbh.g_01350	Prat.g_00824
OG0000006	Prbh.g_00334	Prat.g_00458
OG0000006	Prbh.g_01782	Prat.g_01592
OG0000007	Prbh.g_01406	Prat.g_00376
OG0000007	Prbh.g_01405	Prat.g_00377
OG0000009	Prbh.g_01307	Prat.g_01180
OG0000009	Prbh.g_00530	Prat.g_00255
OG0000010	Prbh.g_01909, Prbh.g_01948	Prat.g_00634
OG0000011	Prbh.g_00408	Prat.g_00374
OG0000012	Prbh.g_00232	Prat.g_00560
OG0000013	Prbh.g_00840, Prbh.g_01869	Prat.g_00701
OG0000015	Prbh.g_01945	Prat.g_00615
OG0000015	Prbh.g_00806	Prat.g_01580
OG0000016	Prbh.g_01333	Prat.g_00647
OG0000016	Prbh.g_00194	Prat.g_01452
OG0000018	Prbh.g_00538	Prat.g_00248
OG0000019	Prbh.g_00938	Prat.g_00461
OG0000020	Prbh.g_00508	Prat.g_00278
OG0000022	Prbh.g_01853	Prat.g_01191
OG0000023	Prbh.g_00193	Prat.g_01451
OG0000024	Prbh.g_00472	Prat.g_00314
OG0000025	Prbh.g_00850	Prat.g_00685
OG0000026	Prbh.g_01401	Prat.g_01516
OG0000028	Prbh.g_00099	Prat.g_01353
OG0000028	Prbh.g_00096	Prat.g_01352
OG0000029	Prbh.g_00376	Prat.g_01400
OG0000033	Prbh.g_01336	Prat.g_01219
OG0000034	Prbh.g_00727	Prat.g_00058
OG0000035	Prbh.g_00825	Prat.g_00657
OG0000036	Prbh.g_01855	Prat.g_01507
OG0000037	Prbh.g_01460	Prat.g_00586
OG0000038	Prbh.g_00190	Prat.g_01192, Prat.g_01448
OG0000039	Prbh.g_00616	Prat.g_00166
OG0000040	Prbh.g_00833	Prat.g_00834
OG0000041	Prbh.g_01827	Prat.g_00613
OG0000042	Prbh.g_00945	Prat.g_00788
OG0000043	Prbh.g_01048	Prat.g_00856
OG0000044	Prbh.g_01283	Prat.g_01156
OG0000045	Prbh.g_00030	Prat.g_01311
OG0000046	Prbh.g_01408	Prat.g_01584
OG0000047	Prbh.g_01581	Prat.g_01788
OG0000048	Prbh.g_01573	Prat.g_01796
OG0000050	Prbh.g_00749	Prat.g_00033
OG0000051	Prbh.g_00625	Prat.g_00157
OG0000052	Prbh.g_00821	Prat.g_00637
OG0000053	Prbh.g_01856	Prat.g_01499
OG0000054	Prbh.g_01897	Prat.g_01503
OG0000055	Prbh.g_00976	Prat.g_01014
OG0000056	Prbh.g_01334	Prat.g_01463, Prat.g_00666
OG0000057	Prbh.g_00543	Prat.g_00242
OG0000058	Prbh.g_00356	Prat.g_00434
OG0000059	Prbh.g_00936	Prat.g_00775
OG0000062	Prbh.g_01868	Prat.g_01495
OG0000063	Prbh.g_01255	Prat.g_01129
OG0000065	Prbh.g_01373	Prat.g_01249
OG0000066	Prbh.g_00031	Prat.g_00344
OG0000067	Prbh.g_01835	Prat.g_01532
OG0000068	Prbh.g_01644	Prat.g_01726
OG0000069	Prbh.g_00138	Prat.g_01394
OG0000071	Prbh.g_01953	Prat.g_00012, Prat.g_00011
OG0000072	Prbh.g_00457	Prat.g_00329
OG0000073	Prbh.g_01182	Prat.g_01054
OG0000074	Prbh.g_00926	Prat.g_00765
OG0000075	Prbh.g_00960	Prat.g_01030
OG0000076	Prbh.g_01031	Prat.g_00965
