Orthogroup	Prbh	Prad
OG0000000	Prbh.g_01016, Prbh.g_01022	Prad.g_00601
OG0000000	Prbh.g_00912, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199	Prad.g_01252
OG0000002	Prbh.g_00001	Prad.g_00609
OG0000002	Prbh.g_00863	Prad.g_01434, Prad.g_01994
OG0000003	Prbh.g_01901, Prbh.g_01319	Prad.g_00350
OG0000004	Prbh.g_01350	Prad.g_01075, Prad.g_01082, Prad.g_00345
OG0000005	Prbh.g_01903	Prad.g_01982
OG0000006	Prbh.g_00334	Prad.g_00132
OG0000006	Prbh.g_01782	Prad.g_00941
OG0000009	Prbh.g_01307	Prad.g_01125
OG0000009	Prbh.g_00530	Prad.g_01742
OG0000010	Prbh.g_01909, Prbh.g_01948	Prad.g_00650, Prad.g_00330
OG0000011	Prbh.g_00408	Prad.g_00683
OG0000012	Prbh.g_00232, Prbh.g_00225	Prad.g_01387
OG0000013	Prbh.g_00840, Prbh.g_01869	Prad.g_01108
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Prad.g_00728, Prad.g_00951
OG0000016	Prbh.g_01333, Prbh.g_00194	Prad.g_00598
OG0000018	Prbh.g_00538	Prad.g_01750
OG0000019	Prbh.g_00938	Prad.g_01981
OG0000020	Prbh.g_00508	Prad.g_00735
OG0000021	Prbh.g_00788, Prbh.g_01870	Prad.g_01127
OG0000022	Prbh.g_01853	Prad.g_00352
OG0000023	Prbh.g_00193	Prad.g_00317
OG0000024	Prbh.g_00472	Prad.g_01685
OG0000025	Prbh.g_00850	Prad.g_00985
OG0000026	Prbh.g_01401	Prad.g_00081
OG0000028	Prbh.g_00099, Prbh.g_00096	Prad.g_00515
OG0000029	Prbh.g_00376	Prad.g_00400, Prad.g_00952
OG0000033	Prbh.g_01336	Prad.g_01973
OG0000034	Prbh.g_00727	Prad.g_00571
OG0000035	Prbh.g_00825	Prad.g_00258
OG0000036	Prbh.g_01855	Prad.g_01374
OG0000037	Prbh.g_01460	Prad.g_01412
OG0000038	Prbh.g_00190	Prad.g_01105
OG0000039	Prbh.g_00616	Prad.g_01825
OG0000040	Prbh.g_00833	Prad.g_00751
OG0000042	Prbh.g_00945	Prad.g_01049
OG0000043	Prbh.g_01048	Prad.g_01130
OG0000044	Prbh.g_01283	Prad.g_01496
OG0000045	Prbh.g_00030	Prad.g_00565
OG0000046	Prbh.g_01408	Prad.g_00948
OG0000047	Prbh.g_01581	Prad.g_01631
OG0000048	Prbh.g_01573	Prad.g_01624
OG0000050	Prbh.g_00749	Prad.g_01955
OG0000051	Prbh.g_00625	Prad.g_01834
OG0000052	Prbh.g_00821	Prad.g_00739
OG0000053	Prbh.g_01856	Prad.g_00090
OG0000054	Prbh.g_01897	Prad.g_01099
OG0000055	Prbh.g_00976	Prad.g_01168
OG0000056	Prbh.g_01334	Prad.g_00657
OG0000057	Prbh.g_00543	Prad.g_01754, Prad.g_00965
OG0000058	Prbh.g_00356	Prad.g_00032
OG0000059	Prbh.g_00936	Prad.g_01272
OG0000060	Prbh.g_00775	Prad.g_01080, Prad.g_01300
OG0000062	Prbh.g_01868	Prad.g_01989
OG0000063	Prbh.g_01255	Prad.g_01214
OG0000065	Prbh.g_01373	Prad.g_00628
OG0000066	Prbh.g_00031	Prad.g_00564
OG0000067	Prbh.g_01835	Prad.g_01212, Prad.g_01218
OG0000068	Prbh.g_01644	Prad.g_00807
OG0000069	Prbh.g_00138	Prad.g_00561
OG0000071	Prbh.g_01953	Prad.g_01975
OG0000072	Prbh.g_00457	Prad.g_01669
OG0000073	Prbh.g_01182	Prad.g_01243
OG0000074	Prbh.g_00926	Prad.g_01265
OG0000075	Prbh.g_00960	Prad.g_01153
OG0000076	Prbh.g_01031	Prad.g_01018
OG0000077	Prbh.g_01904	Prad.g_01983
OG0000078	Prbh.g_00032	Prad.g_00566
OG0000079	Prbh.g_00184	Prad.g_00436
OG0000080	Prbh.g_01860	Prad.g_00383
OG0000081	Prbh.g_01609	Prad.g_00777
OG0000082	Prbh.g_01516	Prad.g_01570
OG0000083	Prbh.g_01473	Prad.g_01533
OG0000084	Prbh.g_01470	Prad.g_01530
OG0000085	Prbh.g_00757	Prad.g_01963
OG0000086	Prbh.g_01826	Prad.g_00675
OG0000087	Prbh.g_00731	Prad.g_01937
OG0000088	Prbh.g_00668	Prad.g_00011
OG0000089	Prbh.g_00659	Prad.g_01872
OG0000090	Prbh.g_00642	Prad.g_01854
OG0000091	Prbh.g_00613	Prad.g_01822
OG0000092	Prbh.g_00612	Prad.g_01821
OG0000093	Prbh.g_00599	Prad.g_01807
OG0000094	Prbh.g_00580	Prad.g_01789
OG0000095	Prbh.g_00575	Prad.g_01784
OG0000096	Prbh.g_00528	Prad.g_01740
OG0000097	Prbh.g_00505	Prad.g_01717
OG0000099	Prbh.g_00484	Prad.g_01697
OG0000100	Prbh.g_00481	Prad.g_01694
OG0000101	Prbh.g_00413	Prad.g_00754
OG0000102	Prbh.g_01825	Prad.g_00727
OG0000103	Prbh.g_00355	Prad.g_00031
OG0000104	Prbh.g_00351	Prad.g_00027
OG0000105	Prbh.g_00330	Prad.g_00130
OG0000106	Prbh.g_00297	Prad.g_00097
OG0000107	Prbh.g_00296	Prad.g_00096
OG0000108	Prbh.g_00287	Prad.g_01333
OG0000109	Prbh.g_00278	Prad.g_01342
OG0000110	Prbh.g_00260	Prad.g_01358
OG0000111	Prbh.g_01202	Prad.g_01225
OG0000112	Prbh.g_01201	Prad.g_01226
OG0000113	Prbh.g_01149	Prad.g_01071
OG0000114	Prbh.g_00951	Prad.g_01144
OG0000115	Prbh.g_01086	Prad.g_00186
OG0000116	Prbh.g_01090	Prad.g_00182
OG0000117	Prbh.g_01034	Prad.g_01021
OG0000118	Prbh.g_01328	Prad.g_00972
OG0000119	Prbh.g_01865	Prad.g_01526
OG0000120	Prbh.g_01276	Prad.g_01490
OG0000121	Prbh.g_01253	Prad.g_01471, Prad.g_01470
OG0000122	Prbh.g_01233	Prad.g_01451
OG0000123	Prbh.g_01450	Prad.g_01438
OG0000124	Prbh.g_01397	Prad.g_00076
OG0000125	Prbh.g_01385	Prad.g_00616
