Orthogroup	Praw	Prac
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prac.g_00159
OG0000000	Praw.g_01780, Praw.g_00494, Praw.g_00455	Prac.g_00292
OG0000000	Praw.g_00294	Prac.g_00926
OG0000000	Praw.g_00454	Prac.g_00926
OG0000000	Praw.g_00496	Prac.g_00926
OG0000000	Praw.g_00959	Prac.g_00290
OG0000001	Praw.g_01000	Prac.g_00202
OG0000001	Praw.g_00497	Prac.g_00925
OG0000002	Praw.g_01009	Prac.g_00210
OG0000002	Praw.g_01844	Prac.g_00693
OG0000004	Praw.g_01827	Prac.g_00676
OG0000004	Praw.g_01203	Prac.g_01698
OG0000005	Praw.g_00528	Prac.g_00612
OG0000005	Praw.g_00413	Prac.g_00335
OG0000006	Praw.g_01950	Prac.g_01689
OG0000007	Praw.g_00651	Prac.g_00874
OG0000007	Praw.g_00515	Prac.g_00625
OG0000008	Praw.g_00501	Prac.g_00904
OG0000008	Praw.g_01850	Prac.g_00699
OG0000009	Praw.g_00447	Prac.g_00301
OG0000009	Praw.g_01330	Prac.g_01826
OG0000010	Praw.g_00673	Prac.g_01070
OG0000010	Praw.g_01460	Prac.g_01248
OG0000011	Praw.g_00952	Prac.g_00152
OG0000012	Praw.g_00159	Prac.g_00748
OG0000013	Praw.g_00807	Prac.g_01604
OG0000014	Praw.g_00828	Prac.g_01625
OG0000015	Praw.g_01738	Prac.g_00898
OG0000017	Praw.g_01944	Prac.g_00773
OG0000018	Praw.g_01670	Prac.g_01448
OG0000018	Praw.g_00215	Prac.g_01004
OG0000019	Praw.g_00884	Prac.g_01681
OG0000019	Praw.g_01717	Prac.g_01496
OG0000020	Praw.g_00181	Prac.g_01037
OG0000020	Praw.g_00483	Prac.g_00875, Prac.g_01598
OG0000021	Praw.g_00767	Prac.g_01169
OG0000022	Praw.g_00197	Prac.g_01022
OG0000022	Praw.g_01746	Prac.g_01510
OG0000023	Praw.g_00772	Prac.g_01174
OG0000024	Praw.g_01763	Prac.g_01525
OG0000024	Praw.g_01847	Prac.g_00696
OG0000025	Praw.g_00803	Prac.g_01600
OG0000025	Praw.g_01664	Prac.g_01441
OG0000026	Praw.g_01397	Prac.g_01916
OG0000026	Praw.g_01453	Prac.g_01241
OG0000027	Praw.g_00677	Prac.g_01074
OG0000028	Praw.g_00334	Prac.g_00145
OG0000028	Praw.g_00814	Prac.g_01611
OG0000030	Praw.g_00029	Prac.g_00050
OG0000031	Praw.g_01073	Prac.g_00249
OG0000032	Praw.g_01043	Prac.g_00242
OG0000033	Praw.g_01266	Prac.g_01761
OG0000034	Praw.g_00991	Prac.g_00185
OG0000035	Praw.g_01081, Praw.g_01083	Prac.g_00411
OG0000037	Praw.g_01326	Prac.g_01822
OG0000038	Praw.g_01182	Prac.g_00090
OG0000039	Praw.g_01836	Prac.g_00685
OG0000040	Praw.g_00476	Prac.g_00279
OG0000040	Praw.g_00214	Prac.g_01005
OG0000041	Praw.g_00562	Prac.g_00579
OG0000042	Praw.g_00032	Prac.g_00048
OG0000043	Praw.g_01627	Prac.g_01405
OG0000045	Praw.g_00761	Prac.g_01162
OG0000047	Praw.g_00804	Prac.g_01601
OG0000048	Praw.g_00758	Prac.g_01159
OG0000049	Praw.g_00750	Prac.g_01149
OG0000049	Praw.g_00328	Prac.g_00893
OG0000049	Praw.g_00928	Prac.g_01954
OG0000050	Praw.g_01432	Prac.g_01220
OG0000053	Praw.g_00357	Prac.g_00391
OG0000054	Praw.g_00142	Prac.g_00765
OG0000055	Praw.g_01716	Prac.g_01495
OG0000057	Praw.g_01824	Prac.g_00673
OG0000058	Praw.g_01055	Prac.g_00258
OG0000059	Praw.g_01894	Prac.g_00500
OG0000061	Praw.g_00234	Prac.g_00985
OG0000062	Praw.g_00415	Prac.g_00333
OG0000063	Praw.g_01395	Prac.g_01913, Prac.g_01914
OG0000065	Praw.g_01328	Prac.g_01824
OG0000066	Praw.g_00609	Prac.g_00833
OG0000067	Praw.g_01697	Prac.g_01475
OG0000068	Praw.g_01016	Prac.g_00217
OG0000069	Praw.g_00448	Prac.g_00300
OG0000070	Praw.g_00697	Prac.g_01097
OG0000071	Praw.g_00981	Prac.g_00175
OG0000072	Praw.g_01264	Prac.g_01759
OG0000073	Praw.g_00649	Prac.g_00872
OG0000074	Praw.g_01840	Prac.g_00689
OG0000075	Praw.g_00064	Prac.g_00017
OG0000076	Praw.g_00039	Prac.g_00041
OG0000077	Praw.g_01356	Prac.g_01853
OG0000078	Praw.g_01196	Prac.g_01691
OG0000081	Praw.g_00617	Prac.g_00841
OG0000082	Praw.g_01932	Prac.g_00788
OG0000083	Praw.g_01769	Prac.g_01529
OG0000083	Praw.g_01775	Prac.g_01536
OG0000084	Praw.g_01087	Prac.g_00415
OG0000085	Praw.g_00508	Prac.g_00632
OG0000086	Praw.g_01346	Prac.g_01843
OG0000087	Praw.g_01296	Prac.g_01792
OG0000088	Praw.g_01269	Prac.g_01764
OG0000089	Praw.g_00776	Prac.g_01178
OG0000090	Praw.g_00615	Prac.g_00839
OG0000091	Praw.g_01880	Prac.g_00729
OG0000092	Praw.g_01592	Prac.g_01379
OG0000093	Praw.g_01571	Prac.g_01359
OG0000094	Praw.g_01486	Prac.g_01275
OG0000095	Praw.g_01467	Prac.g_01256
OG0000096	Praw.g_00482	Prac.g_01958
OG0000096	Praw.g_00184	Prac.g_01035
OG0000096	Praw.g_00945	Prac.g_00139
OG0000097	Praw.g_00275	Prac.g_00944
OG0000098	Praw.g_00997	Prac.g_00199
OG0000099	Praw.g_01051	Prac.g_00256
OG0000100	Praw.g_00411	Prac.g_00337
OG0000101	Praw.g_00096	Prac.g_00548
OG0000102	Praw.g_00034	Prac.g_00046
OG0000103	Praw.g_01148	Prac.g_00123
OG0000104	Praw.g_01140	Prac.g_00131
OG0000105	Praw.g_00860	Prac.g_01657
OG0000106	Praw.g_00762	Prac.g_01163
OG0000107	Praw.g_00748	Prac.g_01148
OG0000108	Praw.g_00667	Prac.g_01064
OG0000109	Praw.g_00654	Prac.g_01050
OG0000110	Praw.g_01922	Prac.g_00798
OG0000111	Praw.g_01823	Prac.g_00672
OG0000112	Praw.g_01732	Prac.g_01507
OG0000113	Praw.g_01675	Prac.g_01453
OG0000114	Praw.g_01597	Prac.g_01384
OG0000115	Praw.g_00178	Prac.g_01040
OG0000116	Praw.g_00224	Prac.g_00995
OG0000117	Praw.g_00926	Prac.g_01955
OG0000118	Praw.g_00993	Prac.g_00187
OG0000119	Praw.g_01012	Prac.g_00213
OG0000120	Praw.g_01050	Prac.g_00248
