Orthogroup	Praw	Syaq
OG0000001	Praw.g_01000	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Praw.g_01827	Syaq.g_02603
OG0000004	Praw.g_01203	Syaq.g_02042, Syaq.g_01567
OG0000005	Praw.g_00528	Syaq.g_01658
OG0000005	Praw.g_00413	Syaq.g_01692
OG0000006	Praw.g_01950	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Praw.g_00651	Syaq.g_01793
OG0000007	Praw.g_00515	Syaq.g_01673
OG0000008	Praw.g_00501	Syaq.g_02162
OG0000008	Praw.g_00502	Syaq.g_02575
OG0000009	Praw.g_01330	Syaq.g_01489
OG0000010	Praw.g_01460	Syaq.g_00443
OG0000012	Praw.g_00159	Syaq.g_02059, Syaq.g_00077
OG0000013	Praw.g_00807	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Praw.g_00828	Syaq.g_00862
OG0000015	Praw.g_01738	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Praw.g_01415	Syaq.g_00169
OG0000017	Praw.g_01944	Syaq.g_01992, Syaq.g_01999
OG0000018	Praw.g_00215	Syaq.g_00401
OG0000019	Praw.g_00884, Praw.g_01717	Syaq.g_00717
OG0000022	Praw.g_00197	Syaq.g_02126
OG0000023	Praw.g_00772	Syaq.g_02540
OG0000025	Praw.g_00803, Praw.g_01664	Syaq.g_02381
OG0000026	Praw.g_01397, Praw.g_01453	Syaq.g_01114
OG0000028	Praw.g_00334, Praw.g_00814	Syaq.g_00878
OG0000030	Praw.g_00029	Syaq.g_01047, Syaq.g_01048
OG0000032	Praw.g_01043	Syaq.g_00909
OG0000034	Praw.g_00991	Syaq.g_00312, Syaq.g_01431
OG0000035	Praw.g_01081, Praw.g_01083	Syaq.g_00372, Syaq.g_00371
OG0000037	Praw.g_01326	Syaq.g_01483
OG0000038	Praw.g_01182	Syaq.g_01260, Syaq.g_01258
OG0000039	Praw.g_01836	Syaq.g_01601, Syaq.g_01241
OG0000041	Praw.g_00562	Syaq.g_02688, Syaq.g_01612
OG0000042	Praw.g_00032	Syaq.g_00200, Syaq.g_01044
OG0000045	Praw.g_00761	Syaq.g_02047
OG0000048	Praw.g_00504, Praw.g_00758	Syaq.g_00749
OG0000052	Praw.g_01071	Syaq.g_00935
OG0000053	Praw.g_00357	Syaq.g_00397
OG0000054	Praw.g_00142	Syaq.g_02005
OG0000055	Praw.g_01716	Syaq.g_02700
OG0000057	Praw.g_01824	Syaq.g_02541, Syaq.g_02605
OG0000059	Praw.g_01894	Syaq.g_00657
OG0000060	Praw.g_01743	Syaq.g_00456, Syaq.g_01770, Syaq.g_00201
OG0000061	Praw.g_00234	Syaq.g_00249
OG0000062	Praw.g_00415	Syaq.g_01690
OG0000063	Praw.g_01395	Syaq.g_01110
OG0000065	Praw.g_01328	Syaq.g_01487, Syaq.g_01908
OG0000066	Praw.g_00609	Syaq.g_01851
OG0000067	Praw.g_01697	Syaq.g_02340, Syaq.g_02560
OG0000068	Praw.g_01016	Syaq.g_01763
OG0000070	Praw.g_00697	Syaq.g_00484
OG0000071	Praw.g_00981	Syaq.g_00297
OG0000072	Praw.g_01264	Syaq.g_01397
OG0000073	Praw.g_00649	Syaq.g_01795
OG0000075	Praw.g_00064	Syaq.g_00986
OG0000076	Praw.g_00039	Syaq.g_01028
OG0000077	Praw.g_01356	Syaq.g_01547
OG0000078	Praw.g_01196	Syaq.g_01585
OG0000081	Praw.g_00617	Syaq.g_01893
OG0000082	Praw.g_01932	Syaq.g_01975
OG0000084	Praw.g_01087	Syaq.g_00367
OG0000085	Praw.g_00508	Syaq.g_01683
OG0000086	Praw.g_01346	Syaq.g_01525
OG0000087	Praw.g_01296	Syaq.g_01438
OG0000088	Praw.g_01269	Syaq.g_01402
OG0000089	Praw.g_00776	Syaq.g_00529
OG0000090	Praw.g_00615	Syaq.g_01838
OG0000091	Praw.g_01880	Syaq.g_02090
OG0000093	Praw.g_01571	Syaq.g_02323
OG0000094	Praw.g_01486	Syaq.g_00056, Syaq.g_02554
OG0000095	Praw.g_01467	Syaq.g_02679
OG0000097	Praw.g_00275	Syaq.g_00167
OG0000098	Praw.g_00997	Syaq.g_02221, Syaq.g_01849
OG0000099	Praw.g_01051	Syaq.g_00882
OG0000100	Praw.g_00411	Syaq.g_02371
OG0000101	Praw.g_00096	Syaq.g_00607
OG0000102	Praw.g_00034	Syaq.g_01033
OG0000103	Praw.g_01148	Syaq.g_01170
OG0000104	Praw.g_01140	Syaq.g_01154
OG0000105	Praw.g_00860	Syaq.g_00754
OG0000106	Praw.g_00762	Syaq.g_01863
OG0000107	Praw.g_00748	Syaq.g_00694
OG0000108	Praw.g_00667	Syaq.g_01772
OG0000109	Praw.g_00654	Syaq.g_01788
OG0000110	Praw.g_01922	Syaq.g_01962
OG0000111	Praw.g_01823	Syaq.g_02606
OG0000112	Praw.g_01732	Syaq.g_02476
OG0000114	Praw.g_01597	Syaq.g_02269
OG0000115	Praw.g_00178	Syaq.g_00395
OG0000116	Praw.g_00224	Syaq.g_00263
OG0000117	Praw.g_00926	Syaq.g_00203
OG0000118	Praw.g_00993	Syaq.g_00325, Syaq.g_00316
OG0000120	Praw.g_01050	Syaq.g_00883
OG0000121	Praw.g_01078	Syaq.g_00375
OG0000122	Praw.g_00377	Syaq.g_02118
OG0000123	Praw.g_00089	Syaq.g_00599
OG0000124	Praw.g_00023	Syaq.g_01055
OG0000125	Praw.g_01180	Syaq.g_01256
OG0000126	Praw.g_01141	Syaq.g_01156
OG0000128	Praw.g_01125	Syaq.g_01138
OG0000129	Praw.g_01384	Syaq.g_01269
OG0000130	Praw.g_01365	Syaq.g_01559
OG0000131	Praw.g_01290	Syaq.g_01427, Syaq.g_01424
OG0000132	Praw.g_01271	Syaq.g_01036, Syaq.g_01404
OG0000133	Praw.g_00812	Syaq.g_02481
OG0000134	Praw.g_00775	Syaq.g_00526
OG0000135	Praw.g_00751	Syaq.g_01227
OG0000136	Praw.g_00706	Syaq.g_00496
OG0000137	Praw.g_00672	Syaq.g_00442
OG0000138	Praw.g_00653	Syaq.g_01789
OG0000139	Praw.g_00611	Syaq.g_01844
OG0000140	Praw.g_00610	Syaq.g_01848
OG0000141	Praw.g_00143	Syaq.g_02010
OG0000142	Praw.g_01887	Syaq.g_02082
OG0000143	Praw.g_01883	Syaq.g_02086
OG0000144	Praw.g_01870	Syaq.g_02152
OG0000145	Praw.g_01745	Syaq.g_01796
OG0000146	Praw.g_01731	Syaq.g_02475
OG0000147	Praw.g_01730	Syaq.g_02474
OG0000148	Praw.g_01681	Syaq.g_02359
OG0000149	Praw.g_01652	Syaq.g_02395
OG0000150	Praw.g_01644	Syaq.g_02011
OG0000151	Praw.g_01587	Syaq.g_02283
OG0000152	Praw.g_01539	Syaq.g_02485
OG0000153	Praw.g_01520	Syaq.g_02518
OG0000154	Praw.g_01493	Syaq.g_00066
OG0000155	Praw.g_00254	Syaq.g_00212
OG0000156	Praw.g_00968	Syaq.g_00281
OG0000157	Praw.g_00969	Syaq.g_00282
OG0000158	Praw.g_01052	Syaq.g_01003
OG0000159	Praw.g_01054	Syaq.g_00918, Syaq.g_00941
OG0000160	Praw.g_01079, Praw.g_01080	Syaq.g_00374
OG0000161	Praw.g_00344	Syaq.g_00382
OG0000162	Praw.g_00350	Syaq.g_00389
OG0000163	Praw.g_00384	Syaq.g_02373, Syaq.g_01730
OG0000164	Praw.g_00539	Syaq.g_01642
OG0000165	Praw.g_00546	Syaq.g_01630
OG0000166	Praw.g_00132	Syaq.g_00647
OG0000167	Praw.g_00066	Syaq.g_00983
OG0000168	Praw.g_00056	Syaq.g_01004
OG0000169	Praw.g_00046	Syaq.g_01016
OG0000170	Praw.g_00044	Syaq.g_01023
OG0000171	Praw.g_00024	Syaq.g_01052
OG0000172	Praw.g_00016	Syaq.g_01074
OG0000173	Praw.g_00001	Syaq.g_01092
OG0000174	Praw.g_01166	Syaq.g_01224
OG0000175	Praw.g_01156	Syaq.g_01183
OG0000176	Praw.g_01132	Syaq.g_01146
OG0000177	Praw.g_01131	Syaq.g_01145
OG0000178	Praw.g_01130	Syaq.g_01144
OG0000179	Praw.g_01412	Syaq.g_01129
OG0000180	Praw.g_01411	Syaq.g_01128
OG0000181	Praw.g_01410	Syaq.g_01127
OG0000182	Praw.g_01409	Syaq.g_01126
OG0000183	Praw.g_01405	Syaq.g_01122
OG0000184	Praw.g_01382	Syaq.g_01277
OG0000185	Praw.g_01379	Syaq.g_01290
OG0000186	Praw.g_01370	Syaq.g_01563
OG0000187	Praw.g_01369	Syaq.g_01561
OG0000188	Praw.g_01352	Syaq.g_01539
OG0000189	Praw.g_01339	Syaq.g_01499, Syaq.g_00122
OG0000190	Praw.g_01338	Syaq.g_01497
OG0000191	Praw.g_01318	Syaq.g_01467
OG0000192	Praw.g_01314	Syaq.g_01462
OG0000193	Praw.g_01289	Syaq.g_01423
OG0000194	Praw.g_01286	Syaq.g_01420
OG0000195	Praw.g_01284	Syaq.g_01418
OG0000196	Praw.g_01274	Syaq.g_01407
OG0000197	Praw.g_01273	Syaq.g_01406
OG0000198	Praw.g_01272	Syaq.g_01405
OG0000199	Praw.g_01265	Syaq.g_01398
OG0000200	Praw.g_01251	Syaq.g_01382
OG0000201	Praw.g_01243	Syaq.g_01365
OG0000202	Praw.g_01242	Syaq.g_01364
OG0000203	Praw.g_01241	Syaq.g_01363
OG0000204	Praw.g_01240	Syaq.g_01362
OG0000205	Praw.g_01233	Syaq.g_01355
OG0000206	Praw.g_01228	Syaq.g_01345
OG0000207	Praw.g_01226	Syaq.g_01338
OG0000208	Praw.g_01225	Syaq.g_01337
OG0000209	Praw.g_01216	Syaq.g_01310
OG0000210	Praw.g_01215	Syaq.g_01309
OG0000211	Praw.g_01202	Syaq.g_01570
OG0000212	Praw.g_01195	Syaq.g_01586
OG0000213	Praw.g_00876	Syaq.g_00729
OG0000214	Praw.g_00867	Syaq.g_00745
OG0000215	Praw.g_00842	Syaq.g_00777
OG0000216	Praw.g_00840	Syaq.g_00781
OG0000217	Praw.g_00837	Syaq.g_00844
OG0000218	Praw.g_00835	Syaq.g_00846
OG0000219	Praw.g_00834	Syaq.g_00847
OG0000220	Praw.g_00833	Syaq.g_00848
OG0000221	Praw.g_00832	Syaq.g_00856
OG0000222	Praw.g_00824	Syaq.g_00868
OG0000223	Praw.g_00811	Syaq.g_00946
OG0000224	Praw.g_00809	Syaq.g_00950
OG0000225	Praw.g_00786	Syaq.g_00543
OG0000226	Praw.g_00782	Syaq.g_00536
OG0000227	Praw.g_00780	Syaq.g_00534
OG0000228	Praw.g_00777	Syaq.g_00531
OG0000229	Praw.g_00711	Syaq.g_00501
OG0000230	Praw.g_00709	Syaq.g_00499
OG0000231	Praw.g_00698	Syaq.g_00485
OG0000232	Praw.g_00689	Syaq.g_00472
OG0000233	Praw.g_00684	Syaq.g_00464
OG0000234	Praw.g_00671	Syaq.g_00440
OG0000235	Praw.g_00668	Syaq.g_01771
OG0000236	Praw.g_00655	Syaq.g_01787
OG0000237	Praw.g_00642	Syaq.g_01805
OG0000238	Praw.g_00636	Syaq.g_01810
OG0000239	Praw.g_00623	Syaq.g_01826
OG0000240	Praw.g_00622	Syaq.g_01827
OG0000241	Praw.g_00618	Syaq.g_02074
OG0000242	Praw.g_00616	Syaq.g_01836
OG0000243	Praw.g_00605	Syaq.g_01922
OG0000244	Praw.g_00602	Syaq.g_01928
OG0000245	Praw.g_00600	Syaq.g_01930
OG0000246	Praw.g_00596	Syaq.g_01934
OG0000247	Praw.g_00586	Syaq.g_01945
OG0000248	Praw.g_00584	Syaq.g_01948
OG0000249	Praw.g_00582	Syaq.g_01950
OG0000250	Praw.g_00577	Syaq.g_01958
OG0000251	Praw.g_01937	Syaq.g_01984
OG0000252	Praw.g_01940	Syaq.g_01987
OG0000253	Praw.g_01941	Syaq.g_01989
OG0000254	Praw.g_00147	Syaq.g_02016
OG0000255	Praw.g_00153	Syaq.g_02041
OG0000256	Praw.g_00163	Syaq.g_02068
OG0000257	Praw.g_00166	Syaq.g_02073
OG0000258	Praw.g_01879	Syaq.g_02095
OG0000259	Praw.g_01862	Syaq.g_02239
OG0000260	Praw.g_01859	Syaq.g_02242
OG0000261	Praw.g_01857	Syaq.g_02245
OG0000262	Praw.g_01853	Syaq.g_02250
OG0000263	Praw.g_01841	Syaq.g_00185
OG0000264	Praw.g_01831	Syaq.g_02582
OG0000266	Praw.g_01799	Syaq.g_00037
OG0000267	Praw.g_01788	Syaq.g_02430
OG0000268	Praw.g_01787	Syaq.g_02431
OG0000269	Praw.g_01702	Syaq.g_02335
OG0000270	Praw.g_01699	Syaq.g_02338
OG0000271	Praw.g_01691	Syaq.g_02346
OG0000272	Praw.g_01690	Syaq.g_02347
OG0000273	Praw.g_01668	Syaq.g_02376
OG0000274	Praw.g_01667	Syaq.g_02377
OG0000275	Praw.g_01665	Syaq.g_02380
OG0000276	Praw.g_01660	Syaq.g_02387
OG0000277	Praw.g_01659	Syaq.g_02388
OG0000278	Praw.g_01656	Syaq.g_02391
OG0000279	Praw.g_01649	Syaq.g_02401
OG0000280	Praw.g_01648	Syaq.g_02410
OG0000281	Praw.g_01643	Syaq.g_02224
OG0000282	Praw.g_01595	Syaq.g_02271
OG0000283	Praw.g_01562	Syaq.g_02445
OG0000284	Praw.g_01557	Syaq.g_02450
OG0000285	Praw.g_01552	Syaq.g_02466
OG0000286	Praw.g_01540	Syaq.g_02484
OG0000287	Praw.g_01523	Syaq.g_02511
OG0000288	Praw.g_01494	Syaq.g_00067
OG0000289	Praw.g_01483	Syaq.g_00053
OG0000290	Praw.g_01470	Syaq.g_02682
OG0000291	Praw.g_01468	Syaq.g_02680
OG0000292	Praw.g_01418	Syaq.g_01157
OG0000293	Praw.g_00225	Syaq.g_00262
OG0000294	Praw.g_00226	Syaq.g_00261
OG0000295	Praw.g_00246	Syaq.g_00220
OG0000296	Praw.g_00248	Syaq.g_00218
OG0000297	Praw.g_00256	Syaq.g_00205
OG0000298	Praw.g_00257	Syaq.g_00204
OG0000299	Praw.g_00274	Syaq.g_00171
OG0000300	Praw.g_00277	Syaq.g_00164
OG0000301	Praw.g_00278	Syaq.g_00163
OG0000302	Praw.g_00280	Syaq.g_00162
OG0000303	Praw.g_00287	Syaq.g_00152
OG0000304	Praw.g_00291	Syaq.g_00146
OG0000305	Praw.g_01008	Syaq.g_02677
OG0000306	Praw.g_01011	Syaq.g_01861
OG0000307	Praw.g_01025	Syaq.g_01754
OG0000308	Praw.g_01026	Syaq.g_01752
OG0000309	Praw.g_01030	Syaq.g_01747
OG0000310	Praw.g_01098	Syaq.g_00347
OG0000311	Praw.g_01096	Syaq.g_00352
OG0000312	Praw.g_01093	Syaq.g_00359
OG0000313	Praw.g_01076	Syaq.g_00379
OG0000314	Praw.g_00363	Syaq.g_00408
OG0000315	Praw.g_00374	Syaq.g_00418
OG0000316	Praw.g_00394	Syaq.g_01716
OG0000317	Praw.g_00513	Syaq.g_01675
OG0000318	Praw.g_00516	Syaq.g_01672
OG0000319	Praw.g_00529	Syaq.g_01657
OG0000320	Praw.g_00531	Syaq.g_01655
OG0000321	Praw.g_00532	Syaq.g_01654
OG0000322	Praw.g_00533	Syaq.g_01653
OG0000323	Praw.g_00542	Syaq.g_01638
OG0000324	Praw.g_00569	Syaq.g_01605
OG0000325	Praw.g_01916	Syaq.g_00693
OG0000326	Praw.g_01910	Syaq.g_00686
OG0000327	Praw.g_00137	Syaq.g_00652
OG0000328	Praw.g_00136	Syaq.g_00651
OG0000329	Praw.g_00119	Syaq.g_00633
OG0000330	Praw.g_00118	Syaq.g_00632
OG0000331	Praw.g_00117	Syaq.g_00631
OG0000332	Praw.g_00103	Syaq.g_00616
OG0000333	Praw.g_00101	Syaq.g_00613
OG0000334	Praw.g_00093	Syaq.g_00603
OG0000335	Praw.g_00088	Syaq.g_00598
OG0000336	Praw.g_00084	Syaq.g_00594
OG0000337	Praw.g_00068	Syaq.g_00975
OG0000338	Praw.g_00067	Syaq.g_00981
OG0000339	Praw.g_00063	Syaq.g_00988
OG0000340	Praw.g_00055	Syaq.g_01005
OG0000341	Praw.g_00053	Syaq.g_01007
OG0000342	Praw.g_00052	Syaq.g_01008
OG0000343	Praw.g_00051	Syaq.g_01010
OG0000344	Praw.g_00048	Syaq.g_01014
OG0000345	Praw.g_00043	Syaq.g_01024
OG0000346	Praw.g_00038	Syaq.g_01029
OG0000347	Praw.g_00022	Syaq.g_01057
OG0000348	Praw.g_00013	Syaq.g_01070
OG0000349	Praw.g_01189	Syaq.g_01099
OG0000350	Praw.g_01170	Syaq.g_00679
OG0000351	Praw.g_01153	Syaq.g_01179
OG0000352	Praw.g_01152	Syaq.g_01178
OG0000353	Praw.g_01137	Syaq.g_01151
OG0000354	Praw.g_00910	Syaq.g_01131
OG0000355	Praw.g_01135	Syaq.g_01149
OG0000356	Praw.g_01134	Syaq.g_01148
OG0000357	Praw.g_01133	Syaq.g_01147
OG0000358	Praw.g_01129	Syaq.g_01143
OG0000359	Praw.g_01128	Syaq.g_01141
OG0000360	Praw.g_01127	Syaq.g_01140
