Orthogroup	Praw	Syad
OG0000001	Praw.g_01000	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Praw.g_01009, Praw.g_01844	Syad.g_00619
OG0000004	Praw.g_01827	Syad.g_01304
OG0000004	Praw.g_01203	Syad.g_02184, Syad.g_00810
OG0000005	Praw.g_00528	Syad.g_02639
OG0000005	Praw.g_00413	Syad.g_02596
OG0000006	Praw.g_01950	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Praw.g_00651	Syad.g_00923
OG0000007	Praw.g_00515	Syad.g_02623
OG0000008	Praw.g_00502	Syad.g_01371
OG0000009	Praw.g_00447	Syad.g_01952, Syad.g_00868
OG0000009	Praw.g_01330	Syad.g_02799
OG0000010	Praw.g_01460	Syad.g_02354
OG0000011	Praw.g_00952	Syad.g_02006
OG0000012	Praw.g_00159	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Praw.g_00807	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Praw.g_00828	Syad.g_00480
OG0000015	Praw.g_01738	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Praw.g_01415	Syad.g_01460
OG0000016	Praw.g_00484	Syad.g_02065
OG0000017	Praw.g_01944	Syad.g_01084, Syad.g_01091
OG0000018	Praw.g_00215	Syad.g_02306
OG0000019	Praw.g_00884, Praw.g_01717	Syad.g_00569
OG0000020	Praw.g_00181, Praw.g_00483	Syad.g_00845
OG0000021	Praw.g_00479, Praw.g_00767	Syad.g_01835, Syad.g_00874
OG0000022	Praw.g_00197	Syad.g_02090
OG0000023	Praw.g_00772	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Praw.g_01763, Praw.g_01847	Syad.g_01374
OG0000025	Praw.g_00803, Praw.g_01664	Syad.g_01241
OG0000026	Praw.g_01397, Praw.g_01453	Syad.g_00198
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syad.g_01257
OG0000028	Praw.g_00334, Praw.g_00814	Syad.g_00463
OG0000029	Praw.g_01755	Syad.g_02099
OG0000030	Praw.g_00029	Syad.g_00328, Syad.g_00327
OG0000031	Praw.g_01073	Syad.g_00294
OG0000034	Praw.g_00991	Syad.g_02420, Syad.g_02872
OG0000035	Praw.g_01081, Praw.g_01083	Syad.g_02275
OG0000037	Praw.g_01326	Syad.g_02805
OG0000038	Praw.g_01182	Syad.g_03038
OG0000039	Praw.g_01836	Syad.g_01249, Syad.g_01111
OG0000040	Praw.g_00214	Syad.g_00104
OG0000041	Praw.g_00562	Syad.g_02498, Syad.g_01281
OG0000042	Praw.g_00032	Syad.g_00333
OG0000047	Praw.g_00804	Syad.g_00754
OG0000048	Praw.g_00504, Praw.g_00758	Syad.g_00534
OG0000050	Praw.g_01432	Syad.g_02478
OG0000051	Praw.g_00955	Syad.g_00842
OG0000053	Praw.g_00357	Syad.g_02302
OG0000054	Praw.g_00142	Syad.g_02209
OG0000055	Praw.g_01716	Syad.g_01255
OG0000057	Praw.g_01824	Syad.g_01301
OG0000059	Praw.g_01894	Syad.g_00642
OG0000060	Praw.g_01743	Syad.g_02370, Syad.g_00899, Syad.g_01508
OG0000061	Praw.g_00234	Syad.g_01152
OG0000062	Praw.g_00415	Syad.g_02598
OG0000063	Praw.g_01395	Syad.g_00202
OG0000065	Praw.g_01328	Syad.g_02801, Syad.g_02574
OG0000066	Praw.g_00609	Syad.g_00992
OG0000067	Praw.g_01697	Syad.g_01889
OG0000068	Praw.g_01016	Syad.g_00891
OG0000070	Praw.g_00697	Syad.g_02424
OG0000071	Praw.g_00981	Syad.g_02405
OG0000072	Praw.g_01264	Syad.g_02905
OG0000073	Praw.g_00649	Syad.g_00926
OG0000075	Praw.g_00064	Syad.g_00416
OG0000076	Praw.g_00039	Syad.g_00348
OG0000077	Praw.g_01356	Syad.g_02741
OG0000078	Praw.g_01196	Syad.g_00824
OG0000081	Praw.g_00617	Syad.g_00833
OG0000082	Praw.g_01932	Syad.g_01063
OG0000084	Praw.g_01087	Syad.g_02272
OG0000085	Praw.g_00508	Syad.g_02612
OG0000086	Praw.g_01346	Syad.g_02770
OG0000087	Praw.g_01296	Syad.g_02860
OG0000088	Praw.g_01269	Syad.g_02899
OG0000089	Praw.g_00776	Syad.g_00785, Syad.g_02829
OG0000090	Praw.g_00615	Syad.g_00977
OG0000091	Praw.g_01880	Syad.g_02144
OG0000093	Praw.g_01571	Syad.g_01905
OG0000094	Praw.g_01486	Syad.g_01676
OG0000095	Praw.g_01467	Syad.g_01290
OG0000097	Praw.g_00275	Syad.g_01458
OG0000098	Praw.g_00997	Syad.g_00625
OG0000099	Praw.g_01051	Syad.g_00460
OG0000100	Praw.g_00411	Syad.g_01846
OG0000101	Praw.g_00096	Syad.g_00694
OG0000102	Praw.g_00034	Syad.g_00343
OG0000103	Praw.g_01148	Syad.g_00143
OG0000104	Praw.g_01140	Syad.g_00158
OG0000105	Praw.g_00860	Syad.g_00530
OG0000106	Praw.g_00762	Syad.g_01993
OG0000107	Praw.g_00748	Syad.g_00590
OG0000108	Praw.g_00667	Syad.g_00904
OG0000109	Praw.g_00654	Syad.g_00919
OG0000110	Praw.g_01922	Syad.g_01048
OG0000111	Praw.g_01823	Syad.g_01300
OG0000112	Praw.g_01732	Syad.g_01766
OG0000113	Praw.g_01675	Syad.g_01851
OG0000114	Praw.g_01597	Syad.g_01617
OG0000115	Praw.g_00178	Syad.g_02300
OG0000116	Praw.g_00224	Syad.g_01123
OG0000117	Praw.g_00926	Syad.g_01510
OG0000118	Praw.g_00993	Syad.g_01104
OG0000119	Praw.g_01012	Syad.g_01168
OG0000120	Praw.g_01050	Syad.g_00459
OG0000121	Praw.g_01078	Syad.g_02280
OG0000122	Praw.g_00377	Syad.g_02122
OG0000123	Praw.g_00089	Syad.g_00701
OG0000124	Praw.g_00023	Syad.g_00320
OG0000125	Praw.g_01180	Syad.g_03040
OG0000126	Praw.g_01141	Syad.g_00156
OG0000128	Praw.g_01125	Syad.g_00174
OG0000129	Praw.g_01384	Syad.g_03028
OG0000130	Praw.g_01365	Syad.g_02728
OG0000131	Praw.g_01290	Syad.g_02876
OG0000132	Praw.g_01271	Syad.g_02897
OG0000133	Praw.g_00812	Syad.g_01761
OG0000134	Praw.g_00775	Syad.g_00788
OG0000135	Praw.g_00751	Syad.g_00063
OG0000136	Praw.g_00706	Syad.g_02445
OG0000137	Praw.g_00672	Syad.g_02353
OG0000138	Praw.g_00653	Syad.g_00920
OG0000139	Praw.g_00611	Syad.g_00983
OG0000140	Praw.g_00610	Syad.g_00987
OG0000141	Praw.g_00143	Syad.g_02208
OG0000142	Praw.g_01887	Syad.g_02152
OG0000143	Praw.g_01883	Syad.g_02148
OG0000144	Praw.g_01870	Syad.g_02024
OG0000145	Praw.g_01745	Syad.g_00927
OG0000146	Praw.g_01731	Syad.g_01767
OG0000147	Praw.g_01730	Syad.g_01768
OG0000148	Praw.g_01681	Syad.g_01861
OG0000149	Praw.g_01652	Syad.g_01221
OG0000150	Praw.g_01644	Syad.g_02207, Syad.g_00989
OG0000151	Praw.g_01587	Syad.g_01956
OG0000152	Praw.g_01539	Syad.g_01757
OG0000153	Praw.g_01520	Syad.g_01713
OG0000154	Praw.g_01493	Syad.g_01686
OG0000155	Praw.g_00254	Syad.g_01189
OG0000156	Praw.g_00968	Syad.g_01116
OG0000157	Praw.g_00969	Syad.g_01115
OG0000158	Praw.g_01052	Syad.g_00374
OG0000160	Praw.g_01079, Praw.g_01080	Syad.g_02279
OG0000161	Praw.g_00344	Syad.g_02287
OG0000162	Praw.g_00350	Syad.g_02293
OG0000163	Praw.g_00384	Syad.g_02542
OG0000164	Praw.g_00539	Syad.g_02659
OG0000165	Praw.g_00546	Syad.g_02476
OG0000166	Praw.g_00132	Syad.g_00654
OG0000167	Praw.g_00066	Syad.g_00419
OG0000168	Praw.g_00056	Syad.g_00371
OG0000169	Praw.g_00046	Syad.g_00360
OG0000170	Praw.g_00044	Syad.g_00353
OG0000171	Praw.g_00024	Syad.g_00321
OG0000172	Praw.g_00016	Syad.g_00244
OG0000173	Praw.g_00001	Syad.g_00220
OG0000174	Praw.g_01166	Syad.g_00065
OG0000175	Praw.g_01156	Syad.g_00129
