Orthogroup	Praw	Syab
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Syab.g_01226
OG0000001	Praw.g_01000	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Praw.g_01009, Praw.g_01844	Syab.g_02285
OG0000004	Praw.g_01827	Syab.g_00549, Syab.g_01193
OG0000004	Praw.g_01203	Syab.g_01911, Syab.g_02377
OG0000005	Praw.g_00528	Syab.g_02289
OG0000005	Praw.g_00413	Syab.g_02806, Syab.g_02232
OG0000006	Praw.g_01950	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Praw.g_00651	Syab.g_02117
OG0000007	Praw.g_00515	Syab.g_02256
OG0000008	Praw.g_00501	Syab.g_01755
OG0000008	Praw.g_00502	Syab.g_01168
OG0000009	Praw.g_00447	Syab.g_00995
OG0000009	Praw.g_01330	Syab.g_02498
OG0000010	Praw.g_01460	Syab.g_00696
OG0000012	Praw.g_00159	Syab.g_01774, Syab.g_00953
OG0000013	Praw.g_00807	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Praw.g_00828	Syab.g_00249
OG0000015	Praw.g_01738	Syab.g_02889
OG0000016	Praw.g_01415	Syab.g_01049
OG0000017	Praw.g_01944	Syab.g_01953, Syab.g_01945
OG0000018	Praw.g_00215	Syab.g_00742
OG0000019	Praw.g_00884, Praw.g_01717	Syab.g_00344
OG0000020	Praw.g_00181, Praw.g_00483	Syab.g_02230
OG0000022	Praw.g_00197	Syab.g_01825
OG0000023	Praw.g_00772	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Praw.g_01763, Praw.g_01847	Syab.g_01834
OG0000025	Praw.g_00803, Praw.g_01664	Syab.g_01705
OG0000026	Praw.g_01453	Syab.g_00036
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syab.g_01782
OG0000028	Praw.g_00334, Praw.g_00814	Syab.g_00234
OG0000030	Praw.g_00029	Syab.g_00096, Syab.g_00095
OG0000032	Praw.g_01043	Syab.g_00149, Syab.g_00182
OG0000034	Praw.g_00991	Syab.g_00900, Syab.g_02560
OG0000035	Praw.g_01081, Praw.g_01083	Syab.g_00776, Syab.g_00778
OG0000037	Praw.g_01326	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Praw.g_01182	Syab.g_02759, Syab.g_02761
OG0000039	Praw.g_01836	Syab.g_02791
OG0000040	Praw.g_00214	Syab.g_02853
OG0000041	Praw.g_00562	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Praw.g_00032	Syab.g_01019, Syab.g_00099
OG0000045	Praw.g_00761	Syab.g_01787
OG0000047	Praw.g_00804	Syab.g_00876
OG0000048	Praw.g_00504, Praw.g_00758	Syab.g_00308
OG0000053	Praw.g_00357	Syab.g_00746
OG0000054	Praw.g_00142	Syab.g_01932
OG0000055	Praw.g_01716	Syab.g_01255
OG0000057	Praw.g_01824	Syab.g_01200
OG0000059	Praw.g_01894	Syab.g_00397
OG0000060	Praw.g_01743	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707
OG0000061	Praw.g_00234	Syab.g_00969
OG0000062	Praw.g_00415	Syab.g_02234
OG0000063	Praw.g_01395	Syab.g_00040
OG0000065	Praw.g_01328	Syab.g_02500, Syab.g_01768
OG0000066	Praw.g_00609	Syab.g_01516, Syab.g_02031
OG0000067	Praw.g_01697	Syab.g_01659
OG0000068	Praw.g_01016	Syab.g_02087
OG0000070	Praw.g_00697	Syab.g_00614
OG0000071	Praw.g_00981	Syab.g_00915
OG0000072	Praw.g_01264	Syab.g_02593
OG0000073	Praw.g_00649	Syab.g_02119
OG0000075	Praw.g_00064	Syab.g_00202
OG0000076	Praw.g_00039	Syab.g_00113
OG0000077	Praw.g_01356	Syab.g_02446
OG0000078	Praw.g_01196	Syab.g_02366
OG0000081	Praw.g_00617	Syab.g_01793
OG0000082	Praw.g_01932	Syab.g_01971
OG0000084	Praw.g_01087	Syab.g_00781
OG0000085	Praw.g_00508	Syab.g_02243
OG0000086	Praw.g_01346	Syab.g_02468
OG0000087	Praw.g_01296	Syab.g_02551
OG0000088	Praw.g_01269	Syab.g_02586
OG0000089	Praw.g_00776	Syab.g_00551
OG0000090	Praw.g_00615	Syab.g_02041
OG0000091	Praw.g_01880	Syab.g_01866
OG0000093	Praw.g_01571	Syab.g_01582
