Orthogroup	Praw	Syal
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Syal.g_01111, Syal.g_01832
OG0000001	Praw.g_01000	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Praw.g_01827	Syal.g_01809
OG0000004	Praw.g_01203	Syal.g_02718, Syal.g_00691
OG0000005	Praw.g_00528	Syal.g_00606
OG0000005	Praw.g_00413	Syal.g_00565
OG0000006	Praw.g_01950	Syal.g_02611, Syal.g_00674
OG0000007	Praw.g_00651	Syal.g_02918
OG0000007	Praw.g_00515	Syal.g_00587
OG0000008	Praw.g_00501	Syal.g_02512
OG0000008	Praw.g_00502	Syal.g_01783
OG0000009	Praw.g_00447	Syal.g_02089
OG0000009	Praw.g_01330	Syal.g_00818
OG0000010	Praw.g_01460	Syal.g_00464
OG0000012	Praw.g_00159	Syal.g_02535, Syal.g_01639
OG0000013	Praw.g_00807	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Praw.g_00828	Syal.g_01305
OG0000015	Praw.g_01738	Syal.g_02210, Syal.g_01183
OG0000016	Praw.g_01415	Syal.g_01734
OG0000017	Praw.g_01944	Syal.g_02752, Syal.g_02745
OG0000018	Praw.g_00215	Syal.g_00410
OG0000019	Praw.g_00884, Praw.g_01717	Syal.g_01209
OG0000022	Praw.g_00197	Syal.g_02587
OG0000023	Praw.g_00772	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Praw.g_01763, Praw.g_01847	Syal.g_02597
OG0000025	Praw.g_00803, Praw.g_01664	Syal.g_02459
OG0000026	Praw.g_01453	Syal.g_00132
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syal.g_02543
OG0000028	Praw.g_00334, Praw.g_00814	Syal.g_01319
OG0000029	Praw.g_01755	Syal.g_03014
OG0000030	Praw.g_00029	Syal.g_01511, Syal.g_01512
OG0000032	Praw.g_01043	Syal.g_00183
OG0000034	Praw.g_00991	Syal.g_00881, Syal.g_01586
OG0000035	Praw.g_01081, Praw.g_01083	Syal.g_00370, Syal.g_00020
OG0000037	Praw.g_01326	Syal.g_00601, Syal.g_00824
OG0000038	Praw.g_01182	Syal.g_01071, Syal.g_01073
OG0000039	Praw.g_01836	Syal.g_01097
OG0000040	Praw.g_00476	Syal.g_01187
OG0000040	Praw.g_00214	Syal.g_01149
OG0000041	Praw.g_00562	Syal.g_00649
OG0000042	Praw.g_00032	Syal.g_01705, Syal.g_01508
OG0000047	Praw.g_00804	Syal.g_01568
OG0000048	Praw.g_00504, Praw.g_00758	Syal.g_01250
OG0000050	Praw.g_01432	Syal.g_01549
OG0000051	Praw.g_00955	Syal.g_01550
OG0000052	Praw.g_01071	Syal.g_01396
OG0000053	Praw.g_00357	Syal.g_00406
OG0000054	Praw.g_00142	Syal.g_02739, Syal.g_02098
OG0000055	Praw.g_01716	Syal.g_01845
OG0000057	Praw.g_01824	Syal.g_01812
