Orthogroup	Praw	Syaf
OG0000001	Praw.g_01000	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Praw.g_01827	Syaf.g_01455
OG0000004	Praw.g_01203	Syaf.g_02351, Syaf.g_02794
OG0000005	Praw.g_00528	Syaf.g_01017
OG0000005	Praw.g_00413	Syaf.g_01057
OG0000006	Praw.g_01950	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Praw.g_00651	Syaf.g_02702
OG0000007	Praw.g_00515	Syaf.g_01033
OG0000008	Praw.g_00501	Syaf.g_01479
OG0000008	Praw.g_00502	Syaf.g_01480
OG0000009	Praw.g_01330	Syaf.g_00905
OG0000010	Praw.g_01460	Syaf.g_02499
OG0000011	Praw.g_00952	Syaf.g_01532
OG0000012	Praw.g_00159	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Praw.g_00807	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Praw.g_00828	Syaf.g_00280
OG0000015	Praw.g_01738	Syaf.g_02120, Syaf.g_02121
OG0000016	Praw.g_01415	Syaf.g_01576
OG0000016	Praw.g_00484	Syaf.g_01713
OG0000017	Praw.g_01944	Syaf.g_02561, Syaf.g_02554
OG0000018	Praw.g_00215	Syaf.g_02451
OG0000019	Praw.g_00884, Praw.g_01717	Syaf.g_00193
OG0000020	Praw.g_00181, Praw.g_00483	Syaf.g_02187
OG0000021	Praw.g_00479, Praw.g_00767	Syaf.g_01726, Syaf.g_02773
OG0000022	Praw.g_00197	Syaf.g_02256
OG0000023	Praw.g_00772	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Praw.g_01763, Praw.g_01847	Syaf.g_01484
OG0000025	Praw.g_00803, Praw.g_01664	Syaf.g_01385
OG0000026	Praw.g_01397, Praw.g_01453	Syaf.g_00461
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syaf.g_02284, Syaf.g_01688
OG0000028	Praw.g_00334, Praw.g_00814	Syaf.g_00297
OG0000029	Praw.g_01755	Syaf.g_01761
OG0000030	Praw.g_00029	Syaf.g_00406, Syaf.g_00407
OG0000031	Praw.g_01073	Syaf.g_01143
OG0000034	Praw.g_00991	Syaf.g_01241, Syaf.g_00837
OG0000035	Praw.g_01081, Praw.g_01083	Syaf.g_02412
OG0000037	Praw.g_01326	Syaf.g_00899
OG0000038	Praw.g_01182	Syaf.g_00642
OG0000039	Praw.g_01836	Syaf.g_01395
OG0000040	Praw.g_00214	Syaf.g_00558
OG0000041	Praw.g_00562	Syaf.g_01171, Syaf.g_01414
OG0000042	Praw.g_00032	Syaf.g_00403
OG0000045	Praw.g_00761	Syaf.g_00979
OG0000047	Praw.g_00804	Syaf.g_00030
OG0000048	Praw.g_00504, Praw.g_00758	Syaf.g_00230
OG0000053	Praw.g_00357	Syaf.g_02447
OG0000054	Praw.g_00142	Syaf.g_02376
OG0000055	Praw.g_01716	Syaf.g_01402
OG0000057	Praw.g_01824	Syaf.g_01665, Syaf.g_01452
OG0000059	Praw.g_01894	Syaf.g_00143
OG0000060	Praw.g_01743	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603
OG0000061	Praw.g_00234	Syaf.g_01288
OG0000062	Praw.g_00415	Syaf.g_01055
OG0000063	Praw.g_01395	Syaf.g_00457
OG0000065	Praw.g_01328	Syaf.g_00903
OG0000066	Praw.g_00609	Syaf.g_02643
OG0000067	Praw.g_01697	Syaf.g_02049
OG0000068	Praw.g_01016	Syaf.g_02733
OG0000070	Praw.g_00697	Syaf.g_01237
OG0000071	Praw.g_00981	Syaf.g_01254
OG0000072	Praw.g_01264	Syaf.g_00805
OG0000073	Praw.g_00649	Syaf.g_02700
OG0000075	Praw.g_00064	Syaf.g_00353
OG0000076	Praw.g_00039	Syaf.g_00388
OG0000077	Praw.g_01356	Syaf.g_00951
OG0000078	Praw.g_01196	Syaf.g_02782
OG0000081	Praw.g_00617	Syaf.g_02776
OG0000082	Praw.g_01932	Syaf.g_02576
OG0000084	Praw.g_01087	Syaf.g_02409
OG0000085	Praw.g_00508	Syaf.g_01048
OG0000086	Praw.g_01346	Syaf.g_00932
OG0000087	Praw.g_01296	Syaf.g_00848
OG0000088	Praw.g_01269	Syaf.g_00811
OG0000089	Praw.g_00776	Syaf.g_02807
OG0000090	Praw.g_00615	Syaf.g_02654
OG0000091	Praw.g_01880	Syaf.g_02302
OG0000093	Praw.g_01571	Syaf.g_02065
OG0000094	Praw.g_01486	Syaf.g_01940
OG0000095	Praw.g_01467	Syaf.g_01442
OG0000097	Praw.g_00275	Syaf.g_01574
OG0000098	Praw.g_00997	Syaf.g_01637
OG0000099	Praw.g_01051	Syaf.g_00312
OG0000100	Praw.g_00411	Syaf.g_02017
OG0000101	Praw.g_00096	Syaf.g_00093
OG0000102	Praw.g_00034	Syaf.g_00393
OG0000103	Praw.g_01148	Syaf.g_00520
OG0000104	Praw.g_01140	Syaf.g_00502
OG0000105	Praw.g_00860	Syaf.g_00235
OG0000106	Praw.g_00762	Syaf.g_01745
OG0000107	Praw.g_00748	Syaf.g_00177, Syaf.g_00758
OG0000108	Praw.g_00667	Syaf.g_02721
OG0000109	Praw.g_00654	Syaf.g_02706
OG0000110	Praw.g_01922	Syaf.g_02589
OG0000111	Praw.g_01823	Syaf.g_01451
OG0000112	Praw.g_01732	Syaf.g_01852
OG0000113	Praw.g_01675	Syaf.g_02022
OG0000114	Praw.g_01597	Syaf.g_02103
OG0000115	Praw.g_00178	Syaf.g_02445
OG0000116	Praw.g_00224	Syaf.g_01276
OG0000117	Praw.g_00926	Syaf.g_01605
OG0000118	Praw.g_00993	Syaf.g_02544
OG0000120	Praw.g_01050	Syaf.g_00313
OG0000121	Praw.g_01078	Syaf.g_02419
OG0000123	Praw.g_00089	Syaf.g_00086
OG0000124	Praw.g_00023	Syaf.g_00414
OG0000125	Praw.g_01180	Syaf.g_00640
OG0000126	Praw.g_01141	Syaf.g_00504
OG0000128	Praw.g_01125	Syaf.g_00486
OG0000129	Praw.g_01384	Syaf.g_00651
OG0000130	Praw.g_01365	Syaf.g_00963
OG0000131	Praw.g_01290	Syaf.g_00833
OG0000132	Praw.g_01271	Syaf.g_00813
OG0000133	Praw.g_00812	Syaf.g_01857
OG0000134	Praw.g_00775	Syaf.g_02804
OG0000135	Praw.g_00751	Syaf.g_00605
OG0000136	Praw.g_00706	Syaf.g_01224
OG0000137	Praw.g_00672	Syaf.g_02498
OG0000138	Praw.g_00653	Syaf.g_02705
OG0000139	Praw.g_00611	Syaf.g_02648
OG0000140	Praw.g_00610	Syaf.g_02646
OG0000141	Praw.g_00143	Syaf.g_02375
OG0000142	Praw.g_01887	Syaf.g_02310
OG0000143	Praw.g_01883	Syaf.g_02306
OG0000144	Praw.g_01870	Syaf.g_01735
OG0000145	Praw.g_01745	Syaf.g_02699
OG0000146	Praw.g_01731	Syaf.g_01851
OG0000147	Praw.g_01730	Syaf.g_01850
OG0000148	Praw.g_01681	Syaf.g_02028
OG0000149	Praw.g_01652	Syaf.g_01371
OG0000150	Praw.g_01644	Syaf.g_02645
OG0000151	Praw.g_01587	Syaf.g_02091
OG0000152	Praw.g_01539	Syaf.g_01861
OG0000153	Praw.g_01520	Syaf.g_01904
OG0000154	Praw.g_01493	Syaf.g_01930
OG0000155	Praw.g_00254	Syaf.g_01324
OG0000156	Praw.g_00968	Syaf.g_01270
OG0000157	Praw.g_00969	Syaf.g_01269
OG0000158	Praw.g_01052	Syaf.g_00364
OG0000160	Praw.g_01079, Praw.g_01080	Syaf.g_02418
OG0000161	Praw.g_00344	Syaf.g_02424
OG0000162	Praw.g_00350	Syaf.g_02431
OG0000163	Praw.g_00384	Syaf.g_01105
OG0000164	Praw.g_00539	Syaf.g_00999
OG0000165	Praw.g_00546	Syaf.g_01197
OG0000166	Praw.g_00132	Syaf.g_00133
OG0000167	Praw.g_00066	Syaf.g_00350
OG0000168	Praw.g_00056	Syaf.g_00365
OG0000169	Praw.g_00046	Syaf.g_00376
OG0000170	Praw.g_00044	Syaf.g_00383
OG0000171	Praw.g_00024	Syaf.g_00413
OG0000172	Praw.g_00016	Syaf.g_00419
OG0000173	Praw.g_00001	Syaf.g_00438
OG0000174	Praw.g_01166	Syaf.g_00603
OG0000175	Praw.g_01156	Syaf.g_00531
OG0000176	Praw.g_01132	Syaf.g_00494
OG0000177	Praw.g_01131	Syaf.g_00493
OG0000178	Praw.g_01130	Syaf.g_00492
OG0000179	Praw.g_01412	Syaf.g_00477
OG0000180	Praw.g_01411	Syaf.g_00476
OG0000181	Praw.g_01410	Syaf.g_00475
OG0000182	Praw.g_01409	Syaf.g_00474
OG0000183	Praw.g_01405	Syaf.g_00470
OG0000184	Praw.g_01382	Syaf.g_00664
OG0000185	Praw.g_01379	Syaf.g_00684
OG0000186	Praw.g_01370	Syaf.g_00968
OG0000187	Praw.g_01369	Syaf.g_00966
OG0000188	Praw.g_01352	Syaf.g_00944
OG0000189	Praw.g_01339	Syaf.g_00916
OG0000190	Praw.g_01338	Syaf.g_00914
OG0000191	Praw.g_01318	Syaf.g_00877
OG0000192	Praw.g_01314	Syaf.g_00871
OG0000193	Praw.g_01289	Syaf.g_00832
OG0000194	Praw.g_01286	Syaf.g_00829
OG0000195	Praw.g_01284	Syaf.g_00827
OG0000196	Praw.g_01274	Syaf.g_00816
OG0000197	Praw.g_01273	Syaf.g_00815
OG0000198	Praw.g_01272	Syaf.g_00814
OG0000199	Praw.g_01265	Syaf.g_00806
OG0000200	Praw.g_01251	Syaf.g_00789
OG0000201	Praw.g_01243	Syaf.g_00771
OG0000202	Praw.g_01242	Syaf.g_00770
OG0000203	Praw.g_01241	Syaf.g_00769
OG0000204	Praw.g_01240	Syaf.g_00768
OG0000205	Praw.g_01233	Syaf.g_00761
OG0000206	Praw.g_01228	Syaf.g_00736
OG0000207	Praw.g_01226	Syaf.g_00735
OG0000208	Praw.g_01225	Syaf.g_00734
OG0000209	Praw.g_01216	Syaf.g_00714
OG0000210	Praw.g_01215	Syaf.g_00713
OG0000211	Praw.g_01202	Syaf.g_02791
OG0000212	Praw.g_01195	Syaf.g_02781
OG0000213	Praw.g_00876	Syaf.g_00210
OG0000214	Praw.g_00867	Syaf.g_00226
OG0000215	Praw.g_00842	Syaf.g_00258
OG0000216	Praw.g_00840	Syaf.g_00262
OG0000217	Praw.g_00837	Syaf.g_00266
OG0000218	Praw.g_00835	Syaf.g_00268
OG0000219	Praw.g_00834	Syaf.g_00269
OG0000220	Praw.g_00833	Syaf.g_00270
OG0000221	Praw.g_00832	Syaf.g_02597, Syaf.g_00273
OG0000222	Praw.g_00824	Syaf.g_00287
OG0000223	Praw.g_00811	Syaf.g_00317
OG0000224	Praw.g_00809	Syaf.g_00324
OG0000225	Praw.g_00786	Syaf.g_00007
OG0000226	Praw.g_00782	Syaf.g_00003
OG0000227	Praw.g_00780	Syaf.g_00001
OG0000228	Praw.g_00777	Syaf.g_02808
OG0000229	Praw.g_00711	Syaf.g_01214
OG0000230	Praw.g_00709	Syaf.g_01216
OG0000231	Praw.g_00698	Syaf.g_01236
OG0000232	Praw.g_00689	Syaf.g_02536
OG0000233	Praw.g_00684	Syaf.g_02528
OG0000234	Praw.g_00671	Syaf.g_02497
OG0000235	Praw.g_00668	Syaf.g_02722
OG0000236	Praw.g_00655	Syaf.g_02707
OG0000237	Praw.g_00642	Syaf.g_02690
OG0000238	Praw.g_00636	Syaf.g_02685
OG0000239	Praw.g_00623	Syaf.g_02669
OG0000240	Praw.g_00622	Syaf.g_02668
OG0000241	Praw.g_00618	Syaf.g_02322
OG0000242	Praw.g_00616	Syaf.g_02656
OG0000243	Praw.g_00605	Syaf.g_02634
OG0000244	Praw.g_00602	Syaf.g_02627
OG0000245	Praw.g_00600	Syaf.g_02625
OG0000246	Praw.g_00596	Syaf.g_02621
OG0000247	Praw.g_00586	Syaf.g_02610
OG0000248	Praw.g_00584	Syaf.g_02607
OG0000249	Praw.g_00582	Syaf.g_02605
OG0000250	Praw.g_00577	Syaf.g_02593
OG0000251	Praw.g_01937	Syaf.g_02568
OG0000252	Praw.g_01940	Syaf.g_02565
OG0000253	Praw.g_01941	Syaf.g_02564
OG0000254	Praw.g_00147	Syaf.g_02371
OG0000255	Praw.g_00153	Syaf.g_02352
OG0000256	Praw.g_00163	Syaf.g_02329
OG0000257	Praw.g_00166	Syaf.g_02323
OG0000258	Praw.g_01879	Syaf.g_02301
OG0000259	Praw.g_01862	Syaf.g_02137
OG0000260	Praw.g_01859	Syaf.g_02134
OG0000261	Praw.g_01857	Syaf.g_02131
OG0000262	Praw.g_01853	Syaf.g_02126
OG0000263	Praw.g_01841	Syaf.g_01585
OG0000264	Praw.g_01831	Syaf.g_01473
OG0000265	Praw.g_01809	Syaf.g_01196
OG0000266	Praw.g_01799	Syaf.g_01967
OG0000267	Praw.g_01788	Syaf.g_01787
OG0000268	Praw.g_01787	Syaf.g_00307, Syaf.g_01788
OG0000269	Praw.g_01702	Syaf.g_02054
OG0000270	Praw.g_01699	Syaf.g_02051
OG0000271	Praw.g_01691	Syaf.g_02043
