Orthogroup	Prab	Prao
OG0000000	Prab.g_01598	Prao.g_01515
OG0000000	Prab.g_00918, Prab.g_01620	Prao.g_01514
OG0000000	Prab.g_01597, Prab.g_01278	Prao.g_01029
OG0000000	Prab.g_01606	Prao.g_01528, Prao.g_01297
OG0000001	Prab.g_00683	Prao.g_00116
OG0000002	Prab.g_00788, Prab.g_01281, Prab.g_01279	Prao.g_01852
OG0000003	Prab.g_01280	Prao.g_00015
OG0000004	Prab.g_01308	Prao.g_01296
OG0000005	Prab.g_00921	Prao.g_00673
OG0000005	Prab.g_00747	Prao.g_00679
OG0000005	Prab.g_01307	Prao.g_01301
OG0000006	Prab.g_01165	Prao.g_00691, Prao.g_01142
OG0000007	Prab.g_00971	Prao.g_01333
OG0000007	Prab.g_00372	Prao.g_00517
OG0000008	Prab.g_00501	Prao.g_00603
OG0000008	Prab.g_01669	Prao.g_01552
OG0000010	Prab.g_00820	Prao.g_00720
OG0000010	Prab.g_00239	Prao.g_00387
OG0000011	Prab.g_00773	Prao.g_00690
OG0000012	Prab.g_00363	Prao.g_00509
OG0000013	Prab.g_01584	Prao.g_01507
OG0000014	Prab.g_01445, Prab.g_01444	Prao.g_01213
OG0000015	Prab.g_00318	Prao.g_00466
OG0000017	Prab.g_01616, Prab.g_00914	Prao.g_01293, Prao.g_00576
OG0000018	Prab.g_00602	Prao.g_00036
OG0000019	Prab.g_00370	Prao.g_00515
OG0000020	Prab.g_01356	Prao.g_01243
OG0000021	Prab.g_01486	Prao.g_01417
OG0000022	Prab.g_00231	Prao.g_00379
OG0000023	Prab.g_00354	Prao.g_01346, Prao.g_00500
OG0000025	Prab.g_00763	Prao.g_00683
OG0000026	Prab.g_00915, Prab.g_01617	Prao.g_01294
OG0000027	Prab.g_00677	Prao.g_00111
OG0000028	Prab.g_01653	Prao.g_01323
OG0000029	Prab.g_00821	Prao.g_00721
OG0000030	Prab.g_00822	Prao.g_00722
OG0000031	Prab.g_01864	Prao.g_01750
OG0000032	Prab.g_00033	Prao.g_00179
OG0000033	Prab.g_00719	Prao.g_01483, Prao.g_00675
OG0000034	Prab.g_01466	Prao.g_01397
OG0000035	Prab.g_01585	Prao.g_01508
OG0000036	Prab.g_01162	Prao.g_01145
OG0000037	Prab.g_01304	Prao.g_01304
OG0000038	Prab.g_01446	Prao.g_01355, Prao.g_01364
OG0000039	Prab.g_00013	Prao.g_00160
OG0000040	Prab.g_01624	Prao.g_01307
OG0000041	Prab.g_00627	Prao.g_00062
OG0000042	Prab.g_01910	Prao.g_01796
OG0000043	Prab.g_01134	Prao.g_01015
OG0000043	Prab.g_01082	Prao.g_00831
OG0000045	Prab.g_00589	Prao.g_00024
OG0000046	Prab.g_00782	Prao.g_00699
OG0000047	Prab.g_01219	Prao.g_01089
OG0000048	Prab.g_01423	Prao.g_01358
OG0000049	Prab.g_01393	Prao.g_01191
OG0000050	Prab.g_00157	Prao.g_00304
OG0000051	Prab.g_00348	Prao.g_00494
OG0000052	Prab.g_00425	Prao.g_00532
OG0000053	Prab.g_00723	Prao.g_00648
OG0000054	Prab.g_01662	Prao.g_01545
OG0000055	Prab.g_01857	Prao.g_01743
OG0000056	Prab.g_00031	Prao.g_00177
OG0000057	Prab.g_00148	Prao.g_00295
OG0000058	Prab.g_00359	Prao.g_00505
OG0000060	Prab.g_00736	Prao.g_00661
OG0000061	Prab.g_00775	Prao.g_00693
OG0000062	Prab.g_00862	Prao.g_00763
OG0000063	Prab.g_01171	Prao.g_01135
OG0000065	Prab.g_00228	Prao.g_00375, Prao.g_01537
OG0000066	Prab.g_00479	Prao.g_00581
OG0000067	Prab.g_00703	Prao.g_00136
OG0000068	Prab.g_01297	Prao.g_00677
OG0000069	Prab.g_01184	Prao.g_01124
OG0000069	Prab.g_00990	Prao.g_00922
OG0000070	Prab.g_01299, Prab.g_00929	Prao.g_00974
OG0000071	Prab.g_00717	Prao.g_01332
OG0000072	Prab.g_01637, Prab.g_01326	Prao.g_01276
OG0000074	Prab.g_01447	Prao.g_01215
OG0000075	Prab.g_01802	Prao.g_01687
OG0000077	Prab.g_00011	Prao.g_00158
OG0000078	Prab.g_00310	Prao.g_00458
OG0000079	Prab.g_00371	Prao.g_00516
OG0000080	Prab.g_00674	Prao.g_00108
OG0000081	Prab.g_00696	Prao.g_00129
OG0000082	Prab.g_00847	Prao.g_00748
OG0000083	Prab.g_01100	Prao.g_00812
OG0000084	Prab.g_01010	Prao.g_00902
OG0000085	Prab.g_01144	Prao.g_01025
OG0000086	Prab.g_01186	Prao.g_01122
OG0000088	Prab.g_00399	Prao.g_01329
OG0000089	Prab.g_00400	Prao.g_01538
OG0000089	Prab.g_00978	Prao.g_01327
OG0000090	Prab.g_01394	Prao.g_01214
OG0000091	Prab.g_01474, Prab.g_01413	Prao.g_01405
OG0000092	Prab.g_00922, Prab.g_01290	Prao.g_01522
