Orthogroup	Prab	Prac
OG0000000	Prab.g_01598	Prac.g_00292
OG0000000	Prab.g_01597	Prac.g_00926, Prac.g_00293
OG0000001	Prab.g_00683	Prac.g_00693
OG0000003	Prab.g_01280	Prac.g_01905
OG0000004	Prab.g_01308	Prac.g_00157
OG0000005	Prab.g_00921	Prac.g_01536
OG0000005	Prab.g_00747	Prac.g_01529
OG0000006	Prab.g_01596	Prac.g_01958
OG0000006	Prab.g_01165	Prac.g_01516, Prac.g_01035
OG0000007	Prab.g_00971	Prac.g_01954
OG0000007	Prab.g_00372	Prac.g_01149
OG0000007	Prab.g_01613	Prac.g_00893
OG0000008	Prab.g_00501	Prac.g_00874
OG0000008	Prab.g_01669	Prac.g_00625
OG0000010	Prab.g_00820	Prac.g_01496
OG0000010	Prab.g_00239	Prac.g_01681
OG0000012	Prab.g_00363	Prac.g_01159
OG0000013	Prab.g_01584	Prac.g_00301
OG0000013	Prab.g_00096	Prac.g_01826
OG0000014	Prab.g_01445, Prab.g_01444, Prab.g_00294	Prac.g_01625
OG0000015	Prab.g_00318	Prac.g_01601
OG0000016	Prab.g_00789	Prac.g_00898
OG0000017	Prab.g_01616, Prab.g_00914	Prac.g_01074
OG0000018	Prab.g_00602	Prac.g_00773
OG0000019	Prab.g_00370	Prac.g_01151
OG0000020	Prab.g_01356	Prac.g_00213
OG0000021	Prab.g_01486	Prac.g_01901, Prac.g_00391
OG0000022	Prab.g_00231	Prac.g_01689
OG0000023	Prab.g_00354	Prac.g_01169
OG0000025	Prab.g_00763	Prac.g_01525
OG0000026	Prab.g_00915, Prab.g_01617	Prac.g_00159
OG0000027	Prab.g_00677	Prac.g_00699
OG0000028	Prab.g_01557	Prac.g_00904
OG0000028	Prab.g_01653	Prac.g_00134
OG0000029	Prab.g_00821	Prac.g_01495
OG0000030	Prab.g_00822	Prac.g_01494
OG0000031	Prab.g_01864	Prac.g_00048
OG0000032	Prab.g_00033	Prac.g_01913, Prac.g_01914
OG0000033	Prab.g_00719	Prac.g_00325, Prac.g_01533
OG0000034	Prab.g_01466	Prac.g_00411
OG0000035	Prab.g_01585	Prac.g_00300
OG0000036	Prab.g_01162	Prac.g_01037
OG0000039	Prab.g_00013	Prac.g_01934
OG0000040	Prab.g_01624	Prac.g_00152
OG0000041	Prab.g_00627	Prac.g_00748
OG0000042	Prab.g_01910	Prac.g_00092
OG0000043	Prab.g_01134	Prac.g_01217
OG0000043	Prab.g_01082	Prac.g_01399
OG0000045	Prab.g_00589	Prac.g_00788
OG0000046	Prab.g_00782	Prac.g_01510
OG0000047	Prab.g_01219	Prac.g_00985
OG0000049	Prab.g_01393	Prac.g_00258, Prac.g_00434
OG0000050	Prab.g_00157	Prac.g_01764
OG0000051	Prab.g_00348	Prac.g_01174
OG0000052	Prab.g_00425	Prac.g_01119
OG0000053	Prab.g_00723	Prac.g_01560
OG0000054	Prab.g_01662	Prac.g_00632
OG0000055	Prab.g_01857	Prac.g_01904, Prac.g_00041
OG0000056	Prab.g_00031	Prac.g_01916
OG0000057	Prab.g_00148	Prac.g_01773
OG0000058	Prab.g_00359	Prac.g_01163
OG0000059	Prab.g_00543	Prac.g_00833
OG0000060	Prab.g_00736	Prac.g_01547
OG0000061	Prab.g_00775	Prac.g_01515
OG0000062	Prab.g_00862	Prac.g_01453
OG0000063	Prab.g_01171	Prac.g_01029
OG0000065	Prab.g_00228	Prac.g_01693
OG0000066	Prab.g_00479	Prac.g_01069
OG0000067	Prab.g_00703	Prac.g_00673
OG0000068	Prab.g_01297	Prac.g_01531
OG0000069	Prab.g_01184	Prac.g_01020
OG0000070	Prab.g_01299, Prab.g_00929	Prac.g_01256
OG0000071	Prab.g_00717	Prac.g_01955
OG0000072	Prab.g_01637, Prab.g_01326	Prac.g_00175
OG0000074	Prab.g_01447	Prac.g_00248
OG0000075	Prab.g_01802	Prac.g_00548
OG0000077	Prab.g_00011	Prac.g_01936
OG0000078	Prab.g_00310	Prac.g_01609
OG0000079	Prab.g_00371	Prac.g_01150
OG0000080	Prab.g_00674	Prac.g_00702
OG0000081	Prab.g_00696	Prac.g_00680
OG0000082	Prab.g_00847	Prac.g_01468
OG0000083	Prab.g_01100	Prac.g_01405
OG0000084	Prab.g_01010	Prac.g_01327
OG0000085	Prab.g_01144	Prac.g_01207
OG0000086	Prab.g_01186	Prac.g_01018
OG0000088	Prab.g_00399	Prac.g_00132
OG0000089	Prab.g_00400, Prab.g_00978	Prac.g_00133
OG0000090	Prab.g_01394	Prac.g_00256
OG0000091	Prab.g_01474, Prab.g_01413	Prac.g_00403
OG0000092	Prab.g_00922, Prab.g_01290	Prac.g_00886
OG0000093	Prab.g_01754	Prac.g_00500
OG0000094	Prab.g_01799	Prac.g_00545
OG0000095	Prab.g_01832	Prac.g_00015
OG0000096	Prab.g_01902	Prac.g_00084
OG0000097	Prab.g_01920	Prac.g_00101
OG0000098	Prab.g_00003	Prac.g_01944
OG0000099	Prab.g_00023	Prac.g_01924
OG0000100	Prab.g_00038	Prac.g_01893
OG0000101	Prab.g_00048	Prac.g_01882
OG0000102	Prab.g_00104	Prac.g_01818
OG0000103	Prab.g_00112	Prac.g_01810
OG0000104	Prab.g_00129	Prac.g_01792
OG0000105	Prab.g_00161	Prac.g_01760
OG0000106	Prab.g_00175	Prac.g_01746
OG0000107	Prab.g_00183	Prac.g_01738
OG0000108	Prab.g_00193	Prac.g_01728
OG0000109	Prab.g_00229	Prac.g_01691
OG0000110	Prab.g_00241	Prac.g_01679
OG0000111	Prab.g_00262	Prac.g_01657
OG0000112	Prab.g_00272	Prac.g_01647
OG0000113	Prab.g_00285	Prac.g_01634
OG0000114	Prab.g_00313	Prac.g_01606
OG0000115	Prab.g_00478	Prac.g_01070
OG0000116	Prab.g_00480	Prac.g_01068
OG0000117	Prab.g_00484	Prac.g_01064
OG0000118	Prab.g_00503	Prac.g_00872
OG0000119	Prab.g_00536	Prac.g_00840
OG0000120	Prab.g_00537	Prac.g_00839
OG0000121	Prab.g_00547	Prac.g_00829
OG0000122	Prab.g_00556	Prac.g_00820
OG0000123	Prab.g_00588	Prac.g_00789
OG0000124	Prab.g_00656	Prac.g_00720
OG0000125	Prab.g_00657	Prac.g_00719
OG0000126	Prab.g_00658	Prac.g_00718
OG0000127	Prab.g_00691	Prac.g_00685
OG0000128	Prab.g_00725	Prac.g_01558
OG0000129	Prab.g_00745	Prac.g_01538
OG0000130	Prab.g_00825	Prac.g_01491
OG0000131	Prab.g_00838	Prac.g_01477
OG0000132	Prab.g_00873	Prac.g_01442
OG0000133	Prab.g_01052	Prac.g_01368
OG0000134	Prab.g_01042	Prac.g_01359
OG0000135	Prab.g_01006	Prac.g_01323
OG0000136	Prab.g_00932	Prac.g_01259
OG0000137	Prab.g_01189	Prac.g_01015, Prac.g_01959
OG0000138	Prab.g_01214	Prac.g_00990
OG0000139	Prab.g_01225	Prac.g_00979
OG0000140	Prab.g_01276	Prac.g_00928
OG0000141	Prab.g_01284	Prac.g_00448
OG0000142	Prab.g_01338	Prac.g_00187
OG0000143	Prab.g_01360	Prac.g_00217
OG0000144	Prab.g_01453	Prac.g_00424
OG0000145	Prab.g_01467	Prac.g_00410
OG0000146	Prab.g_01503	Prac.g_00374
OG0000147	Prab.g_01543	Prac.g_00334
OG0000148	Prab.g_01544	Prac.g_00333
OG0000149	Prab.g_01667	Prac.g_00627
OG0000150	Prab.g_01705	Prac.g_00589
OG0000151	Prab.g_01708	Prac.g_00586
OG0000152	Prab.g_01727	Prac.g_00471
OG0000153	Prab.g_01761	Prac.g_00507
OG0000154	Prab.g_01797	Prac.g_00543
OG0000155	Prab.g_01815	Prac.g_00560
OG0000156	Prab.g_01842	Prac.g_00026
OG0000157	Prab.g_01874	Prac.g_00057
OG0000158	Prab.g_01937	Prac.g_00118
OG0000160	Prab.g_00001	Prac.g_01946
OG0000161	Prab.g_00002	Prac.g_01945
OG0000162	Prab.g_00004	Prac.g_01943
OG0000163	Prab.g_00005	Prac.g_01942
OG0000164	Prab.g_00006	Prac.g_01941
OG0000165	Prab.g_00007	Prac.g_01940
OG0000166	Prab.g_00008	Prac.g_01939
OG0000167	Prab.g_00009	Prac.g_01938
OG0000168	Prab.g_00010	Prac.g_01937
OG0000169	Prab.g_00012	Prac.g_01935
OG0000170	Prab.g_00014	Prac.g_01933
OG0000171	Prab.g_00015	Prac.g_01932
OG0000172	Prab.g_00016	Prac.g_01931
OG0000173	Prab.g_00017	Prac.g_01930
OG0000174	Prab.g_00018	Prac.g_01929
OG0000175	Prab.g_00019	Prac.g_01928
OG0000176	Prab.g_00020	Prac.g_01927
OG0000177	Prab.g_00021	Prac.g_01926
OG0000178	Prab.g_00022	Prac.g_01925
OG0000179	Prab.g_00024	Prac.g_01923
OG0000180	Prab.g_00025	Prac.g_01922
OG0000181	Prab.g_00026	Prac.g_01921
OG0000182	Prab.g_00027	Prac.g_01920
OG0000183	Prab.g_00028	Prac.g_01919
OG0000184	Prab.g_00029	Prac.g_01918
OG0000185	Prab.g_00032	Prac.g_01915
OG0000186	Prab.g_00035	Prac.g_01911
OG0000187	Prab.g_00036	Prac.g_01910
OG0000188	Prab.g_00037	Prac.g_01909
OG0000189	Prab.g_00039	Prac.g_01892
OG0000190	Prab.g_00041	Prac.g_01890
OG0000191	Prab.g_00042	Prac.g_01889
OG0000192	Prab.g_00043	Prac.g_01888
OG0000193	Prab.g_00044	Prac.g_01886
