Orthogroup	Syat	Prbc
OG0000001	Syat.g_02910, Syat.g_02911	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000005	Syat.g_03065	Prbc.g_00098
OG0000005	Syat.g_03105	Prbc.g_00788
OG0000006	Syat.g_01439, Syat.g_01865	Prbc.g_02202
OG0000007	Syat.g_03191	Prbc.g_01556
OG0000007	Syat.g_03124	Prbc.g_00832
OG0000008	Syat.g_02626	Prbc.g_00893
OG0000008	Syat.g_02627	Prbc.g_00894
OG0000010	Syat.g_01372	Prbc.g_02115, Prbc.g_01533
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbc.g_01219
OG0000014	Syat.g_02104	Prbc.g_01198
OG0000014	Syat.g_03196, Syat.g_02250	Prbc.g_00680
OG0000016	Syat.g_02329	Prbc.g_01083
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbc.g_00929
OG0000017	Syat.g_00015	Prbc.g_01681
OG0000018	Syat.g_01334	Prbc.g_01468, Prbc.g_01887
OG0000019	Syat.g_01876	Prbc.g_01836
OG0000021	Syat.g_00964	Prbc.g_00924
OG0000022	Syat.g_00210	Prbc.g_00166, Prbc.g_01288
OG0000024	Syat.g_03394	Prbc.g_00598, Prbc.g_01755
OG0000025	Syat.g_00719	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syat.g_02306	Prbc.g_01101
OG0000027	Syat.g_00850	Prbc.g_00072
OG0000028	Syat.g_02126	Prbc.g_00653
OG0000030	Syat.g_00307, Syat.g_00308	Prbc.g_00199
OG0000031	Syat.g_03199, Syat.g_02243	Prbc.g_01228
OG0000032	Syat.g_01354	Prbc.g_00746
OG0000033	Syat.g_02858	Prbc.g_00402
OG0000034	Syat.g_01165, Syat.g_02902	Prbc.g_00575
OG0000035	Syat.g_01227, Syat.g_01226	Prbc.g_00709
OG0000037	Syat.g_00849, Syat.g_00187	Prbc.g_00464
OG0000038	Syat.g_02688, Syat.g_02686	Prbc.g_00995
OG0000039	Syat.g_01278	Prbc.g_01768
OG0000042	Syat.g_00223, Syat.g_02222	Prbc.g_00203
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prbc.g_00533
OG0000045	Syat.g_00935	Prbc.g_02137
OG0000046	Syat.g_01626, Syat.g_01026	Prbc.g_01220
OG0000048	Syat.g_02046	Prbc.g_01165
OG0000052	Syat.g_02140	Prbc.g_00518, Prbc.g_00517
OG0000053	Syat.g_01330	Prbc.g_00728
OG0000055	Syat.g_00693	Prbc.g_00907
OG0000057	Syat.g_00817	Prbc.g_01780, Prbc.g_00055
OG0000058	Syat.g_01189	Prbc.g_01928
OG0000061	Syat.g_03260	Prbc.g_01446
OG0000063	Syat.g_02303	Prbc.g_00932
OG0000065	Syat.g_01571	Prbc.g_00466
OG0000066	Syat.g_03283	Prbc.g_01618
OG0000067	Syat.g_00479	Prbc.g_01858
OG0000068	Syat.g_00085, Syat.g_01295	Prbc.g_00657
OG0000070	Syat.g_01032, Syat.g_01040	Prbc.g_01511
OG0000072	Syat.g_02856, Syat.g_01597	Prbc.g_00400
OG0000073	Syat.g_03201	Prbc.g_01579
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbc.g_00236
OG0000076	Syat.g_02206	Prbc.g_00211
OG0000077	Syat.g_01481	Prbc.g_00495
OG0000078	Syat.g_00184	Prbc.g_00330
OG0000079	Syat.g_01879	Prbc.g_01148
OG0000080	Syat.g_02420	Prbc.g_00679
OG0000081	Syat.g_00980	Prbc.g_01610
OG0000082	Syat.g_00035	Prbc.g_00891
OG0000085	Syat.g_03113	Prbc.g_00826
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbc.g_00485
OG0000087	Syat.g_02912	Prbc.g_00432
OG0000088	Syat.g_02862	Prbc.g_00405
OG0000089	Syat.g_02953	Prbc.g_01268
OG0000090	Syat.g_03270	Prbc.g_01612
OG0000091	Syat.g_00939, Syat.g_00862	Prbc.g_01719
OG0000092	Syat.g_00825	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000094	Syat.g_01034	Prbc.g_01935
OG0000097	Syat.g_00907, Syat.g_00535	Prbc.g_01400
OG0000098	Syat.g_03281	Prbc.g_00585
OG0000099	Syat.g_02130	Prbc.g_01229
OG0000100	Syat.g_00517	Prbc.g_00785
OG0000101	Syat.g_01661	Prbc.g_00284
OG0000102	Syat.g_00974	Prbc.g_00206
OG0000103	Syat.g_02399	Prbc.g_01053
OG0000104	Syat.g_02385	Prbc.g_01065
OG0000105	Syat.g_02052	Prbc.g_01167
OG0000106	Syat.g_00957	Prbc.g_00134, Prbc.g_00641
OG0000107	Syat.g_01862	Prbc.g_00934
OG0000108	Syat.g_03170	Prbc.g_01540
OG0000109	Syat.g_03187	Prbc.g_01553
OG0000110	Syat.g_00049	Prbc.g_01654
OG0000111	Syat.g_00816	Prbc.g_01781
OG0000112	Syat.g_00593	Prbc.g_02028
OG0000113	Syat.g_00509	Prbc.g_01882, Prbc.g_00153
OG0000114	Syat.g_00426	Prbc.g_01977
OG0000115	Syat.g_01328	Prbc.g_00801
OG0000116	Syat.g_02641	Prbc.g_01457
OG0000117	Syat.g_00224	Prbc.g_00102
OG0000118	Syat.g_01168	Prbc.g_00577
OG0000119	Syat.g_00309	Prbc.g_00650
OG0000120	Syat.g_02132	Prbc.g_01753
OG0000121	Syat.g_01223	Prbc.g_00711
OG0000123	Syat.g_01653	Prbc.g_00277
