Orthogroup	Syat	Prad
OG0000001	Syat.g_02910, Syat.g_02911	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000005	Syat.g_03065	Prad.g_00928
OG0000005	Syat.g_03105	Prad.g_00438
OG0000006	Syat.g_01439, Syat.g_01865	Prad.g_01750
OG0000007	Syat.g_03191	Prad.g_00132
OG0000007	Syat.g_03124	Prad.g_00941
OG0000009	Syat.g_01567	Prad.g_01888
OG0000010	Syat.g_01372	Prad.g_01304, Prad.g_01011, Prad.g_00033
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prad.g_01664
OG0000014	Syat.g_02104	Prad.g_01685
OG0000016	Syat.g_02329	Prad.g_01973
OG0000017	Syat.g_00015	Prad.g_01387
OG0000018	Syat.g_01334	Prad.g_01515, Prad.g_01173
OG0000019	Syat.g_01876	Prad.g_01742, Prad.g_01125
OG0000021	Syat.g_00964	Prad.g_01981, Prad.g_00745
OG0000022	Syat.g_00210	Prad.g_01105, Prad.g_01993
OG0000024	Syat.g_03394	Prad.g_01088, Prad.g_01249
OG0000025	Syat.g_00719	Prad.g_01181, Prad.g_01660
OG0000026	Syat.g_02306	Prad.g_01955, Prad.g_01004
OG0000027	Syat.g_00850	Prad.g_01298, Prad.g_00353
OG0000028	Syat.g_02126	Prad.g_01671, Prad.g_01204
OG0000032	Syat.g_01354	Prad.g_00572
OG0000032	Syat.g_02237	Prad.g_00561
OG0000033	Syat.g_02858	Prad.g_01822
OG0000034	Syat.g_01165, Syat.g_02902	Prad.g_00618
OG0000035	Syat.g_01227, Syat.g_01226	Prad.g_00515
OG0000037	Syat.g_00849, Syat.g_00187	Prad.g_01884
OG0000038	Syat.g_02688, Syat.g_02686	Prad.g_01582
OG0000039	Syat.g_01278	Prad.g_01260
OG0000042	Syat.g_00223, Syat.g_02222	Prad.g_01624
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prad.g_01213
OG0000045	Syat.g_00935	Prad.g_00738
OG0000048	Syat.g_02046	Prad.g_00735
OG0000052	Syat.g_02140	Prad.g_00571
OG0000053	Syat.g_01330	Prad.g_00494
OG0000057	Syat.g_00817	Prad.g_01272
OG0000058	Syat.g_01189	Prad.g_00565
OG0000061	Syat.g_03260	Prad.g_01496
OG0000063	Syat.g_02303	Prad.g_01953, Prad.g_00081
OG0000065	Syat.g_01571	Prad.g_01886
OG0000066	Syat.g_03283	Prad.g_00090
OG0000067	Syat.g_00479	Prad.g_01146
OG0000068	Syat.g_00085, Syat.g_01295	Prad.g_00594
OG0000070	Syat.g_01032, Syat.g_01040	Prad.g_00057
OG0000072	Syat.g_02856, Syat.g_01597	Prad.g_01820
OG0000073	Syat.g_03201	Prad.g_00130
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prad.g_00775
OG0000076	Syat.g_02206	Prad.g_01631
OG0000078	Syat.g_00184	Prad.g_01752
