Orthogroup	Syat	Prae
OG0000001	Syat.g_02910, Syat.g_02911	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000005	Syat.g_03065	Prae.g_01636
OG0000005	Syat.g_03105	Prae.g_01535
OG0000006	Syat.g_01439, Syat.g_01865	Prae.g_00244
OG0000007	Syat.g_03191	Prae.g_00471
OG0000007	Syat.g_03124	Prae.g_01623
OG0000010	Syat.g_01372	Prae.g_01048, Prae.g_00448
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prae.g_00328
OG0000014	Syat.g_02104	Prae.g_00307
OG0000014	Syat.g_02250	Prae.g_01401
OG0000016	Syat.g_02329	Prae.g_00013
OG0000017	Syat.g_00015	Prae.g_00572
OG0000018	Syat.g_01334	Prae.g_01144, Prae.g_00833
OG0000019	Syat.g_01876	Prae.g_00252, Prae.g_00786
OG0000021	Syat.g_00964	Prae.g_01600, Prae.g_00364
OG0000022	Syat.g_00210	Prae.g_00764, Prae.g_01125
OG0000024	Syat.g_03394	Prae.g_00748, Prae.g_00649
OG0000025	Syat.g_00719	Prae.g_00840, Prae.g_00332
OG0000026	Syat.g_02306	Prae.g_00031, Prae.g_01056
OG0000027	Syat.g_00850	Prae.g_00444, Prae.g_01311
OG0000028	Syat.g_02126	Prae.g_00321
OG0000030	Syat.g_00307, Syat.g_00308	Prae.g_01825
OG0000033	Syat.g_02858	Prae.g_01396, Prae.g_00172
OG0000034	Syat.g_01165, Syat.g_02902	Prae.g_01339
OG0000035	Syat.g_01227, Syat.g_01226	Prae.g_01459
OG0000037	Syat.g_00849, Syat.g_00187	Prae.g_00108
OG0000038	Syat.g_02688, Syat.g_02686	Prae.g_01865
OG0000039	Syat.g_01278	Prae.g_00660
OG0000042	Syat.g_00223, Syat.g_02222	Prae.g_01822
OG0000045	Syat.g_00935	Prae.g_00371
OG0000048	Syat.g_02046	Prae.g_00374
OG0000053	Syat.g_01330	Prae.g_01479
OG0000057	Syat.g_00817	Prae.g_00672
OG0000058	Syat.g_01189	Prae.g_01406
OG0000060	Syat.g_01047	Prae.g_01238
OG0000061	Syat.g_03260	Prae.g_01422, Prae.g_01163
OG0000063	Syat.g_02303	Prae.g_00033
OG0000065	Syat.g_01571	Prae.g_00106
OG0000066	Syat.g_03283	Prae.g_00514
OG0000067	Syat.g_00479	Prae.g_00806
OG0000068	Syat.g_00085, Syat.g_01295	Prae.g_01368
OG0000070	Syat.g_01032, Syat.g_01040	Prae.g_00424
OG0000072	Syat.g_02856, Syat.g_01597	Prae.g_00174
OG0000073	Syat.g_03201	Prae.g_00473
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prae.g_01791
OG0000076	Syat.g_02206	Prae.g_01815
OG0000078	Syat.g_00184	Prae.g_00242
OG0000079	Syat.g_01879	Prae.g_00255
OG0000081	Syat.g_00980	Prae.g_00505
OG0000082	Syat.g_00035	Prae.g_00559
OG0000085	Syat.g_03113	Prae.g_01616
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prae.g_00088
OG0000087	Syat.g_02912	Prae.g_00139
OG0000088	Syat.g_02862	Prae.g_00169
OG0000089	Syat.g_02953	Prae.g_00355
OG0000090	Syat.g_03270	Prae.g_00508
OG0000091	Syat.g_00939, Syat.g_00862	Prae.g_00616
OG0000092	Syat.g_00825	Prae.g_00913
OG0000094	Syat.g_00698, Syat.g_01034	Prae.g_01021
OG0000097	Syat.g_00907, Syat.g_00535	Prae.g_01204
OG0000098	Syat.g_03281	Prae.g_01350
OG0000099	Syat.g_02130	Prae.g_01390
OG0000100	Syat.g_00517	Prae.g_01533
OG0000101	Syat.g_01661	Prae.g_01758
OG0000102	Syat.g_00974	Prae.g_01820
OG0000103	Syat.g_02399	Prae.g_01899
OG0000104	Syat.g_02385	Prae.g_01907
OG0000105	Syat.g_02052	Prae.g_01440
OG0000106	Syat.g_00957	Prae.g_00370
OG0000107	Syat.g_01862	Prae.g_00385
OG0000108	Syat.g_03170	Prae.g_00454
OG0000109	Syat.g_03187	Prae.g_00468
OG0000110	Syat.g_00049	Prae.g_00549
OG0000111	Syat.g_00816	Prae.g_00673
OG0000112	Syat.g_00593	Prae.g_00770
OG0000113	Syat.g_00509	Prae.g_00828
OG0000114	Syat.g_00426	Prae.g_00908
OG0000115	Syat.g_01328	Prae.g_01102
OG0000116	Syat.g_02641	Prae.g_01153
OG0000117	Syat.g_00224	Prae.g_01263
OG0000118	Syat.g_01168	Prae.g_01341
OG0000119	Syat.g_00309	Prae.g_01364
OG0000120	Syat.g_02132	Prae.g_01389
OG0000121	Syat.g_01223	Prae.g_01461
OG0000123	Syat.g_01653	Prae.g_01766
OG0000124	Syat.g_02231	Prae.g_01831
OG0000125	Syat.g_02684	Prae.g_01867
OG0000126	Syat.g_00976	Prae.g_01906
OG0000128	Syat.g_02331	Prae.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Prae.g_00046
OG0000130	Syat.g_01469	Prae.g_00069
OG0000131	Syat.g_02898	Prae.g_00148
OG0000132	Syat.g_02864	Prae.g_00167
OG0000133	Syat.g_00588	Prae.g_00323
OG0000134	Syat.g_02956	Prae.g_00356
OG0000135	Syat.g_02501	Prae.g_00382
OG0000136	Syat.g_01292	Prae.g_00415
OG0000137	Syat.g_01371	Prae.g_00449
OG0000138	Syat.g_03188	Prae.g_00469
OG0000140	Syat.g_03280	Prae.g_00513
OG0000141	Syat.g_03398	Prae.g_00581
OG0000142	Syat.g_00117	Prae.g_00609
OG0000143	Syat.g_00130	Prae.g_00613
OG0000144	Syat.g_00369	Prae.g_00626
OG0000145	Syat.g_03202	Prae.g_00766
OG0000146	Syat.g_00594	Prae.g_00771
OG0000147	Syat.g_00595	Prae.g_00772
OG0000148	Syat.g_00503	Prae.g_00822
OG0000149	Syat.g_00747	Prae.g_00852
OG0000150	Syat.g_03399	Prae.g_00860
OG0000151	Syat.g_00801, Syat.g_00440	Prae.g_00918
OG0000152	Syat.g_00578	Prae.g_00964
OG0000153	Syat.g_00542	Prae.g_00983
OG0000154	Syat.g_00708	Prae.g_01014
OG0000155	Syat.g_00287	Prae.g_01183
