Orthogroup	Syat	Prbg
OG0000001	Syat.g_02910, Syat.g_02911	Prbg.g_00502, Prbg.g_01069
OG0000005	Syat.g_03105	Prbg.g_00674
OG0000006	Syat.g_01439, Syat.g_01865	Prbg.g_01024
OG0000007	Syat.g_03191	Prbg.g_00216
OG0000007	Syat.g_03124	Prbg.g_01650
OG0000008	Syat.g_02626	Prbg.g_00744
OG0000008	Syat.g_02627	Prbg.g_00745
OG0000010	Syat.g_01372	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbg.g_00104
OG0000014	Syat.g_02104	Prbg.g_00086
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbg.g_01544
OG0000017	Syat.g_00015	Prbg.g_00317
OG0000018	Syat.g_01334	Prbg.g_01508, Prbg.g_01187
OG0000019	Syat.g_01876	Prbg.g_01032, Prbg.g_01510
OG0000021	Syat.g_00964	Prbg.g_00699
OG0000022	Syat.g_00210	Prbg.g_00682
OG0000024	Syat.g_03394	Prbg.g_01352, Prbg.g_01116
OG0000025	Syat.g_00719	Prbg.g_01195
OG0000026	Syat.g_02306	Prbg.g_00842
OG0000027	Syat.g_00850	Prbg.g_01569, Prbg.g_00721
OG0000028	Syat.g_02126	Prbg.g_00743
OG0000030	Syat.g_00307, Syat.g_00308	Prbg.g_01858
OG0000031	Syat.g_03199, Syat.g_02243	Prbg.g_00550
OG0000032	Syat.g_01354	Prbg.g_00630
OG0000033	Syat.g_02858	Prbg.g_00557, Prbg.g_00947
OG0000034	Syat.g_01165, Syat.g_02902	Prbg.g_00488
OG0000035	Syat.g_01227, Syat.g_01226	Prbg.g_00591
OG0000037	Syat.g_00849, Syat.g_00187	Prbg.g_00881
OG0000038	Syat.g_02688, Syat.g_02686	Prbg.g_01898
OG0000039	Syat.g_01278	Prbg.g_01128
OG0000042	Syat.g_00223, Syat.g_02222	Prbg.g_01855
OG0000045	Syat.g_00935	Prbg.g_01530
OG0000046	Syat.g_01626, Syat.g_01026	Prbg.g_00105
OG0000048	Syat.g_02046	Prbg.g_00464, Prbg.g_00050
OG0000052	Syat.g_02140	Prbg.g_00816
OG0000053	Syat.g_01330	Prbg.g_01595, Prbg.g_00612
OG0000055	Syat.g_00693	Prbg.g_01624
OG0000057	Syat.g_00817	Prbg.g_01143
OG0000058	Syat.g_01189	Prbg.g_00551
OG0000061	Syat.g_03260	Prbg.g_01486
OG0000062	Syat.g_03107	Prbg.g_00676
OG0000063	Syat.g_02303	Prbg.g_00730
OG0000064	Syat.g_01568	Prbg.g_00802
OG0000065	Syat.g_01571	Prbg.g_00879
OG0000066	Syat.g_03283	Prbg.g_00256
OG0000067	Syat.g_00479	Prbg.g_01159
OG0000068	Syat.g_00085, Syat.g_01295	Prbg.g_00529
OG0000070	Syat.g_01032, Syat.g_01040	Prbg.g_00170
OG0000072	Syat.g_02856, Syat.g_01597	Prbg.g_00949
OG0000073	Syat.g_03201	Prbg.g_00219
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbg.g_01821
OG0000076	Syat.g_02206	Prbg.g_01847
OG0000078	Syat.g_00184	Prbg.g_01022
OG0000079	Syat.g_01879	Prbg.g_01035
OG0000081	Syat.g_00980	Prbg.g_00248
OG0000082	Syat.g_00035	Prbg.g_00304, Prbg.g_01639
OG0000085	Syat.g_03113	Prbg.g_01642, Prbg.g_00716
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbg.g_00782
OG0000087	Syat.g_02912	Prbg.g_00913
OG0000088	Syat.g_02862	Prbg.g_00944
OG0000089	Syat.g_02953	Prbg.g_00137
OG0000090	Syat.g_03270	Prbg.g_00250
OG0000091	Syat.g_00939, Syat.g_00862	Prbg.g_01414
OG0000092	Syat.g_00825	Prbg.g_01089
OG0000094	Syat.g_01034	Prbg.g_01336
OG0000097	Syat.g_00907, Syat.g_00535	Prbg.g_01440
OG0000098	Syat.g_03281	Prbg.g_00505
OG0000099	Syat.g_02130	Prbg.g_00552
OG0000100	Syat.g_00517	Prbg.g_00670
OG0000101	Syat.g_01661	Prbg.g_01785
OG0000102	Syat.g_00974	Prbg.g_01852
OG0000103	Syat.g_02399	Prbg.g_01937
OG0000104	Syat.g_02385	Prbg.g_00763
OG0000105	Syat.g_02052	Prbg.g_00053
OG0000106	Syat.g_00957	Prbg.g_00388
OG0000107	Syat.g_01862	Prbg.g_01714
OG0000108	Syat.g_03170	Prbg.g_00199
OG0000109	Syat.g_03187	Prbg.g_00213
OG0000110	Syat.g_00049	Prbg.g_00293
OG0000111	Syat.g_00816	Prbg.g_01144
OG0000112	Syat.g_00593	Prbg.g_00366
OG0000113	Syat.g_00509	Prbg.g_01182
OG0000114	Syat.g_00426	Prbg.g_01084
OG0000115	Syat.g_01328	Prbg.g_01555
OG0000116	Syat.g_02641	Prbg.g_01497
OG0000117	Syat.g_00224	Prbg.g_01459
OG0000118	Syat.g_01168	Prbg.g_00490
OG0000119	Syat.g_00309	Prbg.g_01540, Prbg.g_00688
OG0000120	Syat.g_02132	Prbg.g_00549
OG0000121	Syat.g_01223	Prbg.g_00593
OG0000123	Syat.g_01653	Prbg.g_01792
OG0000124	Syat.g_02231	Prbg.g_01864
OG0000125	Syat.g_02684	Prbg.g_01900
OG0000126	Syat.g_00976	Prbg.g_00762
OG0000128	Syat.g_02331	Prbg.g_00778
