Orthogroup	Syat	Prai
OG0000001	Syat.g_02910, Syat.g_02911	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000005	Syat.g_03065	Prai.g_01651
OG0000005	Syat.g_03105	Prai.g_01538
OG0000006	Syat.g_01439, Syat.g_01865	Prai.g_00252, Prai.g_00254
OG0000007	Syat.g_03191	Prai.g_00527
OG0000007	Syat.g_03124	Prai.g_01638
OG0000008	Syat.g_02626, Syat.g_02627	Prai.g_00701
OG0000009	Syat.g_01567	Prai.g_00105
OG0000010	Syat.g_01372	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prai.g_00340
OG0000014	Syat.g_02104	Prai.g_00319
OG0000016	Syat.g_02329	Prai.g_00013
OG0000017	Syat.g_00015	Prai.g_00626
OG0000018	Syat.g_01334	Prai.g_01153, Prai.g_00820
OG0000019	Syat.g_01876	Prai.g_00262, Prai.g_00867
OG0000021	Syat.g_00964	Prai.g_00378
OG0000022	Syat.g_00210	Prai.g_00885, Prai.g_01139
OG0000024	Syat.g_03394	Prai.g_00899, Prai.g_00704
OG0000025	Syat.g_00719	Prai.g_00812, Prai.g_00344
OG0000026	Syat.g_02306	Prai.g_00031, Prai.g_01074
OG0000027	Syat.g_00850	Prai.g_00904
OG0000028	Syat.g_02126	Prai.g_00333, Prai.g_01297
OG0000030	Syat.g_00307, Syat.g_00308	Prai.g_01848
OG0000031	Syat.g_03199, Syat.g_02243	Prai.g_01444
OG0000033	Syat.g_02858	Prai.g_00180
OG0000034	Syat.g_01165, Syat.g_02902	Prai.g_01345
OG0000035	Syat.g_01227, Syat.g_01226	Prai.g_01463
OG0000037	Syat.g_00849, Syat.g_00187	Prai.g_00109
OG0000038	Syat.g_02688, Syat.g_02686	Prai.g_01890
OG0000039	Syat.g_01278	Prai.g_00715
OG0000042	Syat.g_00223, Syat.g_02222	Prai.g_01845
OG0000045	Syat.g_00935	Prai.g_01274, Prai.g_00384
OG0000048	Syat.g_02046	Prai.g_00387
OG0000053	Syat.g_01330	Prai.g_01483
OG0000057	Syat.g_00817	Prai.g_00727
OG0000058	Syat.g_01189	Prai.g_01859
OG0000061	Syat.g_03260	Prai.g_01171
OG0000063	Syat.g_02303	Prai.g_00033, Prai.g_01261
OG0000065	Syat.g_01571	Prai.g_00107
OG0000066	Syat.g_03283	Prai.g_00567
OG0000067	Syat.g_00479	Prai.g_00848
OG0000068	Syat.g_00085, Syat.g_01295	Prai.g_01370
OG0000070	Syat.g_01032, Syat.g_01040	Prai.g_00481
OG0000072	Syat.g_02856, Syat.g_01597	Prai.g_00182
OG0000073	Syat.g_03201	Prai.g_00529
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prai.g_01814
OG0000076	Syat.g_02206	Prai.g_01838
OG0000078	Syat.g_00184	Prai.g_00250
OG0000079	Syat.g_01879	Prai.g_00265
OG0000080	Syat.g_02420	Prai.g_01411, Prai.g_00399
OG0000081	Syat.g_00980	Prai.g_00559
OG0000082	Syat.g_00035	Prai.g_00613
OG0000085	Syat.g_03113	Prai.g_01631
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prai.g_00088
