Orthogroup	Syat	Prbd
OG0000001	Syat.g_02910, Syat.g_02911	Prbd.g_01779, Prbd.g_01930
OG0000005	Syat.g_03065	Prbd.g_01512
OG0000005	Syat.g_03105	Prbd.g_01612
OG0000006	Syat.g_01439, Syat.g_01865	Prbd.g_00998
OG0000007	Syat.g_03191	Prbd.g_00745
OG0000007	Syat.g_03124	Prbd.g_01525
OG0000009	Syat.g_01567	Prbd.g_01139
OG0000010	Syat.g_01372	Prbd.g_00348, Prbd.g_00768
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbd.g_00912
OG0000014	Syat.g_02104	Prbd.g_00933
OG0000016	Syat.g_02329	Prbd.g_01224
OG0000017	Syat.g_00015	Prbd.g_00646
OG0000018	Syat.g_01334	Prbd.g_00449, Prbd.g_00129
OG0000019	Syat.g_01876	Prbd.g_00990, Prbd.g_00082
OG0000021	Syat.g_00964	Prbd.g_01546, Prbd.g_00874
OG0000022	Syat.g_00210	Prbd.g_00061, Prbd.g_00423
OG0000024	Syat.g_03394	Prbd.g_00045, Prbd.g_00569
OG0000025	Syat.g_00719	Prbd.g_00137, Prbd.g_00908
OG0000026	Syat.g_02306	Prbd.g_01206, Prbd.g_00355
OG0000027	Syat.g_00850	Prbd.g_00772, Prbd.g_01832
OG0000028	Syat.g_02126	Prbd.g_00919, Prbd.g_01864
OG0000030	Syat.g_00307, Syat.g_00308	Prbd.g_01325
OG0000032	Syat.g_02237	Prbd.g_01730
OG0000033	Syat.g_02858	Prbd.g_01071
OG0000034	Syat.g_01165, Syat.g_02902	Prbd.g_01791
OG0000035	Syat.g_01227, Syat.g_01226	Prbd.g_01689
OG0000037	Syat.g_00849, Syat.g_00187	Prbd.g_01135
OG0000038	Syat.g_02688, Syat.g_02686	Prbd.g_01283
OG0000039	Syat.g_01278	Prbd.g_00558
OG0000042	Syat.g_00223, Syat.g_02222	Prbd.g_01328
OG0000045	Syat.g_00935	Prbd.g_00867
OG0000048	Syat.g_02046	Prbd.g_00439, Prbd.g_00864
OG0000053	Syat.g_01330	Prbd.g_01669
OG0000057	Syat.g_00817	Prbd.g_00546
OG0000060	Syat.g_01047	Prbd.g_00824
OG0000061	Syat.g_03260	Prbd.g_00468
OG0000063	Syat.g_02303	Prbd.g_01204
OG0000065	Syat.g_01571	Prbd.g_01137
OG0000066	Syat.g_03283	Prbd.g_00703
OG0000067	Syat.g_00479	Prbd.g_00102
OG0000068	Syat.g_00085, Syat.g_01295	Prbd.g_01764
OG0000070	Syat.g_01032, Syat.g_01040	Prbd.g_00792
OG0000072	Syat.g_02856, Syat.g_01597	Prbd.g_01069
OG0000073	Syat.g_03201	Prbd.g_00743
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbd.g_01359
OG0000076	Syat.g_02206	Prbd.g_01335
OG0000078	Syat.g_00184	Prbd.g_01000
OG0000079	Syat.g_01879	Prbd.g_00987
OG0000080	Syat.g_02420	Prbd.g_01731
OG0000081	Syat.g_00980	Prbd.g_00711
OG0000082	Syat.g_00035	Prbd.g_00658
OG0000085	Syat.g_03113	Prbd.g_01532
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbd.g_01156
OG0000087	Syat.g_02912	Prbd.g_01104, Prbd.g_01103
OG0000088	Syat.g_02862	Prbd.g_01074
OG0000089	Syat.g_02953	Prbd.g_00883
OG0000090	Syat.g_03270	Prbd.g_00709
OG0000091	Syat.g_00939, Syat.g_00862	Prbd.g_00602
OG0000092	Syat.g_00825	Prbd.g_00211, Prbd.g_01193
OG0000094	Syat.g_00698, Syat.g_01034	Prbd.g_00321
OG0000097	Syat.g_00907, Syat.g_00535	Prbd.g_00509
OG0000098	Syat.g_03281	Prbd.g_01782
OG0000099	Syat.g_02130	Prbd.g_01734
OG0000100	Syat.g_00517	Prbd.g_01614
OG0000101	Syat.g_01661	Prbd.g_01391
OG0000102	Syat.g_00974	Prbd.g_01330
OG0000103	Syat.g_02399	Prbd.g_01250
OG0000104	Syat.g_02385	Prbd.g_01241
OG0000105	Syat.g_02052	Prbd.g_00965
OG0000106	Syat.g_00957	Prbd.g_00868
OG0000107	Syat.g_01862	Prbd.g_00852
OG0000108	Syat.g_03170	Prbd.g_00762
OG0000109	Syat.g_03187	Prbd.g_00748
OG0000110	Syat.g_00049	Prbd.g_00668
OG0000111	Syat.g_00816	Prbd.g_00545
OG0000112	Syat.g_00593	Prbd.g_00066
OG0000113	Syat.g_00509	Prbd.g_00124
OG0000114	Syat.g_00426	Prbd.g_00206
OG0000115	Syat.g_01328	Prbd.g_00401
OG0000116	Syat.g_02641	Prbd.g_00458
OG0000117	Syat.g_00224	Prbd.g_01895
OG0000118	Syat.g_01168	Prbd.g_01789
OG0000119	Syat.g_00309	Prbd.g_01768
OG0000120	Syat.g_02132	Prbd.g_01737
OG0000121	Syat.g_01223	Prbd.g_01687
OG0000123	Syat.g_01653	Prbd.g_01384
OG0000124	Syat.g_02231	Prbd.g_01318
OG0000125	Syat.g_02684	Prbd.g_01281
OG0000126	Syat.g_00976	Prbd.g_01242
OG0000128	Syat.g_02331	Prbd.g_01226
OG0000129	Syat.g_02693, Syat.g_02694	Prbd.g_01194
OG0000130	Syat.g_01469	Prbd.g_01175
OG0000131	Syat.g_02898	Prbd.g_01095
OG0000132	Syat.g_02864	Prbd.g_01076
OG0000133	Syat.g_00588	Prbd.g_00917
OG0000134	Syat.g_02956	Prbd.g_00882
OG0000135	Syat.g_02501	Prbd.g_00855
OG0000136	Syat.g_01292	Prbd.g_01722, Prbd.g_00801
OG0000137	Syat.g_01371	Prbd.g_00767
OG0000138	Syat.g_03188	Prbd.g_00747
OG0000140	Syat.g_03280	Prbd.g_00704
OG0000141	Syat.g_03398	Prbd.g_00637
OG0000142	Syat.g_00117	Prbd.g_00609
OG0000143	Syat.g_00130	Prbd.g_00605
OG0000144	Syat.g_00369	Prbd.g_00592
OG0000145	Syat.g_03202	Prbd.g_00062
OG0000146	Syat.g_00594	Prbd.g_00067
OG0000147	Syat.g_00595	Prbd.g_00068
OG0000148	Syat.g_00503	Prbd.g_00118
OG0000149	Syat.g_00747	Prbd.g_00149
OG0000150	Syat.g_03399	Prbd.g_00157
OG0000151	Syat.g_00801, Syat.g_00440	Prbd.g_00216
OG0000152	Syat.g_00578	Prbd.g_00264
OG0000153	Syat.g_00542	Prbd.g_00283
OG0000154	Syat.g_00708	Prbd.g_00314
OG0000155	Syat.g_00287	Prbd.g_00488
OG0000156	Syat.g_03228	Prbd.g_01812
OG0000157	Syat.g_02012, Syat.g_03227	Prbd.g_01811
OG0000158	Syat.g_02163	Prbd.g_01736
OG0000159	Syat.g_01187	Prbd.g_01735
OG0000160	Syat.g_01224	Prbd.g_01688
OG0000161	Syat.g_01180	Prbd.g_01682
OG0000162	Syat.g_01281	Prbd.g_01676
OG0000163	Syat.g_02979	Prbd.g_01642
OG0000164	Syat.g_03040	Prbd.g_01501
OG0000165	Syat.g_03033	Prbd.g_01494
OG0000166	Syat.g_01822	Prbd.g_01427
OG0000167	Syat.g_02148	Prbd.g_01361
OG0000168	Syat.g_02164	Prbd.g_01351
OG0000169	Syat.g_02192	Prbd.g_01341
OG0000170	Syat.g_02201	Prbd.g_01339
OG0000171	Syat.g_02230	Prbd.g_01319
OG0000172	Syat.g_02260	Prbd.g_01310
OG0000173	Syat.g_02284	Prbd.g_01295
OG0000174	Syat.g_02504	Prbd.g_01268
OG0000175	Syat.g_02416	Prbd.g_01258
OG0000176	Syat.g_02372	Prbd.g_01233
OG0000177	Syat.g_02338	Prbd.g_01232
OG0000178	Syat.g_02337	Prbd.g_01231
OG0000179	Syat.g_02322	Prbd.g_01221
OG0000180	Syat.g_02321	Prbd.g_01220
OG0000181	Syat.g_02320	Prbd.g_01219
OG0000182	Syat.g_02319	Prbd.g_01218
OG0000183	Syat.g_02315	Prbd.g_01214
OG0000184	Syat.g_02704	Prbd.g_01191
OG0000185	Syat.g_02719	Prbd.g_01188
OG0000186	Syat.g_01463	Prbd.g_01180
OG0000187	Syat.g_01467	Prbd.g_01179
OG0000188	Syat.g_01489	Prbd.g_01162
OG0000189	Syat.g_01557	Prbd.g_01148
OG0000190	Syat.g_00330	Prbd.g_01147
OG0000191	Syat.g_03344, Syat.g_02939	Prbd.g_01126
OG0000192	Syat.g_02933	Prbd.g_01122
OG0000193	Syat.g_02897	Prbd.g_01094
OG0000194	Syat.g_02894	Prbd.g_01091
OG0000195	Syat.g_02892	Prbd.g_01089
OG0000196	Syat.g_02867	Prbd.g_01079
OG0000197	Syat.g_02866	Prbd.g_01078
OG0000198	Syat.g_02865	Prbd.g_01077
OG0000199	Syat.g_02857	Prbd.g_01070
OG0000200	Syat.g_02840	Prbd.g_01056
OG0000201	Syat.g_02821	Prbd.g_01048
OG0000202	Syat.g_02820	Prbd.g_01047
OG0000203	Syat.g_02819	Prbd.g_01046
OG0000204	Syat.g_02818	Prbd.g_01045
OG0000205	Syat.g_02809	Prbd.g_01038
OG0000206	Syat.g_02785	Prbd.g_01033
OG0000207	Syat.g_02778	Prbd.g_01031
OG0000208	Syat.g_02777	Prbd.g_01030
OG0000209	Syat.g_02735	Prbd.g_01021
OG0000210	Syat.g_02734	Prbd.g_01020
OG0000211	Syat.g_01452	Prbd.g_01006
OG0000212	Syat.g_01442	Prbd.g_00999
OG0000213	Syat.g_01889	Prbd.g_00982
OG0000214	Syat.g_02042	Prbd.g_00972
OG0000215	Syat.g_02075	Prbd.g_00947
OG0000216	Syat.g_02079	Prbd.g_00945
OG0000217	Syat.g_02085	Prbd.g_00942
OG0000218	Syat.g_02087	Prbd.g_00940
OG0000219	Syat.g_02088	Prbd.g_00939
OG0000220	Syat.g_02089	Prbd.g_00938
OG0000221	Syat.g_02095	Prbd.g_00937
OG0000222	Syat.g_02109	Prbd.g_00929
OG0000223	Syat.g_02570	Prbd.g_00916
OG0000224	Syat.g_02139	Prbd.g_00914
OG0000225	Syat.g_01595	Prbd.g_00893
