Orthogroup	Syat	Syag
OG0000001	Syat.g_02910, Syat.g_02911	Syag.g_00575, Syag.g_01942
OG0000001	Syat.g_02908, Syat.g_02909	Syag.g_01943
OG0000001	Syat.g_01540	Syag.g_00520
OG0000005	Syat.g_03065	Syag.g_01708
OG0000005	Syat.g_03105	Syag.g_01667
OG0000006	Syat.g_01439, Syat.g_01865	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000006	Syat.g_00371	Syag.g_00435
OG0000007	Syat.g_03191	Syag.g_01507
OG0000007	Syat.g_03124	Syag.g_01687
OG0000008	Syat.g_02626	Syag.g_00496
OG0000008	Syat.g_02627	Syag.g_01017
OG0000009	Syat.g_01567	Syag.g_01883
OG0000010	Syat.g_01372	Syag.g_01355
OG0000013	Syat.g_01027	Syag.g_02806
OG0000014	Syat.g_02104	Syag.g_02559
OG0000014	Syat.g_02250	Syag.g_02487
OG0000016	Syat.g_02329	Syag.g_02286
OG0000016	Syat.g_00909	Syag.g_01066
OG0000017	Syat.g_00015	Syag.g_00336
OG0000018	Syat.g_01334	Syag.g_01387
OG0000019	Syat.g_01876	Syag.g_02663
OG0000022	Syat.g_00210	Syag.g_00458
OG0000024	Syat.g_03394	Syag.g_00455
OG0000025	Syat.g_00719	Syag.g_00718
OG0000026	Syat.g_02306	Syag.g_02309
OG0000027	Syat.g_00850	Syag.g_00950, Syag.g_00165
OG0000028	Syat.g_02126	Syag.g_02540
OG0000030	Syat.g_00307	Syag.g_02375
OG0000030	Syat.g_00308	Syag.g_02374
OG0000031	Syat.g_02131	Syag.g_02510
OG0000032	Syat.g_01354	Syag.g_01366
OG0000032	Syat.g_02237	Syag.g_02480
OG0000033	Syat.g_02858	Syag.g_02481, Syag.g_01978
OG0000034	Syat.g_01165, Syat.g_02902	Syag.g_01225, Syag.g_01947
OG0000035	Syat.g_01227, Syat.g_01226	Syag.g_01420
OG0000038	Syat.g_02688	Syag.g_02130
OG0000038	Syat.g_02686	Syag.g_02132
OG0000039	Syat.g_01278	Syag.g_01325, Syag.g_02155
OG0000040	Syat.g_02551	Syag.g_02215
OG0000042	Syat.g_00223, Syat.g_02222	Syag.g_01094, Syag.g_02378
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syag.g_00945
OG0000045	Syat.g_00935	Syag.g_00225, Syag.g_00223
OG0000048	Syat.g_02046	Syag.g_02611
OG0000053	Syat.g_01330	Syag.g_01391
OG0000055	Syat.g_00693	Syag.g_01799
OG0000057	Syat.g_00817	Syag.g_00985
OG0000058	Syat.g_01189	Syag.g_02477
OG0000059	Syat.g_01832	Syag.g_02721
OG0000060	Syat.g_01384	Syag.g_01530
OG0000060	Syat.g_01047	Syag.g_01095
OG0000061	Syat.g_03260	Syag.g_01141
OG0000062	Syat.g_03107	Syag.g_01669
OG0000063	Syat.g_02303	Syag.g_02313
OG0000064	Syat.g_01568	Syag.g_00487
OG0000065	Syat.g_01571	Syag.g_00182, Syag.g_01885
OG0000066	Syat.g_03283	Syag.g_01443
OG0000067	Syat.g_00479	Syag.g_00667
OG0000068	Syat.g_00085, Syat.g_01295	Syag.g_01537
