Orthogroup	Syat	Praq
OG0000001	Syat.g_02910, Syat.g_02911	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000005	Syat.g_03065	Praq.g_00484
OG0000005	Syat.g_03105	Praq.g_00370
OG0000006	Syat.g_01439, Syat.g_01865	Praq.g_01761
OG0000007	Syat.g_03191	Praq.g_01105
OG0000007	Syat.g_03124	Praq.g_00497
OG0000008	Syat.g_02626	Praq.g_00071
OG0000009	Syat.g_01567	Praq.g_01898
OG0000010	Syat.g_01372	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Praq.g_01675
OG0000014	Syat.g_02104	Praq.g_01696
OG0000017	Syat.g_00015	Praq.g_01004
OG0000018	Syat.g_01334	Praq.g_01314, Praq.g_01425
OG0000019	Syat.g_01876	Praq.g_01753, Praq.g_00649
OG0000021	Syat.g_00964	Praq.g_01179
OG0000022	Syat.g_00210	Praq.g_00635, Praq.g_01296
OG0000024	Syat.g_03394	Praq.g_00618, Praq.g_00804
OG0000025	Syat.g_00719	Praq.g_01432, Praq.g_01671
OG0000026	Syat.g_02306	Praq.g_01234, Praq.g_01633
OG0000027	Syat.g_00850	Praq.g_00521
OG0000028	Syat.g_02126	Praq.g_01682, Praq.g_00103
OG0000030	Syat.g_00307, Syat.g_00308	Praq.g_00772
OG0000031	Syat.g_03199, Syat.g_02243	Praq.g_00209
OG0000032	Syat.g_02237	Praq.g_00202
OG0000033	Syat.g_02858	Praq.g_01833
OG0000034	Syat.g_01165, Syat.g_02902	Praq.g_00143
OG0000035	Syat.g_01227, Syat.g_01226	Praq.g_00294
OG0000037	Syat.g_00849, Syat.g_00187	Praq.g_01894
OG0000038	Syat.g_02688, Syat.g_02686	Praq.g_00716
OG0000039	Syat.g_01278	Praq.g_00815
OG0000042	Syat.g_00223, Syat.g_02222	Praq.g_00770
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Praq.g_00058
OG0000045	Syat.g_00935	Praq.g_00567, Praq.g_01172
OG0000048	Syat.g_02046	Praq.g_01169
OG0000053	Syat.g_01330	Praq.g_01246, Praq.g_00314
OG0000057	Syat.g_00817	Praq.g_00827
OG0000058	Syat.g_01189	Praq.g_00271
OG0000061	Syat.g_03260	Praq.g_01333
OG0000063	Syat.g_02303	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syat.g_01571	Praq.g_01896
OG0000066	Syat.g_03283	Praq.g_01063
OG0000067	Syat.g_00479	Praq.g_00670
OG0000068	Syat.g_00085, Syat.g_01295	Praq.g_00175
OG0000070	Syat.g_01032, Syat.g_01040	Praq.g_01107
OG0000072	Syat.g_02856, Syat.g_01597	Praq.g_01831
OG0000073	Syat.g_03201	Praq.g_01103
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Praq.g_00739
OG0000076	Syat.g_02206	Praq.g_01243, Praq.g_00763
OG0000078	Syat.g_00184	Praq.g_01763
OG0000081	Syat.g_00980	Praq.g_01071
OG0000082	Syat.g_00035	Praq.g_01018
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Praq.g_01915
OG0000087	Syat.g_02912	Praq.g_01864
OG0000088	Syat.g_02862	Praq.g_01836
OG0000089	Syat.g_02953	Praq.g_01188
OG0000090	Syat.g_03270	Praq.g_01069
OG0000091	Syat.g_00939, Syat.g_00862	Praq.g_00960
OG0000092	Syat.g_00825	Praq.g_01495, Praq.g_00725
OG0000094	Syat.g_00698, Syat.g_01034	Praq.g_01600
OG0000097	Syat.g_00907, Syat.g_00535	Praq.g_01374
OG0000098	Syat.g_03281	Praq.g_00157
OG0000099	Syat.g_02130	Praq.g_00216
OG0000100	Syat.g_00517	Praq.g_00368
OG0000101	Syat.g_01661	Praq.g_00879
OG0000102	Syat.g_00974	Praq.g_00768
OG0000103	Syat.g_02399	Praq.g_00414
OG0000104	Syat.g_02385	Praq.g_00422
OG0000105	Syat.g_02052	Praq.g_01729
OG0000106	Syat.g_00957	Praq.g_01173
OG0000107	Syat.g_01862	Praq.g_01158
OG0000108	Syat.g_03170	Praq.g_00531
OG0000109	Syat.g_03187	Praq.g_00545
OG0000110	Syat.g_00049	Praq.g_01028
OG0000111	Syat.g_00816	Praq.g_00828
OG0000112	Syat.g_00593	Praq.g_00638
OG0000113	Syat.g_00509	Praq.g_01420
OG0000114	Syat.g_00426	Praq.g_01490
OG0000115	Syat.g_01328	Praq.g_01278
OG0000116	Syat.g_02641	Praq.g_01323
OG0000117	Syat.g_00224	Praq.g_00084
OG0000118	Syat.g_01168	Praq.g_00145
OG0000119	Syat.g_00309	Praq.g_00171
OG0000120	Syat.g_02132	Praq.g_00208
OG0000121	Syat.g_01223	Praq.g_00296
OG0000123	Syat.g_01653	Praq.g_00873
