Orthogroup	Syat	Prbm
OG0000001	Syat.g_02910, Syat.g_02911	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000005	Syat.g_03105	Prbm.g_01790
OG0000006	Syat.g_01439, Syat.g_01865	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syat.g_03191	Prbm.g_00522
OG0000007	Syat.g_03124	Prbm.g_01841
OG0000008	Syat.g_02626	Prbm.g_01907
OG0000008	Syat.g_02627	Prbm.g_01908
OG0000010	Syat.g_01372	Prbm.g_01066, Prbm.g_00499
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbm.g_00382
OG0000014	Syat.g_02104	Prbm.g_00362
OG0000014	Syat.g_02250	Prbm.g_02126
OG0000016	Syat.g_02329	Prbm.g_00013
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbm.g_01944
OG0000017	Syat.g_00015	Prbm.g_00635
OG0000018	Syat.g_01334	Prbm.g_01571, Prbm.g_00843
OG0000019	Syat.g_01876	Prbm.g_00792
OG0000021	Syat.g_00964	Prbm.g_01939
OG0000022	Syat.g_00210	Prbm.g_01204, Prbm.g_01324
OG0000024	Syat.g_03394	Prbm.g_01151, Prbm.g_00709
OG0000025	Syat.g_00719	Prbm.g_00849
OG0000026	Syat.g_02306	Prbm.g_00031
OG0000028	Syat.g_02126	Prbm.g_01656
OG0000030	Syat.g_00307, Syat.g_00308	Prbm.g_02105
OG0000031	Syat.g_03199, Syat.g_02243	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syat.g_01354	Prbm.g_01747
OG0000033	Syat.g_02858	Prbm.g_00228
OG0000034	Syat.g_01165, Syat.g_02902	Prbm.g_01620
OG0000035	Syat.g_01227, Syat.g_01226	Prbm.g_01710
OG0000037	Syat.g_00849, Syat.g_00187	Prbm.g_00166
OG0000038	Syat.g_02688, Syat.g_02686	Prbm.g_02174
OG0000039	Syat.g_01278	Prbm.g_00723
OG0000042	Syat.g_00223, Syat.g_02222	Prbm.g_02102
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prbm.g_00478, Prbm.g_01281
OG0000045	Syat.g_00935	Prbm.g_01088
OG0000046	Syat.g_01626, Syat.g_01026	Prbm.g_00383
OG0000048	Syat.g_02046	Prbm.g_00329
OG0000052	Syat.g_02140	Prbm.g_00114
OG0000053	Syat.g_01330	Prbm.g_01729
OG0000055	Syat.g_00693	Prbm.g_01921
OG0000057	Syat.g_00817	Prbm.g_00735
OG0000058	Syat.g_01189	Prbm.g_00881
OG0000060	Syat.g_01047	Prbm.g_01422
OG0000061	Syat.g_03260	Prbm.g_01549
OG0000063	Syat.g_02303	Prbm.g_01947
OG0000065	Syat.g_01571	Prbm.g_00164
OG0000066	Syat.g_03283	Prbm.g_00572
OG0000067	Syat.g_00479	Prbm.g_00814
OG0000068	Syat.g_00085, Syat.g_01295	Prbm.g_01660
OG0000070	Syat.g_01032, Syat.g_01040	Prbm.g_00460
OG0000072	Syat.g_02856, Syat.g_01597	Prbm.g_00230
OG0000073	Syat.g_03201	Prbm.g_00533
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbm.g_02069
OG0000076	Syat.g_02206	Prbm.g_02094
OG0000077	Syat.g_01481	Prbm.g_00135
OG0000078	Syat.g_00184	Prbm.g_00300
OG0000079	Syat.g_01879	Prbm.g_00311
OG0000081	Syat.g_00980	Prbm.g_00564
OG0000082	Syat.g_00035	Prbm.g_01900
OG0000085	Syat.g_03113	Prbm.g_01834
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbm.g_00145
OG0000087	Syat.g_02912	Prbm.g_00198
OG0000088	Syat.g_02862	Prbm.g_00225
OG0000089	Syat.g_02953	Prbm.g_00423
OG0000090	Syat.g_03270	Prbm.g_00566
OG0000091	Syat.g_00939, Syat.g_00862	Prbm.g_00673
OG0000092	Syat.g_00825	Prbm.g_00934
OG0000094	Syat.g_01034	Prbm.g_00888
OG0000097	Syat.g_00907, Syat.g_00535	Prbm.g_01502
OG0000098	Syat.g_03281	Prbm.g_01630
OG0000099	Syat.g_02130	Prbm.g_00394
OG0000100	Syat.g_00517	Prbm.g_01787
OG0000101	Syat.g_01661	Prbm.g_02033
OG0000102	Syat.g_00974	Prbm.g_02099
OG0000103	Syat.g_02399	Prbm.g_02218
OG0000104	Syat.g_02385	Prbm.g_02229
OG0000105	Syat.g_02052	Prbm.g_00331
OG0000106	Syat.g_00957	Prbm.g_01172, Prbm.g_01237
OG0000107	Syat.g_01862	Prbm.g_01949
OG0000108	Syat.g_03170	Prbm.g_00506
OG0000109	Syat.g_03187	Prbm.g_00519
OG0000110	Syat.g_00049	Prbm.g_00607
OG0000111	Syat.g_00816	Prbm.g_00736
OG0000112	Syat.g_00593	Prbm.g_00980
OG0000113	Syat.g_00509	Prbm.g_00838, Prbm.g_01191
OG0000114	Syat.g_00426	Prbm.g_00929
OG0000115	Syat.g_01328	Prbm.g_01803
OG0000116	Syat.g_02641	Prbm.g_01560
OG0000117	Syat.g_00224	Prbm.g_01522
OG0000118	Syat.g_01168	Prbm.g_01622
OG0000119	Syat.g_00309	Prbm.g_01653
OG0000120	Syat.g_02132	Prbm.g_00707
OG0000121	Syat.g_01223	Prbm.g_01712
OG0000123	Syat.g_01653	Prbm.g_02040
OG0000124	Syat.g_02231	Prbm.g_02111
OG0000125	Syat.g_02684	Prbm.g_02176
OG0000126	Syat.g_00976	Prbm.g_02228
OG0000128	Syat.g_02331	Prbm.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Prbm.g_00053
OG0000130	Syat.g_01469	Prbm.g_00126
OG0000131	Syat.g_02898	Prbm.g_00204
OG0000132	Syat.g_02864	Prbm.g_00223
OG0000133	Syat.g_00588	Prbm.g_00377
OG0000134	Syat.g_02956	Prbm.g_00425
OG0000135	Syat.g_02501	Prbm.g_01389
OG0000136	Syat.g_01292	Prbm.g_00451
OG0000137	Syat.g_01371	Prbm.g_00500
OG0000138	Syat.g_03188	Prbm.g_00520
OG0000140	Syat.g_03280	Prbm.g_00571
OG0000141	Syat.g_03398	Prbm.g_00638
OG0000142	Syat.g_00117	Prbm.g_00666
OG0000143	Syat.g_00130	Prbm.g_00670
OG0000144	Syat.g_00369	Prbm.g_00683
OG0000145	Syat.g_03202	Prbm.g_01094
OG0000146	Syat.g_00594	Prbm.g_00979
OG0000147	Syat.g_00595	Prbm.g_00978
OG0000148	Syat.g_00503	Prbm.g_00832
OG0000149	Syat.g_00747	Prbm.g_00862
OG0000150	Syat.g_03399	Prbm.g_00870
OG0000151	Syat.g_00801, Syat.g_00440	Prbm.g_00940
OG0000152	Syat.g_00578	Prbm.g_00988
OG0000153	Syat.g_00542	Prbm.g_01006
OG0000154	Syat.g_00708	Prbm.g_01035
OG0000155	Syat.g_00287	Prbm.g_01527
OG0000156	Syat.g_03228	Prbm.g_01600
OG0000157	Syat.g_02012, Syat.g_03227	Prbm.g_01601
OG0000158	Syat.g_02163	Prbm.g_02077
OG0000159	Syat.g_01187	Prbm.g_02133, Prbm.g_02115
OG0000160	Syat.g_01224	Prbm.g_01711
OG0000161	Syat.g_01180	Prbm.g_01717
OG0000162	Syat.g_01281	Prbm.g_01723
OG0000163	Syat.g_02979	Prbm.g_01759
OG0000164	Syat.g_03040	Prbm.g_01863
OG0000165	Syat.g_03033	Prbm.g_01871
OG0000166	Syat.g_01822	Prbm.g_01996
OG0000167	Syat.g_02148	Prbm.g_02067
OG0000168	Syat.g_02164	Prbm.g_02078
OG0000169	Syat.g_02192	Prbm.g_02088
OG0000170	Syat.g_02201	Prbm.g_02090
OG0000171	Syat.g_02230	Prbm.g_02110
OG0000172	Syat.g_02260	Prbm.g_02146
OG0000173	Syat.g_02284	Prbm.g_02161
OG0000174	Syat.g_02504	Prbm.g_02192
OG0000175	Syat.g_02416	Prbm.g_02209
OG0000176	Syat.g_02372	Prbm.g_00004
OG0000177	Syat.g_02338	Prbm.g_00005
OG0000178	Syat.g_02337	Prbm.g_00006
OG0000179	Syat.g_02322	Prbm.g_00016
OG0000180	Syat.g_02321	Prbm.g_00017
OG0000181	Syat.g_02320	Prbm.g_00018
OG0000182	Syat.g_02319	Prbm.g_00019
OG0000183	Syat.g_02315	Prbm.g_00023
OG0000184	Syat.g_02704	Prbm.g_00055
OG0000185	Syat.g_02719	Prbm.g_00058
OG0000186	Syat.g_01463	Prbm.g_00121
OG0000187	Syat.g_01467	Prbm.g_00122
OG0000188	Syat.g_01489	Prbm.g_00139
OG0000189	Syat.g_01557	Prbm.g_00153
OG0000190	Syat.g_00330	Prbm.g_00154
OG0000191	Syat.g_03344, Syat.g_02939	Prbm.g_00177
OG0000192	Syat.g_02933	Prbm.g_00181
OG0000193	Syat.g_02897	Prbm.g_00205
OG0000194	Syat.g_02894	Prbm.g_00208
OG0000195	Syat.g_02892	Prbm.g_00210
OG0000196	Syat.g_02867	Prbm.g_00220
OG0000197	Syat.g_02866	Prbm.g_00221
OG0000198	Syat.g_02865	Prbm.g_00222
OG0000199	Syat.g_02857	Prbm.g_00229
OG0000200	Syat.g_02840	Prbm.g_00243
OG0000201	Syat.g_02821	Prbm.g_00252
OG0000202	Syat.g_02820	Prbm.g_00253
OG0000203	Syat.g_02819	Prbm.g_00254
OG0000204	Syat.g_02818	Prbm.g_00255
OG0000205	Syat.g_02809	Prbm.g_00262
OG0000206	Syat.g_02785	Prbm.g_00266
OG0000207	Syat.g_02778	Prbm.g_00268
OG0000208	Syat.g_02777	Prbm.g_00269
OG0000209	Syat.g_02735	Prbm.g_00278
OG0000210	Syat.g_02734	Prbm.g_00279
OG0000211	Syat.g_01452	Prbm.g_00293
OG0000212	Syat.g_01442	Prbm.g_00301
OG0000213	Syat.g_01889	Prbm.g_00317
OG0000214	Syat.g_02042	Prbm.g_00325
OG0000215	Syat.g_02075	Prbm.g_00349
OG0000216	Syat.g_02079	Prbm.g_00350
OG0000217	Syat.g_02085	Prbm.g_00353
OG0000218	Syat.g_02087	Prbm.g_00355
OG0000219	Syat.g_02088	Prbm.g_00356
OG0000220	Syat.g_02089	Prbm.g_00357
OG0000221	Syat.g_02095	Prbm.g_00358
OG0000222	Syat.g_02109	Prbm.g_00366
OG0000223	Syat.g_02570	Prbm.g_00378
OG0000224	Syat.g_02139	Prbm.g_00380
OG0000225	Syat.g_01595	Prbm.g_00411
OG0000226	Syat.g_01588	Prbm.g_00415
OG0000228	Syat.g_02952	Prbm.g_00422
OG0000229	Syat.g_02970	Prbm.g_00446
OG0000230	Syat.g_02972	Prbm.g_00448
OG0000231	Syat.g_01283	Prbm.g_00459
OG0000232	Syat.g_01313	Prbm.g_00484
OG0000233	Syat.g_01407	Prbm.g_00492
OG0000234	Syat.g_01369	Prbm.g_00501
OG0000235	Syat.g_03169	Prbm.g_00505
OG0000236	Syat.g_03186	Prbm.g_00518
OG0000237	Syat.g_03214	Prbm.g_00540
OG0000238	Syat.g_03219	Prbm.g_00546
OG0000239	Syat.g_01105	Prbm.g_00558
OG0000240	Syat.g_01104	Prbm.g_00559
OG0000241	Syat.g_00111	Prbm.g_00563
OG0000242	Syat.g_01077	Prbm.g_00565
OG0000243	Syat.g_00092	Prbm.g_00576
