Orthogroup	Syat	Syan
OG0000001	Syat.g_02908, Syat.g_02909	Syan.g_02266
OG0000001	Syat.g_01540	Syan.g_01149
OG0000001	Syat.g_00878	Syan.g_02528
OG0000005	Syat.g_03065	Syan.g_01423
OG0000005	Syat.g_03105	Syan.g_01378
OG0000005	Syat.g_01038	Syan.g_00449
OG0000006	Syat.g_01439, Syat.g_01865	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000006	Syat.g_00371	Syan.g_00791
OG0000007	Syat.g_03191	Syan.g_02743
OG0000007	Syat.g_03124	Syan.g_01400
OG0000008	Syat.g_02626	Syan.g_00640, Syan.g_02532
OG0000008	Syat.g_02627	Syan.g_00641, Syan.g_02531
OG0000009	Syat.g_01567	Syan.g_02972
OG0000010	Syat.g_01372	Syan.g_02847
OG0000012	Syat.g_03313	Syan.g_00008
OG0000012	Syat.g_02642	Syan.g_00942
OG0000013	Syat.g_01625	Syan.g_02156, Syan.g_02159
OG0000013	Syat.g_01016	Syan.g_00101
OG0000014	Syat.g_02104	Syan.g_01987
OG0000015	Syat.g_00775, Syat.g_01677	Syan.g_00248
OG0000016	Syat.g_02329	Syan.g_01766
OG0000016	Syat.g_00909	Syan.g_02598
OG0000016	Syat.g_00222, Syat.g_00832	Syan.g_00440
OG0000017	Syat.g_00015	Syan.g_01006
OG0000018	Syat.g_01334	Syan.g_02816
OG0000019	Syat.g_01876	Syan.g_02088
OG0000021	Syat.g_00964	Syan.g_01001
OG0000022	Syat.g_00210	Syan.g_00089
OG0000025	Syat.g_00719	Syan.g_00374
OG0000026	Syat.g_02306	Syan.g_01743
OG0000027	Syat.g_00850	Syan.g_02678
OG0000028	Syat.g_02126	Syan.g_01971
OG0000030	Syat.g_00307	Syan.g_01884
OG0000030	Syat.g_00308	Syan.g_01883
OG0000031	Syat.g_02131	Syan.g_01967
OG0000032	Syat.g_01354	Syan.g_02835
OG0000032	Syat.g_02237	Syan.g_01819
OG0000033	Syat.g_02858	Syan.g_03036
OG0000034	Syat.g_01165, Syat.g_02902	Syan.g_01227, Syan.g_03003
OG0000035	Syat.g_01226	Syan.g_01276
OG0000037	Syat.g_00849, Syat.g_00187	Syan.g_02978, Syan.g_00917
OG0000038	Syat.g_02688	Syan.g_01569
OG0000038	Syat.g_02686	Syan.g_01571
OG0000039	Syat.g_01278	Syan.g_02771, Syan.g_00535
OG0000040	Syat.g_02551	Syan.g_01651
OG0000041	Syat.g_00785	Syan.g_00302
OG0000042	Syat.g_00223	Syan.g_00991, Syan.g_02643
OG0000042	Syat.g_02222	Syan.g_01888
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syan.g_01065, Syan.g_00431, Syan.g_00435
OG0000045	Syat.g_00935	Syan.g_00086, Syan.g_00151
OG0000046	Syat.g_01626, Syat.g_01026	Syan.g_02157, Syan.g_02160
OG0000048	Syat.g_02046	Syan.g_02036
OG0000052	Syat.g_02140	Syan.g_01954, Syan.g_01953
OG0000053	Syat.g_01330	Syan.g_02812
OG0000054	Syat.g_00987	Syan.g_00231
OG0000054	Syat.g_03390	Syan.g_00506
OG0000055	Syat.g_00693	Syan.g_00312
OG0000057	Syat.g_02055	Syan.g_00643, Syan.g_02514
OG0000058	Syat.g_01189	Syan.g_01128, Syan.g_01124
OG0000058	Syat.g_02133, Syat.g_02238	Syan.g_01964
OG0000059	Syat.g_01832	Syan.g_02255
OG0000060	Syat.g_01384, Syat.g_01383	Syan.g_02856
OG0000060	Syat.g_01047	Syan.g_00277
OG0000061	Syat.g_03260	Syan.g_02696
OG0000062	Syat.g_03107	Syan.g_01380
OG0000063	Syat.g_02303	Syan.g_01739
OG0000064	Syat.g_01568	Syan.g_02518
OG0000065	Syat.g_01571	Syan.g_02974
OG0000066	Syat.g_03283	Syan.g_01156
OG0000067	Syat.g_00479	Syan.g_00690
OG0000068	Syat.g_00085	Syan.g_00845
OG0000068	Syat.g_01295	Syan.g_00257
OG0000069	Syat.g_00879	Syan.g_00459
OG0000070	Syat.g_01032, Syat.g_01040	Syan.g_00289
OG0000071	Syat.g_01153	Syan.g_01213
OG0000072	Syat.g_02856	Syan.g_03038
OG0000072	Syat.g_01597	Syan.g_02999
OG0000073	Syat.g_03201	Syan.g_02741
OG0000075	Syat.g_02497	Syan.g_00981
OG0000076	Syat.g_02206	Syan.g_01896
OG0000077	Syat.g_01481	Syan.g_02919
OG0000079	Syat.g_01879	Syan.g_02085
OG0000080	Syat.g_01200	Syan.g_01083, Syan.g_01962
OG0000080	Syat.g_02420	Syan.g_01110
OG0000082	Syat.g_00035	Syan.g_00952
