Orthogroup	Syat	Prbi
OG0000001	Syat.g_02910, Syat.g_02911	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000005	Syat.g_03065	Prbi.g_01800
OG0000005	Syat.g_03105	Prbi.g_01666
OG0000006	Syat.g_01439, Syat.g_01865	Prbi.g_00265
OG0000007	Syat.g_03191	Prbi.g_00500
OG0000007	Syat.g_03124	Prbi.g_01787
OG0000008	Syat.g_02626	Prbi.g_01764
OG0000008	Syat.g_02627	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syat.g_01567	Prbi.g_00112
OG0000010	Syat.g_01372	Prbi.g_01094, Prbi.g_00477
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbi.g_00351
OG0000014	Syat.g_02104	Prbi.g_00330
OG0000014	Syat.g_02250	Prbi.g_01475
OG0000016	Syat.g_02329	Prbi.g_00013
OG0000017	Syat.g_00015	Prbi.g_00600
OG0000018	Syat.g_01334	Prbi.g_01188, Prbi.g_00874
OG0000019	Syat.g_01876	Prbi.g_00273, Prbi.g_00827
OG0000021	Syat.g_00964	Prbi.g_01742, Prbi.g_00389
OG0000022	Syat.g_00210	Prbi.g_00805, Prbi.g_01170
OG0000024	Syat.g_03394	Prbi.g_00788, Prbi.g_00678
OG0000025	Syat.g_00719	Prbi.g_00882, Prbi.g_00355
OG0000026	Syat.g_02306	Prbi.g_00031, Prbi.g_01101
OG0000027	Syat.g_00850	Prbi.g_00472, Prbi.g_01374
OG0000028	Syat.g_02126	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000030	Syat.g_00307, Syat.g_00308	Prbi.g_02004
OG0000031	Syat.g_03199, Syat.g_02243	Prbi.g_01467
OG0000032	Syat.g_02237	Prbi.g_01497
OG0000033	Syat.g_02858	Prbi.g_00193
OG0000034	Syat.g_01165, Syat.g_02902	Prbi.g_01401
OG0000035	Syat.g_01227, Syat.g_01226	Prbi.g_01589, Prbi.g_01591
OG0000037	Syat.g_00849, Syat.g_00187	Prbi.g_00116
OG0000038	Syat.g_02688, Syat.g_02686	Prbi.g_02057
OG0000039	Syat.g_01278	Prbi.g_00689
OG0000042	Syat.g_00223, Syat.g_02222	Prbi.g_02001
