Orthogroup	Syat	Praj
OG0000001	Syat.g_02910, Syat.g_02911	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000005	Syat.g_03065	Praj.g_01349
OG0000005	Syat.g_03105	Praj.g_01712
OG0000006	Syat.g_01439, Syat.g_01865	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syat.g_03191	Praj.g_00489
OG0000007	Syat.g_03124	Praj.g_01768
OG0000008	Syat.g_02626	Praj.g_01829
OG0000008	Syat.g_02627	Praj.g_01830
OG0000010	Syat.g_01372	Praj.g_01026, Praj.g_00466
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Praj.g_00362
OG0000014	Syat.g_02104	Praj.g_00341
OG0000014	Syat.g_02250	Praj.g_01609
OG0000016	Syat.g_02329	Praj.g_00013
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Praj.g_01865
OG0000017	Syat.g_00015	Praj.g_00592
OG0000018	Syat.g_01334	Praj.g_01482, Praj.g_00798
OG0000019	Syat.g_01876	Praj.g_00747
OG0000021	Syat.g_00964	Praj.g_01859
OG0000022	Syat.g_00210	Praj.g_01189, Praj.g_01216
OG0000024	Syat.g_03394	Praj.g_01134, Praj.g_00666
OG0000025	Syat.g_00719	Praj.g_00805
OG0000026	Syat.g_02306	Praj.g_00031
OG0000027	Syat.g_00850	Praj.g_01331
OG0000028	Syat.g_02126	Praj.g_01571
OG0000030	Syat.g_00307, Syat.g_00308	Praj.g_02024
OG0000031	Syat.g_03199, Syat.g_02243	Praj.g_00371
OG0000032	Syat.g_01354	Praj.g_01669
OG0000033	Syat.g_02858	Praj.g_00209
OG0000034	Syat.g_01165, Syat.g_02902	Praj.g_01538
OG0000035	Syat.g_01227, Syat.g_01226	Praj.g_01632
OG0000037	Syat.g_00849, Syat.g_00187	Praj.g_00147
OG0000038	Syat.g_02688, Syat.g_02686	Praj.g_02089
OG0000039	Syat.g_01278	Praj.g_00679
OG0000042	Syat.g_00223, Syat.g_02222	Praj.g_02020
OG0000045	Syat.g_00935	Praj.g_01303, Praj.g_01049
OG0000046	Syat.g_01626, Syat.g_01026	Praj.g_00363
OG0000048	Syat.g_02046	Praj.g_00308
OG0000052	Syat.g_02140	Praj.g_00095
OG0000053	Syat.g_01330	Praj.g_01651
OG0000055	Syat.g_00693	Praj.g_01842
OG0000057	Syat.g_00817	Praj.g_00691, Praj.g_01313
OG0000058	Syat.g_01189	Praj.g_00839
OG0000060	Syat.g_01047	Praj.g_01108
OG0000061	Syat.g_03260	Praj.g_01461
OG0000063	Syat.g_02303	Praj.g_01867
OG0000065	Syat.g_01571	Praj.g_00145
OG0000066	Syat.g_03283	Praj.g_00530
OG0000067	Syat.g_00479	Praj.g_00769
OG0000068	Syat.g_00085, Syat.g_01295	Praj.g_01575
OG0000070	Syat.g_01032, Syat.g_01040	Praj.g_00444
OG0000072	Syat.g_02856, Syat.g_01597	Praj.g_00211
OG0000073	Syat.g_03201	Praj.g_00491
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Praj.g_01987
OG0000076	Syat.g_02206	Praj.g_02012
OG0000077	Syat.g_01481	Praj.g_00116
OG0000078	Syat.g_00184	Praj.g_00280
OG0000079	Syat.g_01879	Praj.g_00291
OG0000081	Syat.g_00980	Praj.g_00522
OG0000082	Syat.g_00035	Praj.g_01827
OG0000085	Syat.g_03113	Praj.g_01762
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Praj.g_00126
OG0000087	Syat.g_02912	Praj.g_00179
OG0000088	Syat.g_02862	Praj.g_00206
OG0000089	Syat.g_02953	Praj.g_00403
OG0000090	Syat.g_03270	Praj.g_00524
OG0000091	Syat.g_00939, Syat.g_00862	Praj.g_00630
OG0000092	Syat.g_00825	Praj.g_00892
OG0000094	Syat.g_01034	Praj.g_00846
OG0000097	Syat.g_00907, Syat.g_00535	Praj.g_01416
OG0000098	Syat.g_03281	Praj.g_01546
OG0000099	Syat.g_02130	Praj.g_00372
OG0000100	Syat.g_00517	Praj.g_01709
OG0000101	Syat.g_01661	Praj.g_01952
OG0000102	Syat.g_00974	Praj.g_02017
OG0000103	Syat.g_02399	Praj.g_02135
OG0000104	Syat.g_02385	Praj.g_02145
OG0000105	Syat.g_02052	Praj.g_00310
OG0000106	Syat.g_00957	Praj.g_01156, Praj.g_01282
OG0000107	Syat.g_01862	Praj.g_01869
OG0000108	Syat.g_03170	Praj.g_00473
OG0000109	Syat.g_03187	Praj.g_00486
OG0000110	Syat.g_00049	Praj.g_00565
OG0000111	Syat.g_00816	Praj.g_00692
OG0000112	Syat.g_00593	Praj.g_00938
OG0000113	Syat.g_00509	Praj.g_00793, Praj.g_01176
OG0000114	Syat.g_00426	Praj.g_00887
OG0000115	Syat.g_01328	Praj.g_01725
OG0000116	Syat.g_02641	Praj.g_01471
OG0000117	Syat.g_00224	Praj.g_01355
OG0000118	Syat.g_01168	Praj.g_01540
OG0000119	Syat.g_00309	Praj.g_01568
OG0000120	Syat.g_02132	Praj.g_00664
OG0000121	Syat.g_01223	Praj.g_01634
OG0000123	Syat.g_01653	Praj.g_01959
OG0000124	Syat.g_02231	Praj.g_02031
OG0000125	Syat.g_02684	Praj.g_02091
OG0000126	Syat.g_00976	Praj.g_02144
OG0000128	Syat.g_02331	Praj.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Praj.g_00048
OG0000130	Syat.g_01469	Praj.g_00107
OG0000131	Syat.g_02898	Praj.g_00185
OG0000132	Syat.g_02864	Praj.g_00204
OG0000133	Syat.g_00588	Praj.g_00357
OG0000134	Syat.g_02956	Praj.g_00405
OG0000135	Syat.g_02501	Praj.g_01279
OG0000136	Syat.g_01292	Praj.g_00435
OG0000137	Syat.g_01371	Praj.g_00467
OG0000138	Syat.g_03188	Praj.g_00487
OG0000140	Syat.g_03280	Praj.g_00529
OG0000141	Syat.g_03398	Praj.g_00595
OG0000142	Syat.g_00117	Praj.g_00623
OG0000143	Syat.g_00130	Praj.g_00627
OG0000144	Syat.g_00369	Praj.g_00640
OG0000145	Syat.g_03202	Praj.g_01054
OG0000146	Syat.g_00594	Praj.g_00937
OG0000147	Syat.g_00595	Praj.g_00936
OG0000148	Syat.g_00503	Praj.g_00787
OG0000149	Syat.g_00747	Praj.g_00819
OG0000150	Syat.g_03399	Praj.g_00828
OG0000151	Syat.g_00801, Syat.g_00440	Praj.g_00898
OG0000152	Syat.g_00578	Praj.g_01601, Praj.g_00946
OG0000153	Syat.g_00542	Praj.g_00965
OG0000154	Syat.g_00708	Praj.g_00995
OG0000155	Syat.g_00287	Praj.g_01440
OG0000156	Syat.g_03228	Praj.g_01517
OG0000157	Syat.g_02012, Syat.g_03227	Praj.g_01518
OG0000158	Syat.g_02163	Praj.g_01995
OG0000159	Syat.g_01187	Praj.g_02043, Praj.g_02035
OG0000160	Syat.g_01224	Praj.g_01633
OG0000161	Syat.g_01180	Praj.g_01639
OG0000162	Syat.g_01281	Praj.g_01645
OG0000163	Syat.g_02979	Praj.g_01681
OG0000164	Syat.g_03040	Praj.g_01790
OG0000165	Syat.g_03033	Praj.g_01798
OG0000166	Syat.g_01822	Praj.g_01915
OG0000167	Syat.g_02148	Praj.g_01985
OG0000168	Syat.g_02164	Praj.g_01996
OG0000169	Syat.g_02192	Praj.g_02006
OG0000170	Syat.g_02201	Praj.g_02008
OG0000171	Syat.g_02230	Praj.g_02030
OG0000172	Syat.g_02260	Praj.g_02061
OG0000173	Syat.g_02284	Praj.g_02076
OG0000174	Syat.g_02504	Praj.g_02107
OG0000175	Syat.g_02416	Praj.g_02125
OG0000176	Syat.g_02372	Praj.g_00004
OG0000177	Syat.g_02338	Praj.g_00005
OG0000178	Syat.g_02337	Praj.g_00006
OG0000179	Syat.g_02322	Praj.g_00016
OG0000180	Syat.g_02321	Praj.g_00017
OG0000181	Syat.g_02320	Praj.g_00018
OG0000182	Syat.g_02319	Praj.g_00019
OG0000183	Syat.g_02315	Praj.g_00023
OG0000184	Syat.g_02704	Praj.g_00050
OG0000185	Syat.g_02719	Praj.g_00053
OG0000186	Syat.g_01463	Praj.g_00102
OG0000187	Syat.g_01467	Praj.g_00103
OG0000188	Syat.g_01489	Praj.g_00120
OG0000189	Syat.g_01557	Praj.g_00134
OG0000190	Syat.g_00330	Praj.g_00135
OG0000191	Syat.g_03344, Syat.g_02939	Praj.g_00158
OG0000192	Syat.g_02933	Praj.g_00162
OG0000193	Syat.g_02897	Praj.g_00186
OG0000194	Syat.g_02894	Praj.g_00189
OG0000195	Syat.g_02892	Praj.g_00191
OG0000196	Syat.g_02867	Praj.g_00201
OG0000197	Syat.g_02866	Praj.g_00202
OG0000198	Syat.g_02865	Praj.g_00203
OG0000199	Syat.g_02857	Praj.g_00210
OG0000200	Syat.g_02840	Praj.g_00223
OG0000201	Syat.g_02821	Praj.g_00232
OG0000202	Syat.g_02820	Praj.g_00233
OG0000203	Syat.g_02819	Praj.g_00234
OG0000204	Syat.g_02818	Praj.g_00235
OG0000205	Syat.g_02809	Praj.g_00242
OG0000206	Syat.g_02785	Praj.g_00246
OG0000207	Syat.g_02778	Praj.g_00248
OG0000208	Syat.g_02777	Praj.g_00249
OG0000209	Syat.g_02735	Praj.g_00258
OG0000210	Syat.g_02734	Praj.g_00259
OG0000211	Syat.g_01452	Praj.g_00273
OG0000212	Syat.g_01442	Praj.g_00281
OG0000213	Syat.g_01889	Praj.g_00296
OG0000214	Syat.g_02042	Praj.g_00304
OG0000215	Syat.g_02075	Praj.g_00328
OG0000216	Syat.g_02079	Praj.g_00329
OG0000217	Syat.g_02085	Praj.g_00332
OG0000218	Syat.g_02087	Praj.g_00334
OG0000219	Syat.g_02088	Praj.g_00335
OG0000220	Syat.g_02089	Praj.g_00336
OG0000221	Syat.g_02095	Praj.g_00337
OG0000222	Syat.g_02109	Praj.g_00345
OG0000223	Syat.g_02570	Praj.g_00358
OG0000224	Syat.g_02139	Praj.g_00360
OG0000225	Syat.g_01595	Praj.g_00391
OG0000226	Syat.g_01588	Praj.g_00395
OG0000228	Syat.g_02952	Praj.g_00402
OG0000229	Syat.g_02970	Praj.g_00430
OG0000230	Syat.g_02972	Praj.g_00432
OG0000231	Syat.g_01283	Praj.g_00443
OG0000232	Syat.g_01313	Praj.g_00451
OG0000233	Syat.g_01407	Praj.g_00459
OG0000234	Syat.g_01369	Praj.g_00468
OG0000235	Syat.g_03169	Praj.g_00472
OG0000236	Syat.g_03186	Praj.g_00485
OG0000237	Syat.g_03214	Praj.g_00498
OG0000238	Syat.g_03219	Praj.g_00504
OG0000239	Syat.g_01105	Praj.g_00516
OG0000240	Syat.g_01104	Praj.g_00517
OG0000241	Syat.g_00111	Praj.g_00521
OG0000242	Syat.g_01077	Praj.g_00523
OG0000243	Syat.g_00092	Praj.g_00534
OG0000244	Syat.g_00082	Praj.g_00537
OG0000245	Syat.g_00080	Praj.g_00539
OG0000246	Syat.g_00076	Praj.g_00543
OG0000247	Syat.g_00065	Praj.g_00553
OG0000248	Syat.g_00062	Praj.g_00555
OG0000249	Syat.g_00060	Praj.g_00557
OG0000250	Syat.g_00053	Praj.g_00562
OG0000251	Syat.g_00027	Praj.g_00578
OG0000252	Syat.g_00022	Praj.g_00580
OG0000253	Syat.g_00021	Praj.g_00582
OG0000254	Syat.g_03407	Praj.g_00599
OG0000255	Syat.g_02405	Praj.g_00605
OG0000256	Syat.g_03306	Praj.g_00615
OG0000257	Syat.g_00109	Praj.g_00618
OG0000258	Syat.g_00382	Praj.g_00631
OG0000259	Syat.g_00342	Praj.g_00648
OG0000260	Syat.g_00392	Praj.g_00651
OG0000261	Syat.g_00400	Praj.g_00654
OG0000262	Syat.g_00407	Praj.g_00659
OG0000263	Syat.g_00200	Praj.g_00673
OG0000266	Syat.g_00671	Praj.g_00708
OG0000267	Syat.g_00636	Praj.g_00721
OG0000268	Syat.g_00634	Praj.g_00722
OG0000269	Syat.g_00474, Syat.g_00126	Praj.g_00764
OG0000270	Syat.g_00477	Praj.g_00767
OG0000271	Syat.g_00485	Praj.g_00775
OG0000272	Syat.g_00486	Praj.g_00776
OG0000273	Syat.g_00520	Praj.g_00801
OG0000274	Syat.g_00521	Praj.g_00802
OG0000275	Syat.g_00718	Praj.g_00804
OG0000276	Syat.g_00725	Praj.g_00810
OG0000277	Syat.g_00738	Praj.g_00811
OG0000278	Syat.g_00741	Praj.g_00815
OG0000279	Syat.g_00755	Praj.g_00822
OG0000280	Syat.g_01669	Praj.g_01326
OG0000281	Syat.g_00960	Praj.g_00829
OG0000282	Syat.g_00431	Praj.g_00889
OG0000283	Syat.g_00620	Praj.g_00920
OG0000284	Syat.g_00614	Praj.g_00925
OG0000285	Syat.g_00607	Praj.g_00930
OG0000286	Syat.g_00579	Praj.g_00945
OG0000287	Syat.g_00550	Praj.g_00085
OG0000288	Syat.g_00709	Praj.g_00994
OG0000289	Syat.g_00695	Praj.g_01005
OG0000290	Syat.g_00805	Praj.g_01021
OG0000292	Syat.g_02388	Praj.g_01196
OG0000293	Syat.g_03241	Praj.g_01470
OG0000294	Syat.g_03248	Praj.g_01469
OG0000295	Syat.g_00297	Praj.g_01447
OG0000296	Syat.g_00295	Praj.g_01445
OG0000299	Syat.g_00910	Praj.g_01417
OG0000300	Syat.g_00904	Praj.g_01414
OG0000301	Syat.g_00903	Praj.g_01413
OG0000302	Syat.g_00901	Praj.g_01410
OG0000303	Syat.g_00892	Praj.g_01405
OG0000304	Syat.g_00885	Praj.g_01402
OG0000305	Syat.g_00809	Praj.g_01734
OG0000306	Syat.g_01704	Praj.g_00833
OG0000307	Syat.g_01304	Praj.g_01584
OG0000308	Syat.g_01306	Praj.g_01585
OG0000309	Syat.g_01417	Praj.g_01589
OG0000310	Syat.g_01246	Praj.g_01616
OG0000311	Syat.g_01242	Praj.g_01618
OG0000312	Syat.g_01237	Praj.g_01621
OG0000313	Syat.g_01183	Praj.g_01636
OG0000314	Syat.g_01341	Praj.g_01657
OG0000315	Syat.g_01351	Praj.g_01667
OG0000316	Syat.g_03082	Praj.g_01692
OG0000317	Syat.g_03120	Praj.g_01766
OG0000318	Syat.g_03125	Praj.g_01769
OG0000319	Syat.g_03055	Praj.g_01780
OG0000320	Syat.g_03053	Praj.g_01782
OG0000321	Syat.g_03052	Praj.g_01783
OG0000322	Syat.g_03051	Praj.g_01784
OG0000323	Syat.g_03038	Praj.g_01793
OG0000324	Syat.g_02998	Praj.g_01820
OG0000325	Syat.g_01861	Praj.g_01870
OG0000326	Syat.g_01854	Praj.g_01876
OG0000327	Syat.g_01827	Praj.g_01910
OG0000328	Syat.g_01826	Praj.g_01911
OG0000329	Syat.g_01808	Praj.g_01928
OG0000330	Syat.g_01807	Praj.g_01929
OG0000331	Syat.g_01806	Praj.g_01930
OG0000332	Syat.g_01790	Praj.g_01944
OG0000333	Syat.g_01787	Praj.g_01946
OG0000334	Syat.g_01657	Praj.g_01955
OG0000335	Syat.g_01652	Praj.g_01960
OG0000336	Syat.g_01648	Praj.g_01964
OG0000337	Syat.g_02144	Praj.g_01982
OG0000338	Syat.g_02146	Praj.g_01983
OG0000339	Syat.g_02155, Syat.g_01055	Praj.g_01988
OG0000340	Syat.g_02165	Praj.g_01997
OG0000341	Syat.g_02167	Praj.g_01999
OG0000342	Syat.g_02168	Praj.g_02000
OG0000343	Syat.g_02185	Praj.g_02001
OG0000344	Syat.g_02189	Praj.g_02004
OG0000345	Syat.g_02202	Praj.g_02009
OG0000346	Syat.g_02207	Praj.g_02013
OG0000347	Syat.g_02234	Praj.g_02034
OG0000348	Syat.g_02264	Praj.g_02064
OG0000349	Syat.g_02291	Praj.g_02082
OG0000350	Syat.g_01847	Praj.g_02103
OG0000351	Syat.g_02411	Praj.g_02128
OG0000352	Syat.g_02410	Praj.g_02129
