Orthogroup	Syat	Prbn
OG0000001	Syat.g_02910, Syat.g_02911	Prbn.g_01213, Prbn.g_01923
OG0000005	Syat.g_03105	Prbn.g_00899
OG0000006	Syat.g_01439, Syat.g_01865	Prbn.g_00308
OG0000007	Syat.g_03191	Prbn.g_00617
OG0000007	Syat.g_03124	Prbn.g_01745
OG0000008	Syat.g_02626	Prbn.g_01645
OG0000008	Syat.g_02627	Prbn.g_01646
OG0000010	Syat.g_01372	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbn.g_00092
OG0000014	Syat.g_02104	Prbn.g_00074
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbn.g_01131
OG0000017	Syat.g_00015	Prbn.g_00517
OG0000018	Syat.g_01334	Prbn.g_01167, Prbn.g_01518
OG0000019	Syat.g_01876	Prbn.g_00015, Prbn.g_01165
OG0000021	Syat.g_00964	Prbn.g_00874
OG0000022	Syat.g_00210	Prbn.g_00891
OG0000024	Syat.g_03394	Prbn.g_01353, Prbn.g_01589
OG0000025	Syat.g_00719	Prbn.g_01510
OG0000026	Syat.g_02306	Prbn.g_00750
OG0000027	Syat.g_00850	Prbn.g_01664, Prbn.g_00139
OG0000028	Syat.g_02126	Prbn.g_01644
OG0000030	Syat.g_00307, Syat.g_00308	Prbn.g_00985
OG0000031	Syat.g_03199, Syat.g_02243	Prbn.g_00171
OG0000032	Syat.g_01354	Prbn.g_00251
OG0000033	Syat.g_02858	Prbn.g_00178, Prbn.g_01244
OG0000034	Syat.g_01165, Syat.g_02902	Prbn.g_01073
OG0000035	Syat.g_01227, Syat.g_01226	Prbn.g_00212
OG0000037	Syat.g_00849, Syat.g_00187	Prbn.g_01310
OG0000038	Syat.g_02688, Syat.g_02686	Prbn.g_00946
OG0000039	Syat.g_01278	Prbn.g_01577
OG0000042	Syat.g_00223, Syat.g_02222	Prbn.g_00988
OG0000045	Syat.g_00935	Prbn.g_01145
OG0000046	Syat.g_01626, Syat.g_01026	Prbn.g_00093
OG0000048	Syat.g_02046	Prbn.g_01097, Prbn.g_00038
OG0000052	Syat.g_02140	Prbn.g_00724
OG0000053	Syat.g_01330	Prbn.g_01690, Prbn.g_00233
OG0000055	Syat.g_00693	Prbn.g_01719
OG0000057	Syat.g_00817	Prbn.g_01562
OG0000058	Syat.g_01189	Prbn.g_00172
OG0000061	Syat.g_03260	Prbn.g_01189
OG0000062	Syat.g_03107	Prbn.g_00897
OG0000063	Syat.g_02303	Prbn.g_00130
OG0000064	Syat.g_01568	Prbn.g_00710
OG0000065	Syat.g_01571	Prbn.g_01312
OG0000066	Syat.g_03283	Prbn.g_00577, Prbn.g_01657
OG0000067	Syat.g_00479	Prbn.g_01546
OG0000068	Syat.g_00085, Syat.g_01295	Prbn.g_01240
OG0000070	Syat.g_01032, Syat.g_01040	Prbn.g_00663
OG0000072	Syat.g_02856, Syat.g_01597	Prbn.g_00383
OG0000073	Syat.g_03201	Prbn.g_00614
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbn.g_01917
OG0000076	Syat.g_02206	Prbn.g_00996
OG0000078	Syat.g_00184	Prbn.g_00310
OG0000079	Syat.g_01879	Prbn.g_00018
OG0000081	Syat.g_00980	Prbn.g_00585
OG0000082	Syat.g_00035	Prbn.g_00530, Prbn.g_01734
OG0000085	Syat.g_03113	Prbn.g_01737, Prbn.g_00144
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbn.g_01333
OG0000087	Syat.g_02912	Prbn.g_01278
OG0000088	Syat.g_02862	Prbn.g_01247
OG0000089	Syat.g_02953	Prbn.g_00696
OG0000090	Syat.g_03270	Prbn.g_00583
OG0000091	Syat.g_00939, Syat.g_00862	Prbn.g_00434
OG0000092	Syat.g_00825	Prbn.g_01616
OG0000094	Syat.g_01034	Prbn.g_01369
OG0000097	Syat.g_00907, Syat.g_00535	Prbn.g_00408
OG0000098	Syat.g_03281	Prbn.g_01216
OG0000099	Syat.g_02130	Prbn.g_00173
OG0000100	Syat.g_00517	Prbn.g_00903
OG0000101	Syat.g_01661	Prbn.g_01881
OG0000102	Syat.g_00974	Prbn.g_00991
OG0000103	Syat.g_02399	Prbn.g_00907
OG0000104	Syat.g_02385	Prbn.g_00296
OG0000105	Syat.g_02052	Prbn.g_00041
OG0000106	Syat.g_00957	Prbn.g_00829
OG0000107	Syat.g_01862	Prbn.g_01810
OG0000108	Syat.g_03170	Prbn.g_00634
OG0000109	Syat.g_03187	Prbn.g_00620
OG0000110	Syat.g_00049	Prbn.g_00541
OG0000111	Syat.g_00816	Prbn.g_01561
OG0000112	Syat.g_00593	Prbn.g_00468
OG0000113	Syat.g_00509	Prbn.g_01523
OG0000114	Syat.g_00426	Prbn.g_01621
OG0000115	Syat.g_01328	Prbn.g_01120
OG0000116	Syat.g_02641	Prbn.g_01178
OG0000117	Syat.g_00224	Prbn.g_00389
OG0000118	Syat.g_01168	Prbn.g_01071
OG0000119	Syat.g_00309	Prbn.g_01135, Prbn.g_00885
OG0000120	Syat.g_02132	Prbn.g_00170
OG0000121	Syat.g_01223	Prbn.g_00214
OG0000123	Syat.g_01653	Prbn.g_01888
OG0000124	Syat.g_02231	Prbn.g_00979
OG0000125	Syat.g_02684	Prbn.g_00944
OG0000126	Syat.g_00976	Prbn.g_00295
OG0000128	Syat.g_02331	Prbn.g_00002, Prbn.g_00003
OG0000129	Syat.g_02693, Syat.g_02694	Prbn.g_00737
OG0000130	Syat.g_01469	Prbn.g_00708
OG0000131	Syat.g_02898	Prbn.g_01269
OG0000132	Syat.g_02864	Prbn.g_01249
OG0000133	Syat.g_00588	Prbn.g_00088
OG0000134	Syat.g_02956	Prbn.g_00694
OG0000135	Syat.g_02501	Prbn.g_01102
OG0000136	Syat.g_01292	Prbn.g_00672
OG0000137	Syat.g_01371	Prbn.g_00639
OG0000138	Syat.g_03188	Prbn.g_00619
OG0000140	Syat.g_03280	Prbn.g_00578
OG0000141	Syat.g_03398	Prbn.g_00507
OG0000142	Syat.g_00117	Prbn.g_00426
OG0000143	Syat.g_00130	Prbn.g_00430
OG0000144	Syat.g_00369	Prbn.g_00444
OG0000145	Syat.g_03202	Prbn.g_01100
OG0000146	Syat.g_00594	Prbn.g_00469
OG0000147	Syat.g_00595	Prbn.g_00470
OG0000148	Syat.g_00503	Prbn.g_01529
OG0000149	Syat.g_00747	Prbn.g_01497
OG0000150	Syat.g_03399	Prbn.g_01487
OG0000151	Syat.g_00801, Syat.g_00440	Prbn.g_01611
OG0000152	Syat.g_00578	Prbn.g_01418
OG0000153	Syat.g_00542	Prbn.g_01399
OG0000154	Syat.g_00708	Prbn.g_01379
OG0000155	Syat.g_00287	Prbn.g_01210
OG0000156	Syat.g_03228	Prbn.g_01095
OG0000157	Syat.g_02012, Syat.g_03227	Prbn.g_01094
OG0000158	Syat.g_02163	Prbn.g_01014
OG0000159	Syat.g_01187	Prbn.g_00717
OG0000160	Syat.g_01224	Prbn.g_00213
OG0000161	Syat.g_01180	Prbn.g_00219
OG0000162	Syat.g_01281	Prbn.g_00225
OG0000163	Syat.g_02979	Prbn.g_00264
OG0000164	Syat.g_03040	Prbn.g_01770
OG0000165	Syat.g_03033	Prbn.g_01777
OG0000166	Syat.g_01822	Prbn.g_01844
OG0000167	Syat.g_02148	Prbn.g_01915
OG0000168	Syat.g_02164	Prbn.g_01013
OG0000169	Syat.g_02192	Prbn.g_01003
OG0000170	Syat.g_02201	Prbn.g_01000
OG0000171	Syat.g_02230	Prbn.g_00980
OG0000172	Syat.g_02260	Prbn.g_00973
OG0000173	Syat.g_02284	Prbn.g_00958
OG0000174	Syat.g_02504	Prbn.g_00929
OG0000175	Syat.g_02416	Prbn.g_00916
OG0000176	Syat.g_02372	Prbn.g_00010
OG0000177	Syat.g_02338	Prbn.g_00009
OG0000178	Syat.g_02337	Prbn.g_00008
OG0000179	Syat.g_02322	Prbn.g_00766
OG0000180	Syat.g_02321	Prbn.g_00765
OG0000181	Syat.g_02320	Prbn.g_00764
OG0000182	Syat.g_02319	Prbn.g_00763
OG0000183	Syat.g_02315	Prbn.g_00759
OG0000184	Syat.g_02704	Prbn.g_00733
OG0000185	Syat.g_02719	Prbn.g_00730
OG0000186	Syat.g_01463	Prbn.g_00714
OG0000187	Syat.g_01467	Prbn.g_00713
OG0000188	Syat.g_01489	Prbn.g_01339
OG0000189	Syat.g_01557	Prbn.g_01325
OG0000190	Syat.g_00330	Prbn.g_01323
OG0000191	Syat.g_03344, Syat.g_02939	Prbn.g_01300
OG0000192	Syat.g_02933	Prbn.g_01295
OG0000193	Syat.g_02897	Prbn.g_01268
OG0000194	Syat.g_02894	Prbn.g_01265
OG0000195	Syat.g_02892	Prbn.g_01263
OG0000196	Syat.g_02867	Prbn.g_01252
OG0000197	Syat.g_02866	Prbn.g_01251
OG0000198	Syat.g_02865	Prbn.g_01250
OG0000199	Syat.g_02857	Prbn.g_01243, Prbn.g_00384
OG0000200	Syat.g_02840	Prbn.g_00370
OG0000201	Syat.g_02821	Prbn.g_00361
OG0000202	Syat.g_02820	Prbn.g_00360
OG0000203	Syat.g_02819	Prbn.g_00359
OG0000204	Syat.g_02818	Prbn.g_00358
OG0000205	Syat.g_02809	Prbn.g_00351
OG0000206	Syat.g_02785	Prbn.g_00346
OG0000207	Syat.g_02778	Prbn.g_00343
OG0000208	Syat.g_02777	Prbn.g_00342
OG0000209	Syat.g_02735	Prbn.g_00333
OG0000210	Syat.g_02734	Prbn.g_00332
OG0000211	Syat.g_01452	Prbn.g_00317
OG0000212	Syat.g_01442	Prbn.g_00309
OG0000213	Syat.g_01889	Prbn.g_00024
OG0000214	Syat.g_02042	Prbn.g_00034
OG0000215	Syat.g_02075	Prbn.g_00061
OG0000216	Syat.g_02079	Prbn.g_00062
OG0000217	Syat.g_02085	Prbn.g_00065
OG0000218	Syat.g_02087	Prbn.g_00067
OG0000219	Syat.g_02088	Prbn.g_00068
OG0000220	Syat.g_02089	Prbn.g_00069
OG0000221	Syat.g_02095	Prbn.g_00070
OG0000222	Syat.g_02109	Prbn.g_00077
OG0000223	Syat.g_02570	Prbn.g_00089
OG0000224	Syat.g_02139	Prbn.g_00091
OG0000225	Syat.g_01595	Prbn.g_00117
OG0000226	Syat.g_01588	Prbn.g_00121
OG0000228	Syat.g_02952	Prbn.g_00697
OG0000229	Syat.g_02970	Prbn.g_00677
OG0000230	Syat.g_02972	Prbn.g_00675
OG0000231	Syat.g_01283	Prbn.g_00664
OG0000232	Syat.g_01313	Prbn.g_00653
OG0000233	Syat.g_01407	Prbn.g_00647
OG0000234	Syat.g_01369	Prbn.g_00638
OG0000235	Syat.g_03169	Prbn.g_00635
OG0000236	Syat.g_03186	Prbn.g_00621
OG0000237	Syat.g_03214	Prbn.g_00608
OG0000238	Syat.g_03219	Prbn.g_00602
OG0000239	Syat.g_01105	Prbn.g_00591
OG0000240	Syat.g_01104	Prbn.g_00590
OG0000241	Syat.g_00111	Prbn.g_00586
OG0000242	Syat.g_01077	Prbn.g_00584
OG0000243	Syat.g_00092	Prbn.g_00573
OG0000244	Syat.g_00082	Prbn.g_00570
OG0000245	Syat.g_00080	Prbn.g_00568
OG0000246	Syat.g_00076	Prbn.g_00564
OG0000247	Syat.g_00065	Prbn.g_00554
OG0000248	Syat.g_00062	Prbn.g_00551
OG0000249	Syat.g_00060	Prbn.g_00549
OG0000250	Syat.g_00053	Prbn.g_00544
OG0000251	Syat.g_00027	Prbn.g_00524
OG0000252	Syat.g_00022	Prbn.g_00521
OG0000253	Syat.g_00021	Prbn.g_00520
OG0000254	Syat.g_03407	Prbn.g_00503
OG0000255	Syat.g_02405	Prbn.g_00497
OG0000256	Syat.g_03306	Prbn.g_00487
OG0000257	Syat.g_00109	Prbn.g_00421
OG0000258	Syat.g_00382	Prbn.g_00435
OG0000259	Syat.g_00342	Prbn.g_00835
OG0000260	Syat.g_00392	Prbn.g_00838
OG0000261	Syat.g_00400	Prbn.g_00841
OG0000262	Syat.g_00407	Prbn.g_00845
OG0000263	Syat.g_00200	Prbn.g_01583
OG0000266	Syat.g_00671	Prbn.g_00864
OG0000267	Syat.g_00636	Prbn.g_01350
OG0000268	Syat.g_00634	Prbn.g_01351
OG0000269	Syat.g_00474, Syat.g_00126	Prbn.g_01551
OG0000270	Syat.g_00477	Prbn.g_01548
OG0000271	Syat.g_00485	Prbn.g_01540
OG0000272	Syat.g_00486	Prbn.g_01539
OG0000273	Syat.g_00520	Prbn.g_01515
OG0000274	Syat.g_00521	Prbn.g_01514
OG0000275	Syat.g_00718	Prbn.g_01511
OG0000276	Syat.g_00725	Prbn.g_01505
OG0000277	Syat.g_00738	Prbn.g_01504
OG0000278	Syat.g_00741	Prbn.g_01501
OG0000279	Syat.g_00755	Prbn.g_01494
OG0000280	Syat.g_01669	Prbn.g_01493
OG0000281	Syat.g_00960	Prbn.g_01486
OG0000282	Syat.g_00431	Prbn.g_01619
OG0000283	Syat.g_00620	Prbn.g_01442
OG0000284	Syat.g_00614	Prbn.g_01437
OG0000285	Syat.g_00607	Prbn.g_01432
OG0000286	Syat.g_00579	Prbn.g_01419
OG0000287	Syat.g_00550	Prbn.g_01123
OG0000288	Syat.g_00709	Prbn.g_01380
OG0000289	Syat.g_00695	Prbn.g_01364
OG0000290	Syat.g_00805	Prbn.g_01468
OG0000292	Syat.g_02388	Prbn.g_01144
OG0000293	Syat.g_03241	Prbn.g_01179
OG0000294	Syat.g_03248	Prbn.g_01180
OG0000295	Syat.g_00297	Prbn.g_01203
OG0000296	Syat.g_00295	Prbn.g_01205
OG0000299	Syat.g_00910	Prbn.g_00407
OG0000300	Syat.g_00904	Prbn.g_00410
OG0000301	Syat.g_00903	Prbn.g_00411
OG0000302	Syat.g_00901	Prbn.g_00413
OG0000303	Syat.g_00892	Prbn.g_00419
OG0000304	Syat.g_00885	Prbn.g_00482
OG0000305	Syat.g_00809	Prbn.g_01146
OG0000306	Syat.g_01704	Prbn.g_01482
OG0000307	Syat.g_01304	Prbn.g_00159
OG0000308	Syat.g_01306	Prbn.g_00160
OG0000309	Syat.g_01417	Prbn.g_00164
OG0000310	Syat.g_01246	Prbn.g_00198
OG0000311	Syat.g_01242	Prbn.g_00200
OG0000312	Syat.g_01237	Prbn.g_00203
OG0000313	Syat.g_01183	Prbn.g_00216
OG0000314	Syat.g_01341	Prbn.g_00239
OG0000315	Syat.g_01351	Prbn.g_00249
OG0000316	Syat.g_03082	Prbn.g_00274
OG0000317	Syat.g_03120	Prbn.g_01742
OG0000318	Syat.g_03125	Prbn.g_01746
OG0000319	Syat.g_03055	Prbn.g_01759
OG0000320	Syat.g_03053	Prbn.g_01761
OG0000321	Syat.g_03052	Prbn.g_01762
OG0000322	Syat.g_03051	Prbn.g_01763
OG0000323	Syat.g_03038	Prbn.g_01773
OG0000324	Syat.g_02998	Prbn.g_01800
OG0000325	Syat.g_01861	Prbn.g_01811
OG0000326	Syat.g_01854	Prbn.g_01818
OG0000327	Syat.g_01827	Prbn.g_01839
OG0000328	Syat.g_01826	Prbn.g_01840
OG0000329	Syat.g_01808	Prbn.g_01857
OG0000330	Syat.g_01807	Prbn.g_01858
OG0000331	Syat.g_01806	Prbn.g_01859
OG0000332	Syat.g_01790	Prbn.g_01873
OG0000333	Syat.g_01787	Prbn.g_01875
OG0000334	Syat.g_01657	Prbn.g_01884
OG0000335	Syat.g_01652	Prbn.g_01889
OG0000336	Syat.g_01648	Prbn.g_01893
OG0000337	Syat.g_02144	Prbn.g_01911
OG0000338	Syat.g_02146	Prbn.g_01912
OG0000339	Syat.g_02155, Syat.g_01055	Prbn.g_01918
OG0000340	Syat.g_02165	Prbn.g_01012
OG0000341	Syat.g_02167	Prbn.g_01010
OG0000342	Syat.g_02168	Prbn.g_01009
OG0000343	Syat.g_02185	Prbn.g_01008
OG0000344	Syat.g_02189	Prbn.g_01005
OG0000345	Syat.g_02202	Prbn.g_00999
OG0000346	Syat.g_02207	Prbn.g_00995
OG0000347	Syat.g_02234	Prbn.g_00978
OG0000348	Syat.g_02264	Prbn.g_00970
OG0000349	Syat.g_02291	Prbn.g_00953
OG0000350	Syat.g_01847	Prbn.g_00798
OG0000351	Syat.g_02411	Prbn.g_00913
OG0000352	Syat.g_02410	Prbn.g_00912
OG0000353	Syat.g_00955, Syat.g_02377	Prbn.g_00299
OG0000355	Syat.g_02375	Prbn.g_00301
OG0000356	Syat.g_02374	Prbn.g_00302
OG0000357	Syat.g_02373	Prbn.g_00011
OG0000358	Syat.g_02336	Prbn.g_00007
OG0000359	Syat.g_02334	Prbn.g_00006
OG0000360	Syat.g_02333	Prbn.g_00005
OG0000361	Syat.g_02332	Prbn.g_00004
OG0000362	Syat.g_02330	Prbn.g_00001
OG0000363	Syat.g_02328	Prbn.g_00768
